Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 240551000.0; 930452000.0; 4830101000.0; ; 182061000.0; 6183165000.0; 1611119000.0; ; 1626663000.0; 55273000.0; 5954798000.0; 12137960000.0; 5341818000.0; 1187583000.0; 98698000.0; 4001336000.0; 9343154000.0; 8000.0; 4706547000.0; -20789000.0; ; 2794809000.0; 12137960000.0
2022-03-31; 138733000.0; 957799000.0; 4778849000.0; ; 182399000.0; 6057780000.0; 1567986000.0; ; 1635940000.0; 53194000.0; 5944701000.0; 12002480000.0; 5052574000.0; 1187170000.0; 102189000.0; 4040227000.0; 9092801000.0; 8000.0; 4653043000.0; -41065000.0; ; 2909680000.0; 12002480000.0
2021-12-31; 601428000.0; 782785000.0; 4659018000.0; ; 232245000.0; 6275476000.0; 1528311000.0; ; 1644961000.0; 73651000.0; 5918733000.0; 12194210000.0; 5180307000.0; 1034319999.9999999; 103034000.0; 3885611000.0; 9065918000.0; 8000.0; 4605791000.0; -22627000.0; ; 3128291000.0; 12194210000.0
2021-09-30; 604645000.0; 931758000.0; 4450452000.0; ; 174406000.0; 6161261000.0; 1483246000.0; ; 1653107000.0; 52182000.0; 5702910000.0; 11864170000.0; 4955229000.0; 1034002000.0; 148972000.0; 3712407000.0; 8667635000.0; 8000.0; 4586904000.0; -21826000.0; ; 3196535000.0; 11864170000.0
2021-06-30; 809287000.0; 803880000.0; 4428115000.0; ; 180589000.0; 6221871000.0; 1472467000.0; ; 1659333000.0; 43402000.0; 5616854000.0; 11838720000.0; 4899345000.0; 1033685999.9999999; 146980000.0; 3637815000.0; 8537160000.0; 8000.0; 4480085000.0; -23283000.0; ; 3301565000.0; 11838720000.0
2021-03-31; 880233000.0; 804826000.0; 4476656000.0; ; 149003000.0; 6310718000.0; 1463990000.0; ; 1666985000.0; 47831000.0; 5557771000.0; 11868490000.0; 4792423000.0; 1033368999.9999999; 148001000.0; 3574498000.0; 8366921000.0; 8000.0; 4300818000.0; -21466000.0; ; 3501567000.0; 11868490000.0
2020-12-31; 834992000.0; 749999000.0; 4538199000.0; ; 146811000.0; 6270001000.0; 1462602000.0; ; 1674717000.0; 52329000.0; 5569635000.0; 11839640000.0; 4743915000.0; 1032983999.9999999; 146281000.0; 3536209000.0; 8280124000.0; 8000.0; 4196634000.0; -26759000.0; ; 3559512000.0; 11839640000.0
2020-09-30; 1068204999.9999999; 843054000.0; 4367272000.0; ; 158819000.0; 6437350000.0; 1444889000.0; ; 1677713000.0; 50374000.0; 5535413000.0; 11972760000.0; 4648888000.0; 1031872000.0000001; 171711000.0; 3561211000.0; 8210099000.0; 8000.0; 4101776000.0; -38714000.0; ; 3762664000.0; 11972760000.0
2020-06-30; 1141502000.0; 742346000.0; 4358489000.0; ; 153188000.0; 6395525000.0; 1436485000.0; ; 1682878000.0; 48250000.0; 5535140000.0; 11930670000.0; 4437559000.0; 1240340000.0; 146761000.0; 3766587000.0; 8204146000.000001; 8000.0; 3971507000.0; -43939000.0; ; 3726519000.0; 11930670000.0
2020-03-31; 1279838000.0; 627405000.0; 4526003000.0; ; 138749000.0; 6571995000.0; 1444478000.0; ; 1687144000.0; 49444100.0; 5500577000.0; 12072570000.0; 4831049000.0; 1241094000.0; 133979000.00000001; 3704494000.0; 8535540999.999999; 8000.0; 3798983000.0; -51535000.0; ; 3537029000.0; 12072570000.0
2019-12-31; 418665000.0; 689469000.0; 4432168000.0; ; 155241000.0; 5695543000.0; 1433213000.0; ; 1701996000.0; 52448000.0; 5552982000.0; 11248530000.0; 4477702000.0; 747320000.0; 123250000.0; 3221742000.0; 7699444000.0; 8000.0; 3772848000.0; -34569000.0; ; 3549081000.0; 11248530000.0
2019-09-30; 573726000.0; 721342000.0; 4391093000.0; ; 140487000.0; 5826648000.0; 1389089000.0; ; 1505887000.0; 49446000.0; 5280154000.0; 11106800000.0; 4463913000.0; 747136000.0; 124781000.0; 3187947000.0; 7651860000.0; 8000.0; 3681100000.0; -38862000.0; ; 3454942000.0; 11106800000.0
2019-06-30; 747719000.0; 713061000.0; 4374933000.0; ; 126758000.0; 5962471000.0; 1381388000.0; ; 1514401000.0; 49667000.0; 5305475000.0; 11267950000.0; 4372405000.0; 746951000.0; 131035000.0; 3224239000.0; 7596644000.0; 8000.0; 3561620000.0; -33481000.0; ; 3671302000.0; 11267950000.0
2019-03-31; 537330000.0; 684419000.0; 4433981000.0; ; 126108000.0; 5781838000.0; 1363128000.0; ; 1518942000.0; 46241000.0; 5299673000.0; 11081510000.0; 4298877000.0; 746766800.0; 124067000.0; 3235411000.0; 7534288000.0; 8000.0; 3441138000.0; -40038000.0; ; 3547223000.0; 11081510000.0
2018-12-31; 896527000.0; 624972000.0; 4362547000.0; ; 198408000.0; 6082454000.0; 1368985000.0; ; 1540830000.0; 48379000.0; 2958194000.0; 9040648000.0; 3885950000.0; 1045720000.0; 239812000.0; 1603885000.0; 5489835000.0; 8000.0; 3326155000.0; -44193000.0; ; 3550813000.0; 9040648000.0
2018-09-30; 970006000.0; 698617000.0; 4187082000.0000005; ; 168578000.0; 6024283000.0; 1335769000.0; ; 1555462000.0; 56839000.0; 2948070000.0; 8972353000.0; 3721232000.0; 1045397999.9999999; 225927000.0; 1591485000.0; 5312717000.0; 8000.0; 3277118000.0; -32083000.0; ; 3659636000.0; 8972353000.0
2018-06-30; 902249000.0; 664149000.0; 4159756000.0000005; ; 151662000.0; 5877816000.0; 1338931000.0; ; 1563887000.0; 54922000.0; 2957740000.0; 8835556000.0; 3598217000.0; 1045077000.0; 220222000.0; 1579390000.0; 5177607000.0; 8000.0; 3165696000.0; -35914000.0; ; 3657949000.0; 8835556000.0
2018-03-31; 639143000.0; 620378000.0; 4230473000.0; ; 127522000.0; 5617516000.0; 1358397000.0; ; 1576807000.0; 62233000.0; 2997437000.0; 8614953000.0; 3480139000.0; 1044755000.0000001; 232752000.0; 1588193000.0; 5068332000.0; 8000.0; 3052336000.0; -28812000.0; ; 3546621000.0; 8614953000.0
2017-12-31; 546937000.0; 606357000.0; 4168492000.0; ; 105106000.0; 5426892000.0; 1394138000.0; ; 1591967000.0; 69304000.0; 3055409000.0; 8482300999.999999; 3480097000.0; 1044327000.0; 239061000.0; 1587008000.0; 5067105000.0; 8000.0; 2920096000.0; -24954000.0; ; 3415196000.0; 8482300999.999999
2017-09-30; 363302000.0; 679359000.0; 4219321000.0; ; 105970000.0; 5367952000.0; 1418486000.0; ; 1602928000.0; 78858000.0; 3100272000.0; 8468224000.0; 3537409000.0; 1044008000.0; 226826000.0; 1700028000.0; 5237437000.0; 8000.0; 2740046000.0; -24503000.0; ; 3230787000.0; 8468224000.0
2017-06-30; 257230000.00000003; 680503000.0; 4293367000.0; ; 95115000.0; 5326215000.0; 1431294000.0; ; 1612795000.0; 67109000.0; 3111198000.0; 8437413000.0; 3598327000.0; 1043690000.0; 228337000.0; 1710809000.0; 5309136000.0; 8000.0; 2648515000.0; -26664000.0; ; 3128277000.0; 8437413000.0
2017-03-31; 126087000.0; 683024000.0; 4413803000.0; ; 83779000.0; 5306693000.0; 1439621000.0; ; 1617669000.0; 64674000.00000001; 3121964000.0; 8428656999.999999; 3659631000.0; 1073372000.0000001; 225851000.0; 1745351000.0; 5404982000.0; 8000.0; 2565927000.0; -40574000.0; ; 3023675000.0; 8428656999.999999
2016-12-31; 135178000.0; 641252000.0; 4325868000.0; ; 70466000.0; 5172764000.0; 1446340000.0; ; 1631780000.0; 64149000.0; 3142269000.0; 8315032999.999999; 3676046000.0; 1042949000.0000001; 225564000.0; 1722795000.0; 5398841000.0; 8000.0; 2462935000.0; -39701000.0; ; 2916192000.0; 8315032999.999999
2016-09-30; 119494000.0; 686947000.0; 4357013000.0; ; 98672000.0; 5262126000.0; 1442173000.0; ; 1643753000.0; 66593000.0; 3152519000.0; 8414645000.0; 3837351000.0; 1042633000.0; 223592000.0; 1721573000.0; 5558924000.0; 8000.0; 2404998000.0; -37496000.0; ; 2855721000.0; 8414645000.0
2016-06-30; 104827000.0; 657483000.0; 4421274000.0; ; 96200000.0; 5279784000.0; 1431922000.0; ; 1657257000.0; 68566000.0; 3157745000.0; 8437529000.0; 3841233000.0; 1169702000.0; 231573000.0; 1847399000.0; 5688632000.0; 8000.0; 2295597000.0; -32421000.0; ; 2748897000.0; 8437529000.0
2016-03-31; 103708000.0; 650993000.0; 4432968000.0; ; 78558000.0; 5266227000.0; 1432698000.0; ; 1670169000.0; 69869000.0; 3172736000.0; 8438963000.0; 3908563000.0; 1229888000.0; 229079000.0; 1901261000.0; 5809824000.0; 8000.0; 2175437000.0; -27816000.0; ; 2629139000.0; 8438963000.0
2015-12-31; 90782000.0; 597788000.0; 4174768000.0; ; 77408000.0; 4940746000.0; 1434577000.0; ; 1676609000.0; 75769000.0; 3186955000.0; 8127701000.0; 3797477000.0; 1206297000.0; 229354000.0; 1869576000.0; 5667053000.0; 7000.0; 2021077000.0; -44059000.0; ; 2460648000.0; 8127701000.0
2015-09-30; 105346000.0; 664614000.0; 4141562000.0; ; 96863000.0; 5008385000.0; 1396093000.0; ; 1695295000.0; 81763000.0; 3173151000.0; 8181536000.0; 3950914000.0; 1293102000.0; 524443999.99999994; 1817546000.0; 5768460000.0; 7000.0; 1970662000.0; -32052999.999999996; ; 2413076000.0; 8181536000.0
2015-06-30; 114536000.0; 653309000.0; 4119591999.9999995; ; 90491000.0; 4977928000.0; 1400342000.0; ; 1706444000.0; 83161000.0; 3189947000.0; 8167875000.0; 3879758000.0; 1453044000.0; 545944000.0; 1998988000.0; 5878746000.0; 7000.0; 1854608000.0; -32729999.999999996; ; 2289129000.0; 8167875000.0
2015-03-31; 123821000.0; 631926000.0; 4104777000.0; ; 76341000.0; 4936865000.0; 1397950000.0; ; 1723041000.0; 88839000.0; 3209830000.0; 8146695000.0; 3824478000.0; 1609687000.0; 565942000.0; 2175629000.0; 6000107000.0; 7000.0; 1709024000.0; -19978000.0; ; 2146588000.0000002; 8146695000.0
2014-12-31; 104671000.0; 579825000.0; 3936955000.0; ; 119589000.0; 4741040000.0; 1432030000.0; ; 1743551000.0; 45737000.0; 3221318000.0; 7962358000.0; 3654416000.0; 1636311000.0; 222368000.0; 2305030000.0; 5959446000.0; 7000.0; 1565341000.0; -12337000.0; ; 2002912000.0; 7962358000.0
2014-09-30; 89664000.0; 634828000.0; 3941549000.0; ; 97232000.0; 4763273000.0; 1424569000.0; ; 1761053000.0; 48842000.0; 3234464000.0; 7997737000.0; 3784042000.0; 1730150000.0; 558046000.0; 2288196000.0; 6072238000.0; 7000.0; 1485310000.0; -4818000.0; ; 1925499000.0; 7997737000.0
2014-06-30; 67446000.0; 622432000.0; 3935157000.0; ; 89741000.0; 4714776000.0; 1422083000.0; ; 1780614000.0; 52052000.0; 3254749000.0; 7969525000.0; 3774173000.0; 1797795000.0; 583032000.0; 2380827000.0; 6155000000.0; 7000.0; 1367516000.0; 6774000.0; ; 1814525000.0; 7969525000.0
2014-03-31; 83358000.0; 576606000.0; 3910948000.0; ; 70872000.0; 4641784000.0; 1425117000.0; ; 1801124000.0; 45049000.0; 3271290000.0; 7913074000.0; 3664247000.0; 2001740000.0; 580456000.0; 2582196000.0; 6246443000.0; 7000.0; 1232425000.0; 259000.0; ; 1666631000.0; 7913074000.0
2013-12-31; 1112471000.0; 277595000.0; 2556557000.0; ; 42761000.0; 3989384000.0; 1283970000.0; ; 249707000.0; 41713000.0; 1575390000.0; 5564774000.0; 2764785000.0; 1052667999.9999999; 231116000.0; 1283784000.0; 4048569000.0; 7000.0; 1089112000.0; 3683000.0; ; 1516205000.0; 5564774000.0
2013-09-30; 567301000.0; 278977000.0; 2463978000.0; ; 68435000.0; 3378691000.0; 1278655000.0; ; 253798000.0; 33555000.0; 1566008000.0; 4944699000.0; 2636344000.0; 604027000.0; 236480000.0; 840507000.0; 3476851000.0; 7000.0; 1044223999.9999999; 4608000.0; ; 1467848000.0; 4944699000.0
2013-06-30; 520969000.00000006; 281714000.0; 2407041000.0; ; 66555000.00000001; 3276279000.0; 1285029000.0; ; 255946000.0; 35034000.0; 1576009000.0; 4852288000.0; 2639665000.0; 604117000.0; 239527000.0; 843644000.0; 3483309000.0; 7000.0; 944764000.0; 4749000.0; ; 1368979000.0; 4852288000.0
