Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 1436300000.0; 3170600000.0; ; ; 50198000000.0; 54804900000.0; 652600000.0; ; 3633600000.0; 937400000.0; 8263299999.999999; 63068200000.0; 55158700000.0; 2987100000.0; 924200000.0; 4684200000.0; 59842900000.0; 63900000.0; 20696300000.0; -1993700000.0; ; 3225300000.0; 63068200000.0
2022-03-31; 1634200000.0; 3250700000.0; ; ; 59018900000.0; 63903800000.0; 650500000.0; ; 3651400000.0; 910000000.0; 8164300000.0; 72068100000.0; 63106500000.0; 2986600000.0; 954200000.0; 4768700000.0; 67875200000.0; 63900000.0; 20504500000.0; -1262300000.0; ; 4192899999.9999995; 72068100000.0
2021-12-31; 1745000000.0; 2736000000.0; ; ; 46626300000.0; 51107300000.0; 644500000.0; ; 3553200000.0; 868000000.0; 7995300000.0; 59102600000.0; 49084000000.0; 2986100000.0; 843600000.0; 4969000000.0; 54053000000.0; 63900000.0; 20011800000.0; -328400000.0; ; 5049600000.0; 59102600000.0
2021-09-30; 1602100000.0; 2769700000.0; ; ; 47676100000.0; 52047900000.0; 648700000.0; ; 3537400000.0; 817500000.0; 7939299000.0; 59987200000.0; 49669900000.0; 2985500000.0; 813600000.0; 4966600000.0; 54636500000.0; 63900000.0; 19754800000.0; -122900000.0; ; 5350700000.0; 59987200000.0
2021-06-30; 2575200000.0; 2727400000.0; ; ; 35439200000.0; 40741800000.0; 684500000.0; ; 3548500000.0; 825800000.0; 8030700000.0; 48772500000.0; 38094800000.0; 2985000000.0; 834100000.0; 5007600000.0; 43102400000.0; 63900000.0; 19451100000.0; 10600000.0; ; 5670100000.0; 48772500000.0
2021-03-31; 1891500000.0; 2765400000.0; ; ; 42095500000.0; 46752400000.0; 701400000.0; ; 3546600000.0; 475100000.0; 7655300000.0; 54407700000.0; 44615200000.0; 1994300000.0; 806500000.0; 4118600000.0000005; 48733800000.0; 63900000.0; 19307500000.0; -257700000.0; ; 5673900000.0; 54407700000.0
2020-12-31; 1602200000.0; 2509800000.0; ; ; 37550300000.0; 41662300000.0; 692700000.0; ; 3553800000.0; 483500000.0; 7663600000.0; 49325900000.0; 39176500000.0; 1994100000.0; 812500000.0; 4249399999.9999995; 43425900000.0; 63900000.0; 18893600000.0; 40300000.0; ; 5900000000.0; 49325900000.0
2020-09-30; 1613100000.0; 2489100000.0; ; ; 30713200000.0; 34815400000.0; 701500000.0; ; 3542200000.0; 438000000.0; 7574700000.0; 42390100000.0; 32329600000.0; 1993900000.0; 813900000.0; 4251600000.0000005; 36581200000.0; 63900000.0; 18644700000.0; 15900000.0; ; 5808900000.0; 42390100000.0
2020-06-30; 1908500000.0; 2441300000.0; ; ; 27214300000.0; 31564100000.0; 703900000.0; ; 3525200000.0; 458400000.0; 7601400000.0; 39165500000.0; 30126600000.0; 1002800000.0; 837000000.0; 3286700000.0; 33413300000.000004; 63900000.0; 18436300000.0; -14800000.0; ; 5752200000.0; 39165500000.0
2020-03-31; 1708200000.0; 2620600000.0; ; ; 31379900000.0; 35708700000.0; 743100000.0; ; 3406000000.0; 579900000.0; 7674700000.0; 43383400000.0; 34672800000.0; 1002800000.0; 745600000.0; 3219900000.0; 37892700000.0; 63900000.0; 18416500000.0; -234400000.0; ; 5490700000.0; 43383400000.0
2019-12-31; 1507600000.0; 2587900000.0; ; ; 37269500000.0; 41365000000.0; 761300000.0; ; 3417400000.0; 596599900.0; 7694400000.0; 49059400000.0; 40522400000.0; 1003000000.0; 726000000.0; 3172600000.0; 43695000000.0; 63900000.0; 17987600000.0; -231200000.0; ; 5364400000.0; 49059400000.0
2019-09-30; 4949000000.0; 2490400000.0; ; ; 22069100000.0; 29508500000.0; 767100000.0; ; 3382200000.0; 1129400000.0; 8206200000.000001; 37714700000.0; 29200900000.0; 1003400000.0; 707900000.0; 3153100000.0; 32354000000.0; 63900000.0; 17729600000.0; -233900000.0; ; 5360700000.0; 37714700000.0
2019-06-30; 1959700000.0; 2439300000.0; ; ; 29943300000.0; 34342300000.000004; 764200000.0; ; 3394500000.0; 934400000.0; 7545400000.0; 41887700000.0; 32627700000.0; 2002200000.0; 798700000.0; 3860100000.0; 36487800000.0; 63900000.0; 17500600000.0; -257300000.0; ; 5399900000.0; 41887700000.0
2019-03-31; 1826200000.0; 2485200000.0; ; ; 36612600000.0; 40924000000.0; 765800000.0; ; 3379000000.0; 740300000.0; 7272300000.0; 48196300000.0; 39166000000.0; 2002300000.0; 759800000.0; 3784100000.0; 42950100000.0; 63900000.0; 17368600000.0; -411900000.0; ; 5246200000.0; 48196300000.0
2018-12-31; 2785600000.0; 2638100000.0; ; ; 26258900000.0; 31682600000.0; 772700000.0; ; 3248100000.0; 739700000.0; 7123700000.0; 38806300000.0; 30296900000.0; 2002300000.0; 752500000.0; 3745500000.0; 34042400000.0; 63900000.0; 16959099999.999998; -615000000.0; ; 4763900000.0; 38806300000.0
2018-09-30; 1490300000.0; 2216400000.0; ; ; 26249200000.0; 29955900000.0; 787700000.0; ; 3242200000.0; 1053400000.0000001; 7460800000.0; 37416700000.0; 29037300000.0; 2002400000.0; 736400000.0; 3700600000.0; 32737900000.0; 63900000.0; 16741099999.999998; -740100000.0; ; 4678800000.0; 37416700000.0
2018-06-30; 2170000000.0; 1984200000.0; ; ; 27669100000.0; 31823300000.0; 793700000.0; ; 3129900000.0; 699300000.0; 7025800000.0; 38849100000.0; 30412700000.0; 2002400000.0; 728000000.0; 3700500000.0; 34113199999.999996; 63900000.0; 16546599999.999998; -679800000.0; ; 4735900000.0; 38849100000.0
2018-03-31; 2293600000.0; 2043400000.0; ; ; 34377000000.0; 38714000000.0; 794600000.0; ; 3138600000.0; 1391000000.0; 5351500000.0; 44065500000.0; 36741200000.0; 2002400000.0; 795800000.0; 3295100000.0; 40036300000.0; 63900000.0; 15466100000.0; -638800000.0; ; 4029200000.0; 44065500000.0
2017-12-31; 1773400000.0; 2045500000.0; ; ; 35531100000.0; 39350000000.0; 799900000.0; ; 2997000000.0; 1371200000.0; 5195500000.0; 44545500000.0; 37250900000.0; 2002400000.0; 824800000.0; 3363400000.0; 40614300000.0; 63900000.0; 15060100000.0; -432600000.0; ; 3931200000.0; 44545500000.0
2017-09-30; 2363600000.0; 1788700000.0; ; ; 26850300000.0; 31002600000.0; 800400000.0; ; 2444600000.0; 1386200000.0; 4658500000.0; 35661100000.0; 28286600000.0; 2002100000.0; 835500000.0; 3421100000.0; 31707700000.0; 63900000.0; 14872400000.0; -344600000.0; ; 3953400000.0; 35661100000.0
2017-06-30; 2780400000.0; 1703600000.0; ; ; 28174700000.0; 32658700000.0; 779900000.0; ; 2361200000.0; 1352200000.0; 4521300000.0; 37180000000.0; 29815900000.0; 2002400000.0; 830200000.0; 3387100000.0; 33203000000.0; 63900000.0; 14728200000.0; -379200000.0; ; 3977000000.0; 37180000000.0
2017-03-31; 2995500000.0; 1811500000.0; ; ; 34707400000.0; 39514400000.0; 750600000.0; ; 2321500000.0; 1242400000.0; 4341500000.0; 43855900000.0; 36418500000.0; 2002500000.0; 836100000.0; 3334300000.0; 39752800000.0; 63900000.0; 14717700000.0; -513200000.00000006; ; 4103100000.0000005; 43855900000.0
2016-12-31; 2705200000.0; 1839500000.0; ; ; 31263400000.0; 35808100000.0; 733200000.0; ; 2205300000.0; 1228200000.0; 4191300000.0; 39999400000.0; 32956300000.000004; 2002500000.0; 770600000.0; 3228000000.0; 36184300000.0; 63900000.0; 14384700000.0; -566700000.0; ; 3815100000.0; 39999400000.0
2016-09-30; 2817600000.0; 1620600000.0; ; ; 25686000000.0; 30124200000.0; 701000000.0; 7800000.0; 2252300000.0; 1225500000.0; 4213200000.0; 34337400000.0; 26719300000.0; 2007700000.0; 734000000.0; 3368000000.0; 30087300000.0; 63900000.0; 14130200000.0; -246400000.0; ; 4250100000.0000005; 34337400000.0
2016-06-30; 3191100000.0; 1742800000.0; ; ; 34566500000.0; 39500400000.0; 685000000.0; ; 2216200000.0; 1241300000.0; 4169600000.0000005; 43670000000.0; 35847400000.0; 2007700000.0; 701100000.0; 3341000000.0; 39188400000.0; 63900000.0; 14003300000.0; -215100000.0; ; 4481600000.0; 43670000000.0
2016-03-31; 2965100000.0; 2074400000.0; ; ; 41779500000.0; 46819000000.0; 668800000.0; 7800000.0; 2203200000.0; 1399300000.0; 4306601000.0; 51125600000.0; 43250400000.0; 2007700000.0; 707500000.0; 3372000000.0; 46622400000.0; 63900000.0; 13957200000.0; -160000000.0; ; 4503200000.0; 51125600000.0
2015-12-31; 2821800000.0; 1634200000.0; ; ; 31203200000.0; 35659200000.0; 679600000.0; 21000000.0; 2166500000.0; 1341900000.0; 4240300000.0; 39899500000.0; 32468100000.0; 1994800000.0; 675500000.0; 3225200000.0; 35693300000.0; 63900000.0; 13666300000.0; -379100000.0; ; 4206200000.0; 39899500000.0
2015-09-30; 3211900000.0; 1565200000.0; ; ; 25399000000.0; 30176100000.0; 680300000.0; 21300000.0; 2160800000.0; 1309200000.0; 4204200000.0; 34380300000.0; 26587300000.0; 1995200000.0; 648000000.0; 3162800000.0; 29750100000.0; 63900000.0; 13568600000.0; -247400000.0; ; 4630200000.0; 34380300000.0
2015-06-30; 1665900000.0; 1546900000.0; ; ; 25596400000.0; 28809200000.0; 672700000.0; 28900000.0; 2296700000.0; 1270800000.0; 4301300000.0; 33110500000.0; 27113700000.0; 9200000.0; 644300000.0; 1188300000.0; 28302000000.0; 63900000.0; 13460300000.0; -260600000.00000003; ; 4808500000.0; 33110500000.0
2015-03-31; 1835500000.0; 1580700000.0; ; ; 29376600000.0; 32792800000.000004; 646000000.0; 29200000.0; 2283800000.0; 1324200000.0; 4314500000.0; 37107300000.0; 30714700000.0; 9700000.0; 621500000.0; 1214500000.0; 31929200000.0; 63900000.0; 13348300000.0; -137000000.0; ; 5178100000.0; 37107300000.0
2014-12-31; 1952700000.0; 1595600000.0; ; ; 35567700000.0; 39116000000.0; 650300000.0; 46300000.0; 2332700000.0; 1325800000.0; 4387100000.0; 43503100000.0; 36770200000.0; 10300000.0; 629600000.0; 1240700000.0; 38010900000.0; 63900000.0; 13090200000.0; -114700000.0; ; 5492200000.0; 43503100000.0
2014-09-30; 4437300000.0; 1390300000.0; ; ; 19965800000.0; 25793400000.0; 650700000.0; 46600000.0; 2358000000.0; 1326700000.0; 4414700000.0; 30208100000.0; 23159300000.0; 10900000.0; 616700000.0; 1221500000.0; 24380800000.0; 63900000.0; 12990000000.0; -74100000.0; ; 5827300000.0; 30208100000.0
2014-06-30; 3616200000.0; 1498800000.0; ; ; 19947800000.0; 27493000000.0; 667100000.0; 54100000.0; 2374500000.0; 1315700000.0; 4566800000.0; 32059800000.0; 24167600000.0; 11500000.0; 619400000.0; 1222000000.0; 25389600000.0; 63900000.0; 13632900000.0; 178200000.0; ; 6670200000.0; 32059800000.0
2014-03-31; 1693900000.0; 1835200000.0; ; ; 27003500000.0; 30532600000.0; 767500000.0; 54300000.0; 3738200000.0; 1355000000.0; 6063900000.0; 36596500000.0; 28578200000.0; 12100000.0; 627600000.0; 1402200000.0; 29980400000.0; 63900000.0; 13575100000.0; 41000000.0; ; 6616100000.0; 36596500000.0
2013-12-31; 1289600000.0; 1730400000.0; ; ; 29281100000.0; 32301100000.0; 739300000.0; 59900000.0; 3753100000.0; 1320900000.0; 6020700000.0; 38321800000.0; 30645000000.0; 12600000.0; 623600000.0; 1418300000.0; 32063300000.0; 63900000.0; 13285000000.0; 10700000.0; ; 6258500000.0; 38321800000.0
