Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 4789700000.0; 18452000000.0; ; ; 1502700000.0; 24744400000.0; 569600000.0; ; 12227300000.0; 949100000.0; 15246000000.0; 39990400000.0; 23504700000.0; 5561500000.0; 1686200000.0; 7623899000.0; 31128600000.0; 210300000.0; 3388700000.0; -1057300000.0; ; 8861800000.0; 39990400000.0
2022-03-31; 4638700000.0; 21608100000.0; ; ; 1272500000.0; 27519300000.0; 505100000.0; ; 12605300000.0; 980200000.0; 15642200000.0; 43161500000.0; 26144800000.0; 5760900000.0; 1814900000.0; 7973600000.0; 34118400000.0; 210100000.0; 3213000000.0; -665700000.0; ; 9043100000.0; 43161500000.0
2021-12-31; 4466300000.0; 11753100000.0; ; ; 1451000000.0; 17670400000.0; 500800000.0; ; 12620200000.0; 966500000.0; 15674600000.0; 33345000000.0; 16735000000.0; 5810200000.0; 1871700000.0; 8049900000.0; 24784900000.0; 208500000.0; 2882300000.0; -726100000.0; ; 8560100000.0; 33345000000.0
2021-09-30; 6012300000.0; 7756500000.0; ; ; 1369500000.0; 15138300000.0; 454500000.0; ; 8966500000.0; 854800000.0; 11777500000.0; 26915800000.0; 11659800000.0; 5072400000.0; 1371000000.0; 6785900000.0; 18445700000.0; 207300000.0; 2873800000.0; -623200000.0; ; 8470100000.0; 26915800000.0
2021-06-30; 6375000000.0; 8394799999.999999; ; ; 1169500000.0; 15939300000.0; 454900000.0; ; 9077600000.0; 860800000.0; 11877900000.0; 27817200000.0; 12021300000.0; 5712200000.0; 1365100000.0; 7441900000.0; 19463200000.0; 206800000.0; 2749100000.0; -530500000.0; ; 8354000000.0; 27817200000.0
2021-03-31; 3360900000.0; 8309299999.999999; ; ; 997300000.0; 12667500000.0; 449200000.0; ; 8989700000.0; 850000000.0; 11747000000.0; 24414500000.0; 11516000000.0; 4366300000.0; 1373600000.0; 6119000000.0; 17635000000.0; 195900000.0; 2658900000.0; -527799999.99999994; ; 6779500000.0; 24414500000.0
2020-12-31; 3574300000.0; 6436000000.0; ; ; 1113900000.0; 11124200000.0; 450700000.0; ; 8526900000.0; 769900000.0; 11207200000.0; 22331400000.0; 10135000000.0; 4266000000.0; 1311100000.0; 5963700000.0; 16098700000.0; 193700000.0; 2371700000.0; -643600000.0; ; 6232700000.0; 22331400000.0
2020-09-30; 3474800000.0; 6702500000.0; ; ; 1023000000.0; 11200300000.0; 458700000.0; ; 8027200000.0; 732500000.0; 10614600000.0; 21814900000.0; 10117200000.0; 4265700000.0; 1255700000.0; 5879500000.0; 15996700000.0; 192300000.0; 2317300000.0; -870400000.0; ; 5818200000.0; 21814900000.0
2020-06-30; 3002700000.0; 6873500000.0; ; ; 884200000.0; 10760400000.0; 461400000.0; ; 7982400000.0; 727700000.0; 10545800000.0; 21306200000.0; 9864000000.0; 4315400000.0; 1218100000.0; 5907700000.0; 15771700000.0; 191500000.0; 2228300000.0; -982200000.0; ; 5534500000.0; 21306200000.0
2020-03-31; 2633200000.0; 7094300000.0; ; ; 799700000.0; 10527200000.0; 454300000.0; ; 7802000000.0; 674400000.0; 10309300000.0; 20836500000.0; 9837800000.0; 4315100000.0; 1225900000.0; 5928600000.0; 15766400000.0; 189600000.0; 2161400000.0; -1231100000.0; ; 5070100000.0; 20836500000.0
2019-12-31; 2623900000.0; 5419200000.0; ; ; 1074400000.0; 9117500000.0; 467400000.0; ; 7937200000.0; 773600000.0; 10517300000.0; 19634800000.0; 8921000000.0; 3816100000.0; 1271600000.0; 5498300000.0; 14419300000.0; 188100000.0; 1901300000.0; -759600000.0; ; 5215500000.0; 19634800000.0
2019-09-30; 2607300000.0; 5684700000.0; ; ; 1036599999.9999999; 9328600000.0; 458800000.0; ; 7388300000.0; 660800000.0; 9845199000.0; 19173800000.0; 8910900000.0; 3815800000.0; 1127100000.0; 5350900000.0; 14261800000.0; 186500000.0; 1884200000.0; -925100000.0; ; 4912000000.0; 19173800000.0
2019-06-30; 2546600000.0; 6007600000.0; ; ; 993200000.0; 9547400000.0; 458000000.0; ; 7250700000.0; 670100000.0; 9652899000.0; 19200300000.0; 8932500000.0; 3815600000.0; 1101700000.0; 5320000000.0; 14252500000.0; 186100000.0; 1839300000.0; -802500000.0; ; 4947800000.0; 19200300000.0
2019-03-31; 2540800000.0; 6253200000.0; ; ; 875500000.0; 9669500000.0; 450200000.0; ; 6642300000.0; 630700000.0; 8961900000.0; 18631400000.0; 8637900000.0; 3690300000.0; 937100000.0; 5035300000.0; 13673200000.0; 185300000.0; 1810200000.0; -721500000.0; ; 4958200000.0; 18631400000.0
2018-12-31; 2236800000.0; 4857500000.0; ; ; 1024400000.0000001; 8118700000.0; 436900000.0; ; 6398600000.0; 573600000.0; 8215299999.999999; 16334000000.0; 7693600000.0; 3091400000.0; 900900000.0; 4070700000.0; 11764300000.0; 184000000.0; 1558600000.0; -785600000.0; ; 4569700000.0; 16334000000.0
2018-09-30; 2260500000.0; 4872000000.0; ; ; 951500000.0; 8084000000.0; 429300000.0; ; 6273400000.0; 584600000.0; 8030700000.0; 16114700000.0; 7422600000.0; 3141200000.0; 862100000.0; 4079400000.0; 11502000000.0; 183700000.0; 1517600000.0; -673400000.0; ; 4612700000.0; 16114700000.0
2018-06-30; 2344700000.0; 5142200000.0; ; ; 878100000.0; 8365000000.0; 427600000.0; ; 6134900000.0; 586700000.0; 7865500000.0; 16230500000.0; 7568600000.0; 3141000000.0; 931200000.0; 4148800000.0; 11717400000.0; 182600000.0; 1466000000.0; -651400000.0; ; 4513100000.0; 16230500000.0
2018-03-31; 2108699999.9999998; 5675400000.0; ; ; 749200000.0; 8533299999.999999; 424200000.0; ; 5875900000.0; 585700000.0; 7594200000.0; 16127500000.0; 7742400000.0; 2792100000.0; 933700000.0; 3800600000.0; 11543000000.0; 182100000.0; 1426700000.0; -499500000.0; ; 4584500000.0; 16127500000.0
2017-12-31; 2305000000.0; 4082800000.0; ; ; 881600000.0; 7269400000.0; 412200000.0; ; 5809400000.0; 567100000.0; 7640300000.0; 14909700000.0; 6730200000.0; 2691900000.0; 1112600000.0; 3879800000.0; 10610000000.0; 181000000.0; 1221800000.0; -555400000.0; ; 4299700000.0; 14909700000.0
2017-09-30; 2180500000.0; 2227300000.0; ; ; 679600000.0; 5087400000.0; 413400000.0; ; 5831600000.0; 559600000.0; 7723000000.0; 12810400000.0; 4705200000.0; 2741700000.0; 1191300000.0; 3933000000.0; 8638200000.0; 180800000.0; 1062099999.9999999; -498900000.0; ; 4172200000.0; 12810400000.0
2017-06-30; 2068900000.0; 2374200000.0; ; ; 664100000.0; 5107200000.0; 387600000.0; ; 5651600000.0; 561300000.0; 7462400000.0; 12569600000.0; 4858000000.0; 2644800000.0; 1156800000.0; 3801600000.0; 8659600000.0; 180200000.0; 1002900000.0; -661900000.0; ; 3910000000.0; 12569600000.0
2017-03-31; 1822000000.0; 2066800000.0000002; ; ; 594400000.0; 4483200000.0; 375500000.0; ; 5579000000.0; 536200000.00000006; 7297400000.0; 11780600000.0; 4784700000.0; 2144699999.9999998; 1123900000.0; 3268600000.0; 8053300000.0; 179500000.0; 901800000.0; -699100000.0; ; 3727300000.0; 11780600000.0
