Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 3425000000.0; 401000000.0; 93000000.0; 313000000.0; ; 4232000000.0; 6471000000.0; ; 2041000000.0; 387000000.0; 8899000000.0; 14800000000.0; 4902000000.0; 1961000000.0; 353000000.0; 6099000000.0; 11001000000.0; 1000000.0; 4238000000.0; -308000000.0; ; 3799000000.0; 14800000000.0
2022-03-31; 2890000000.0; 658000000.0; 78000000.0; 348000000.0; ; 3974000000.0; 6242000000.0; ; 2042000000.0; 411000000.0; 8695000000.0; 14210000000.0; 4570000000.0; 2078000000.0; 363000000.0; 6003000000.0; 10573000000.0; 1000000.0; 4099000000.0; -292000000.0; ; 3637000000.0; 14210000000.0
2021-12-31; 3116000000.0; 546000000.0; 62000000.0; 196000000.0; ; 3920000000.0; 6138000000.0; ; 2044000000.0; 396000000.0; 8578000000.0; 13951000000.0; 3991000000.0; 2173000000.0; 378000000.0; 6159000000.0; 10150000000.0; 1000000.0; 4242000000.0; -262000000.0; ; 3801000000.0; 13951000000.0
2021-09-30; 3195000000.0; 536000000.0; 62000000.0; 208000000.0; ; 4001000000.0; 6120000000.0; ; 2045000000.0; 346000000.0; 8511000000.0; 13882000000.0; 4024000000.0; 2225000000.0; 391000000.0; 6327000000.0; 10351000000.0; 1000000.0; 4224000000.0; -482000000.0; ; 3531000000.0; 13882000000.0
2021-06-30; 3951000000.0; 567000000.0; 52000000.0; 201000000.0; ; 4771000000.0; 6128000000.0; ; 2046000000.0; 336000000.0; 8510000000.0; 14656000000.0; 4846000000.0; 2319000000.0; 422000000.0; 6486000000.0; 11332000000.0; 1000000.0; 4030000000.0; -487000000.0; ; 3324000000.0; 14656000000.0
2021-03-31; 3549000000.0; 517000000.0; 57000000.0; 161000000.0; ; 4284000000.0; 6144000000.0; ; 2048000000.0; 363000000.0; 8555000000.0; 14262000000.0; 4762000000.0; 2325000000.0; 482000000.0; 6625000000.0; 11387000000.0; 1000000.0; 3633000000.0; -494000000.0; ; 2875000000.0; 14262000000.0
2020-12-31; 3346000000.0; 480000000.0; 57000000.0; 123000000.0; ; 4006000000.0; 6211000000.0; ; 2429000000.0; ; 8640000000.0; 14046000000.0; 4293000000.0; 2357000000.0; 524000000.0; 6765000000.0; 11058000000.0; 1000000.0; 3764000000.0; -494000000.0; ; 2988000000.0; 14046000000.0
2020-09-30; 3759000000.0; 321000000.0; 57000000.0; 328000000.0; ; 4465000000.0; 6381000000.0; ; 2050000000.0; 337000000.0; 8768000000.0; 14749000000.0; 4207000000.0; 2672000000.0; 476000000.0; 7088000000.0; 11295000000.0; 1000000.0; 4211000000.0; -450000000.0; ; 3454000000.0; 14749000000.0
2020-06-30; 2803000000.0; 280000000.0; 56000000.0; 105000000.0; ; 3244000000.0; 6795000000.0; ; 2052000000.0; 339000000.0; 9186000000.0; 13998000000.0; 4120000000.0; 1549000000.0; 373000000.0; 6017000000.0; 10137000000.0; 1000000.0; 4642000000.0; -458000000.0; ; 3861000000.0; 13998000000.0
2020-03-31; 2125000000.0; 279000000.0; 68000000.0; 100000000.0; ; 2572000000.0; 6854000000.0; ; 2053000000.0; 300000000.0; 9207000000.0; 13363000000.0; 3730000000.0; 1203000000.0; 253000000.0; 5618000000.0; 9348000000.0; 1000000.0; 4856000000.0; -482000000.0; ; 4015000000.0; 13363000000.0
2019-12-31; 1521000000.0; 323000000.0; 72000000.0; 121000000.0; ; 2037000000.0; 6902000000.0; ; 2065000000.0; 278000000.0; 9245000000.0; 12993000000.0; 3201000000.0; 1264000000.0; 232000000.0; 5461000000.0; 8662000000.0; 1000000.0; 5133000000.0; -465000000.0; ; 4331000000.0; 12993000000.0
2019-09-30; 1619000000.0; 377000000.0; 63000000.0; 143000000.0; ; 2202000000.0; 6834000000.0; ; 2066000000.0; 234000000.0; 9134000000.0; 12983000000.0; 3346000000.0; 1444000000.0; 213000000.0; 5385000000.0; 8731000000.0; 1000000.0; 4996000000.0; -421000000.0; ; 4252000000.0; 12983000000.0
2019-06-30; 1627000000.0; 389000000.0; 55000000.0; 147000000.0; ; 2218000000.0; 6744000000.0; ; 2068000000.0; 225000000.0; 9037000000.0; 12951000000.0; 3534000000.0; 1538000000.0; 197000000.0; 5444000000.0; 8978000000.0; 1000000.0; 4717000000.0; -422000000.0; ; 3973000000.0; 12951000000.0
2019-03-31; 1436000000.0; 358000000.0; 58000000.0; 149000000.0; ; 2001000000.0; 6629000000.0; ; 2070000000.0; 225000000.0; 8924000000.0; 12640000000.0; 3386000000.0; 1664000000.0; 210000000.0; 5508000000.0; 8894000000.0; 1000000.0; 4498000000.0; -433000000.0; ; 3746000000.0; 12640000000.0
2018-12-31; 1236000000.0; 366000000.0; 60000000.0; 125000000.0; ; 1787000000.0; 6781000000.0; ; 2070000000.0; 274000000.0; 9125000000.0; 10912000000.0; 2942000000.0; 1617000000.0; 418000000.0; 4219000000.0; 7161000000.0; 1000000.0; 4534000000.0; -448000000.0; ; 3751000000.0; 10912000000.0
2018-09-30; 1397000000.0; 422000000.0; 57000000.0; 180000000.0; ; 2056000000.0; 6495000000.0; ; 2071000000.0; 271000000.0; 8837000000.0; 10893000000.0; 2888000000.0; 1684000000.0; 428000000.0; 4214000000.0; 7102000000.0; 1000000.0; 4550000000.0; -428000000.0; ; 3791000000.0; 10893000000.0
2018-06-30; 1568000000.0; 411000000.0; 57000000.0; 180000000.0; ; 2216000000.0; 6493000000.0; ; 2073000000.0; 273000000.0; 8839000000.0; 11055000000.0; 3036000000.0; 1998000000.0; 417000000.0; 4426000000.0; 7462000000.0; 1000000.0; 4373000000.0; -435000000.0; ; 3593000000.0; 11055000000.0
2018-03-31; 1528000000.0; 350000000.0; 62000000.0; 174000000.0; ; 2114000000.0; 6403000000.0; ; 2075000000.0; 256000000.0; 8734000000.0; 10848000000.0; 2992000000.0; 2062000000.0; 423000000.0; 4417000000.0; 7409000000.0; 1000000.0; 4219000000.0; -440000000.0; ; 3439000000.0; 10848000000.0
2017-12-31; 1621000000.0; 341000000.0; 57000000.0; 133000000.0; ; 2152000000.0; 6284000000.0; ; 2076000000.0; 234000000.0; 8594000000.0; 10746000000.0; 2686000000.0; 2262000000.0; 425000000.0; 4600000000.0; 7286000000.0; 1000000.0; 4193000000.0; -380000000.0; ; 3460000000.0; 10746000000.0
2017-09-30; 1740000000.0; 301000000.0; 57000000.0; 116000000.0; ; 2214000000.0; 6230000000.0; ; 2069000000.0; 226000000.0; 8525000000.0; 10739000000.0; 2765000000.0; 2367000000.0; 429000000.0; 4483000000.0; 7248000000.0; 1000000.0; 4117000000.0; -289000000.0; ; 3491000000.0; 10739000000.0
