Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 919600000.0; 333300000.0; 428400000.0; ; 71700000.0; 1753000000.0; 278000000.0; ; 1193100000.0; 429600000.0; 1900700000.0; 3653700000.0; 610400000.0; 2018100000.0; 245500000.0; 2263600000.0; 2874000000.0; 900000.0; 1035200000.0; -264600000.00000003; ; 779700000.0; 3653700000.0
2022-03-31; 305100000.0; 324300000.0; 402900000.0; ; 45000000.0; 1077300000.0; 280800000.0; ; 1230400000.0; 419100000.0; 1930300000.0; 3007600000.0; 581500000.0; 1426800000.0; 254300000.0; 1681100000.0; 2262600000.0; 900000.0; 956100000.0; -215400000.0; ; 745000000.0; 3007600000.0
2021-12-31; 397900000.0; 283300000.0; 380400000.0; ; 56000000.0; 1117600000.0; 283700000.0; ; 1251300000.0; 398400000.0; 1933400000.0; 3051000000.0; 601200000.0; 1429500000.0; 257899999.99999997; 1687400000.0; 2288600000.0; 900000.0; 952600000.0; -194400000.0; ; 762400000.0; 3051000000.0
2021-09-30; 503900000.0; 307400000.0; 345700000.0; ; 45400000.0; 1202400000.0; 278600000.0; ; 1268500000.0; 367200000.0; 1914300000.0; 3116700000.0; 793900000.0; 1192500000.0; 262700000.0; 1455200000.0; 2249100000.0; 900000.0; 1061500000.0; -201000000.0; ; 867600000.0; 3116700000.0
2021-06-30; 460200000.0; 316900000.0; 310000000.0; ; 57100000.0; 1144200000.0; 286800000.0; ; 1275000000.0; 354100000.0; 1915900000.0; 3060100000.0; 564100000.0; 1430300000.0; 278300000.0; 1708600000.0; 2272700000.0; 900000.0; 961800000.0; -178700000.0; ; 787400000.0; 3060100000.0
2021-03-31; 394300000.0; 312600000.0; 289900000.0; ; 51200000.0; 1048000000.0; 285700000.0; ; 1275200000.0; 339000000.0; 1899900000.0; 2947900000.0; 505600000.0; 1429800000.0; 281500000.0; 1711300000.0; 2216900000.0; 900000.0; 915900000.0; -189100000.0; ; 731000000.0; 2947900000.0
2020-12-31; 480400000.0; 321800000.0; 283100000.0; ; 28100000.0; 1145000000.0; 294900000.0; ; 1306100000.0; 196700000.0; 1924400000.0; 3069400000.0; 521500000.0; 1429400000.0; 100800000.0; 1715300000.0; 2236800000.0; 900000.0; 985600000.0; -157100000.0; ; 832600000.0; 3069400000.0
2020-09-30; 430800000.0; 350900000.0; 289600000.0; ; 49700000.0; 1121000000.0; 293700000.0; ; 1284400000.0; 328600000.0; 1906700000.0; 3027700000.0; 489100000.0; 1428900000.0; 282600000.0; 1711500000.0; 2200600000.0; 900000.0; 1023400000.0; -206800000.0; ; 827100000.0; 3027700000.0
2020-06-30; 304300000.0; 329200000.0; 293600000.0; ; 50000000.0; 977100000.0; 292500000.0; ; 1266600000.0; 297700000.0; 1856800000.0; 2833900000.0; 463700000.0; 1428500000.0; 261700000.0; 1690200000.0; 2153900000.0; 900000.0; 906000000.0; -231000000.0; ; 680000000.0; 2833900000.0
2020-03-31; 248700000.0; 343100000.0; 275500000.0; ; 54700000.0; 922000000.0; 289200000.0; ; 1258300000.0; 288200000.0; 1835700000.0; 2757700000.0; 456700000.0; 1428000000.0; 259200000.0; 1687200000.0; 2143900000.0; 900000.0; 861800000.0; -251400000.0; ; 613800000.0; 2757700000.0
2019-12-31; 358700000.0; 329800000.0; 269900000.0; ; 29200000.0; 1001800000.0; 291400000.0; ; 1384200000.0; 177300000.0; 1965400000.0; 2967200000.0; 507000000.0; 1427600000.0; 76700000.0; 1699800000.0; 2206800000.0; 900000.0; 975100000.0; -218600000.0; ; 760400000.0; 2967200000.0
2019-09-30; 236300000.0; 367500000.0; 293900000.0; ; 32500000.0; 933100000.0; 281900000.0; ; 1372100000.0; 278300000.0; 1932300000.0; 2865400000.0; 491200000.0; 1427000000.0; 260000000.0; 1687000000.0; 2178200000.0; 900000.0; 957100000.0; -273000000.0; ; 687200000.0; 2865400000.0
2019-06-30; 161200000.0; 380000000.0; 304700000.0; ; 37300000.0; 883200000.0; 281700000.0; ; 1411700000.0; 272700000.0; 1966100000.0; 2849300000.0; 517100000.0; 1393100000.0; 275500000.0; 1668600000.0; 2185700000.0; 900000.0; 892700000.0; -233100000.0; ; 663600000.0; 2849300000.0
2019-03-31; 160600000.0; 359600000.0; 296800000.0; ; 33200000.000000004; 850200000.0; 275100000.0; ; 1415000000.0; 260500000.0; 1950600000.0; 2800800000.0; 485400000.0; 1401300000.0; 276700000.0; 1678000000.0; 2163400000.0; 900000.0; 871600000.0; -238800000.0; ; 637400000.0; 2800800000.0
2018-12-31; 290600000.0; 324900000.0; 280300000.0; ; 19600000.0; 931600000.0; 276700000.0; ; 1430100000.0; 87200000.0; 1878600000.0; 2810200000.0; 520799999.99999994; 1409500000.0; 28800000.0; 1635400000.0; 2156200000.0; 900000.0; 873600000.0; -223500000.0; ; 654000000.0; 2810200000.0
2018-09-30; 196500000.0; 361400000.0; 278300000.0; ; 37100000.0; 873300000.0; 273300000.0; ; 1436400000.0; 147100000.0; 1856800000.0; 2730100000.0; 486900000.0; 1417700000.0; 226500000.0; 1644200000.0; 2131100000.0; 1000000.0; 771900000.0; -188200000.0; ; 599000000.0; 2730100000.0
2018-06-30; 189600000.0; 366000000.0; 265399999.99999997; ; 31500000.0; 852500000.0; 272500000.0; ; 1373400000.0; 133300000.00000001; 1779200000.0; 2631700000.0; 473100000.0; 1425900000.0; 224000000.0; 1649900000.0; 2123000000.0; 900000.0; 675800000.0; -175900000.0; ; 508700000.0; 2631700000.0
2018-03-31; 151800000.0; 336400000.0; 271500000.0; ; 42900000.0; 802600000.0; 277400000.0; ; 1423800000.0; 124300000.0; 1825500000.0; 2628100000.0; 452100000.0; 1474100000.0; 240800000.0; 1714900000.0; 2167000000.0; 900000.0; 581900000.0; -126800000.0; ; 461100000.0; 2628100000.0
2017-12-31; 466200000.0; 296600000.0; 239800000.0; ; 17000000.0; 1032700000.0; 252200000.0; ; 1155500000.0; 66200000.0; 1509300000.0; 2542000000.0; 460800000.0; 1442300000.0; 23900000.0; 1675700000.0; 2136500000.0; 1000000.0; 544400000.0; -152900000.0; ; 405500000.0; 2542000000.0
2017-09-30; 334900000.0; 302800000.0; 257100000.00000003; ; 29800000.0; 924600000.0; 246100000.0; ; 1149100000.0; 127500000.0; 1522700000.0; 2447300000.0; 432200000.0; 1412000000.0; 231000000.0; 1643000000.0; 2075199999.9999998; 1000000.0; 543500000.0; -182500000.0; ; 372100000.0; 2447300000.0
2017-06-30; 245500000.0; 310900000.0; 247800000.0; ; 35000000.0; 839200000.0; 241300000.0; ; 1132500000.0; 121600000.0; 1495400000.0; 2334600000.0; 436800000.0; 1394100000.0; 234300000.0; 1628400000.0; 2065199999.9999998; 900000.0; 468900000.0; -204500000.0; ; 269400000.0; 2334600000.0
2017-03-31; 189600000.0; 268900000.0; 238000000.0; ; 45700000.0; 742200000.0; 232100000.0; ; 1092800000.0; 118300000.0; 1443200000.0; 2185400000.0; 398500000.0; 1404800000.0; 227100000.0; 1631900000.0; 2030400000.0; 1000000.0; 401800000.0; -251400000.0; ; 155000000.0; 2185400000.0
2016-12-31; 312400000.0; 260000000.0; 220600000.0; ; 22200000.0; 829300000.0; 226600000.0; ; 1074200000.0; 45000000.0; 1418100000.0; 2247400000.0; 429600000.0; 1415600000.0; 32600000.0; 1701400000.0; 2131000000.0; 1000000.0; 376600000.0; -264300000.0; ; 116400000.0; 2247400000.0
2016-09-30; 214500000.0; 277100000.0; 228300000.0; ; 82400000.0; 802300000.0; 226400000.0; ; 1126100000.0; 151800000.0; 1504300000.0; 2306600000.0; 432300000.0; 1426400000.0; 292400000.0; 1718800000.0; 2151100000.0; 1000000.0; 350700000.0; -216800000.0; ; 155500000.0; 2306600000.0
2016-06-30; 169100000.0; 348300000.0; 225300000.0; ; 85200000.0; 827900000.0; 227100000.0; ; 1118700000.0; 171800000.0; 1517600000.0; 2345500000.0; 469700000.0; 1437100000.0; 295900000.0; 1733000000.0; 2202700000.0; 1000000.0; 360600000.0; -231200000.0; ; 142800000.0; 2345500000.0
2016-03-31; 125500000.0; 325800000.0; 216500000.0; ; 42600000.0; 710400000.0; 226100000.0; ; 1111700000.0; 221800000.0; 1559600000.0; 2270000000.0; 406100000.0; 1446900000.0; 339300000.0; 1786200000.0; 2192300000.0; 1000000.0; 277300000.0; -205700000.0; ; 77700000.0; 2270000000.0
2015-12-31; 199700000.0; 303400000.0; 204100000.0; ; 17400000.0; 735100000.0; 224800000.0; ; 1086500000.0; 124700000.0; 1527900000.0; 2263000000.0; 447100000.0; 1457500000.0; 63300000.0; 1786200000.0; 2233300000.0; 1000000.0; 232400000.0; -232200000.0; ; 29700000.0; 2263000000.0
2015-09-30; 175200000.0; 273100000.0; 216300000.0; ; 56800000.0; 875700000.0; 227900000.0; ; 1083700000.0; 221700000.0; 1533300000.0; 2409000000.0; 517200000.00000006; 1575900000.0; 287900000.0; 1863800000.0; 2381000000.0; 1000000.0; 170200000.0; -174600000.0; ; 28000000.0; 2409000000.0
2015-06-30; 201000000.0; 274700000.0; 205900000.0; ; 241600000.0; 923200000.0; 207800000.0; ; 650000000.0; 208600000.0; 1066400000.0000001; 1989600000.0; 479000000.0; 1190500000.0; 247400000.0; 1437900000.0; 1916900000.0; 1000000.0; 207100000.0; -173100000.0; ; 72700000.0; 1989600000.0
2015-03-31; 229600000.0; 255800000.0; 184900000.0; ; 233400000.0; 903700000.0; 206300000.0; ; 610300000.0; 207100000.0; 1023700000.0; 1927400000.0; 482100000.0; 1202700000.0; 241100000.0; 1443800000.0; 1925900000.0; 1000000.0; 152800000.0; -178700000.0; ; 1500000.0; 1927400000.0
2014-12-31; 290500000.0; 230400000.0; 169300000.0; ; 55600000.0; 1001700000.0; 207200000.0; ; 609800000.0; 125000000.0; 1014200000.0; 2015900000.0; 532500000.0; 1215000000.0; 70900000.0; 1464900000.0; 1997400000.0; 1000000.0; 142400000.0; -148200000.0; ; 18500000.0; 2015900000.0
2014-09-30; 251400000.0; 287300000.0; 180700000.0; ; 214600000.0; 934000000.0; 212500000.0; ; 643000000.0; 202700000.0; 1058200000.0; 1992200000.0; 464200000.0; 1249200000.0; 272800000.0; 1522000000.0; 1986200000.0; 1000000.0; 95400000.0; -129699999.99999999; ; 6000000.0; 1992200000.0
2014-06-30; 193200000.0; 295600000.0; 174100000.0; ; 220800000.0; 887600000.0; 210300000.0; ; 662700000.0; 207500000.0; 1080500000.0; 1968100000.0; 437400000.0; 1256900000.0; 285000000.0; 1541900000.0; 1979300000.0; 1000000.0; 55500000.0; -104300000.0; ; -11200000.0; 1968100000.0
2014-03-31; 245500000.0; 284100000.0; 167200000.0; ; 217100000.0; 913900000.0; 208900000.0; ; 650600000.0; 204500000.0; 1064000000.0; 1977900000.0; 461500000.0; 1264400000.0; 280300000.0; 1544700000.0; 2006200000.0; 1000000.0; 28000000.0; -109800000.0; ; -28300000.0; 1977900000.0
2013-12-31; 267600000.00000003; 260000000.0; 187500000.0; ; 193600000.0; 946800000.0; 200200000.0; ; 651000000.0; 124100000.0; 1053800000.0; 2000600000.0; 490500000.0; 1272000000.0; 75800000.0; 1545100000.0; 2035600000.0; 1000000.0; 1100000.0; -96700000.0; ; -35000000.0; 2000600000.0
2013-09-30; 368500000.0; 306400000.0; 163200000.0; ; 165000000.0; 1003100000.0; ; ; 650800000.0; 64599999.99999999; 715400000.0; 1925100000.0; 371600000.0; 2700000.0; 154800000.0; 252500000.0; 624100000.0; 0.0; ; ; 1301000000.0; 1301000000.0; 1925100000.0
2013-06-30; ; ; ; ; ; ; ; ; 0.0; ; ; 0.0; ; ; ; ; 0.0; 0.0; ; ; 0.0; 0.0; 0.0
