Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 2203100000.0; 792700000.0; ; ; ; 3423200000.0; 19716000000.0; ; 32195100000.0; 3490700000.0; 55534400000.0; 68116800000.0; 5297200000.0; 37240100000.0; 4623800000.0; 43468800000.0; 57390600000.0; 4800000.0; -842300000.0; -5528200000.0; ; 10726200000.0; 68116800000.0
2022-03-31; 2271400000.0; 820400000.0; ; ; ; 3515600000.0; 19916400000.0; ; 33531400000.0; 3353800000.0; 56980800000.0; 69763500000.0; 6908400000.0; 38154500000.0; 4906000000.0; 44845900000.0; 60512800000.0; 4700000.0; -1072400000.0000001; -4553000000.0; ; 9250700000.0; 69763500000.0
2021-12-31; 2343300000.0; 728900000.0; ; ; ; 3473100000.0; 19784000000.0; ; 34077300000.000004; 3196800000.0; 57189700000.0; 69887900000.0; 6508600000.0; 38685500000.0; 5038900000.0; 45555300000.0; 60818300000.0; 4700000.0; -1142400000.0; -4738900000.0; ; 9069600000.0; 69887900000.0
2021-09-30; 3699300000.0; 750600000.0; ; ; ; 4845300000.0; 14268100000.0; ; 29249200000.0; 2995300000.0; 46662800000.0; 60530000000.0; 3739400000.0; 31439000000.0; 5349600000.0; 38716100000.0; 51053000000.0; 4700000.0; -960400000.0; -4432000000.0; ; 9477000000.0; 60530000000.0
2021-06-30; 2000800000.0; 739600000.0; ; ; ; 3142200000.0; 14216500000.0; ; 29360400000.0; 2925200000.0; 46647500000.0; 58982900000.0; 4096200000.0; 32947600000.0; 4362300000.0; 39303800000.0; 52159500000.0; 4700000.0; -1085000000.0; -3902900000.0; ; 6823400000.0; 58982900000.0
2021-03-31; 1993300000.0; 537700000.0; ; ; ; 2925100000.0; 12712500000.0; ; 20769700000.0; 2688000000.0; 36297500000.0; 46942500000.0; 2578500000.0; 27990300000.0; 3811400000.0; 32656400000.0; 42603600000.0; 4600000.0; -1251800000.0; -4061600000.0; ; 4338900000.0; 46942500000.0
2020-12-31; 1861400000.0; 511600000.0; ; ; ; 2773100000.0; 12808700000.0; ; 21122500000.0; 2616900000.0; 36671200000.0; 47233500000.0; 2180400000.0; 28497700000.0; 3703200000.0; 33060400000.0; 42665100000.0; 4600000.0; -1343000000.0; -3759400000.0; ; 4568400000.0; 47233500000.0
2020-09-30; 1730200000.0; 573600000.0; ; ; ; 2619000000.0; 11643600000.0; ; 17365900000.0; 2466700000.0; 31591200000.0; 41462200000.0; 1941800000.0; 24011000000.0; 3638200000.0; 28419600000.0; 37273100000.0; 4500000.0; -1168800000.0; -4191200000.0; ; 4189100000.0000005; 41462200000.0
2020-06-30; 2106100000.0; 585200000.0; ; ; ; 3084700000.0; 11545700000.0; ; 17436200000.0; 2376600000.0; 31497100000.0; 41515900000.0; 4557000000.0; 21849200000.0; 3664100000.0; 26317500000.0; 37455600000.0; 4500000.0; -1125100000.0; -4274500000.0; ; 4060300000.0; 41515900000.0
2020-03-31; 1400300000.0; 623900000.0; ; ; ; 2431200000.0; 11451300000.0; ; 17549400000.0; 2262500000.0; 31389600000.0; 40789100000.0; 3785200000.0; 21937400000.0; 3656300000.0; 26324700000.0; 36724500000.0; 4500000.0; -1082500000.0; -4271700000.0; ; 4064600000.0; 40789100000.0
2019-12-31; 1578000000.0; 462200000.0; ; ; ; 2446600000.0; 12084400000.0; ; 18496700000.0; 2284700000.0; 32997600000.0; 42801600000.0; 4243899999.9999995; 21127200000.0; 4166899999.9999995; 26062400000.0; 37311200000.0; 4500000.0; -1016800000.0; -2823600000.0; ; 5490400000.0; 42801600000.0
