Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 517634900.0; 809590000.0; ; ; ; 1327225000.0; 81154000.0; ; 4338225000.0; 226341000.0; 4791355000.0; 6118580000.0; 624699000.0; 753402000.0; 103280000.0; 1041126000.0; 1665825000.0; 953000.0; 4429008000.0; -126847000.0; ; 4452755000.0; 6118580000.0
2022-03-31; 657765000.0; 792113000.0; ; ; ; 1449878000.0; 84678000.0; ; 4138956000.0; 227383000.0; 4603305000.0; 6053183000.0; 634620000.0; 744575000.0; 96360000.0; 1054612000.0000001; 1689232000.0; 953000.0; 4330208000.0; -78204000.0; ; 4363951000.0; 6053183000.0
2021-12-31; 668028000.0; 970546000.0; ; ; ; 1638574000.0; 87914000.0; ; 4172390000.0000005; 279676000.0; 4685740000.0; 6324314000.0; 778492000.0; 753576000.0; 98272000.0; 1061773999.9999999; 1840266000.0; 953000.0; 4259220000.0000005; -56112000.0; ; 4484048000.0; 6324314000.0
2021-09-30; 1081365000.0; 675320000.0; ; ; ; 1756685000.0; 90793000.0; ; 3768891000.0; 215259000.0; 4218067000.0; 5974752000.0; 600431000.0; 753451000.0; 94218000.0; 1035077000.0; 1635508000.0; 953000.0; 4056049000.0; -49126000.0; ; 4339244000.0; 5974752000.0
2021-06-30; 958208000.0; 664156000.0; ; ; ; 1622364000.0; 91872000.0; ; 3800134000.0; 228207000.0; 4268408000.0000005; 5890772000.0; 595385000.0; 753327000.0; 79986000.0; 1045169000.0000001; 1640554000.0; 953000.0; 3970707000.0; -32822000.000000004; ; 4250218000.0; 5890772000.0
2021-03-31; 987943000.0; 673009000.0; ; ; ; 1660952000.0; 93207000.0; ; 3714140000.0; 201675000.0; 4157076000.0; 5818028000.0; 624047000.0; 793515000.0; 76822000.0; 1082012000.0; 1706059000.0; 953000.0; 3876991000.0; -37039000.0; ; 4111969000.0; 5818028000.0
2020-12-31; 913151000.0; 806086100.0; ; ; ; 1719237000.0; 96503000.0; ; 3733171000.0; 225119000.0; 4221353000.0; 5940590000.0; 728825000.0; 798118000.0; 84514000.0; 1113893000.0; 1842718000.0; 953000.0; 3804593000.0; -17775000.0; ; 4097872000.0000005; 5940590000.0
2020-09-30; 845209000.0; 613512000.0; ; ; ; 1458721000.0; 90299000.0; ; 2966375000.0; 189227000.0; 3387574000.0; 4846295000.0; 561847000.0; 423759000.0; 105406000.0; 694835000.0; 1256682000.0; 946000.0; 3588961000.0; -51337000.0; ; 3589613000.0; 4846295000.0
2020-06-30; 744979000.0; 549285000.0; ; ; ; 1294264000.0; 88792000.0; ; 2955993000.0; 191326000.0; 3377602000.0; 4671866000.0; 543806000.0; 423683000.0; 96083000.0; 690012000.0; 1233818000.0; 946000.0; 3513334000.0; -79385000.0; ; 3438048000.0; 4671866000.0
2020-03-31; 718030000.0; 572670000.0; ; ; ; 1290700000.0; 82471000.0; ; 2856820000.0; 152521000.0; 3235385000.0; 4526085000.0; 537142000.0; 423607000.0; 96173000.0; 696592900.0; 1233735000.0; 946000.0; 3416770000.0; -89673000.0; ; 3292350000.0; 4526085000.0
