Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 740000000.0; 3648000000.0; ; ; ; 4388000000.0; 505000000.0; 243000000.0; 8786000000.0; 19323000000.0; 29628000000.0; 34720000000.0; 2467000000.0; 9666000000.0; 20744000000.0; 30774000000.0; 33932000000.0; 2000000.0; -1727000000.0; -4260000000.0; ; 788000000.0; 34720000000.0
2022-03-31; 595000000.0; 3625000000.0; ; ; ; 4220000000.0; 515000000.0; 455000000.0; 9026000000.0; 17751000000.0; 28517000000.0; 33491000000.0; 2327000000.0; 9685000000.0; 19053000000.0; 29137000000.0; 32200000000.0; 2000000.0; -1609000000.0; -3843000000.0; ; 1291000000.0; 33491000000.0
2021-12-31; 544000000.0; 3094000000.0; ; ; ; 3638000000.0; 529000000.0; 292000000.0; 8926000000.0; 16980000000.0; 27493000000.0; 31917000000.0; 3356000000.0; 8228000000.0; 18002000000.0; 26631000000.0; 30759000000.0; 2000000.0; -1694000000.0; -3871000000.0; ; 1158000000.0; 31917000000.0
2021-09-30; 609000000.0; 3117000000.0; ; ; ; 3726000000.0; 541000000.0; 310000000.0; 9076000000.0; 16579000000.0; 27267000000.0; 31816000000.0; 2145000000.0; 8250000000.0; 17891000000.0; 26555000000.0; 29517000000.0; 2000000.0; -445000000.0; -3877000000.0; ; 2299000000.0; 31816000000.0
2021-06-30; 1091000000.0; 3545000000.0; ; ; ; 4636000000.0; 585000000.0; 289000000.0; 9223000000.0; 18246000000.0; 29081000000.0; 34580000000.0; 1705000000.0; 7272000000.0; 19778000000.0; 27467000000.0; 30013000000.0; 2000000.0; 1823000000.0; -3744000000.0; ; 4567000000.0; 34580000000.0
2021-03-31; 822000000.0; 3526000000.0; ; ; ; 4348000000.0; 584000000.0; 171000000.0; 9181000000.0; 16303000000.0; 26960000000.0; 32175000000.0; 1628000000.0; 7263000000.0; 17781000000.0; 25337000000.0; 27814000000.0; 2000000.0; 1801000000.0; -3891000000.0; ; 4361000000.0; 32175000000.0
2020-12-31; 884000000.0; 3070000000.0; ; ; ; 3954000000.0; 599000000.0; 308000000.0; 9306000000.0; 16312000000.0; 27249000000.0; 32114000000.0; 2464000000.0; 7281000000.0; 17627000000.0; 25170000000.0; 28531000000.0; 2000000.0; 1042000000.0; -3861000000.0; ; 3583000000.0; 32114000000.0
2020-09-30; 821000000.0; 2906000000.0; ; ; ; 3727000000.0; 609000000.0; 448000000.0; 9127000000.0; 15879000000.0; 26718000000.0; 31359000000.0; 2080000000.0; 7251000000.0; 17275000000.0; 24749000000.0; 27739000000.0; 2000000.0; 1423000000.0; -4099000000.0; ; 3620000000.0; 31359000000.0
2020-06-30; 757000000.0; 3314000000.0; ; ; ; 4071000000.0; 615000000.0; 654000000.0; 9055000000.0; 16005000000.0; 26983000000.0; 31995000000.0; 2270000000.0; 7229000000.0; 17654000000.0; 25083000000.0; 28300000000.0; 2000000.0; 1751000000.0; -4296000000.0; ; 3695000000.0; 31995000000.0
2020-03-31; 690000000.0; 3554000000.0; ; ; ; 4244000000.0; 666000000.0; 170000000.0; 9039000000.0; 14628000000.0; 25141000000.0; 30282000000.0; 3433000000.0; 6227000000.0; 16263000000.0; 22679000000.0; 27022000000.0; 2000000.0; 1455000000.0; -4409000000.0; ; 3260000000.0; 30282000000.0
