Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 1334400000.0; 2571600000.0; 2043700000.0; 361300000.0; ; 6311000000.0; 1155100000.0; ; 7026200000.0; 493800000.0; 8675101000.0; 14986100000.0; 2580700000.0; 4834200000.0; 421200000.0; 5883400000.0; 8464100000.0; 600000.0; 4553800000.0; -475900000.0; ; 6522000000.0; 14986100000.0
2022-03-31; 1299600000.0; 2422100000.0; 1989700000.0; 397300000.0; ; 6108700000.0; 1175000000.0; ; 7087500000.0; 502400000.0; 8764900000.0; 14873600000.0; 2397200000.0; 4908800000.0; 454600000.0; 5992400000.0; 8389600000.0; 600000.0; 4391500000.0; -303500000.0; ; 6484000000.0; 14873600000.0
2021-12-31; 1241400000.0; 2454800000.0; 1894100000.0; 367900000.0; ; 5958200000.0; 1175300000.0; ; 7133700000.0; 411200000.0; 8720200000.0; 14678400000.0; 2447100000.0; 4795900000.0; 438700000.0; 5871200000.0; 8318299999.999999; 600000.0; 4278899999.9999995; -286500000.0; ; 6360100000.0; 14678400000.0
2021-09-30; 1302500000.0; 2204500000.0; 1952500000.0; 392100000.0; 1068200000.0; 6919800000.0; 1175400000.0; ; 6443000000.0; 387900000.0; 8006300000.0; 14926100000.0; 2885000000.0; 4950000000.0; 408600000.0; 6032400000.0; 8917400000.0; 600000.0; 4080600000.0; -335500000.0; ; 6008700000.0; 14926100000.0
2021-06-30; 1242600000.0; 2072800000.0000002; 1771400000.0; 372000000.0; 1032400000.0000001; 6491200000.0; 1169300000.0; ; 6512500000.0; 386100000.0; 8067900000.0; 14559100000.0; 2996500000.0; 4710200000.0; 410200000.0; 5784300000.0; 8780800000.0; 600000.0; 3916400000.0; -300300000.0; ; 5778300000.0; 14559100000.0
2021-03-31; 2361200000.0; 1931800000.0; 1565100000.0; 328600000.0; ; 6186700000.0; 1076200000.0; ; 5503300000.0; 367300000.0; 6946800000.0; 13133500000.0; 2547900000.0; 4110300000.0; 414000000.0; 5063899000.0; 7611800000.0; 600000.0; 3807100000.0; -335000000.0; ; 5521700000.0; 13133500000.0
2020-12-31; 1738100000.0; 1951600000.0; 1462200000.0; 338900000.0; ; 5490800000.0; 1054599999.9999999; ; 5429600000.0; 352300000.0; 6836500000.0; 12327300000.0; 2304300000.0; 3636200000.0; 407200000.0; 4571100000.0; 6875400000.0; 600000.0; 3705400000.0; -278100000.0; ; 5451900000.0; 12327300000.0
2020-09-30; 1456200000.0; 1880300000.0; 1391000000.0; 309500000.0; ; 5037000000.0; 1036900000.0000001; ; 5363700000.0; 316300000.0; 6716900000.0; 11753900000.0; 2215000000.0; 3586000000.0; 404800000.0; 4433700000.0; 6648700000.0; 300000.0; 3587100000.0; -388400000.0; ; 5105200000.0; 11753900000.0
2020-06-30; 1314000000.0; 1658300000.0; 1361900000.0; 283800000.0; ; 4618000000.0; 1001700000.0; ; 5283200000.0; 301000000.0; 6585900000.0; 11203900000.0; 1785200000.0; 3763800000.0; 396600000.0; 4618400000.0; 6403600000.0; 300000.0; 3419400000.0; -494600000.0; ; 4800300000.0; 11203900000.0
2020-03-31; 2383600000.0; 1540500000.0; 1325000000.0; ; 268399999.99999997; 5517500000.0; 982400000.0; ; 5274400000.0; 303400000.0; 6560200000.0; 12077700000.0; 2170200000.0; 4591500000.0; 411000000.0; 5461800000.0; 7632000000.0; 300000.0; 3248500000.0; -525100000.0; ; 4445700000.0; 12077700000.0
