Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 10483000000.0; 572000000.0; ; ; 684000000.0; 12507000000.0; 175000000.0; ; 10384000000.0; 545000000.0; 12487000000.0; 24994000000.0; 2024000000.0; 3609000000.0; 862000000.0; 4722000000.0; 6746000000.0; ; 12333000000.0; -591000000.0; ; 18248000000.0; 24994000000.0
2022-03-31; 10967000000.0; 530000000.0; ; ; 556000000.0; 12486000000.0; 174000000.0; ; 10244000000.0; 511000000.0; 12526000000.0; 25012000000.0; 2291000000.0; 3608000000.0; 907000000.0; 4890000000.0; 7181000000.0; ; 12053000000.0; -586000000.0; ; 17831000000.0; 25012000000.0
2021-12-31; 10423000000.0; 972000000.0; ; ; 712000000.0; 12556000000.0; 169000000.0; ; 10246000000.0; 497000000.0; 12500000000.0; 25056000000.0; 2411000000.0; 3608000000.0; 932000000.0; 5046000000.0; 7457000000.0; ; 12025000000.0; -578000000.0; ; 17599000000.0; 25056000000.0
2021-09-30; 9718000000.0; 585000000.0; ; ; 681000000.0; 11211000000.0; 171000000.0; ; 10214000000.0; 632000000.0; 12766000000.0; 23977000000.0; 2016000000.0; 3607000000.0; 971000000.0; 5011000000.0; 7027000000.0; ; 11460000000.0; -587000000.0; ; 16950000000.0; 23977000000.0
2021-06-30; 9209000000.0; 682000000.0; ; ; 747000000.0; 10887000000.0; 174000000.0; ; 10214000000.0; 583000000.0; 12685000000.0; 23572000000.0; 2253000000.0; 3606000000.0; 916000000.0; 5033000000.0; 7286000000.0; ; 10821000000.0; -593000000.0; ; 16286000000.0; 23572000000.0
2021-03-31; 9281000000.0; 773000000.0; ; ; 585000000.0; 10922000000.0; 192000000.0; ; 10211000000.0; 643000000.0; 12503000000.0; 23425000000.0; 3181000000.0; 3606000000.0; 942000000.0; 4913000000.0; 8094000000.0; ; 9945000000.0; -600000000.0; ; 15331000000.0; 23425000000.0
2020-12-31; 8647000000.0; 1052000000.0; ; ; 514000000.0; 10565000000.0; 209000000.0; ; 10216000000.0; 641000000.0; 12544000000.0; 23109000000.0; 3100000000.0; 3605000000.0; 949000000.0; 4972000000.0; 8072000000.0; ; 9691000000.0; -622000000.0; ; 15037000000.0; 23109000000.0
2020-09-30; 7415000000.0; 619000000.0; ; ; 570000000.0; 9002000000.0; 211000000.0; ; 10233000000.0; 699000000.0; 12575000000.0; 21577000000.0; 2187000000.0; 3604000000.0; 924000000.0; 5008000000.0; 7195000000.0; ; 9183000000.0; -633000000.0; ; 14382000000.0; 21577000000.0
2020-06-30; 6338000000.0; 614000000.0; ; ; 436000000.0; 7719000000.0; 222000000.0; ; 10247000000.0; 677000000.0; 12501000000.0; 20220000000.0; 2557000000.0; 2676000000.0; 869000000.0; 3981000000.0; 6538000000.0; ; 8579000000.0; -634000000.0; ; 13682000000.0; 20220000000.0
2020-03-31; 5906000000.0; 590000000.0; ; ; 330000000.0; 7119000000.0; 236000000.0; ; 10261000000.0; 664000000.0; 12485000000.0; 19604000000.0; 2560000000.0; 2675000000.0; 890000000.0; 4023000000.0; 6583000000.0; ; 7999000000.0; -628000000.0; ; 13021000000.0; 19604000000.0
