Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 771300000000.0; ; ; ; ; 1876640000000.0; 11016000000.0; 932910000000.0; 69022000000.0; 222018000000.0; 1234966000000.0; 3111606000000.0; 2528366000000.0; 275697000000.0; 38425000000.0; 314122000000.0; 2842488000000.0; 59499000000.0; 197159000000.0; -16674000000.0; ; 269118000000.0; 3111606000000.0
2022-03-31; 895087000000.0; ; ; ; ; 1970020000000.0; 10820000000.0; 969880000000.0; 69022000000.0; 218481000000.0; 1268203000000.0; 3238223000000.0; 2648630000000.0; 278710000000.0; 44266000000.0; 322976000000.0; 2971606000000.0; 59968000000.0; 192929000000.0; -13417000000.0; ; 266617000000.0; 3238223000000.0
2021-12-31; 853165000000.0; ; ; ; ; 1907800000000.0; 10833000000.0; 982627000000.0; 69022000000.0; 199213000000.0; 1261695000000.0; 3169495000000.0; 2581637000000.0; 280117000000.0; 37675000000.0; 317792000000.0; 2899429000000.0; 62398000000.0; 188064000000.0; -5104000000.0; ; 270066000000.0; 3169495000000.0
2021-09-30; 836872000000.0; ; ; ; ; 1835866000000.0; 10684000000.0; 968617000000.0; 69023000000.0; 201256000000.0; 1249580000000.0; 3085446000000.0; 2496299000000.0; 278621000000.0; 38062000000.0; 316683000000.0; 2812982000000.0; 69612000000.0; 183007000000.0; -3596000000.0; ; 272464000000.0; 3085446000000.0
2021-06-30; 827713000000.0; ; ; ; ; 1808790000000.0; 10747000000.0; 940314000000.0; 69023000000.0; 201020000000.0; 1221104000000.0; 3029894000000.0; 2439255000000.0; 274604000000.0; 38916000000.0; 313520000000.0; 2752775000000.0; 79242000000.0; 177499000000.0; -3063000000.0; ; 277119000000.0; 3029894000000.0
2021-03-31; 869988000000.0; ; ; ; ; 1831207000000.0; 10803000000.0; 856912000000.0; 68951000000.0; 202119000000.0; 1138785000000.0; 2969992000000.0; 2402456000000.0; 251211000000.0; 42325000000.0; 293536000000.0; 2695992000000.0; 83071000000.0; 170082000000.0; -3472000000.0; ; 274000000000.0; 2969992000000.0
2020-12-31; 889921000000.0; ; ; ; ; 1872444000000.0; 11000000000.0; 684850000000.0; 68951000000.0; 182382000000.0; 947183000000.0; 2819627000000.0; 2238243000000.0; 262934000000.0; 45526000000.0; 308460000000.0; 2546703000000.0; 85982000000.0; 164088000000.0; -1656000000.0; ; 272924000000.0; 2819627000000.0
2020-09-30; 888339000000.0; ; ; ; ; 1890033000000.0; 10902000000.0; 584397000000.0; 68951000000.0; 184169000000.0; 848419000000.0; 2738452000000.0; 2172151000000.0; 255723000000.0; 41728000000.0; 297451000000.0; 2469602000000.0; 85954000000.0; 160447000000.0; -978000000.0; ; 268850000000.0; 2738452000000.0
2020-06-30; 973061000000.0; ; ; ; ; 2015389000000.0; 10790000000.0; 471861000000.0; 68951000000.0; 174697000000.0; 726299000000.0; 2741688000000.0; 2171902000000.0; 261638000000.0; 42511000000.0; 304149000000.0; 2476051000000.0; 85794000000.0; 157578000000.0; -1162000000.0; ; 265637000000.0; 2741688000000.0
2020-03-31; 757965000000.0; ; ; ; ; 1870084000000.0; 10792000000.0; 475852000000.0; 68951000000.0; 194275000000.0; 749870000000.0; 2619954000000.0; 2043666000000.0; 256712000000.0; 54658000000.0; 311370000000.0; 2355036000000.0; 85745000000.0; 155866000000.0; -120000000.0; ; 264918000000.0; 2619954000000.0
2019-12-31; 673090000000.0; ; ; ; ; 1712195000000.0; 10561000000.0; 472197000000.0; 68951000000.0; 170175000000.0; 721884000000.0; 2434079000000.0; 1890184000000.0; 240856000000.0; 38229000000.0; 279085000000.0; 2169269000000.0; 91723000000.0; 156319000000.0; -6633000000.0; ; 264810000000.0; 2434079000000.0
2019-09-30; 699930000000.0; ; ; ; ; 1725778000000.0; 10493000000.0; 444594000000.0; 68951000000.0; 176514000000.0; 700552000000.0; 2426330000000.0; 1876513000000.0; 243405000000.0; 38025000000.0; 281430000000.0; 2157943000000.0; 99215000000.0; 151183000000.0; -5617000000.0; ; 268387000000.0; 2426330000000.0
2019-06-30; 680150000000.0; ; ; ; ; 1693168000000.0; 10426000000.0; 446075000000.0; 68951000000.0; 177272000000.0; 702724000000.0; 2395892000000.0; 1848093000000.0; 238011000000.0; 38380000000.0; 276391000000.0; 2124484000000.0; 106619000000.0; 147577000000.0; -7477000000.0; ; 271408000000.0; 2395892000000.0
2019-03-31; 687182000000.0; ; ; ; ; 1683013000000.0; 10251000000.0; 440674000000.0; 68951000000.0; 174275000000.0; 694151000000.0; 2377164000000.0; 1839887000000.0; 233929000000.0; 36338000000.0; 270267000000.0; 2110154000000.0; 112838000000.0; 141888000000.0; -10042000000.0; ; 267010000000.0; 2377164000000.0
2018-12-31; 660377000000.0; ; ; ; ; 1673852000000.0; 9906000000.0; 441753000000.0; 68951000000.0; 160045000000.0; 680655000000.0; 2354507000000.0; 1821899000000.0; 229392000000.0; 37891000000.0; 267283000000.0; 2089182000000.0; 118896000000.0; 136314000000.0; -12211000000.0; ; 265325000000.0; 2354507000000.0
2018-09-30; 660078000000.0; ; ; ; ; 1642683000000.0; 9680000000.0; 446107000000.0; 68951000000.0; 171412000000.0; 696150000000.0; 2338833000000.0; 1806386000000.0; 234100000000.0; 36189000000.0; 270289000000.0; 2076675000000.0; 123921000000.0; 130747000000.0; -14836000000.0; ; 262158000000.0; 2338833000000.0
2018-06-30; 609317000000.0; ; ; ; ; 1599415000000.0; 9537000000.0; 438269000000.0; 68951000000.0; 175498000000.0; 692255000000.0; 2291670000000.0; 1767254000000.0; 226595000000.0; 33605000000.0; 260200000000.0; 2027454000000.0; 128822000000.0; 125546000000.0; -13333000000.0; ; 264216000000.0; 2291670000000.0
2018-03-31; 655417000000.0; ; ; ; ; 1646589000000.0; 9399000000.0; 426837000000.0; 68951000000.0; 176702000000.0; 681889000000.0; 2328478000000.0; 1796098000000.0; 232256000000.0; 33900000000.0; 266156000000.0; 2062254000000.0; 133532000000.0; 120298000000.0; -12278000000.0; ; 266224000000.0; 2328478000000.0
2017-12-31; 590692000000.0; ; ; ; ; 1590101000000.0; 9247000000.0; 440130000000.0; 68951000000.0; 172805000000.0; 691133000000.0; 2281234000000.0; 1752386000000.0; 227402000000.0; 34300000000.0; 261702000000.0; 2014088000000.0; 138089000000.0; 113816000000.0; -7082000000.0; ; 267146000000.0; 2281234000000.0
2017-09-30; 609407000000.0; ; ; ; ; 1594929000000.0; 8971000000.0; 439209000000.0; 73834000000.0; 166953000000.0; 688967000000.0; 2283896000000.0; 1750990000000.0; 228666000000.0; 31781000000.0; 260447000000.0; 2011437000000.0; 142818000000.0; 113486000000.0; -6168000000.0; ; 272459000000.0; 2283896000000.0
2017-06-30; 602426000000.0; ; ; ; ; 1573441000000.0; 8904000000.0; 434517000000.0; 74080000000.0; 163587000000.0; 681088000000.0; 2254529000000.0; 1724739000000.0; 223923000000.0; 34880000000.0; 258803000000.0; 1983542000000.0; 142744000000.0; 109628000000.0; -6605000000.0; ; 270987000000.0; 2254529000000.0
2017-03-31; 599769000000.0; ; ; ; ; 1569184000000.0; 9319000000.0; 428045000000.0; 74345000000.0; 166808000000.0; 678517000000.0; 2247701000000.0; 1721735000000.0; 221385000000.0; 36428000000.0; 257813000000.0; 1979548000000.0; 144782000000.0; 105467000000.0; -7316000000.0; ; 268153000000.0; 2247701000000.0
2016-12-31; 536032000000.0; ; ; ; ; 1499303000000.0; 9139000000.0; 430731000000.0; 71716000000.0; 177178000000.0; 688764000000.0; 2188067000000.0; 1665569000000.0; 216823000000.0; 39480000000.0; 256303000000.0; 1921872000000.0; 147038000000.0; 101225000000.0; -7288000000.0; ; 266195000000.0; 2188067000000.0
2016-09-30; 558599000000.0; ; ; ; ; 1516617000000.0; 9133000000.0; 434914000000.0; 75389000000.0; 159261000000.0; 678697000000.0; 2195314000000.0; 1656611000000.0; 225136000000.0; 43484000000.0; 268620000000.0; 1925231000000.0; 148261000000.0; 98303000000.0; -1701000000.0; ; 270083000000.0; 2195314000000.0
2016-06-30; 567867000000.0; ; ; ; ; 1526181000000.0; 9150000000.0; 411949000000.0; 75365000000.0; 163964000000.0; 660428000000.0; 2186609000000.0; 1642362000000.0; 229617000000.0; 47561000000.0; 277178000000.0; 1919540000000.0; 149554000000.0; 93623000000.0; -1328000000.0; ; 267069000000.0; 2186609000000.0
2016-03-31; 585617000000.0; ; ; ; ; 1537691000000.0; 9358000000.0; 400311000000.0; 75970000000.0; 162168000000.0; 647807000000.0; 2185498000000.0; 1648810000000.0; 232849000000.0; 41063000000.0; 273912000000.0; 1922722000000.0; 150774000000.0; 90270000000.0; -2610000000.0; ; 262776000000.0; 2185498000000.0
2015-12-31; 536106000000.0; ; ; ; ; 1486620000000.0; 9485000000.0; 406888000000.0; 76616000000.0; 164678000000.0; 657667000000.0; 2144287000000.0; 1612897000000.0; 236764000000.0; 38450000000.0; 275214000000.0; 1888111000000.0; 151042000000.0; 88219000000.0; -5358000000.0; ; 256176000000.0; 2144287000000.0
2015-09-30; 563610000000.0; ; ; ; ; 1510927000000.0; 9554000000.0; 391651000000.0; 76777000000.0; 164097000000.0; 642079000000.0; 2153006000000.0; 1613951000000.0; 237288000000.0; 45862000000.0; 283150000000.0; 1897101000000.0; 151841000000.0; 85485000000.0; -3694000000.0; ; 255905000000.0; 2153006000000.0
2015-06-30; 560519000000.0; ; ; ; ; 1505319000000.0; 9700000000.0; 392379000000.0; 77484000000.0; 164152000000.0; 643715000000.0; 2149034000000.0; 1610378000000.0; 243414000000.0; 43583000000.0; 286997000000.0; 1897375000000.0; 152638000000.0; 81938000000.0; -5190000000.0; ; 251659000000.0; 2149034000000.0
2015-03-31; 563529000000.0; ; ; ; ; 1501257000000.0; 9833000000.0; 383989000000.0; 77561000000.0; 170905000000.0; 642288000000.0; 2143545000000.0; 1603265000000.0; 237858000000.0; 52234000000.0; 290092000000.0; 1893357000000.0; 153410000000.0; 77472000000.0; -2967000000.0; ; 250188000000.0; 2143545000000.0
2014-12-31; 529707000000.0; ; ; ; ; 1471360000000.0; 10049000000.0; 380461000000.0; 77919000000.0; 164745000000.0; 633174000000.0; 2104534000000.0; 1571015000000.0; 243139000000.0; 46909000000.0; 290048000000.0; 1861063000000.0; 153458000000.0; 75024000000.0; -4320000000.0; ; 243471000000.0; 2104534000000.0
