Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 1973219000.0; 450324000.0; 657130000.0; 130533999.99999999; 38490000.0; 3249697000.0; 471321000.0; 8088002000.0; 587070000.0; 100886000.0; 9432430000.0; 12682130000.0; 613714000.0; 1196943000.0; 176815000.0; 3145815000.0; 3759529000.0; 3000.0; 9210457000.0; -533385999.99999994; ; 8922597000.0; 12682130000.0
2022-03-31; 2079039000.0000002; 464107000.0; 605492000.0; 126657000.0; 28126000.0; 3303421000.0; 485743000.0; 9689284000.0; 592872000.0; 103925000.0; 11070280000.0; 14373700000.0; 648331000.0; 1196739000.0; 180089000.0; 3542451000.0; 4190782000.0; 3000.0; 10137630000.0; -307856000.0; ; 10182920000.0; 14373700000.0
2021-12-31; 875478000.0; 423537000.0; 572239000.0; 107745000.0; 10089000.0; 1989088000.0; 490952000.0; 14387010000.0; 601282000.0; 102669000.0; 15786710000.0; 17775790000.0; 680938000.0; 10514000.0; 182191000.0; 3427723000.0; 4108661000.0; 3000.0; 13507240000.0; -175553000.0; ; 13667130000.0; 17775790000.0
2021-09-30; 1342658000.0; 417714000.0; 588911000.0; 104590000.0; 12413000.0; 2466286000.0; 476648000.0; 16230630000.0; 468989000.0; 106631000.0; 17487090000.0; 19953380000.0; 649916000.0; 10645000.0; 214291000.0; 3971086000.0; 4621002000.0; 3000.0; 15080850000.0; -63041000.0; ; 15332380000.0; 19953380000.0
2021-06-30; 1166958000.0; 399307000.0; 598989000.0; 110603000.0; 13236000.0; 2289093000.0; 482001000.0; 11580390000.0; 476768000.0; 99071000.0; 12828460000.0; 15117560000.0; 587052000.0; 10779000.0; 218742000.0; 2935624000.0; 3522676000.0; 3000.0; 11159470000.0; 125166000.0; ; 11594880000.0; 15117560000.0
2021-03-31; 1025428000.0000001; 408137000.0; 605156000.0; 110271000.0; 26325000.0; 2175317000.0; 482712000.0; 10503040000.0; 483680000.0; 92189000.0; 11757840000.0; 13933160000.0; 609892000.0; 10901000.0; 228870000.0; 2714209000.0; 3324101000.0; 3000.0; 10245430000.0; 68434000.0; ; 10609060000.0; 13933160000.0
2020-12-31; 996678000.0; 419424000.0; 622253000.0; 90621000.0; 10859000.0; 2139835000.0; 491371000.0; 9561140000.0; 491413000.0; 86723000.0; 10832780000.0; 12972620000.0; 631536000.0; 12258000.0; 196971000.0; 2461142000.0; 3092678000.0; 3000.0; 9268012000.0; 282456000.0; ; 9879940000.0; 12972620000.0
2020-09-30; 1159987000.0; 402241000.0; 640228000.0; 111296000.0; 10109000.0; 2323861000.0; 480949000.0; 8439897000.000001; 497221000.0; 82351000.0; 9697070000.0; 12020930000.0; 986657000.0; 12241000.0; 182085000.0; 2209129000.0; 3195786000.0; 3000.0; 8428924999.999999; 83971000.0; ; 8825145000.0; 12020930000.0
2020-06-30; 1037369999.9999999; 369767000.0; 628401000.0; 91797000.0; 5249000.0; 2132583999.9999998; 481430000.0; 6703039000.0; 502871000.0; 79795000.0; 7964723000.0; 10097310000.0; 926895000.0; 12233000.0; 175021000.0; 1817010000.0; 2743905000.0; 3000.0; 7123093000.0; -61142000.0; ; 7353402000.0; 10097310000.0
2020-03-31; 1042261000.0; 380476000.0; 557029000.0; 94787000.0; 8034000.000000001; 2082587000.0; 486174000.0; 5434760000.0; 402448000.0; 77903000.0; 6601771000.0; 8684359000.0; 869254000.0; 12205000.0; 173257000.0; 1522026000.0; 2391280000.0; 3000.0; 6156691000.0; -148955000.0; ; 6293079000.0; 8684359000.0
2019-12-31; 1120205000.0; 392672000.0; 554007000.0; 102331000.0; 10940000.0; 2180155000.0; 499339000.0; 4638205000.0; 409656000.0; 79636000.0; 5828705000.0; 8008859000.0; 905495000.0; 13579000.0; 160923000.0; 1348307000.0; 2253802000.0; 3000.0; 5470779000.0; -87348000.0; ; 5755057000.0; 8008859000.0
2019-09-30; 984808000.0; 356025000.0; 587987000.0; 109584000.0; 9228000.0; 2047632000.0; 495876000.0; 3931715000.0; 411049000.0; 73328000.0; 5129484000.0; 7177116000.0; 434040000.0; 437808000.0; 143475000.0; 1611884000.0; 2045924000.0; 3000.0; 4917313000.0; -152113000.0; ; 5131192000.0; 7177116000.0
2019-06-30; 987416000.0; 377904000.0; 589897000.0; 122420000.0; 10303000.0; 2087940000.0; 499180000.0; 4417240000.0; 362877000.0; 64200999.99999999; 5559005000.0; 7646945000.0; 445977000.0; 437680000.0; 145347000.0; 1714158000.0; 2160135000.0; 3000.0; 5184511000.0; -49573000.0; ; 5486810000.0; 7646945000.0
2019-03-31; 864549000.0; 391699000.0; 590438000.0; 163959000.0; 20998000.0; 2031643000.0; 502952000.0; 3671912000.0; 369923000.0; 64887000.0; 4831271000.0; 6862914000.0; 444306000.0; 437606000.0; 143684000.0; 1554753000.0; 1999059000.0; 3000.0; 4585701000.0; -80965000.0; ; 4863855000.0; 6862914000.0
2018-12-31; 850356000.0; 392443000.0; 583815000.0; 187249000.0; 9615000.0; 2023478000.0; 508690000.0; 2655709000.0; 352893000.0; 70298000.0; 3587590000.0; 5611068000.0; 450795000.0; 438937000.0; 147766000.0; 1139942000.0; 1590737000.0; 3000.0; 3722073000.0; -46958000.0; ; 4020331000.0; 5611068000.0
2018-09-30; 866130000.0; 381526000.0; 601053000.0; ; 185488000.0; 2034197000.0; 484323000.0; 3474321000.0; 652565000.0; 73256000.0; 4684465000.0; 6718662000.0; 453159000.0; 438803000.0; 172271000.0; 1365022000.0; 1818181000.0; 3000.0; 4550601000.0; -32299000.0; ; 4900481000.0; 6718662000.0
2018-06-30; 823807000.0; 404091000.0; 591433000.0; ; 173003000.0; 1992334000.0; 490249000.0; 3170820000.0; 658057000.0; 74763000.0; 4393889000.0; 6386223000.0; 442421000.0; 438776000.0; 179174000.0; 1304856000.0; 1747277000.0; 3000.0; 4281274999.9999995; -18710000.0; ; 4638946000.0; 6386223000.0
