Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 30608000000.0; 66370000000.0; ; ; ; 96978000000.0; 177288000000.0; 456220000000.0; 101610000000.0; 77764000000.0; 812882000000.0; 909860000000.0; 340744000000.0; ; 22195000000.0; 99463000000.0; 440207000000.0; 8000000.0; 496126000000.0; -6175000000.0; ; 469653000000.0; 909860000000.0
2022-03-31; 39113000000.0; 64320000000.0; ; ; ; 103433000000.0; 176722000000.0; 512035000000.0; 102033000000.0; 75283000000.0; 866073000000.0; 969506000000.0; 339076000000.0; ; 22451000000.0; 113565000000.0; 452641000000.0; 8000000.0; 539881000000.0; -4428000000.0; ; 516865000000.0; 969506000000.0
2021-12-31; 88184000000.0; 60316000000.0; ; ; ; 148500000000.0; 176364000000.0; 457981000000.0; 102361000000.0; 73578000000.0; 810284000000.0; 958784000000.0; 331218000000.0; ; 22393000000.0; 112636000000.0; 443854000000.0; 8000000.0; 534421000000.0; -4027000000.0; ; 514930000000.0; 958784000000.0
2021-09-30; 69989000000.0; 61998000000.0; ; ; ; 131987000000.0; 174123000000.0; 439483000000.0; 102413000000.0; 72752000000.0; 788771000000.0; 920758000000.0; 335220000000.0; ; 22215000000.0; 104463000000.0; 439683000000.0; 8000000.0; 494775000000.0; -4834000000.0; ; 481075000000.0; 920758000000.0
2021-06-30; 42298000000.0; 60173000000.0; ; ; ; 102471000000.0; 173652000000.0; 461363000000.0; 102611000000.0; 72396000000.0; 810022000000.0; 912493000000.0; 329800000000.0; ; 22316000000.0; 103893000000.0; 433693000000.0; 8000000.0; 484431000000.0; -4219000000.0; ; 478800000000.0; 912493000000.0
2021-03-31; 60054000000.0; 58501000000.0; ; ; ; 118555000000.0; 172789000000.0; 418609000000.0; 102879000000.0; 71561000000.0; 765838000000.0; 884393000000.0; 325335000000.0; ; 26490000000.0; 102882000000.0; 428217000000.0; 8000000.0; 456337000000.0; -4570000000.0; ; 456176000000.0; 884393000000.0
2020-12-31; 47990000000.0; 55053000000.0; ; ; ; 103043000000.0; 172416000000.0; 423784000000.0; 103196000000.0; 71290000000.0; 770686000000.0; 873729000000.0; 326294000000.0; ; 22001000000.0; 96099000000.0; 422393000000.0; 8000000.0; 444626000000.0; -4243000000.0; ; 451336000000.0; 873729000000.0
2020-09-30; 26817000000.0; 56399000000.0; ; ; ; 83216000000.0; 161539000000.0; 415524000000.0; 101517000000.0; 68150000000.0; 746730000000.0; 829946000000.0; 314537000000.0; ; 28854000000.0; 96194000000.0; 410731000000.0; 8000000.0; 408791000000.0; -5190000000.0; ; 419215000000.0; 829946000000.0
2020-06-30; 36074000000.0; 54941000000.0; ; ; ; 91015000000.0; 159902000000.0; 369201000000.0; 101600000000.0; 66415000000.0; 697118000000.0; 788133000000.0; 306494000000.0; ; 23116000000.0; 84386000000.0; 390880000000.0; 8000000.0; 378654000000.0; -5967000000.0; ; 397253000000.0; 788133000000.0
2020-03-31; 42640000000.0; 55617000000.0; ; ; ; 98257000000.0; 158522000000.0; 325710000000.0; 112352000000.0; 65607000000.0; 662191000000.0; 760448000000.0; 301389000000.0; ; 31253000000.0; 83824000000.0; 385213000000.0; 8000000.0; 352359000000.0; -6721000000.0; ; 375235000000.0; 760448000000.0
