Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 541600000.0; 4938500000.0; 1020100000.0; 539600000.0; ; 7039800000.0; 194700000.0; ; 5926200000.0; 337900000.0; 6613300000.0; 13653100000.0; 5415600000.0; 6481400000.0; 255700000.0; 7131300000.0; 12546900000.0; 1400000.0; -2197700000.0; -139300000.0; ; 1106200000.0; 13653100000.0
2022-03-31; 386900000.0; 5063300000.0; 1054599999.9999999; 366000000.0; ; 6870800000.0; 195600000.0; ; 5961100000.0; 322300000.0; 6643000000.0; 13513800000.0; 5464600000.0; 6514800000.0; 231400000.0; 7156100000.0; 12620700000.0; 1400000.0; -2408900000.0; -103100000.0; ; 893100000.0; 13513800000.0
2021-12-31; 258100000.00000003; 4934900000.0; 927600000.0; 357500000.0; ; 6478100000.0; 195800000.0; ; 6011000000.0; 358900000.0; 6721300000.0; 13199400000.0; 5096000000.0; 6755800000.0; 235400000.0; 7397700000.0; 12493700000.0; 1300000.0; -2570700000.0; -94400000.0; ; 705700000.0; 13199400000.0
2021-09-30; 245100000.0; 3955300000.0; 844400000.0; 247400000.0; ; 5292200000.0; 179300000.0; ; 3307900000.0; 110000000.0; 3719400000.0; 9011600000.0; 3833200000.0; 4037700000.0; 114700000.0; 4341400000.0; 8174600000.0; 1400000.0; -2402600000.0; -97500000.0; ; 837000000.0; 9011600000.0
2021-06-30; 501200000.0; 3801400000.0; 888700000.0; 230300000.0; ; 5421600000.0; 176100000.0; ; 3219200000.0; 49300000.0; 3569300000.0; 8990900000.0; 3770100000.0; 3909200000.0; 68200000.0; 4172000000.0; 7942100000.0; 1400000.0; -2163500000.0; -83200000.0; ; 1048800000.0; 8990900000.0
2021-03-31; 878600000.0; 3630700000.0; 745100000.0; 215400000.0; ; 5469800000.0; 175500000.0; ; 3231600000.0; 48300000.0; 3583700000.0; 9053500000.0; 3709300000.0; 3911100000.0; 68500000.0; 4173899999.9999995; 7883200000.0; 1400000.0; -2004600000.0; -89100000.0; ; 1170300000.0; 9053500000.0
2020-12-31; 1410200000.0; 3592100000.0; 760000000.0; 191200000.0; ; 5953500000.0; 175500000.0; ; 3041000000.0; 43900000.0; 3391200000.0; 9344700000.0; 3898300000.0; 3856300000.0; 68700000.0; 4149300000.0; 8047600000.0; 1400000.0; -1813400000.0; -95800000.0; ; 1297100000.0; 9344700000.0
2020-09-30; 1249500000.0; 3671800000.0; 648100000.0; 190200000.0; ; 5759600000.0; 268000000.0; ; 3035200000.0; 27400000.0; 3464100000.0; 9223700000.0; 3836600000.0; 3858600000.0; 75400000.0; 4148600000.0000005; 7985200000.0; 1400000.0; -1794000000.0; -130699999.99999999; ; 1238500000.0; 9223700000.0
2020-06-30; 958400000.0; 3382900000.0; 694800000.0; 199700000.0; ; 5235800000.0; 326500000.0; ; 3025000000.0; 24900000.0; 3513700000.0; 8749500000.0; 3561500000.0; 3861600000.0; 65200000.0; 4132399999.9999995; 7693900000.0; 1400000.0; -1932500000.0; -151600000.0; ; 1055599999.9999999; 8749500000.0
2020-03-31; 214400000.0; 3591900000.0; 672100000.0; 187400000.0; ; 4665800000.0; 331900000.0; ; 3069700000.0; 25500000.0; 3556600000.0; 8222400000.0; 3647200000.0; 3438500000.0; 55000000.0; 3685500000.0; 7332700000.0; 1400000.0; -2067300000.0000002; -159300000.0; ; 889700000.0; 8222400000.0
