Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 895793000.0; 669100000.0; 470272000.0; 248643000.0; ; 2283808000.0; 489109000.0; 709571000.0; 166545000.0; 31970000.0; 1430595000.0; 3772778000.0; 612174000.0; 669671000.0; 250317000.0; 1133072000.0; 1745246000.0; 6000.0; 698265000.0; -89620000.0; ; 2027532000.0; 3772778000.0
2022-03-31; 1161329000.0; 676820000.0; 432504000.0; 191664000.0; ; 2462317000.0; 473511000.0; 449673000.0; 182843000.0; 23583000.0; 1160815000.0; 3682915000.0; 568741000.0; 675668000.0; 220767000.0; 1103649000.0; 1672390000.0; 6000.0; 683181000.0; -46067000.0; ; 2010525000.0; 3682915000.0
2021-12-31; 697817000.0; 456339000.0; 380143000.0; 176992000.0; ; 1711291000.0; 410379000.0; 482228000.0; 188490000.0; 33856000.0; 1142525000.0; 2900953000.0; 525181000.00000006; 662043000.0; 213222000.0; 1065733000.0; 1590914000.0; 5000.0; 650058000.0; -27319000.0; ; 1310039000.0; 2900953000.0
2021-09-30; 683233000.0; 416244000.0; 304713000.0; 148364000.0; ; 1552554000.0; 353344000.0; 473315000.0; 193396000.0; 23083000.0; 1064964999.9999999; 2656833000.0; 405507000.0; 646183000.0; 194877000.0; 1009243000.0; 1414750000.0; 5000.0; 609104000.0; -19135000.0; ; 1242083000.0; 2656833000.0
2021-06-30; 685864000.0; 343652000.0; 321915000.0; 137480000.0; ; 1488911000.0; 340319000.0; 457362000.0; 197836000.0; 21633000.0; 1037112000.0000001; 2564325000.0; 399585000.0; 645607000.0; 182078000.0; 986947000.0; 1386532000.0; 5000.0; 556056000.0; -3536000.0; ; 1177793000.0; 2564325000.0
2021-03-31; 870371000.0; 271713000.0; 340038000.0; 102985000.0; ; 1585107000.0; 312214000.0; 294828000.0; 198816000.0; 16472999.999999998; 839684000.0; 2464595000.0; 397726000.0; 644275000.0; 167835000.0; 966945000.0; 1364671000.0; 5000.0; 510964000.0; -6761000.0; ; 1099924000.0; 2464595000.0
2020-12-31; 970833000.0; 218706000.0; 331696000.0; 198106000.0; ; 1719341000.0; 303408000.0; 147434000.0; 208297000.0; 5353000.0; 676168000.0; 2437109000.0; 436099000.0; 599522900.0; 165164000.0; 915253000.0; 1351352000.0; 5000.0; 478004000.0; 3857000.0; ; 1085757000.0; 2437109000.0
2020-09-30; 1180947000.0; 183141000.0; 297027000.0; 83866000.0; ; 1744981000.0; 257716999.99999997; 21003000.0; 201343000.0; 5609000.0; 496350000.0; 2278296000.0; 382537000.0; 570332000.0; 149314000.0; 863722000.0; 1246259000.0; 5000.0; 460349000.0; -2643000.0; ; 1032037000.0; 2278296000.0
2020-06-30; 546971000.0; 181700000.0; 264459999.99999997; 79867000.0; ; 1072998000.0; 226416000.0; 45684000.0; 196490000.0; 8166000.0; 495877000.0; 1605826000.0; 405065000.0; ; 141676000.0; 275960000.0; 681025000.0; 5000.0; 416598000.0; -3442000.0; ; 924801000.0; 1605826000.0
2020-03-31; 454815000.0; 235673000.0; 198557000.0; 66873999.99999999; ; 955919000.0; 195982000.0; 103863000.0; 194631000.0; 8454000.0; 520025000.0; 1513840000.0; 389681000.0; ; 127069000.0; 257741000.0; 647422000.0; 5000.0; 379930000.0; -5390000.0; ; 866418000.0; 1513840000.0
2019-12-31; 348314000.0; 298383000.0; 170798000.0; 115268000.0; ; 932763000.0; 176963000.0; 119176000.0; 203662000.0; 9904000.0; 526003000.00000006; 1494624000.0; 436714000.0; 2399000.0; 119185000.0; 246240000.0; 682954000.0; 5000.0; 337682000.0; -1809000.0; ; 811670000.0; 1494624000.0
2019-09-30; 340054000.0; 292232000.0; 134283000.0; 68234000.0; ; 834803000.0; 149675000.0; 92871000.0; 200795000.0; 7667000.0; 468188000.0; 1337592000.0; 335407000.0; 4054999.9999999995; 142129000.0; 264997000.0; 600404000.0; 5000.0; 284904000.0; -3356000.0; ; 737188000.0; 1337592000.0
