Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-09-30; 759300000.0; 851800000.0; 955100000.0; 145400000.0; ; 3269600000.0; 490100000.0; ; 1281900000.0; 170300000.0; 3565900000.0; 6835500000.0; 993500000.0; 1183600000.0; 89300000.0; 1502500000.0; 2496000000.0; 67400000.0; 6144000000.0; -582300000.0; ; 4339500000.0; 6835500000.0
2022-06-30; 812900000.0; 827400000.0; 893300000.0; 150100000.0; ; 3230700000.0; 503500000.0; ; 1329500000.0; 174100000.0; 3633600000.0; 6864300000.0; 986100000.0; 1183400000.0; 93300000.0; 1531400000.0; 2517500000.0; 67400000.0; 5996200000.0; -457700000.0; ; 4346800000.0; 6864300000.0
2022-03-31; 861100000.0; 833400000.0; 864100000.0; 134700000.0; ; 3236000000.0; 513100000.0; ; 1373300000.0; 176600000.0; 3659200000.0; 6895200000.0; 1024099999.9999999; 1183200000.0; 95100000.0; 1550500000.0; 2574600000.0; 67400000.0; 5841000000.0; -350600000.0; ; 4320600000.0; 6895200000.0
2021-12-31; 780000000.0; 792700000.0; 803800000.0; 134600000.0; ; 3053400000.0; 518200000.00000006; ; 1418200000.0; 176300000.0; 3706300000.0; 6759700000.0; 982200000.0; 1182900000.0; 97900000.0; 1573700000.0; 2555900000.0; 67400000.0; 5699900000.0; -343900000.0; ; 4203800000.0; 6759700000.0
2021-09-30; 735500000.0; 771000000.0; 789600000.0; 133400000.0; ; 2974300000.0; 520900000.0; ; 1420600000.0; 72600000.0; 3606600000.0; 6580900000.0; 979700000.0; 1182700000.0; 98500000.0; 1531900000.0; 2511600000.0; 67400000.0; 5552800000.0; -394800000.0; ; 4069300000.0; 6580900000.0
2021-06-30; 965900000.0; 749300000.0; 760900000.0; 138300000.0; ; 3149700000.0; 526100000.0; ; 1432800000.0; 74200000.0; 3641900000.0; 6791600000.0; 1222100000.0; 1182500000.0; 100900000.0; 1544000000.0; 2766100000.0; 67400000.0; 5423500000.0; -362700000.0; ; 4025500000.0; 6791600000.0
2021-03-31; 904600000.0; 758800000.0; 730100000.0; 131600000.0; ; 3052500000.0; 519100000.0; ; 1416400000.0; 93500000.0; 3621000000.0; 6673500000.0; 1234100000.0; 1182300000.0; 100900000.0; 1541500000.0; 2775600000.0; 67400000.0; 5282500000.0; -388300000.0; ; 3897900000.0; 6673500000.0
2020-12-31; 923400000.0; 753200000.0; 746500000.0; 129699999.99999999; ; 3083000000.0; 526200000.00000006; ; 1243200000.0; 91700000.0; 3474300000.0; 6557300000.0; 1164900000.0; 1182100000.0; 97700000.0; 1545800000.0; 2710700000.0; 67400000.0; 5156900000.0; -365800000.0; ; 3846600000.0; 6557300000.0
2020-09-30; 787500000.0; 732200000.0; 764400000.0; 122000000.0; ; 2938200000.0; 505400000.0; ; 1180100000.0; 56100000.0; 3329400000.0; 6267600000.0; 1117000000.0; 1181800000.0; 95700000.0; 1509800000.0; 2626800000.0; 67400000.0; 5014900000.0; -465600000.0; ; 3640800000.0; 6267600000.0
2020-06-30; 686200000.0; 661200000.0; 784000000.0; 132500000.0; ; 2772400000.0; 509400000.0; ; 1165500000.0; 61700000.0; 3341100000.0; 6113500000.0; 829400000.0; 1436700000.0; 96700000.0; 1775500000.0; 2604900000.0; 67400000.0; 4894200000.0; -514400000.0; ; 3508600000.0; 6113500000.0
