Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 1724000000.0; 2717000000.0; 2072000000.0; 528000000.0; 2740000000.0; 9781000000.0; 92822000000.0; 1881000000.0; 5705000000.0; ; 119365000000.0; 130769000000.0; 11487000000.0; 51204000000.0; 14737000000.0; 86027000000.0; 97514000000.0; 5288000000.0; 11645000000.0; -184000000.0; ; 33255000000.0; 130769000000.0
2022-03-31; 1662000000.0; 2426000000.0; 1982000000.0; 739000000.0; 2488000000.0; 9297000000.0; 91790000000.0; 1926000000.0; 5715000000.0; ; 117649000000.0; 128639000000.0; 10434000000.0; 50633000000.0; 14538000000.0; 85285000000.0; 95719000000.0; 5286000000.0; 11261000000.0; -195000000.0; ; 32920000000.0; 128639000000.0
2021-12-31; 1798000000.0; 2251000000.0; 1993000000.0; 330000000.0; 2593000000.0; 8965000000.0; 91108000000.0; 1935000000.0; 5725000000.0; ; 116868000000.0; 127534000000.0; 10921000000.0; 50120000000.0; 14394000000.0; 84046000000.0; 94967000000.0; 5279000000.0; 10929000000.0; -237000000.0; ; 32567000000.0; 127534000000.0
2021-09-30; 2078000000.0; 2370000000.0; 1890000000.0; 329000000.0; 3007000000.0; 9674000000.0; 90859000000.0; 2439000000.0; 5735000000.0; ; 116463000000.0; 127861000000.0; 11259000000.0; 48843000000.0; 14274000000.0; 83092000000.0; 94351000000.0; 5278000000.0; 11844000000.0; -319000000.0; ; 33510000000.0; 127861000000.0
2021-06-30; 1582000000.0; 2083000000.0; 1944000000.0; 538000000.0; 3404000000.0; 9551000000.0; 89623000000.0; 2350000000.0; 5746000000.0; ; 114581000000.0; 125907000000.0; 11660000000.0; 47828000000.0; 13224000000.0; 81210000000.0; 92870000000.0; 5274000000.0; 11442000000.0; -355000000.0; ; 33037000000.0; 125907000000.0
2021-03-31; 1770000000.0; 2482000000.0; 1998000000.0; 657000000.0; 2562000000.0; 9469000000.0; 89037000000.0; 2393000000.0; 5757000000.0; ; 114103000000.0; 125393000000.0; 11586000000.0; 46727000000.0; 13249000000.0; 80448000000.0; 92034000000.0; 5273000000.0; 11768000000.0; -367000000.0; ; 33359000000.0; 125393000000.0
2020-12-31; 1065000000.0; 2663000000.0; 2028000000.0; 276000000.0; 2585000000.0; 8617000000.0; 87634000000.0; 2316000000.0; 5767000000.0; ; 112516000000.0; 122935000000.0; 12079000000.0; 45073000000.0; 13257000000.0; 78331000000.0; 90410000000.0; 5268000000.0; 11311000000.0; -395000000.0; ; 32525000000.0; 122935000000.0
2020-09-30; 3379000000.0; 2513000000.0; 2028000000.0; 299000000.0; 2355000000.0; 10574000000.0; 86397000000.0; 2414000000.0; 5779000000.0; ; 110793000000.0; 123158000000.0; 11750000000.0; 45581000000.0; 13357000000.0; 78617000000.0; 90367000000.0; 5267000000.0; 11600000000.0; -344000000.0; ; 32791000000.0; 123158000000.0
2020-06-30; 1879000000.0; 2346000000.0; 2099000000.0; 502000000.0; 2243000000.0; 9069000000.0; 85029000000.0; 2389000000.0; 5791000000.0; ; 108886000000.0; 119731000000.0; 9334000000.0; 45138000000.0; 13178000000.0; 78145000000.0; 87479000000.0; 5266000000.0; 11024000000.0; -363000000.0; ; 32252000000.0; 119731000000.0
2020-03-31; 2164000000.0; 2401000000.0; 1982000000.0; 667000000.0; 2216000000.0; 9430000000.0; 83965000000.0; 2588000000.0; 5803000000.0; ; 107652000000.0; 118852000000.0; 9553000000.0; 44235000000.0; 12846000000.0; 77092000000.0; 86645000000.0; 5266000000.0; 11088000000.0; -367000000.0; ; 32207000000.0; 118852000000.0
