Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 615000000.0; 1532000000.0; 1565000000.0; ; 321000000.0; 4033000000.0; 2239000000.0; ; 1246000000.0; 294000000.0; 4911000000.0; 8944000000.0; 3555000000.0; 5062000000.0; 218000000.0; 5280000000.0; 8835000000.0; ; -7117000000.0; 36000000.0; ; 109000000.0; 8944000000.0
2022-03-31; 1138000000.0; 1344000000.0; 1479000000.0; ; 298000000.0; 4259000000.0; 2197000000.0; ; 1251000000.0; 317000000.0; 4886000000.0; 9145000000.0; 2881000000.0; 5614000000.0; 229000000.0; 5843000000.0; 8724000000.0; ; -6767000000.0; 37000000.0; ; 421000000.0; 9145000000.0
2021-12-31; 1535000000.0; 1399000000.0; 1287000000.0; ; 229000000.0; 4450000000.0; 2216000000.0; ; 1256000000.0; 327000000.0; 4925000000.0; 9375000000.0; 2992000000.0; 5626000000.0; 231000000.0; 5857000000.0; 8849000000.0; ; -6533000000.0; -25000000.0; ; 526000000.0; 9375000000.0
2021-09-30; 991000000.0; 1301000000.0; 1188000000.0; ; 188000000.0; 3668000000.0; 2213000000.0; ; 1261000000.0; 343000000.0; 4945000000.0; 8613000000.0; 2889000000.0; 4891000000.0; 232000000.0; 5123000000.0; 8012000000.0; ; -6398000000.0; -45000000.0; ; 601000000.0; 8613000000.0
2021-06-30; 1209000000.0; 1158000000.0; 1204000000.0; ; 208000000.0; 3779000000.0; 2181000000.0; ; 1266000000.0; 332000000.0; 4896000000.0; 8675000000.0; 2921000000.0; 4894000000.0; 229000000.0; 5123000000.0; 8044000000.0; ; -6305000000.0; -41000000.0; ; 631000000.0; 8675000000.0
2021-03-31; 1212000000.0; 978000000.0; 1281000000.0; ; 221000000.0; 3692000000.0; 2215000000.0; ; 1272000000.0; 307000000.0; 4912000000.0; 8604000000.0; 2993000000.0; 4897000000.0; 230000000.0; 5127000000.0; 8120000000.0; ; -6417000000.0; -38000000.0; ; 484000000.0; 8604000000.0
2020-12-31; 1799000000.0; 801000000.0; 1318000000.0; ; 163000000.0; 4081000000.0; 2218000000.0; ; 1277000000.0; 290000000.0; 4905000000.0; 8986000000.0; 2621000000.0; 5120000000.0; 255000000.0; 5375000000.0; 7996000000.0; ; -5829000000.0; -36000000.0; ; 990000000.0; 8986000000.0
2020-09-30; 1664000000.0; 866000000.0; 1323000000.0; ; 141000000.0; 3994000000.0; 2167000000.0; ; 1282000000.0; 294000000.0; 4868000000.0; 8862000000.0; 2644000000.0; 4138000000.0; 259000000.0; 4397000000.0; 7041000000.0; ; -4947000000.0; -46000000.0; ; 1821000000.0; 8862000000.0
2020-06-30; 1722000000.0; 1115000000.0; 1142000000.0; ; 135000000.0; 4114000000.0; 2129000000.0; ; 1295000000.0; 272000000.0; 4816000000.0; 8930000000.0; 2722000000.0; 4156000000.0; 265000000.0; 4421000000.0; 7143000000.0; ; -4904000000.0; -66000000.0; ; 1787000000.0; 8930000000.0
2020-03-31; 1612000000.0; 1160000000.0; 1102000000.0; ; 141000000.0; 4015000000.0; 2093000000.0; ; 1307000000.0; 302000000.0; 4814000000.0; 8829000000.0; 2690000000.0; 4091000000.0; 256000000.0; 4347000000.0; 7037000000.0; ; -4866000000.0; -67000000.0; ; 1792000000.0; 8829000000.0
2019-12-31; 1744000000.0; 1112000000.0; 1148000000.0; ; 148000000.0; 4152000000.0; 2049000000.0; ; 1320000000.0; 292000000.0; 4780000000.0; 8932000000.0; 2700000000.0; 4135000000.0; 267000000.0; 4402000000.0; 7102000000.0; ; -4804000000.0; -33000000.0; ; 1830000000.0; 8932000000.0
2019-09-30; 1784000000.0; 1065000000.0; 1041000000.0; ; 141000000.0; 4031000000.0; 1991000000.0; ; 1334000000.0; 254000000.0; 4707000000.0; 8738000000.0; 2549000000.0; 4140000000.0; 279000000.0; 4419000000.0; 6968000000.0; ; -4800000000.0; -40000000.0; ; 1770000000.0; 8738000000.0
2019-06-30; 2220000000.0; 989000000.0; 970000000.0; ; 184000000.0; 4363000000.0; 1869000000.0; ; 1348000000.0; 191000000.0; 4522000000.0; 8885000000.0; 2232000000.0; 4253000000.0; 238000000.0; 4491000000.0; 6723000000.0; ; -4349000000.0; -34000000.0; ; 2162000000.0; 8885000000.0
2019-03-31; 1388000000.0; 897000000.0; 1001000000.0; ; 201000000.0; 3487000000.0; 1822000000.0; 1318000000.0; 1366000000.0; 187000000.0; 5109000000.0; 8596000000.0; 2146000000.0; 4522000000.0; 239000000.0; 4761000000.0; 6907000000.0; ; -4808000000.0; -21000000.0; ; 1689000000.0; 8596000000.0
2018-12-31; 1357000000.0; 1058000000.0; 1097000000.0; ; 164000000.0; 3676000000.0; 1823000000.0; 1300000000.0; 1386000000.0; 188000000.0; 5113000000.0; 8789000000.0; 2300000000.0; 4324000000.0; 231000000.0; 4555000000.0; 6855000000.0; ; -4502000000.0; -21000000.0; ; 1934000000.0; 8789000000.0
2018-09-30; 1942000000.0; 1202000000.0; 1116000000.0; ; 263000000.0; 4523000000.0; 1789000000.0; 1259000000.0; 1406000000.0; 185000000.0; 5055000000.0; 9578000000.0; 3175000000.0; 4322000000.0; 235000000.0; 4557000000.0; 7732000000.0; ; -4569000000.0; -12000000.0; ; 1846000000.0; 9578000000.0
2018-06-30; 1853000000.0; 1184000000.0; 1053000000.0; ; 220000000.0; 4310000000.0; 1792000000.0; 1275000000.0; 1425000000.0; 191000000.0; 5100000000.0; 9410000000.0; 3190000000.0; 4320000000.0; 235000000.0; 4555000000.0; 7745000000.0; ; -4696000000.0; -16000000.0; ; 1665000000.0; 9410000000.0
2018-03-31; 2926000000.0; 1076000000.0; 1002000000.0; ; 243000000.0; 5247000000.0; 1720000000.0; ; 1442000000.0; 205000000.0; 3765000000.0; 9012000000.0; 3055000000.0; 4319000000.0; 274000000.0; 4593000000.0; 7648000000.0; ; -4975000000.0; -8000000.0; ; 1364000000.0; 9012000000.0
2017-12-31; 2556000000.0; 1055000000.0; 1014000000.0; ; 285000000.0; 4910000000.0; 1762000000.0; ; 1460000000.0; 216000000.0; 3840000000.0; 8750000000.0; 3113000000.0; 4316000000.0; 260000000.0; 4576000000.0; 7689000000.0; ; -5174000000.0; -11000000.0; ; 1061000000.0; 8750000000.0
2017-09-30; 2285000000.0; 1209000000.0; 1014000000.0; ; 316000000.0; 4824000000.0; 1817000000.0; ; 1492000000.0; 214000000.0; 4132000000.0; 8956000000.0; 2458000000.0; 5002000000.0; 254000000.0; 5256000000.0; 7714000000.0; ; -4958000000.0; -13000000.0; ; 1242000000.0; 8956000000.0
2017-06-30; 2539000000.0; 1199000000.0; 982000000.0; ; 321000000.0; 5041000000.0; 1875000000.0; ; 1519000000.0; 224000000.0; 4227000000.0; 9268000000.0; 2626000000.0; 5021000000.0; 257000000.0; 5278000000.0; 7904000000.0; ; -4771000000.0; -17000000.0; ; 1364000000.0; 9268000000.0
