Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-08-31; 165100000.0; 978900000.0; 1651000000.0; 735200000.0; ; 3530200000.0; 6234000000.0; 833400000.0; 10662200000.0; 728800000.0; 20750700000.0; 24280900000.0; 2511900000.0; 10278700000.0; ; 12058100000.0; 14570000000.0; 2200000.0; 13448400000.0; -355400000.0; ; 9710900000.0; 24280900000.0
2022-05-31; 101800000.0; 879900000.0; 1656400000.0; 664100000.0; ; 3302200000.0; 6163300000.0; 2534000000.0; 10680800000.0; 826000000.0; 22538900000.0; 25841100000.0; 2365800000.0; 10278200000.0; ; 11916800000.0; 14282600000.0; 2200000.0; 14746200000.0; -166300000.0; ; 11558500000.0; 25841100000.0
2022-02-28; 199400000.0; 899000000.0; 1573200000.0; 658100000.0; ; 3329700000.0; 6059600000.0; 2688700000.0; 10617600000.0; 808700000.0; 22526100000.0; 25855800000.0; 2698800000.0; 9488200000.0; ; 11109200000.0; 13808000000.0; 2200000.0; 14505400000.0; -412700000.0; ; 12047800000.0; 25855800000.0
2021-11-30; 361300000.0; 917800000.0; 1518900000.0; 578600000.0; ; 3376600000.0; 5519300000.0; 2756400000.0; 10604800000.0; 856000000.0; 22150700000.0; 25527300000.0; 2248600000.0; 10083800000.0; ; 11732300000.0; 13980900000.0; 2200000.0; 14251600000.0; -623100000.0; ; 11546400000.0; 25527300000.0
2021-08-31; 103400000.0; 972800000.0; 1339000000.0; 528500000.0; ; 2943700000.0; 5505400000.0; 2819000000.0; 10528600000.0; 1095600000.0; 22396600000.0; 25340300000.0; 2187100000.0; 10081700000.0; ; 11628600000.0; 13815700000.0; 2200000.0; 13922200000.0; -290400000.0; ; 11524600000.0; 25340300000.0
2021-05-31; 503800000.0; 922800000.0; 1377600000.0; 508900000.0; ; 3313100000.0; 5392200000.0; 2656700000.0; 10540700000.0; 1698700000.0; 22879300000.0; 26192400000.0; 2062800000.0000002; 9914800000.0; ; 11532000000.0; 13594800000.0; 2200000.0; 14063600000.0; -236600000.0; ; 12597600000.0; 26192400000.0
2021-02-28; 460600000.0; 785300000.0; 1291100000.0; 507500000.0; ; 3044500000.0; 5821600000.0; 2788400000.0; 10525600000.0; 2432200000.0; 24060300000.0; 27104800000.0; 1269100000.0; 10413100000.0; ; 11906600000.0; 13175700000.0; 2200000.0; 15117800000.0; -335500000.0; ; 13929100000.0; 27104800000.0
2020-11-30; 152900000.0; 915400000.0; 1376900000.0; 455500000.0; 546400000.0; 3447100000.0; 5580700000.0; 2959900000.0; 10528700000.0; 2551200000.0; 24183500000.0; 27630600000.0; 2041400000.0; 10416100000.0; ; 11936700000.0; 13978100000.0; 2200000.0; 14879100000.0; -357400000.0; ; 13652500000.0; 27630600000.0
2020-08-31; 204600000.0; 926300000.0; 1328400000.0; 497100000.0; 580800000.0; 3537200000.0; 5184900000.0; 2931900000.0; 10455700000.0; 1778000000.0; 22925300000.0; 26462500000.0; 1909900000.0; 11066800000.0; ; 12548800000.0; 14458700000.0; 2200000.0; 13742200000.0; -815500000.0; ; 12003800000.0; 26462500000.0
2020-05-31; 302800000.0; 700500000.0; 1332600000.0; 470100000.0; 590200000.0; 3396200000.0; 5098200000.0; 2885700000.0; 10420300000.0; 1749900000.0; 22753600000.0; 26149800000.0; 1752400000.0; 11639300000.0; ; 13019800000.0; 14772200000.0; 2200000.0; 13374100000.0; -1022400000.0; ; 11377600000.0; 26149800000.0
2020-02-29; 81400000.0; 864800000.0; 1373600000.0; 535799999.99999994; 628500000.0; 3484100000.0; 5333000000.0; 3093900000.0; 10476000000.0; 2279900000.0; 23839100000.0; 27323200000.0; 2311800000.0; 11210800000.0; ; 12537100000.0; 14848900000.0; 2200000.0; 13695300000.0; -266300000.0; ; 12474300000.0; 27323200000.0
2019-11-30; 93700000.0; 808300000.0; 1358800000.0; 484300000.0; 724800000.0; 3469900000.0; 5187200000.0; 3058700000.0; 10493100000.0; 2221800000.0; 23623800000.0; 27093700000.0; 2460200000.0; 11339700000.0; ; 12597200000.0; 15057400000.0; 2200000.0; 13439400000.0; -383800000.0; ; 12036300000.0; 27093700000.0
2019-08-31; 81300000.0; 953700000.0; 1311400000.0; 525100000.0; 666000000.0; 3537500000.0; 5141600000.0; 3003800000.0; 10483700000.0; 3241700000.0; 24017600000.0; 27555100000.0; 2195900000.0; 12159800000.0; ; 13668200000.0; 15864100000.0; 2200000.0; 13221400000.0; -476600000.0; ; 11691000000.0; 27555100000.0
2019-05-31; 98700000.0; 788300000.0; 1494100000.0; 530900000.0; 668900000.0; 3580900000.0; 5118000000.0; 3430400000.0; 10603500000.0; 4015200000.0; 25370200000.0; 28951100000.0; 2939300000.0; 11745800000.0; ; 13523600000.0; 16462900000.000002; 2200000.0; 13888900000.0; -355500000.0; ; 12488200000.0; 28951100000.0
2019-02-28; 93600000.0; 846900000.0; 2130400000.0; 613100000.0; ; 3684000000.0; 5267300000.0; 3465600000.0; 11286900000.0; 3344400000.0; 25547500000.0; 29231500000.0; 3163800000.0; 11759800000.0; ; 13230500000.0; 16394300000.0; 2200000.0; 14276200000.0; -353900000.0; ; 12837200000.0; 29231500000.0
2018-11-30; 130600000.0; 837200000.0; 2198000000.0; 472700000.0; ; 3638500000.0; 4986300000.0; 3583000000.0; 11369600000.0; 4313000000.0; 24251900000.0; 27890400000.0; 3363400000.0; 11772500000.0; 1234500000.0; 13007000000.0; 16370400000.0; 2200000.0; 13176800000.0; -505900000.0; ; 11520000000.0; 27890400000.0
2018-08-31; 206100000.0; 951200000.0; 1941900000.0; 486300000.0; ; 3585500000.0; 4947700000.0; ; 11391500000.0; 4172800000.0; 20512000000.0; 24097500000.0; 2162500000.0; 9187600000.0; 1212200000.0; 10399800000.0; 12562300000.0; 2900000.0; 13012900000.0; -304600000.0; ; 11535200000.0; 24097500000.0
2018-05-31; 210000000.0; 827900000.0; 2068400000.0; 498500000.0; ; 3604800000.0; 4815800000.0; ; 11352100000.0; 3324000000.0; 19491900000.0; 23096700000.0; 1990500000.0; 9416400000.0; 1124000000.0; 10540400000.0; 12530900000.0; 2900000.0; 12002400000.0; -378600000.0; ; 10565800000.0; 23096700000.0
