Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 3808000000.0; 883000000.0; 1320000000.0; 297000000.0; ; 6308000000.0; 814000000.0; ; 11499000000.0; 198000000.0; 12511000000.0; 18819000000.0; 1344000000.0; 19382000000.0; 473000000.0; 20443000000.0; 21787000000.0; 1000000.0; -3114000000.0; -198000000.0; ; -2968000000.0; 18819000000.0
2022-03-31; 4216000000.0; 794000000.0; 1242000000.0; 312000000.0; ; 6564000000.0; 810000000.0; ; 11253000000.0; 214000000.0; 12277000000.0; 18841000000.0; 1301000000.0; 19394000000.0; 487000000.0; 20433000000.0; 21734000000.0; 1000000.0; -3350000000.0; -73000000.0; ; -2893000000.0; 18841000000.0
2021-12-31; 4813000000.0; 673000000.0; 1215000000.0; 270000000.0; ; 6971000000.0; 794000000.0; ; 11320000000.0; 157000000.0; 12271000000.0; 19242000000.0; 1378000000.0; 19388000000.0; 599000000.0; 20490000000.0; 21868000000.0; 1000000.0; -3545000000.0; -200000000.0; ; -2626000000.0; 19242000000.0
2021-09-30; 4787000000.0; 791000000.0; 1185000000.0; 267000000.0; ; 7030000000.0; 770000000.0; ; 11359000000.0; 156000000.0; 12285000000.0; 19315000000.0; 1663000000.0; 19372000000.0; 705000000.0; 20562000000.0; 22225000000.0; 1000000.0; -3705000000.0; -248000000.0; ; -2910000000.0; 19315000000.0
2021-06-30; 4529000000.0; 694000000.0; 1225000000.0; 275000000.0; ; 6723000000.0; 777000000.0; ; 11429000000.0; 160000000.0; 12366000000.0; 19089000000.0; 1636000000.0; 19384000000.0; 781000000.0; 20585000000.0; 22221000000.0; 1000000.0; -3906000000.0; -222000000.0; ; -3132000000.0; 19089000000.0
2021-03-31; 4072000000.0; 682000000.0; 1240000000.0; 364000000.0; ; 6358000000.0; 790000000.0; ; 11439000000.0; 152000000.0; 12381000000.0; 18739000000.0; 1580000000.0; 19402000000.0; 794000000.0; 20680000000.0; 22260000000.0; 1000000.0; -4215000000.0; -234000000.0; ; -3521000000.0; 18739000000.0
2020-12-31; 4907000000.0; 627000000.0; 1284000000.0; 256000000.0; ; 7074000000.0; 777000000.0; ; 10531000000.0; 157000000.0; 11483000000.0; 18557000000.0; 1563000000.0; 19394000000.0; 884000000.0; 20715000000.0; 22278000000.0; 1000000.0; -4314000000.0; -277000000.0; ; -3721000000.0; 18557000000.0
2020-09-30; 4717000000.0; 720000000.0; 1283000000.0; 240000000.0; ; 6960000000.0; 752000000.0; ; 10499000000.0; 167000000.0; 11435000000.0; 18395000000.0; 1616000000.0; 19384000000.0; 933000000.0; 20747000000.0; 22363000000.0; 1000000.0; -4359000000.0; -401000000.0; ; -3968000000.0; 18395000000.0
2020-06-30; 4549000000.0; 726000000.0; 1344000000.0; 152000000.0; ; 6771000000.0; 744000000.0; ; 10492000000.0; 160000000.0; 11408000000.0; 18179000000.0; 1651000000.0; 19410000000.0; 925000000.0; 20707000000.0; 22358000000.0; 1000000.0; -4427000000.0; -490000000.0; ; -4179000000.0; 18179000000.0
2020-03-31; 2668000000.0; 999000000.0; 1313000000.0; 220000000.0; ; 5200000000.0; 748000000.0; ; 10515000000.0; 159000000.0; 11435000000.0; 16635000000.0; 1656000000.0; 17933000000.0; 866000000.0; 19184000000.0; 20840000000.0; 1000000.0; -4401000000.0; -503000000.0; ; -4205000000.0; 16635000000.0
2019-12-31; 4194000000.0; 1025000000.0; 1294000000.0; 139000000.0; ; 6652000000.0; 753000000.0; ; 10583000000.0; 155000000.0; 11504000000.0; 18156000000.0; 3350000000.0; 17952000000.0; 705000000.0; 19105000000.0; 22455000000.0; 1000000.0; -4699000000.0; -252000000.0; ; -4299000000.0; 18156000000.0
2019-09-30; 1467000000.0; 1068000000.0; 1233000000.0; 135000000.0; 962000000.0; 4865000000.0; 757000000.0; ; 10564000000.0; 69000000.0; 11390000000.0; 16255000000.0; 1538000000.0; 16469000000.0; 691000000.0; 17601000000.0; 19139000000.0; 1000000.0; -3120000000.0; -379000000.0; ; -2884000000.0; 16255000000.0
2019-06-30; 2716812000.0; 1162345000.0; 1413934000.0; 118104000.0; ; 5411195000.0; 745538000.0; ; 11418680000.0; 64413000.0; 12291400000.0; 17702600000.0; 1380640000.0; 16495880000.000002; 495685000.0; 17632570000.0; 19013210000.0; 575000.0; -1709790000.0; -175775000.0; ; -1310614000.0; 17702600000.0
2019-03-31; 2828902000.0; 1141249000.0; 1453044000.0; 172334000.0; ; 5595529000.0; 737599000.0; ; 11338770000.0; 86288000.0; 12201630000.0; 17797160000.0; 1726193000.0; 16509180000.0; 385854000.0; 17553210000.0; 19279400000.0; 573000.0; -1851113000.0; -157037000.0; ; -1482247000.0; 17797160000.0
2018-12-31; 2337316000.0; 657684000.0; 838705000.0; 92913000.0; ; 3926618000.0; 395970000.0; 26044000.0; 8001467000.0; 39179000.0; 8462659000.0; 12389280000.0; 951266000.0; 12507620000.0; 222241000.0; 13104910000.0; 14056170000.0; 570000.0; -2050726999.9999998; -80993000.0; ; -1666893000.0; 12389280000.0
2018-09-30; 2073016999.9999998; 704310000.0; 805292000.0; 74668000.0; ; 3657287000.0; 388333000.0; ; 8011694000.0; 140153000.0; 8540181000.000001; 12197470000.0; 900382000.0; 12501950000.0; 204114000.0; 13105560000.0; 14005940000.0; 569000.0; -2246578000.0; 4099999.9999999995; ; -1808471000.0; 12197470000.0
2018-06-30; 1853373000.0; 658168000.0; 815251000.0; 58610000.0; ; 3385402000.0; 380475000.0; ; 7924321000.0; 114279000.0; 8419075000.000001; 11804480000.0; 817170000.0; 12516010000.0; 212097000.0; 13085790000.0; 13902960000.0; 567000.0; -2471575000.0; -23717000.0; ; -2098480000.0; 11804480000.0
2018-03-31; 1011007000.0; 644985000.0; 767232000.0; 46880000.0; ; 2470104000.0; 352456000.0; ; 7459114000.0; 113003000.0; 7924573000.0; 10394680000.0; 812835000.0; 11365790000.0; 166047000.0; 11891180000.0; 12704010000.0; 565000.0; -2684832000.0; 6519000.0; ; -2309337000.0; 10394680000.0
2017-12-31; 857862000.0; 556743000.0; 743868000.0; 36578000.0; 76282000.0; 2271333000.0; 327253000.0; ; 7448525000.0; 65016000.00000001; 7840794000.0; 10112130000.0; 823421000.0; 11378320000.0; 170660000.0; 11888420000.0; 12711840000.0; 563000.0; -2876954000.0; -61743000.0; ; -2599713000.0; 10112130000.0
2017-09-30; 650561000.0; 636127000.0; 730681000.0; 38683000.0; 77500000.0; 2133552000.0000002; 324924000.0; 15809000.0; 7463200000.0; 38176000.0; 7842109000.0; 9975661000.0; 870994000.0; 11393620000.0; 161302000.0; 12055870000.0; 12926870000.0; 561000.0; -3187220000.0; -85143000.0; ; -2951204000.0; 9975661000.0
2017-06-30; 970556000.0; 606005000.0; 743579000.0; 66890000.0; ; 2387030000.0; 326325000.0; ; 7553232000.0; 49849000.0; 7929407000.0; 10316440000.0; 730717000.0; 10828200000.0; 153499000.0; 11481160000.0; 12211880000.0; 560000.0; -2088761000.0; -112696000.0; ; -1895445000.0; 10316440000.0
2017-03-31; 985389000.0; 573952000.0; 725025000.0; 36063000.0; ; 2320429000.0; 319403000.0; ; 7488243000.0; 59252000.0; 7866898000.0; 10187330000.0; 732639000.0; 10839280000.0; 135257000.0; 11493450000.0; 12226090000.0; 560000.0; -2248578000.0; -128835000.00000001; ; -2038764000.0; 10187330000.0
2016-12-31; 972360000.0; 512784000.0; 715381000.0; 34893000.0; ; 2235418000.0; 314557000.0; ; 7422579000.0; 64568000.0; 7801704000.0; 10037120000.0; 698918000.0; 10555950000.0; 141216000.0; 11212830000.0; 11911750000.0; 558000.0; -2394489000.0; -139064000.0; ; -1874625000.0; 10037120000.0
2016-09-30; 1586994000.0; 576339000.0; 724011000.0; 43353000.0; ; 2930697000.0; 310580000.0; ; 7443795000.0; 41205000.0; 7795580000.0; 10726280000.0; 752603000.0; 9943191000.0; 189718000.0; 10625160000.0; 11377770000.0; 558000.0; -1146963000.0; -149787000.0; ; -651490000.0; 10726280000.0
2016-06-30; 1666695000.0; 525815000.00000006; 706069000.0; 33555000.0; ; 2932134000.0; 283906000.0; ; 7314822000.0; 39607000.0; 7638335000.0; 10570470000.0; 727321000.0; 9953094000.0; 184560000.0; 10651400000.0; 11378720000.0; 557000.0; -1334773000.0; -137540000.0; ; -808248000.0; 10570470000.0
2016-03-31; 612015000.0; 480579000.0; 634129000.0; 31277000.0; ; 1758000000.0; 275849000.0; ; 6290966000.0; 34659000.0; 6601474000.0; 8359474000.0; 675996000.0; 8091934000.0; 156867000.0; 8645296000.0; 9321292000.0; 554000.0; -1471705000.0; -109848000.0; ; -961818000.0; 8359474000.0
2015-12-31; 805291000.0; 427265000.0; 599311000.0; 28908000.0; ; 1860775000.0; 268028000.00000003; ; 6170946000.0; 30229000.0; 6469203000.0; 8329977999.999999; 656442000.0; 8099159000.0; 128537000.0; 8637807000.0; 9294248000.0; 553000.0; -1606443000.0; -96101000.0; ; -964270000.0; 8329977999.999999
2015-09-30; 714033000.0; 444072000.0; 591401000.0; 37081000.0; ; 1786587000.0; 260684000.00000003; ; 6226071000.0; 30593000.0; 6517348000.0; 8303934999.999999; 657594000.0; 8106383000.0; 173267000.0; 8684646000.0; 9342241000.0; 551000.0; -1717232000.0; -96009000.0; ; -1038306000.0; 8303934999.999999
2015-06-30; 915350000.0; 419955000.0; 574186000.0; 82372000.0; ; 2029486000.0; 250923000.0; ; 5967159000.0; 22694000.0; 6320896000.0; 8350382000.0; 679689000.0; 8204861999.999999; 141255000.0; 8839718000.0; 9519407000.0; 549000.0; -1857075000.0; -58592000.0; ; -1169025000.0; 8350382000.0
2015-03-31; 392519000.0; 419636000.0; 553057000.0; 65465000.0; ; 1467322000.0; 232335000.0; ; 5419958000.0; 22111000.0; 5758890000.0; 7226212000.0; 613516000.0; 7299262000.0; 156239000.0; 7938904000.0; 8552420000.0; 547000.0; -1952185000.0; -84408000.0; ; -1326208000.0; 7226212000.0
2014-12-31; 1011629000.0; 333510000.0; 470847000.0; 23557000.0; ; 1876351000.0; 211822000.0; ; 4716335000.0; 20629000.0; 5037221000.0; 6913572000.0; 645052000.0; 7233836000.0; 102686000.0; 7733253000.0; 8378305000.0; 540000.0; -2059181000.0; -46457000.0; ; -1464733000.0; 6913572000.0
2014-09-30; 819548000.0; 351307000.0; 459074000.0; 21978000.0; ; 1689576000.0; 212108000.0; ; 4742230000.0; 112934000.0; 5067272000.0; 6756848000.0; 585907000.0; 7233836000.0; 90957000.0; 7727040000.0; 8312947000.0; 538000.0; -2150293000.0; -25171000.0; ; -1556099000.0; 6756848000.0
2014-06-30; 729134000.0; 353318000.0; 461629000.0; 55195000.0; ; 1624771000.0; 209353000.0; ; 4767791000.0; 16570000.0; 5086220000.0; 6710991000.0; 551721000.0; 7251421000.0; 93831000.0; 7750777000.0; 8302498000.0; 535000.0; -2260677000.0; -6845000.0; ; -1591507000.0; 6710991000.0
2014-03-31; 475691000.0; 342379000.0; 458463000.0; 22877000.0; ; 1328017000.0; 208713000.0; ; 4779264000.0; 16419000.0; 5071321000.0; 6399338000.0; 352478000.0; 5692432000.0; 76069000.0; 6172489000.0; 6524967000.0; 534000.0; -831889000.0; -631000.0; ; -125629000.0; 6399338000.0
2013-12-31; 410924000.0; 322439000.0; 443051000.0; 16248000.000000002; ; 1221093000.0; 219222000.0; ; 4767869000.0; 13752000.0; 5071394000.0; 6292487000.0; 338649000.0; 5700193000.0; 70483000.0; 6188020000.0; 6526669000.0; 532000.0; -919460000.0; 195000.0; ; -234182000.0; 6292487000.0
2013-09-30; 564740000.0; 290449000.0; 413581000.0; 21543000.0; ; 1320495000.0; 208964000.0; ; 4533397000.0; 13355000.0; 4828384000.0; 6148879000.0; 322500000.0; 5700193000.0; 78266000.0; 6162760000.0; 6485260000.0; 532000.0; -1004244000.0; -6516000.0; ; -336381000.0; 6148879000.0
2013-06-30; 269172000.0; 287895000.0; 413950000.0; 43012000.0; ; 1040877999.9999999; 198558000.0; ; 4517032000.0; 13052000.0; 4771782000.0; 5812660000.0; 257450000.0; 4317000000.0; 47789000.0; 4753484000.0; 5010934000.0; 530000.0; 172636000.0; -13222000.0; ; 801726000.0; 5812660000.0
2013-03-31; 680024000.0; 243072000.0; 340175000.0; 40755000.0; ; 1327658000.0; 175442000.0; ; 4135689000.0000005; 10328000.0; 4366434000.0; 5694092000.0; 259261000.00000003; 4322500000.0; 65674000.00000001; 4749462000.0; 5008723000.0; 529000.0; 95981000.0; -15538000.0; ; 685369000.0; 5694092000.0
2012-12-31; 554431000.0; 218660000.0; 332468000.0; 25047000.0; ; 1155396000.0; 174546000.0; ; 4140537000.0000005; 10117000.0; 4394220000.0; 5549616000.0; 233703000.0; 4297125000.0; 65177000.00000001; 4717066000.0; 4950769000.0; 525000.0; 28044000.0; -6213000.0; ; 598847000.0; 5549616000.0
2012-09-30; 440524000.0; 235783000.0; 320503000.0; 24587000.0; ; 1050531000.0; 172737000.0; ; 4159112000.0; 15047000.0; 4409085000.0; 5459617000.0; 233915000.0; 3598625000.0; 51347000.0; 4006868000.0; 4240783000.0000005; 521000.0; 689229000.0; -8051000.0; ; 1218834000.0; 5459617000.0
2012-06-30; 302718000.0; 250701000.0; 328077000.0; 9104000.0; ; 914251000.0; 170055000.0; ; 4142058000.0; 13986000.0; 4391691000.0; 5305942000.0; 183158000.0; 3603750000.0; 64658000.0; 4016135000.0; 4199292999.9999995; 519000.0; 601363000.0; -11771000.0; ; 1106649000.0; 5305942000.0
2012-03-31; 201481000.0; 252658000.0; 326605000.0; 10568000.0; ; 815082000.0; 174378000.0; ; 4128113000.0000005; 13693000.0; 4384781000.0; 5199863000.0; 210301000.0; 3608875000.0; 62964000.0; 3994639000.0; 4204939999.9999995; 515000.0; 510917000.0; -5274000.0; ; 994923000.0; 5199863000.0
2011-12-31; 359900000.0; 174698000.0; 274173000.0; 6170000.0; ; 840041000.0; 149822000.0; ; 3489691000.0; 9356000.0; 3705295000.0; 4545336000.0; 164734000.0; 3119000000.0; 60934000.0; 3493534000.0; 3658268000.0; 511000.0; 429365000.0; -7618000.0; ; 887068000.0; 4545336000.0
2011-09-30; 376183000.0; 189293000.0; 265317000.0; 8655000.0; ; 870292000.0; 150800000.0; ; 3424113000.0; 9424000.0; 3643344000.0; 4513636000.0; 206859000.0; 3122875000.0; 62502000.0; 3495828000.0; 3702687000.0; 508000.0; 364260000.0; -3277000.0; ; 810949000.0; 4513636000.0
2011-06-30; 549251000.0; 164582000.0; 250714000.0; 5979000.0; ; 996868000.0; 134604000.0; ; 3184356000.0; 7706000.0; 3388151000.0; 4385019000.0; 154762000.0; 3126750000.0; 48317000.0; 3494934000.0; 3649696000.0; 506000.0; 296865000.0; 2522000.0; ; 735323000.0; 4385019000.0
2011-03-31; 505337000.0; 162389000.0; 245763000.0; 5801000.0; ; 964044000.0; 135885000.0; ; 3217774000.0; 4892000.0; 3422424000.0; 4386468000.0; 217751000.0; 3130625000.0; 51829000.0; 3501691000.0; 3719442000.0; 505000.0; 240585000.0; -994000.0; ; 667026000.0; 4386468000.0
2010-12-31; 234308000.0; 158427000.0; 252521000.0; 19522000.0; ; 677705000.0; 150008000.0; ; 3318634000.0; 5547000.0; 3535207000.0; 4212912000.0000005; 168584000.0; 3134500000.0; 57693000.0; 3448066000.0; 3616650000.0; 501000.0; 184779000.0; -2171000.0; ; 596262000.0; 4212912000.0000005
2010-09-30; 234112000.0; 134461000.0; 188756000.0; 10979000.0; ; 583508000.0; 99613000.0; ; 1972058000.0; 3990000.0; 2094310000.0; 2677818000.0; 113012000.0; 1771646000.0; 31593000.0; 1971827000.0; 2084839000.0; 499000.0; 192126000.0; -3800000.0; ; 592979000.0; 2677818000.0
2010-06-30; 258389000.0; 120447000.0; 174080000.0; 12844000.0; ; 581360000.0; 98448000.0; ; 1912146000.0; 3971000.0; 2034596000.0; 2615956000.0; 113955000.0; 1771120000.0; 34573000.0; 1966155000.0; 2080110000.0000002; 498000.0; 140779000.0; -3402000.0; ; 535846000.0; 2615956000.0
2010-03-31; 187349000.0; 112348000.0; 174230000.0; 17760000.0; ; 505887000.0; 99305000.0; ; 1915058000.0; 3831000.0; 2039385000.0; 2545272000.0; 91947000.0; 1770594000.0; 35730000.0; 1967109000.0; 2059056000.0; 497000.0; 96773000.0; -4513000.0; ; 486216000.0; 2545272000.0
2009-12-31; 161956000.0; 103406000.0; 175718000.0; 9713000.0; ; 468293000.0; 100850000.0; ; 1907860000.0; 5376000.0; 2036601000.0; 2504894000.0; 101370000.0; 1770068000.0; 28470000.0; 1962512000.0; 2063882000.0; 495000.0; 58727000.0; -5167000.0; ; 441012000.0; 2504894000.0
