Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 278800000.0; 1129300000.0; 821500000.0; 107800000.0; ; 2337400000.0; 774200000.0; ; 10513400000.0; 139900000.0; 11710100000.0; 14047500000.0; 1403000000.0; 3645700000.0; 429100000.0; 4782600000.0; 6185600000.0; 500000.0; 4157100000.0000005; -605000000.0; ; 7861900000.0; 14047500000.0
2022-03-31; 284300000.0; 1132400000.0; 801300000.0; 119400000.0; ; 2337400000.0; 807300000.0; ; 10659800000.0; 169800000.0; 11913700000.0; 14251100000.0; 1408300000.0; 3831800000.0; 426300000.0; 5010400000.0; 6418700000.0; 500000.0; 3985800000.0; -451900000.0; ; 7832400000.0; 14251100000.0
2021-12-31; 474700000.0; 1083800000.0; 752900000.0; 118000000.0; ; 2429400000.0; 827500000.0; ; 10728300000.0; 176900000.0; 12000900000.0; 14430300000.0; 1498400000.0; 4099399999.9999995; 447000000.0; 5309900000.0; 6808300000.0; 500000.0; 3773200000.0; -430000000.0; ; 7622000000.0; 14430300000.0
2021-09-30; 551800000.0; 1031300000.0; 833200000.0; 118600000.0; ; 2534900000.0; 858100000.0; ; 10604700000.0; 225100000.0; 11912600000.0; 14447500000.0; 1421800000.0; 4441700000.0; 395400000.0; 5609100000.0; 7030900000.0; 500000.0; 3611400000.0; -460800000.0; ; 7416600000.0; 14447500000.0
2021-06-30; 695100000.0; 963300000.0; 867200000.0; 125300000.0; ; 2650900000.0; 873000000.0; ; 10281700000.0; 193600000.0; 11572000000.0; 14222900000.0; 1053300000.0; 4742000000.0; 351900000.0; 5857200000.0; 6910500000.0; 500000.0; 3477300000.0; -416700000.0; ; 7312400000.0; 14222900000.0
2021-03-31; 3234200000.0; 639200000.0; 328000000.0; 79200000.0; ; 4280600000.0000005; 484700000.0; ; 2537200000.0; 122200000.0; 3337800000.0; 7618400000.0; 652400000.0; 3243300000.0; 274500000.0; 3629700000.0; 4282100000.0000005; 400000.0; 3412600000.0; -424900000.0; ; 3336300000.0; 7618400000.0
2020-12-31; 673100000.0; 624100000.0; 347300000.0; 78100000.0; ; 1722600000.0; 489300000.0; ; 2559700000.0; 245300000.0; 3362200000.0; 5084800000.0; 760900000.0; 680900000.0; 375400000.0; 1095300000.0; 1856200000.0; 400000.0; 3327900000.0; -430100000.0; ; 3228600000.0; 5084800000.0
2020-09-30; 454500000.0; 650200000.0; 365400000.0; 65000000.0; ; 1535100000.0; 475700000.0; ; 2500100000.0; 111200000.0; 3301900000.0; 4837000000.0; 671200000.0; 761100000.0; 261700000.0; 1139800000.0; 1811000000.0; 400000.0; 3195800000.0; -486800000.0; ; 3026000000.0; 4837000000.0
2020-06-30; 382800000.0; 653000000.0; 392300000.0; 55700000.0; ; 1483800000.0; 475400000.0; ; 2470500000.0; 105000000.0; 3254400000.0; 4738200000.0; 752200000.0; 750800000.0; 243600000.0; 1106100000.0; 1858300000.0; 400000.0; 3101900000.0; -531000000.0; ; 2879900000.0; 4738200000.0
2020-03-31; 231400000.0; 668100000.0; 401100000.0; 63200000.0; ; 1363800000.0; 475500000.0; ; 2465500000.0; 79600000.0; 3221200000.0; 4585000000.0; 759600000.0; 749100000.0; 208100000.0; 1072400000.0000001; 1832000000.0; 400000.0; 3008200000.0; -539500000.0; ; 2753000000.0; 4585000000.0
2019-12-31; 199500000.0; 660900000.0; 393400000.0; 59900000.0; ; 1313700000.0; 487900000.0; ; 2481300000.0; 225100000.0; 3266100000.0; 4579800000.0; 763200000.0; 750000000.0; 351900000.0; 1101900000.0; 1865100000.0; 400000.0; 2926000000.0; -475800000.0; ; 2714700000.0; 4579800000.0
2019-09-30; 128500000.0; 643700000.0; 404400000.0; 61500000.0; ; 1238100000.0; 468200000.0; ; 2447700000.0; 87400000.0; 3241500000.0; 4479600000.0; 835500000.0; 719300000.0; 231200000.0; 1073099999.9999999; 1908600000.0; 400000.0; 2810300000.0; -491800000.0; ; 2571000000.0; 4479600000.0
2019-06-30; 108100000.0; 608800000.0; 390400000.0; 53700000.0; ; 1161000000.0; 450900000.0; ; 2267900000.0; 89400000.0; 3039200000.0; 4200200000.0; 711000000.0; 656200000.0; 238100000.0; 1016200000.0; 1727200000.0; 400000.0; 2703600000.0; -468200000.0; ; 2473000000.0; 4200200000.0
2019-03-31; 106200000.0; 564400000.0; 393000000.0; 53900000.0; ; 1117500000.0; 450700000.0; ; 2274100000.0; 90300000.0; 3044200000.0; 4161700000.0; 723700000.0; 724600000.0; 237900000.0; 1088500000.0; 1812200000.0; 400000.0; 2599000000.0; -469800000.0; ; 2349500000.0; 4161700000.0
2018-12-31; 142500000.0; 561800000.0; 364300000.0; 45800000.0; ; 1114400000.0; 442600000.0; ; 2079500000.0; 84600000.0; 2694900000.0; 3809300000.0; 720800000.0; 610100000.0; 248700000.0; 858800000.0; 1579600000.0; 400000.0; 2523700000.0; -493200000.0; ; 2229700000.0; 3809300000.0
2018-09-30; 126100000.0; 551800000.0; 377600000.0; 54100000.0; ; 1109600000.0; 446100000.0; ; 2113300000.0000002; 86200000.0; 2803600000.0; 3913200000.0; 588000000.0; 823000000.0; 285400000.0; 1108400000.0; 1696400000.0; 400000.0; 2432500000.0; -407600000.0; ; 2216800000.0; 3913200000.0
