Date; Cash On Hand; Receivables; Inventory; Pre-Paid Expenses; Other Current Assets; Total Current Assets; Property, Plant, And Equipment; Long-Term Investments; Goodwill And Intangible Assets; Other Long-Term Assets; Total Long-Term Assets; Total Assets; Total Current Liabilities; Long Term Debt; Other Non-Current Liabilities; Total Long Term Liabilities; Total Liabilities; Common Stock Net; Retained Earnings (Accumulated Deficit); Comprehensive Income; Other Share Holders Equity; Share Holder Equity; Total Liabilities And Share Holders Equity
2022-06-30; 1841400000.0; 773800000.0; ; 255700000.0; 165100000.0; 3036000000.0; 300200000.0; ; 12681800000.0; 485200000.0; 14708900000.0; 17744900000.0; 3286700000.0; 2935500000.0; 404600000.0; 4795900000.0; 8082600000.0; 1900000.0; 2185000000.0; -120500000.0; ; 9662300000.0; 17744900000.0
2022-03-31; 2912000000.0; 579400000.0; ; 193400000.0; 186300000.0; 3871100000.0; 242000000.0; ; 941100000.0; 445200000.0; 2675200000.0; 6546300000.0; 2105000000.0; ; 327600000.0; 631600000.0; 2736600000.0; 1400000.0; 2289000000.0; -57300000.0; ; 3809700000.0; 6546300000.0
2021-12-31; 2732764000.0; 647907000.0; 11678000.0; 249719000.0; 47576000.0; 3705013000.0; 235957000.0; ; 954294000.0; 434542000.0; 2652940000.0; 6357953000.0; 2072344999.9999998; ; 342007000.0; 619871000.0; 2692216000.0; 1391000.0; 2178021000.0; -34583000.0; ; 3665737000.0; 6357953000.0
2021-09-30; 3051900000.0; 804468000.0; 12579000.0; 307370000.0; 54540000.0; 4243457999.9999995; 231230000.0; ; 950675000.0; 288453000.0; 2375573000.0; 6619031000.0; 2566873000.0; ; 323522000.0; 582490000.0; 3149363000.0; 1390000.0; 2033524000.0; -19747000.0; ; 3469668000.0; 6619031000.0
2021-06-30; 3189133000.0; 487171000.0; 11491000.0; 300377000.0; 14620000.0; 4013612000.0; 224880000.0; ; 951298000.0; 275411000.0; 2300643000.0; 6314255000.0; 2165329000.0; ; 309350000.0; 517619000.0; 2682948000.0; 1389000.0; 2023227000.0; -2770000.0; ; 3631307000.0; 6314255000.0
2021-03-31; 3270398000.0; 552762000.0; 17742000.0; 320646000.0; 43443000.0; 4220515000.0000005; 149364000.0; ; 656897000.0; 255581000.0; 1807703000.0; 6028218000.0; 2234715000.0; ; 264637999.99999997; 461611000.0; 2696326000.0; 1376000.0; 1870971000.0; -8664000.0; ; 3331892000.0; 6028218000.0
2020-12-31; 3186934000.0; 581136000.0; 26733000.0; 296518000.0; 48784000.0; 4159959000.0; 135257000.0; ; 652153000.0; 292966000.0; 1806140000.0; 5966099000.0; 2341789000.0; ; 280371000.0; 469019000.0; 2810808000.0; 1375000.0; 1652159000.0; -5584000.0; ; 3155291000.0; 5966099000.0
2020-09-30; 2836030000.0; 787818000.0; 26934000.0; 192192000.0; 73714000.0; 3932098000.0; 133404000.0; ; 647392000.0; 445868000.0; 1904056000.0; 5836154000.0; 2325835000.0; ; 425364000.0; 609037000.0; 2934872000.0; 1373000.0; 1469911000.0; -34824000.0; ; 2901282000.0; 5836154000.0
2020-06-30; 2752571000.0; 685169000.0; 19486000.0; 183712000.0; 31714000.0; 3686933000.0; 128904000.0; ; 436571000.0; 427961000.0; 1682308000.0; 5369241000.0; 2148740000.0; ; 383116000.0; 569473000.0; 2718213000.0; 1367000.0; 1370590000.0; -52131000.0; ; 2651028000.0; 5369241000.0
2020-03-31; 2548271000.0; 592555000.0; 19108000.0; 273503000.0; 40316000.0; 3493351000.0; 131888000.0; ; 437754000.0; 213101000.0; 1455481000.0; 4948832000.0; 2038539000.0; ; 190651000.0; 371049000.0; 2409588000.0; 1359000.0; 1282085000.0; -58376000.0; ; 2539244000.0; 4948832000.0
