Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -593000000.0; -437000000.0; 0.0; 0.0; 1298000000.0; -5000000.0; 1293000000.0; -72000000.0; 784000000.0; -254000000.0; 0.0; -254000000.0; 16000000.0; 16000000.0; 0.0; -14000000.0; -252000000.0; -61000000.0; 0.0; 0.0
2022-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1739000000.0; -587000000.0; 0.0; 0.0; -12000000.0; -236000000.0; -248000000.0; -94000000.0; -929000000.0; -791000000.0; 0.0; -791000000.0; -16000000.0; -16000000.0; 0.0; 22000000.0; -785000000.0; 25000000.0; 0.0; 0.0
2022-03-31; 0.0; ; ; ; ; ; ; ; ; 1185000000.0; -799000000.0; ; ; 54000000.0; 36000000.0; 90000000.0; -62000000.0; -771000000.0; -294000000.0; ; -294000000.0; ; ; ; -16000000.0; -310000000.0; 104000000.0; ; 
2021-12-31; -1993000000.0; 2335000000.0; -717000000.0; 1618000000.0; -304000000.0; 0.0; 0.0; 884000000.0; 1041000000.0; -1200000000.0; -171000000.0; 0.0; 0.0; 2017000000.0; -23000000.0; 1994000000.0; -85000000.0; 1738000000.0; -610000000.0; 0.0; -610000000.0; -18000000.0; -18000000.0; 0.0; 67000000.0; -561000000.0; -23000000.0; 98000000.0; 0.0
2021-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1740000000.0; -123000000.0; 0.0; 0.0; 3458000000.0; 0.0; 3458000000.0; -20000000.0; 3315000000.0; -1599000000.0; 0.0; -1599000000.0; 13000000.0; 13000000.0; 0.0; -23000000.0; -1609000000.0; -34000000.0; 0.0; 0.0
2021-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 3470000000.0; 152000000.0; 0.0; 0.0; -4265000000.0; 194000000.0; -4071000000.0; 35000000.0; -3884000000.0; 249000000.0; 0.0; 249000000.0; 131000000.0; 131000000.0; 0.0; 65000000.0; 445000000.0; 31000000.0; 0.0; 0.0
2021-03-31; 0.0; ; ; ; ; ; ; ; ; 174000000.0; 127000000.0; ; ; -7142000000.0; -194000000.0; -7336000000.0; 57000000.0; -7152000000.0; 6807000000.0; ; 6807000000.0; 316000000.0; 316000000.0; ; -110000000.0; 7013000000.0; 35000000.0; ; 
2020-12-31; -8885000000.0; 2370000000.0; -1292000000.0; 1078000000.0; 538000000.0; 0.0; 0.0; 1305000000.0; 1217000000.0; -2863000000.0; -48000000.0; 0.0; 0.0; 1422000000.0; 41000000.0; 1463000000.0; 281000000.0; 1696000000.0; -301000000.0; 0.0; -301000000.0; 1443000000.0; 1443000000.0; 0.0; 127000000.0; 1269000000.0; 102000000.0; 91000000.0; 0.0
2020-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2604000000.0; -474000000.0; 0.0; 0.0; 1391000000.0; 0.0; 1391000000.0; 6000000.0; 923000000.0; 1559000000.0; 0.0; 1559000000.0; 0.0; 0.0; 0.0; -48000000.0; 1511000000.0; -170000000.0; 0.0; 0.0
2020-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -908000000.0; -275000000.0; 0.0; 0.0; -6608000000.0; 0.0; -6608000000.0; 84000000.0; -6799000000.0; 6215000000.0; 0.0; 6215000000.0; 1525000000.0; 1525000000.0; 0.0; -52000000.0; 7688000000.0; -19000000.0; 0.0; 0.0
2020-03-31; 0.0; ; ; ; ; ; ; ; ; -168000000.0; -810000000.0; ; ; 417000000.0; ; 417000000.0; 231000000.0; -162000000.0; 772000000.0; ; 772000000.0; -171000000.0; -171000000.0; -43000000.0; -32000000.0; 526000000.0; 196000000.0; ; -43000000.0
2019-12-31; 1686000000.0; 2318000000.0; 740000000.0; 3058000000.0; 73000000.0; 0.0; 0.0; -1267000000.0; -867000000.0; 600000000.0; -1127000000.0; 0.0; 0.0; 1311000000.0; 2000000.0; 1313000000.0; 453000000.0; 639000000.0; -945000000.0; 0.0; -945000000.0; -272000000.0; -272000000.0; -43000000.0; -12000000.0; -1272000000.0; -33000000.0; 94000000.0; -43000000.0
2019-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 828000000.0; -783000000.0; 0.0; 0.0; 236000000.0; 0.0; 236000000.0; 78000000.0; -469000000.0; -93000000.0; 0.0; -93000000.0; -200000000.0; -200000000.0; -45000000.0; -28000000.0; -366000000.0; -7000000.0; 0.0; -45000000.0
2019-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 736000000.0; -1006000000.0; 0.0; 0.0; -1071000000.0; -2000000.0; -1073000000.0; 146000000.0; -1933000000.0; 1257000000.0; 0.0; 1257000000.0; -17000000.0; -17000000.0; -44000000.0; -17000000.0; 1179000000.0; -18000000.0; 0.0; -44000000.0
2019-03-31; 0.0; ; ; ; ; ; ; ; ; 1651000000.0; -1298000000.0; ; ; 481000000.0; ; 481000000.0; 337000000.0; -480000000.0; -449000000.0; ; -449000000.0; -608000000.0; -608000000.0; -46000000.0; -6000000.0; -1109000000.0; 62000000.0; ; -46000000.0
2018-12-31; 1412000000.0; 2159000000.0; 625000000.0; 2784000000.0; 222000000.0; 0.0; 0.0; -641000000.0; -566000000.0; 716000000.0; -1758000000.0; 0.0; 0.0; 67000000.0; 207000000.0; 274000000.0; 1094000000.0; -390000000.0; -296000000.0; 0.0; -296000000.0; 0.0; 0.0; -46000000.0; -12000000.0; -354000000.0; -28000000.0; 86000000.0; -46000000.0
2018-09-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -77000000.0; -403000000.0; 0.0; 0.0; -140000000.0; 0.0; -140000000.0; -5000000.0; -548000000.0; 701000000.0; 0.0; 701000000.0; 0.0; 0.0; -46000000.0; -21000000.0; 634000000.0; 9000000.0; 0.0; -46000000.0
2018-06-30; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1094000000.0; -716000000.0; 0.0; 0.0; 637000000.0; 0.0; 637000000.0; 0.0; -79000000.0; -660000000.0; 0.0; -660000000.0; -376000000.0; -376000000.0; -46000000.0; -28000000.0; -1110000000.0; -95000000.0; 0.0; -46000000.0
