Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 363203000.0; 251466000.0; 29742000.0; 281208000.0; -1110031000.0; -497370000.0; 1476201000.0; 108607000.0; -235789000.0; 408622000.0; -113389000.0; 0.0; 258082000.0; 0.0; 0.0; 0.0; -1236000.0; 143457000.0; -423565000.0; 56052000.0; -367512900.0; -226045000.0; -226045000.0; -97316000.0; -3858000.0; -694732000.0; -170748000.0; 14395000.0; -97316000.0
2022-03-31; 555245000.0; 179634000.0; 22134000.0; 201768000.0; -1195948000.0; 774514000.0; -225645000.0; -15870000.0; -490428100.0; 266584999.99999997; -129651999.99999999; 0.0; -61517000.0; 0.0; 0.0; 0.0; -2875000.0; -194044000.0; -232618000.0; 30313900.0; -202304200.0; 22640000.0; 22640000.0; -97382000.0; -1118000.0; -278164000.0; -209578000.0; 19645000.0; -97382000.0
2021-12-31; 449416000.0; 180402000.0; 41250000.0; 221652000.0; 755017000.0; -989993000.0; 824056000.0; -33043000.0; 192343100.0; 863411000.0; -79691000.0; ; -62641000.0; ; ; ; -788000.0; -143120000.0; -16521999.999999998; 10036000.0; -6486000.0; 38937000.0; 38937000.0; -100541000.0; -38333000.0; -106423000.0; 612252000.0; 42920000.0; -100541000.0
2021-09-30; 436448000.0; 174297000.0; -19594000.0; 154702900.0; -546681000.0; -521635999.99999994; 1806748000.0; -68723000.0; 418666000.0; 1009817000.0; -150371000.0; 0.0; -26323000.0; 0.0; 0.0; 0.0; 5345000.0; -171349000.0; -283172000.0; -120591300.0; -403763000.0; 34453000.0; 34453000.0; -92607000.0; 17310000.0; -444607000.0; 388385000.0; 18129000.0; -92607000.0
2021-06-30; 295448000.0; 131124000.0; 53670000.0; 184794000.0; -80211000.0; -280414000.0; 534974000.00000006; 106435000.0; 727377100.0; 1207619000.0; -121795000.0; 0.0; -5536717000.0; 0.0; 0.0; 0.0; 2516000.0; -5655996000.0; 553018000.0; -2347900.0; 550670000.0; 33971000.0; 33971000.0; -91676000.0; -4025000.0000000005; 488940000.0; -3959437000.0; 14355000.0; -91676000.0
2021-03-31; 434005000.0; 105082000.0; 75360000.0; 180442000.0; 699090000.0; 231165000.0; -2014050000.0; -1682000.0; -1068350100.0000001; -453903000.0; -86202000.0; 0.0; 0.0; 0.0; -162620000.0; -162620000.0; 0.0; -248822000.0; 2493071000.0; 7824000.0; 2500895000.0; 46135000.0; 46135000.0; -91262000.0; -2781000.0; 2452987000.0; 1750262000.0; 18793000.0; -91262000.0
2020-12-31; 378707000.0; 104283000.0; 130434000.0; 234717000.0; -735724000.0; -545459000.0; 1721495000.0; -18213000.0; 289629000.0; 903053000.0; -65410000.0; ; ; ; ; ; ; -65410000.0; -431250000.0; ; -431250000.0; 2041000.0; 2041000.0; -91103000.0; -24159000.0; -544471000.0; 293172000.0; 48317000.0; -91103000.0
2020-09-30; -4844505000.0; 99060000.0; -1583495000.0; -1484435000.0; -1085158000.0; -710315000.0; 2476727000.0; -47533000.0; 7628172000.0; 1299232000.0; -82212000.0; 0.0; 0.0; 0.0; -21250000.0; -21250000.0; 1698000.0; -101764000.0; -21046000.0; 0.0; -21046000.0; 21785000.0; 21785000.0; -86814000.0; 66081000.0; -19994000.0; 1177474000.0; 16832000.0; -86814000.0
2020-06-30; 287268000.0; 98785000.0; 79239000.0; 178024100.0; 1719449000.0; -758469000.0; -1571742000.0; 27177000.0; -553190900.0; -87899000.0; -106719000.0; 0.0; 0.0; 0.0; -4250000.0; -4250000.0; 662000.0; -110307000.0; 21824000.0; -33731000.0; -11907000.0; 47694000.0; 47694000.0; -86223000.0; -23024000.0; -73460000.0; -271666000.0; 11816000.0; -86223000.0
2020-03-31; 971111000.0; 100823000.0; 202138000.0; 302961000.0; -2437173000.0; 478621000.0; 1608810000.0; 217000.0; -421175100.0; 852897000.0; -77077000.0; 0.0; 0.0; 0.0; -30580000.0; -30580000.0; 2196000.0; -105461000.0; 10735000.0; 4192999.9999999995; 14928000.0; -215380000.0; -215380000.0; -87453000.0; -197000.0; -288102000.0; 459334000.0; 14389000.0; -87453000.0
2019-12-31; 186568000.0; 109345000.0; 231675000.0; 341020000.0; -308678000.0; -630980000.0; 787037000.0; 1363000.0; -384778000.0; 142810000.0; -67305000.0; ; ; ; ; ; 4966000.0; -62339000.0; -10485000.0; -3496000.0; -13981000.0; -115015000.0; -115015000.0; -83088000.0; -9977000.0; -222061000.0; -141590000.0; 31374000.0; -83088000.0
2019-09-30; 132306999.99999999; 113387000.0; 50063000.0; 163450000.0; -571982000.0; 112158000.0; 596381000.0; 316000.0; 377065000.0; 672822000.0; -78160000.0; 0.0; 93000.0; 0.0; 0.0; 0.0; -732000.0; -78799000.0; -2562000.0; -18000.0; -2580000.0; -129878999.99999999; -129878999.99999999; -83910000.0; -3019000.0; -219388000.0; 374635000.0; 10443000.0; -83910000.0
2019-06-30; 302002000.0; 112296000.0; 24541000.0; 136836900.0; 208063000.0; 140042000.0; -386061000.0; 11649000.0; 129030000.0; 567869000.0; -69279000.0; 0.0; -11646000.0; 0.0; 0.0; 0.0; -4881000.0; -85806000.0; 16056999.999999998; -130532999.99999999; -114476000.0; -157549000.0; -157549000.0; -84636000.0; -1593000.0; -358254000.0; 123809000.0; 10562000.0; -84636000.0
2019-03-31; 28073000.0; 136597000.0; 476901000.0; 613498100.0; -221915000.0; 478585000.0; -147915000.0; 9174000.0; -17206900.0; 624364000.0; -82255000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1354000.0; -83609000.0; -14015000.0; -10444000.0; -24459000.0; -93761000.0; -93761000.0; -84893000.0; -2048000.0; -205161000.0; 335594000.0; 6101000.0; -84893000.0
2018-12-31; 391753000.0; 135232000.0; 71673000.0; 206905000.0; -658890000.0; -898775000.0; 1498643000.0; -26610000.0; -119690100.0; 478968000.0; -79233000.0; ; -52398000.0; ; ; ; 4013000.0; -127618000.0; -3395000.0; 11837000.0; 8442000.0; -216608000.0; -216608000.0; -85535000.0; -10009000.0; -303710000.0; 47640000.0; 31768000.0; -85535000.0
2018-09-30; 194004000.0; 187141000.0; 56236000.0; 243377000.0; 449861000.0; 46801000.0; 395097000.0; 4123000.0; 227964000.0; 665345000.0; -79952000.0; 0.0; -2037000.0; 0.0; 0.0; 0.0; -3253000.0; -85242000.0; -48393800.0; -15070300.0; -63464200.0; -327844000.0; -327844000.0; -82077000.0; -3130000.0; -476515000.0; 103588000.0; 8712000.0; -82077000.0
2018-06-30; 277875000.0; 145418000.0; 28065000.0; 173483000.0; -517245000.0; 753440000.0; 79561000.0; 10486000.0; 371927100.0; 823285000.0; -79543000.0; 0.0; -6177000.0; 0.0; 0.0; 0.0; -4730000.0; -90450000.0; -120180200.0; -1384800.0; -121564900.0; -227963000.0; -227963000.0; -83431000.0; -2307000.0; -435266000.0; 297569000.0; 9396000.0; -83431000.0
2018-03-31; 282160000.0; 125510000.0; 135339000.0; 260849000.0; -682010000.0; -345037000.0; 443601000.0; -81083000.0; -630577100.0; -87568000.0; -95175000.0; 0.0; -706755000.0; 0.0; 0.0; 0.0; 8831000.0; -793099000.0; -34479900.0; 11010700.0; -23469200.0; 47950000.0; 47950000.0; -83978000.0; -6224000.0; -65721000.0; -946388000.0; 11600000.0; -83978000.0
2017-12-31; 861853000.0; 111724000.0; -787282000.0; -675558000.0; 91624000.0; -460127000.0; -59223000.0; -8518000.0; -175969000.0; 10326000.0; -73641000.0; ; -70330000.0; ; ; ; 1648000.0; -142323000.0; 836483000.0; 7710000.0; 844193000.0; 7078000.0; 7078000.0; -83555000.0; -33087000.000000004; 734629000.0; 602632000.0; 32607999.999999996; -83555000.0
2017-09-30; -344587000.0; 112071000.0; 29922000.0; 141992900.0; 141203000.0; 398449000.0; 596412000.0; 659821000.0; 1583048100.0; 1380454000.0; -94969000.0; 0.0; 12079000.0; 0.0; -6577000.0; -6577000.0; -2008000.0; -91475000.0; 0.0; 7699300.0; 7699300.0; -91403000.0; -91403000.0; -80102000.0; -1525000.0; -165331000.0; 1123648000.0; 10614000.0; -80102000.0
2017-06-30; 50352000.0; 107882000.0; 61479000.0; 169361100.0; -1001394000.0; -273846000.0; 526017000.00000006; -2747000.0; -464413000.0; -244700000.0; -108728000.0; 0.0; -59230000.0; 0.0; 33880000.0; 33880000.0; -3014000.0; -137092000.0; -650000000.0; -12369200.0; -662369200.0; 32942000.0; 32942000.0; -80075000.0; -1672000.0; -711174000.0; -1092966000.0; 10342000.0; -80075000.0
2017-03-31; 411473000.0; 106127000.0; 46875000.0; 153002000.0; 119232000.0; 157496000.0; 103146000.0; -30455000.0; 234264000.0; 798739000.0; -125418000.0; 0.0; -906000.0; 0.0; 7451000.0; 7451000.0; 6256000.0; -112617000.0; -50000000.0; 7246200.0; -42753800.0; 51154000.0; 51154000.0; -79924000.0; -1299000.0; -72823000.0; 613299000.0; 12058000.0; -79924000.0
2016-12-31; 247246000.0; 106251000.0; 94151000.0; 200402000.0; -536937000.0; -713553000.0; 247814000.0; 57046000.0; -878003000.0; -430355000.0; -137282000.0; ; -1497000.0; ; -19958000.0; -19958000.0; 1880000.0; -156857000.0; -50000000.0; -2129000.0; -52129000.0; -219699000.0; -219699000.0; -80169000.0; -11489000.0; -363486000.0; -950698000.0; 29192000.0; -80169000.0
2016-09-30; 145685000.0; 103452000.0; 287874000.0; 391326000.0; -207262000.0; -157365000.0; 1234943000.0; -48373000.0; 817510100.0; 1354521000.0; -154438000.0; 0.0; 0.0; 0.0; -947000.0; -947000.0; 7267000.0; -148118000.0; -200000000.0; -1607400.0; -201607400.0; -50194900.0; -50194900.0; -73407000.0; -4563000.0; -329773000.0; 876630000.0; 8431000.0; -73407000.0
2016-06-30; 349155000.0; 100485000.0; 82668000.0; 183153000.0; -233388000.0; 97131000.0; -294151000.0; 17628000.0; -340352300.0; 191956000.0; -130166000.0; 0.0; 0.0; 0.0; -6034000.0; -6034000.0; -10308000.0; -146508000.0; -575000000.0; 494877900.0; -80122100.0; -550274100.0; -550274100.0; -73241000.0; -1897000.0; -705533000.0; -660085000.0; 16774000.0; -73241000.0
