Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 520799999.99999994; 779700000.0; 120500000.0; 900200000.0; -421500000.0; -138100000.0; 485800000.0; 187700000.0; -52500000.0; 1368500000.0; -1243000000.0; 0.0; -36600000.0; 0.0; 1200000.0; 1200000.0; -27400000.0; -1305800000.0; 1516600000.0; -1250300000.0; 266300000.0; 3200000.0; 3200000.0; -404700000.0; -31800000.0; -167000000.0; -104300000.0; 0.0; -404700000.0
2022-03-31; 718100000.0; 815300000.0; 2800000.0; 818100000.0; -24300000.0; 27600000.0; -1000000.0; 135500000.0; 86000000.0; 1622200000.0; -1686600000.0; ; -1238400000.0; ; -11100000.0; -11100000.0; 42900000.0; -2893200000.0; 433900000.0; 766300000.0; 1200200000.0; 809500000.0; 809500000.0; -398800000.0; -65800000.0; 1545100000.0; 274100000.0; ; -398800000.0
2021-12-31; 538600000.0; 779800000.0; -864500000.0; -84700000.0; 79500000.0; -47200000.0; 93000000.0; -402100000.0; 413000000.0; 866900000.0; -1572600000.0; 0.0; -41300000.0; 0.0; -13099900.0; -13099900.0; 99300000.0; -1527700000.0; -34200000.0; 110000000.0; 75800000.0; 52500000.0; 52500000.0; -396800000.0; -46000000.0; -314500000.0; -975300000.0; 0.0; -396800000.0
2021-09-30; 796900000.0; 863000000.0; 251500000.0; 1114500000.0; 16300000.0; 215100000.0; 10100000.0; 9900000.0; 17700000.0; 1929100000.0; -1315400000.0; 0.0; -383100000.0; 0.0; -9600100.0; -9600100.0; 31700000.0; -1676400000.0; 1440500000.0; -624000000.0; 816500000.0; 291100000.0; 291100000.0; -376200000.0; 82900000.0; 814300000.0; 1067000000.0; 0.0; -376200000.0
2021-06-30; 573800000.0; 651800000.0; 263000000.0; 914800100.0; -202600000.0; 92800000.0; -74300000.0; 13200000.0; -327500000.0; 1161100000.0; -1278900000.0; 0.0; -288500000.0; 0.0; -18900000.0; -18900000.0; -9300000.0; -1595600000.0; 740900000.0; 79600000.0; 820500000.0; 72300000.0; 72300000.0; -374500000.0; -48100000.0; 470200000.0; 35700000.0; 0.0; -374500000.0
2021-03-31; 578800000.0; 751800000.0; -1268000000.0; -516200100.0; -12900000.0; 39500000.0; 171800000.0; -297400000.0; -179800000.0; -117200000.0; -1492700000.0; ; -158800000.0; ; -12100000.0; -12100000.0; 29400000.0; -1634200000.0; 1285800000.0; 569100000.0; 1854900000.0; 184600000.0; 184600000.0; -372000000.0; -30400000.0; 1637100000.0; -114300000.0; ; -372000000.0
2020-12-31; 434700000.0; 740900000.0; -470600000.0; 270300000.0; 9600000.0; -45500000.0; -57200000.0; -224200000.0; 205700000.0; 910700000.0; -1555900000.0; 0.0; -1300000.0; 0.0; 2000000.0; 2000000.0; 28600000.0; -1526600000.0; 985600000.0; 82300000.0; 1067900000.0000001; 18500000.0; 18500000.0; -369200000.0; -126800000.0; 590400000.0; -25500000.0; 0.0; -369200000.0
2020-09-30; 748200000.0; 700300000.0; 134400000.0; 834700000.0; -58200000.0; 22900000.0; 86600000.0; -119700000.0; -406900000.0; 1176000000.0; -1445500000.0; 0.0; -30700000.0; 0.0; -19400000.0; -19400000.0; 35900000.0; -1459700000.0; 1272200000.0; -679600000.0; 592600000.0; 25500000.0; 25500000.0; -351100000.0; -24200000.0; 242800000.0; -40900000.0; 0.0; -351100000.0
2020-06-30; 514500000.0; 770000000.0; 165500000.0; 935499900.0; -48100000.0; -84500000.0; 46400000.0; -162800000.0; -319500000.0; 1130500000.0; -1452200000.0; 0.0; -36400000.0; 0.0; -20000000.0; -20000000.0; 27000000.0; -1481600000.0; 863800000.0; -1387500000.0; -523700000.00000006; 54900000.0; 54900000.0; -340900000.0; -5300000.0; -815000000.0; -1166100000.0; 0.0; -340900000.0
2020-03-31; 499300000.0; 695600000.0; 91300000.0; 786900100.0; -32600000.0; -35800000.0; -111100000.0; -397100000.0; -670500000.0; 615700000.0; -1792700000.0; ; -1300000.0; ; 2900000.0; 2900000.0; 25100000.0; -1766000000.0; 1103000000.0; 1625800000.0; 2728800000.0; 56100000.0; 56100000.0; -363700000.0; -32700000.000000004; 2388500000.0; 1238200000.0; ; -363700000.0
