Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 285100000.0; 140300000.0; -93900000.0; 46400000.0; 2934600000.0; 0.0; -2511100000.0; -29800000.0; 2200000.0; 333700000.0; -53400000.0; 0.0; -199600000.0; 0.0; -300000.0; -300000.0; -22300000.0; -275600000.0; -200700000.0; 477400000.0; 276700000.0; 23200000.0; 23200000.0; -107300000.0; 7200000.0; 199800000.0; 151000000.0; 29800000.0; -107300000.0
2022-03-31; 439100000.0; 159800000.0; 36700000.0; 196500000.0; -9827300000.0; ; 9331300000.0; 120700000.0; -201000000.0; 434600000.0; -37700000.0; ; -121700000.0; ; -100000.0; -100000.0; 65200000.0; -94300000.0; 100000.0; -107100000.0; -107000000.0; 45900000.0; 45900000.0; -106700000.0; -32500000.0; -200300000.0; 172400000.0; 20500000.0; -106700000.0
2021-12-31; 120900000.0; 146500000.0; -4300000.0; 142200000.0; 1262600000.0; 0.0; -1141200000.0; 29400000.0; 299800000.0; 562900000.0; -25400000.0; 0.0; -2619300000.0; 0.0; 100000.0; 100000.0; -65400000.00000001; -2710000000.0; 742400000.0; 41700000.0; 784100000.0; 22100000.0; 22100000.0; -99800000.0; -23900000.0; 682500000.0; -1546000000.0; 24300000.0; -99800000.0
2021-09-30; 238600000.0; 131300000.00000001; -51500000.0; 79800000.0; 549000000.0; 0.0; -440700000.0; -8700000.0; 133899900.0; 452300000.0; -44000000.0; 0.0; -80000000.0; 0.0; -500000.0; -500000.0; 5500000.0; -119000000.0; -651900000.0; 78100000.0; -573800000.0; 22600000.0; 22600000.0; -89800000.0; -21800000.0; -662800000.0; -362700000.0; 18000000.0; -89800000.0
2021-06-30; 201800000.0; 145200000.0; 19300000.0; 164500000.0; 12600000.0; 0.0; 409200000.0; -84600000.0; 103900200.0; 470200000.0; -32000000.0; 0.0; -156000000.0; 0.0; -300000.0; -300000.0; -64099999.99999999; -252400000.0; 1561500000.0; 16800000.0; 1578300000.0; 1464800000.0; 1464800000.0; -105000000.0; -155600000.0; 2782500000.0; 3014100000.0; 22000000.0; -105000000.0
2021-03-31; 393700000.0; 143300000.0; 19800000.0; 163100000.0; -1691300000.0; ; 1208200000.0; -3500000.0; -338100100.0; 218700000.0; -27200000.0; ; -395600000.0; ; -400000.0; -400000.0; 72900000.0; -350300000.0; 25000000.0; -54600000.0; -29600000.0; 37200000.0; 37200000.0; -97400000.0; -28300000.0; -118100000.0; -213400000.0; 18000000.0; -97400000.0
2020-12-31; 153100000.0; 133500000.0; 23800000.0; 157300000.0; 501400000.0; 0.0; -441800000.0; -38700000.0; 109099900.0; 419500000.0; -19800000.0; 0.0; -233000000.0; 0.0; -400000.0; -400000.0; -55400000.0; -308600000.0; -49700000.0; -899900.0; -50599900.0; 28300000.0; 28300000.0; -87300000.0; -14300000.0; -123900000.0; 99500000.0; 19300000.0; -87300000.0
2020-09-30; 187800000.0; 133900000.0; -12400000.0; 121500000.0; 271200000.0; 0.0; -127600000.0; -95000000.0; 276100000.0; 585400000.0; -20700000.0; 0.0; -10900000.0; 0.0; -400000.0; -400000.0; 9000000.0; -23000000.0; 894600000.0; -965200100.0; -70600100.0; 25400000.0; 25400000.0; -86600000.0; 3100000.0; -128699999.99999999; 472100000.0; 17700000.0; -86600000.0
2020-06-30; 161800000.0; 122600000.0; -15800000.0; 106800000.0; 486700000.0; 0.0; -139500000.0; -54500000.0; 425000100.0; 693600000.0; -29300000.0; 0.0; -4200000.0; 0.0; -200000.0; -200000.0; -1100000.0; -34800000.0; -995000000.0; 728600000.0; -266399999.99999997; 34300000.0; 34300000.0; -86100000.0; -82200000.0; -400400000.0; 369500000.0; 18900000.0; -86100000.0
2020-03-31; 355400000.0; 172400000.0; -121300000.0; 51100000.0; -2055800000.0000002; ; 1863100000.0; 199200000.0; -297900100.0; 108600000.0; -29500000.0; ; -76200000.0; ; -400000.0; -400000.0; 1100000.0; -105000000.0; 575000000.0; -266500000.0; 308500000.0; 23900000.0; 23900000.0; -87400000.0; -97100000.0; 147900000.0; 9300000.0; 18600000.0; -87400000.0
2019-12-31; 105600000.0; 129600000.0; -25000000.0; 104600000.0; 397400000.0; 0.0; -381700000.0; 37900000.0; 211800000.0; 422000000.0; -31100000.0; 0.0; -315700000.0; 0.0; -51000000.0; -51000000.0; -70300000.0; -468100000.0; 0.0; 126000200.0; 126000200.0; 18100000.0; 18100000.0; -81300000.0; -53100000.0; 9700000.0; 16600000.000000002; 15900000.0; -81300000.0
2019-09-30; 137100000.0; 119300000.0; -29700000.0; 89600000.0; 276900000.0; 0.0; -235900000.0; -34700000.0; 122800000.0; 349500000.0; -32400000.0; 0.0; -217200000.0; 0.0; -300000.0; -300000.0; 2300000.0; -247600000.0; 0.0; 103600000.0; 103600000.0; 18000000.0; 18000000.0; -80100000.0; -32900000.0; 8600000.0; 60700000.0; 15500000.0; -80100000.0
2019-06-30; 121400000.0; 115000000.0; -8900000.0; 106100000.0; 176600000.0; 0.0; 202300000.0; -101900000.0; 288300000.0; 515799999.99999994; -36000000.0; 0.0; -558300000.0; 0.0; -300000.0; -300000.0; 3100000.0; -591500000.0; 125000000.0; 70100000.0; 195100000.0; 32299999.999999996; 32299999.999999996; -80100000.0; -34600000.0; 112700000.0; 5800000.0; 16200000.0; -80100000.0
2019-03-31; 351700000.0; 110500000.0; -113000000.0; -2500000.0; -1285600000.0; ; 876900000.0; 136800000.0; -445400000.0; -96200000.0; -39300000.0; ; -175600000.0; ; -400000.0; -400000.0; 74000000.0; -141300000.0; 600000000.0; -25500000.0; 574500000.0; 32799999.999999996; 32799999.999999996; -79600000.0; -20300000.0; 507400000.0; 304000000.0; 13600000.0; -79600000.0
2018-12-31; 127800000.0; 109800000.0; -34600000.0; 75200000.0; -800000.0; 0.0; 90600000.0; -81600000.0; 57500000.0; 260500000.0; -33600000.0; 0.0; -209300000.0; 0.0; -15500000.0; -15500000.0; 1900000.0; -256500000.0; -50000000.0; 148899900.0; 98899900.0; 12000000.0; 12000000.0; -75600000.0; -30100000.0; 5200000.0; -23700000.0; 13500000.0; -75600000.0
2018-09-30; 138400000.0; 106200000.0; -46700000.0; 59500000.0; 315000000.0; 0.0; -377800000.0; -24400000.0; -6600000.0; 191300000.0; -28100000.0; 0.0; -180100000.0; 0.0; -400000.0; -400000.0; 500000.0; -208100000.0; 0.0; 48500000.0; 48500000.0; 22200000.0; 22200000.0; -75300000.0; -40200000.0; -44800000.0; -84200000.0; 13500000.0; -75300000.0
2018-06-30; 123700000.0; 104200000.0; -82500000.0; 21700000.0; 408100000.0; 0.0; 127500000.0; -168300000.0; 385500000.0; 530900000.0; -31600000.0; 0.0; -338100000.0; 0.0; 1000000.0; 1000000.0; 9900000.0; -358800000.0; 450000000.0; -229200000.0; 220800000.0; 15400000.0; 15400000.0; -74800000.0; -29300000.0; 132100000.0; 236000000.0; 13600000.0; -74800000.0
2018-03-31; 286000000.0; 98800000.0; -63200000.0; 35600000.0; -1505400000.0; ; 979400000.0; 136000000.0; -539200000.0; -217600000.0; -31100000.0; ; -57300000.0; ; -700000.0; -700000.0; 2200000.0; -86900000.0; ; 139700000.0; 139700000.0; 21000000.0; 21000000.0; -76100000.0; -15100000.0; 69500000.0; -196300000.0; 14700000.0; -76100000.0
2017-12-31; 78500000.0; 96600000.0; -86900000.0; 9700000.0; 752400000.0; 0.0; -588700000.0; -71000000.0; 172800000.0; 261000000.0; -35400000.0; 0.0; -73400000.0; 0.0; -300000.0; -300000.0; 300000.0; -108800000.0; 0.0; 97600100.0; 97600100.0; -7500000.0; -7500000.0; -71100000.0; -20200000.0; -1200000.0; 124500000.0; 12500000.0; -71100000.0
2017-09-30; 118100000.0; 100100000.0; -37900000.0; 62200000.0; 734300000.0; 0.0; -623800000.0; -19400000.0; 152000000.0; 332300000.0; -28200000.0; 0.0; -88600000.0; 0.0; -2300000.0; -2300000.0; 300000.0; -118800000.0; 98000000.0; -193700000.0; -95700000.0; 15300000.0; 15300000.0; -70000000.0; -15200000.0; -165600000.0; 111600000.0; 12900000.0; -70000000.0
2017-06-30; 78300000.0; 95300000.0; -36000000.0; 59300000.0; 25000000.0; 0.0; 260399999.99999997; -48700000.0; 107800000.0; 245400000.0; -36300000.0; 0.0; -77000000.0; 0.0; -1100000.0; -1100000.0; 1200000.0; -113200000.0; 250000000.0; -80500000.0; 169500000.0; 14600000.0; 14600000.0; -70200000.0; -14800000.0; 99100000.0; 246900000.0; 15100000.0; -70200000.0
2017-03-31; 242000000.0; 93800000.0; -30900000.0; 62900000.0; -1559400000.0; ; 1119000000.0; 91500000.0; -289400000.0; 15500000.0; -29300000.0; ; -137100000.0; ; -5200000.0; -5200000.0; 1400000.0; -170200000.0; ; 89200000.0; 89200000.0; 20300000.0; 20300000.0; -71400000.0; -18200000.0; 19900000.0; -115600000.0; 10300000.0; -71400000.0
