Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 119537000.0; 151695000.0; 31401000.0; 183096000.0; 35251000.0; 0.0; 0.0; -3416000.0; 38798000.0; 341431000.0; -118167000.0; 0.0; 0.0; 1905000.0; 0.0; 1905000.0; 1036000.0; -115226000.0; 75000000.0; -75000000.0; 0.0; -157585000.0; -157585000.0; 0.0; -8323000.0; -165908000.0; 46499000.0; 51882000.0; 0.0
2022-03-31; 119163000.0; 143714000.0; 71782000.0; 215496000.0; -39198000.0; ; ; -6072000.0; -112208000.0; 222451000.0; -131359000.00000001; ; -872099000.0; 691802000.0; ; 691802000.0; -5242000.0; -316898000.0; ; 75000000.0; 75000000.0; -80912000.0; -80912000.0; ; -54923000.0; -60835000.0; -156744000.0; 56227000.0; 
2021-12-31; 160534000.0; 158440000.0; 41304000.0; 199744000.0; -8871000.0; 0.0; 0.0; -12293000.0; 26622000.0; 386900000.0; -109695000.0; 0.0; -583187000.0; -148415000.0; 0.0; -148415000.0; -2657000.0; -843954000.0; 0.0; 0.0; 0.0; -258308000.0; -258308000.0; 0.0; -10917000.0; -269225000.0; -728427000.0; 48955000.0; 0.0
2021-09-30; 178916000.0; 156314000.0; 9819000.0; 166132900.0; -10821000.0; 0.0; 0.0; -11287000.0; 44688000.0; 389737000.0; -116247000.0; 0.0; 0.0; 510683000.0; 0.0; 510683000.0; -1453000.0; 392983000.0; 0.0; 0.0; 0.0; -81021000.0; -81021000.0; 0.0; -12136000.0; -93157000.0; 684483000.0; 49018000.0; 0.0
2021-06-30; 156497000.0; 154175000.0; 68370000.0; 222545100.0; 11176000.0; 0.0; 0.0; -2012000.0; -909000.0; 378133000.0; -154569000.0; 0.0; 0.0; -4660000.0; 0.0; -4660000.0; -391000.0; -159620000.0; 0.0; 0.0; 0.0; -86463000.0; -86463000.0; 0.0; -12381000.0; -98844000.0; 122672000.0; 50481000.0; 0.0
2021-03-31; 155695000.0; 147728000.0; 57295000.0; 205023000.0; -15580000.0; ; ; -22359000.0; -110925000.0; 249793000.0; -164719000.0; ; -15638000.0; 143870000.0; ; 143870000.0; 179000.0; -36308000.0; ; ; ; -36831000.0; -36831000.0; ; -63946000.0; -100777000.0; 105557000.0; 54305000.0; 
2020-12-31; 113370000.0; 143474000.0; 45980000.0; 189453900.0; -4942000.0; 0.0; 0.0; 3818000.0; -11731000.0; 291093000.0; -167445000.0; 0.0; -128104999.99999999; -332485000.0; 0.0; -332485000.0; 10101000.0; -617934000.0; 0.0; 0.0; 0.0; -58547000.0; -58547000.0; 0.0; -12529000.0; -71076000.0; -390517000.0; 50510000.0; 0.0
2020-09-30; 158623000.0; 134640000.0; 17755000.0; 152395100.0; 20107000.0; 0.0; 0.0; -26372000.0; 90955000.0; 401973000.0; -228759000.0; 0.0; 0.0; 6153000.0; 0.0; 6153000.0; -2059000.0000000002; -224665000.0; 0.0; 0.0; 0.0; 2809000.0; 2809000.0; 0.0; -13369000.0; -10560000.0; 171111000.0; 50217000.0; 0.0
2020-06-30; 161915000.0; 131257000.0; 66224999.99999999; 197482000.0; -31633000.0; 0.0; 0.0; -9129000.0; -60706000.0; 298691000.0; -120239000.0; 0.0; 0.0; 30447000.0; 0.0; 30447000.0; 155000.0; -89637000.0; 0.0; 0.0; 0.0; -17071000.0; -17071000.0; 0.0; -13095000.0; -30166000.0; 187043000.0; 49191000.0; 0.0
2020-03-31; 123146000.0; 131841000.00000001; 56657000.0; 188498000.0; -73913000.0; ; ; 12970000.0; -88401000.0; 223243000.0; -215429000.0; ; 106000.0; 141037000.0; ; 141037000.0; -36452000.0; -110738000.0; ; ; ; -61004000.0; -61004000.0; ; -50835000.0; -111839000.0; -8317000.0; 47493000.0; 
