Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; -1024000000.0; 216000000.0; 984000000.0; 1200000000.0; 149000000.0; 0.0; 2154000000.0; -424000000.0; 1497000000.0; 1673000000.0; -98000000.0; 0.0; 0.0; 398000000.0; -1305000000.0; -907000000.0; -114000000.0; -1119000000.0; 0.0; 0.0; 0.0; -645000000.0; -645000000.0; -263000000.0; -10000000.0; -918000000.0; -364000000.0; 0.0; -236000000.0
2022-03-31; 646000000.0; 236000000.0; 28000000.0; 264000000.0; -168000000.0; ; 271000000.0; -673000000.0; -478000000.0; 432000000.0; -130000000.0; ; ; ; 997000000.0; 997000000.0; 114000000.0; 981000000.0; ; ; ; -785000000.0; -785000000.0; -256000000.0; -5000000.0; -1046000000.0; 367000000.0; ; -230000000.0
2021-12-31; 791000000.0; 269000000.0; -179000000.0; 90000000.0; 516000000.0; 0.0; -263000000.0; -581000000.0; -10000000.0; 871000000.0; -59000000.0; 0.0; 1946000000.0; 3163000000.0; -4825000000.0; -1662000000.0; -4000000.0; 221000000.0; -14000000.0; 0.0; -14000000.0; -857000000.0; -857000000.0; -262000000.0; -42000000.0; -1175000000.0; -83000000.0; 0.0; -235000000.0
2021-09-30; 531000000.0; 246000000.0; 110000000.0; 356000000.0; -1212000000.0; 0.0; 2151000000.0; -363000000.0; 442000000.0; 1329000000.0; -89000000.0; 0.0; 0.0; -1087000000.0; 1622000000.0; 535000000.0; 0.0; 446000000.0; 0.0; 0.0; 0.0; -1203000000.0; -1403000000.0; -271000000.0; -69000000.0; -1743000000.0; 32000000.0; 0.0; -241000000.0
2021-06-30; 1631000000.0; 309000000.0; -652000000.0; -343000000.0; -42000000.0; 0.0; 864000000.0; -566000000.0; 240000000.0; 1528000000.0; -136000000.0; 0.0; -1000000.0; 1941000000.0; -1734000000.0; 207000000.0; -740000000.0; -670000000.0; 0.0; 0.0; 0.0; -483000000.0; -483000000.0; -275000000.0; -84000000.0; -842000000.0; 16000000.0; 0.0; -245000000.0
2021-03-31; -1387000000.0; 258000000.0; 3277000000.0; 3535000000.0; -1325000000.0; ; 850000000.0; -466000000.0; -760000000.0; 1388000000.0; -61000000.0; ; -3480000000.0; ; 3310000000.0; 3310000000.0; 744000000.0; 513000000.0; -422000000.0; ; -422000000.0; -463000000.0; -713000000.0; -191000000.0; -154000000.0; -1480000000.0; 421000000.0; ; -164000000.0
2020-12-31; 2624000000.0; 185000000.0; -889000000.0; -704000000.0; 18000000.0; 0.0; -721000000.0; -283000000.0; -601000000.0; 1319000000.0; -73000000.0; 0.0; 0.0; -3356000000.0; 1231000000.0; -2125000000.0; 0.0; -2198000000.0; 1189000000.0; 0.0; 1189000000.0; 9000000.0; 9000000.0; -194000000.0; -118000000.0; 886000000.0; 7000000.0; 0.0; -168000000.0
2020-09-30; 1153000000.0; 181000000.0; -361000000.0; -180000000.0; -57000000.0; 0.0; 1088000000.0; 166000000.0; 323000000.0; 1296000000.0; -69000000.0; 0.0; 0.0; 962000000.0; -1178000000.0; -216000000.0; 0.0; -285000000.0; 0.0; 0.0; 0.0; -914000000.0; -914000000.0; -195000000.0; -79000000.0; -1188000000.0; -177000000.0; 0.0; -169000000.0
2020-06-30; 1250000000.0; 162000000.0; -431000000.0; -269000000.0; -25000000.0; 0.0; 475000000.0; 189000000.0; 868000000.0; 1849000000.0; -101000000.0; 0.0; 1000000.0; 439000000.0; -1365000000.0; -926000000.0; 0.0; -1026000000.0; 0.0; 0.0; 0.0; -363000000.0; -363000000.0; -199000000.0; -52000000.0; -614000000.0; 209000000.0; 0.0; -172000000.0
2020-03-31; 549000000.0; 154000000.0; 912000000.0; 1066000000.0; 50000000.0; ; -926000000.0; 260000000.0; -588000000.0; 1027000000.0; -65000000.0; ; ; -1916000000.0; 2049000000.0; 133000000.0; ; 68000000.0; ; ; ; -406000000.0; -694000000.0; -188000000.0; -213000000.0; -1095000000.0; 0.0; ; -159000000.0
