Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 299099000.0; 19345000.0; 35822000.0; 55167000.0; 67526000.0; -158521000.0; 68691000.0; -148121000.0; -253169000.0; 101097000.0; -8868000.0; 0.0; -107477000.0; 361919000.0; 0.0; 361919000.0; 0.0; 245574000.0; 0.0; 0.0; 0.0; -479829000.0; -479829000.0; 0.0; -6061000.0; -485890000.0; -141779000.0; 50224000.0; 0.0
2022-03-31; 272259000.0; 20124000.0; -55508000.0; -35384000.0; -131860999.99999999; -43531000.0; 2478000.0; 75851000.0; -19737000.0; 217138000.0; -14876000.0; ; -37610000.0; -8438000.0; -11691000.0; -20129000.0; ; -72615000.0; ; ; ; -117068000.0; -117068000.0; ; -12741000.0; -129809000.0; 14233000.0; 50279000.0; 
2021-12-31; 239295000.0; 20124000.0; -43100000.0; -22976000.0; -120919000.0; -74452000.0; 67756000.0; 74536000.0; 8917000.0; 225236000.0; -9281000.0; 0.0; 0.0; -45668900.0; -9249000.0; -54917800.0; 0.0; -64199000.0; 0.0; 0.0; 0.0; -165042000.0; -165042000.0; 0.0; -5860000.0; -170902000.0; -10168000.0; 51243000.0; 0.0
2021-09-30; 224305000.0; 19701000.0; 59888000.0; 79589000.0; -31376000.0; -32466000.0; -11954000.0; 27611000.0; -31315000.0; 272579000.0; -45888000.0; 0.0; -1419000.0; -374673100.0; -4600000.0; -379273100.0; 1299000.0; -425281000.0; 0.0; 0.0; 0.0; -104887000.0; -104887000.0; 0.0; -4269000.0; -109156000.0; -262706000.00000003; 53135000.0; 0.0
2021-06-30; 196888000.0; 19252000.0; 44688000.0; 63940000.0; 16251999.999999998; -60031000.0; 8045999.999999999; -3805000.0; 2538000.0; 263366000.0; -4471000.0; 0.0; 1401000.0; -210979000.0; -4083999.9999999995; -215063000.0; 0.0; -218133000.0; 0.0; 0.0; 0.0; 8803000.0; 8803000.0; 0.0; -3857000.0; 4946000.0; 50352000.0; 44944000.0; 0.0
2021-03-31; 180366000.0; 18104000.0; 43221000.0; 61325000.0; 9074000.0; -3500000.0; 2833000.0; 35772000.0; 12984000.0; 254675000.0; -5096000.0; ; 18000.0; -210871000.0; -2000000.0; -212871000.0; ; -217949000.0; ; ; ; -83274000.0; -83274000.0; ; -2496000.0; -85770000.0; -49882000.0; 37553000.0; 
2020-12-31; 182958000.0; 16966000.0; 27890000.0; 44856000.0; -87598000.0; -41322000.0; -30642000.0; 75661000.0; -40890000.0; 186924000.0; -7683000.0; 0.0; -161103000.0; -109540000.0; 0.0; -109540000.0; 0.0; -278326000.0; 0.0; 0.0; 0.0; 14852000.0; 14852000.0; 0.0; -2790000.0; 12062000.0; -77128000.0; 40095000.0; 0.0
2020-09-30; 168375000.0; 13897000.0; 32012999.999999996; 45910000.0; 83008000.0; -111105000.0; 40330000.0; -2975000.0; 842000.0; 215127000.0; -2523000.0; 0.0; 0.0; 101407000.0; 3399000.0; 104806000.0; 0.0; 102283000.0; 0.0; 0.0; 0.0; -146802000.0; -146802000.0; 0.0; -1932000.0; -148734000.0; 170093000.0; 36469000.0; 0.0
2020-06-30; 144793000.0; 12858000.0; 39283000.0; 52141000.0; -31066000.0; -65200000.0; 37859000.0; -12717000.0; -58718000.0; 138216000.0; -2071000.0000000002; 0.0; -92000.0; -101118000.0; 0.0; -101118000.0; 0.0; -103281000.0; 0.0; 0.0; 0.0; 5146000.0; 5146000.0; 0.0; -2260000.0; 2886000.0; 38849000.0; 32921999.999999996; 0.0
2020-03-31; 138431000.0; 11250000.0; 32086000.0; 43336000.0; 46329000.0; -17691000.0; -6386000.0; 26296000.0; 13080000.0; 194847000.0; -3107000.0; ; -66224999.99999999; -260146000.00000003; ; -260146000.00000003; ; -329478000.0; ; ; ; -210813000.0; -210813000.0; ; -1740000.0; -212553000.0; -349875000.0; 27556000.0; 
