Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; -72000000.0; 195000000.0; 174000000.0; 369000000.0; 26000000.0; -60000000.0; -151000000.0; -12000000.0; -197000000.0; 95000000.0; -206000000.0; 0.0; 0.0; 0.0; 1000000.0; 1000000.0; -35000000.0; -240000000.0; -2472000000.0; 2471000000.0; -1000000.0; 0.0; 0.0; -16000000.0; 0.0; -17000000.0; -181000000.0; 41000000.0; 0.0
2022-03-31; 90000000.0; 193000000.0; 82000000.0; 275000000.0; -270000000.0; -298000000.0; 1000000.0; 68000000.0; -563000000.0; -202000000.0; -245000000.0; ; -220000000.0; ; 2000000.0; 2000000.0; -2000000.0; -465000000.0; 2472000000.0; -1000000.0; 2471000000.0; ; ; -24000000.0; -36000000.0; 2411000000.0; 1738000000.0; 5000000.0; -8000000.0
2021-12-31; 39000000.0; 191000000.0; 126000000.0; 317000000.0; -62000000.0; 109000000.0; 302000000.0; 70000000.0; 373000000.0; 669000000.0; -176000000.0; 0.0; -85000000.0; 0.0; 22000000.0; 22000000.0; -20000000.0; -259000000.0; -1479000000.0; 1450000000.0; -29000000.0; 0.0; 0.0; -16000000.0; -18000000.0; -63000000.0; 346000000.0; 11000000.0; 0.0
2021-09-30; 104000000.0; 194000000.0; 60000000.0; 254000000.0; -61000000.0; -318000000.0; -60000000.0; 52000000.0; -398000000.0; 4000000.0; -167000000.0; -2000000.0; 0.0; 0.0; 0.0; 0.0; 13000000.0; -156000000.0; 0.0; -10000000.0; -10000000.0; 0.0; 0.0; -15000000.0; 0.0; -25000000.0; -185000000.0; 19000000.0; 0.0
2021-06-30; 166000000.0; 200000000.0; 98000000.0; 298000000.0; 146000000.0; -273000000.0; -78000000.0; -23000000.0; -161000000.0; 297000000.0; -126000000.0; 0.0; -45000000.0; 0.0; 0.0; 0.0; -9000000.0; -180000000.0; 0.0; -4000000.0; -4000000.0; 0.0; 0.0; -16000000.0; -6000000.0; -26000000.0; 96000000.0; 28000000.0; 0.0
2021-03-31; 300000000.0; 196000000.0; 59000000.0; 255000000.0; 14000000.0; -228000000.0; 101000000.0; -64000000.0; -297000000.0; 252000000.0; -133000000.0; ; ; ; ; ; -1000000.0; -134000000.0; -8000000.0; -8000000.0; -16000000.0; ; ; -16000000.0; -45000000.0; -77000000.0; 29000000.0; 29000000.0; 
2020-12-31; 315000000.0; 210000000.0; 13000000.0; 223000000.0; -192000000.0; -68000000.0; 330000000.0; 85000000.0; 214000000.0; 799000000.0; -91000000.0; -1000000.0; 0.0; 0.0; 0.0; 0.0; -2000000.0; -94000000.0; -27000000.0; -2000000.0; -29000000.0; 0.0; 0.0; -20000000.0; 18000000.0; -31000000.0; 699000000.0; 36000000.0; -4000000.0
2020-09-30; 305000000.0; 195000000.0; 71000000.0; 266000000.0; -785000000.0; -14000000.0; 758000000.0; -9000000.0; 52000000.0; 559000000.0; -115000000.0; -1000000.0; -22000000.0; 0.0; 0.0; 0.0; 0.0; -138000000.0; -10000000.0; -170000000.0; -180000000.0; 0.0; 0.0; -16000000.0; 0.0; -196000000.0; 237000000.0; 12000000.0; 0.0
2020-06-30; -365000000.0; 187000000.0; 72000000.0; 259000000.0; 474000000.0; 151000000.0; -732000000.0; 4000000.0; 7000000.0; -106000000.0; -165000000.0; 0.0; -22000000.0; 0.0; 0.0; 0.0; 0.0; -187000000.0; -1920000000.0; -171000000.0; -2091000000.0; 1115000000.0; 2230000000.0; 0.0; -19000000.0; 120000000.0; -170000000.0; 13000000.0; 0.0
2020-03-31; 1567000000.0; 181000000.0; -1460000000.0; -1279000000.0; 260000000.0; -77000000.0; -170000000.0; -33000000.0; -118000000.0; 161000000.0; -203000000.0; ; -5000000.0; ; ; ; 1000000.0; -207000000.0; 1900000000.0; -29000000.0; 1871000000.0; -57000000.0; -57000000.0; -62000000.0; -32000000.0; 1720000000.0; 1658000000.0; -1000000.0; -62000000.0
2019-12-31; 241000000.0; 180000000.0; -7000000.0; 173000000.0; 99000000.0; 71000000.0; 152000000.0; -37000000.0; 297000000.0; 703000000.0; -161000000.0; -6000000.0; -311000000.0; 0.0; 0.0; 0.0; -1000000.0; -479000000.0; -10000000.0; -53000000.0; -63000000.0; -30000000.0; -30000000.0; -67000000.0; 0.0; -160000000.0; 71000000.0; 23000000.0; -67000000.0
2019-09-30; 252000000.0; 179000000.0; 58000000.0; 237000000.0; 17000000.0; -41000000.0; -45000000.0; -34000000.0; -155000000.0; 325000000.0; -164000000.0; -1000000.0; 0.0; 0.0; 0.0; 0.0; 2000000.0; -163000000.0; -646000000.0; 572000000.0; -74000000.0; -44000000.0; -44000000.0; -56000000.0; 0.0; -174000000.0; -23000000.0; 7000000.0; -56000000.0
2019-06-30; 271000000.0; 189000000.0; 27000000.0; 216000000.0; 59000000.0; 27000000.0; -27000000.0; -117000000.0; 8000000.0; 512000000.0; -210000000.0; 0.0; -25000000.0; 0.0; 0.0; 0.0; 1000000.0; -234000000.0; -7000000.0; -32000000.0; -39000000.0; -120000000.0; -120000000.0; -57000000.0; 0.0; -216000000.0; 59000000.0; 21000000.0; -57000000.0
2019-03-31; 245000000.0; 175000000.0; 27000000.0; 202000000.0; -249000000.0; -49000000.0; 53000000.0; -45000000.0; -325000000.0; 84000000.0; -232000000.0; -3000000.0; 2000000.0; ; ; ; -2000000.0; -235000000.0; -16000000.0; 234000000.0; 218000000.0; -226000000.0; -226000000.0; -57000000.0; -34000000.0; -99000000.0; -246000000.0; 15000000.0; -57000000.0
2018-12-31; 257000000.0; 204000000.0; 69000000.0; 273000000.0; 183000000.0; 130000000.0; -16000000.0; -44000000.0; 240000000.0; 757000000.0; -182000000.0; -16000000.0; -685000000.0; 0.0; 0.0; 0.0; 4000000.0; -879000000.0; -5000000.0; 279000000.0; 274000000.0; -285000000.0; -285000000.0; -62000000.0; 0.0; -73000000.0; -204000000.0; 25000000.0; -62000000.0
2018-09-30; 231000000.0; 164000000.0; 19000000.0; 183000000.0; -37000000.0; -93000000.0; -67000000.0; -117000000.0; -230000000.0; 171000000.0; -208000000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -208000000.0; -3000000.0; -1000000.0; -4000000.0; -65000000.0; -65000000.0; -84000000.0; -8000000.0; -161000000.0; -199000000.0; 6000000.0; -84000000.0
2018-06-30; 303000000.0; 158000000.0; -25000000.0; 133000000.0; 115000000.0; -38000000.0; 5000000.0; 38000000.0; 120000000.0; 545000000.0; -203000000.0; 0.0; -507000000.0; 0.0; 0.0; 0.0; -6000000.0; -716000000.0; -5000000.0; -45000000.0; -50000000.0; 0.0; 0.0; -58000000.0; -8000000.0; -116000000.0; -375000000.0; 14000000.0; -58000000.0
2018-03-31; 316000000.0; 157000000.0; -35000000.0; 122000000.0; -206000000.0; -119000000.0; 140000000.0; -89000000.0; -272000000.0; 155000000.0; -240000000.0; ; -5000000.0; ; ; ; ; -245000000.0; ; 35000000.0; 35000000.0; -149000000.0; -149000000.0; -59000000.0; -32000000.0; -205000000.0; -251000000.0; 13000000.0; -59000000.0
2017-12-31; 277000000.0; 156000000.0; -48000000.0; 108000000.0; -165000000.0; 42000000.0; 185000000.0; -157000000.0; 56000000.0; 428000000.0; -217000000.0; 0.0; -284000000.0; 0.0; 0.0; 0.0; -69000000.0; -570000000.0; -2000000.0; -7000000.0; -9000000.0; 0.0; 0.0; -105000000.0; 465000000.0; 351000000.0; 243000000.0; 19000000.0; -105000000.0
2017-09-30; 413000000.0; 138000000.0; 43000000.0; 181000000.0; -57000000.0; -91000000.0; 4000000.0; -10000000.0; -431000000.0; 151000000.0; -165000000.0; -25000000.0; 0.0; 0.0; 0.0; 0.0; -29000000.0; -219000000.0; 796000000.0; -3000000.0; 793000000.0; -94000000.0; -94000000.0; -77000000.0; -4000000.0; 618000000.0; 561000000.0; 15000000.0; -77000000.0
2017-06-30; 386000000.0; 131000000.0; 126000000.0; 257000000.0; 31000000.0; -65000000.0; 24000000.0; -26000000.0; -32000000.0; 599000000.0; -145000000.0; -10000000.0; 0.0; 0.0; 0.0; 0.0; -38000000.0; -193000000.0; 0.0; -1000000.0; -1000000.0; -95000000.0; -95000000.0; -78000000.0; -7000000.0; -181000000.0; 245000000.0; 15000000.0; -78000000.0
2017-03-31; 352000000.0; 128000000.0; -56000000.0; 72000000.0; -96000000.0; -110000000.0; 55000000.0; -30000000.0; -131000000.0; 290000000.0; -164000000.0; -15000000.0; -40000000.0; ; ; ; -51000000.0; -270000000.0; ; -4000000.0; -4000000.0; -194000000.0; -194000000.0; -88000000.0; -46000000.0; -332000000.0; -291000000.0; 13000000.0; -88000000.0
2016-12-31; 306000000.0; -35000000.0; -185000000.0; -220000000.0; 23000000.0; 148000000.0; -39000000.0; 67000000.0; 641000000.0; 683000000.0; -38000000.0; 0.0; 193000000.0; 1000000.0; 0.0; 1000000.0; -147000000.0; 9000000.0; 0.0; -20000000.0; -20000000.0; -104000000.0; -104000000.0; -97000000.0; 0.0; -221000000.0; 443000000.0; 15000000.0; -97000000.0
2016-09-30; 306000000.0; 176000000.0; 89000000.0; 265000000.0; -89000000.0; -57000000.0; -1000000.0; -5000000.0; -135000000.0; 415000000.0; -196000000.0; 0.0; 0.0; -1000000.0; 0.0; -1000000.0; 0.0; -197000000.0; -10000000.0; -65000000.0; -75000000.0; -95000000.0; -95000000.0; -91000000.0; -4000000.0; -265000000.0; -42000000.0; 19000000.0; -91000000.0
2016-06-30; 271000000.0; 192000000.0; 116000000.0; 308000000.0; 37000000.0; -31000000.0; -5000000.0; -7000000.0; 16000000.0; 575000000.0; -165000000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1000000.0; -166000000.0; 0.0; -270000000.0; -270000000.0; -77000000.0; -77000000.0; -79000000.0; -3000000.0; -429000000.0; -26000000.0; 11000000.0; -79000000.0
2016-03-31; 443000000.0; 165000000.0; -73000000.0; 92000000.0; -178000000.0; -105000000.0; 80000000.0; -4000000.0; -248000000.0; 268000000.0; -239000000.0; -3000000.0; 37000000.0; ; ; ; -19000000.0; -224000000.0; ; 321000000.0; 321000000.0; -358000000.0; -358000000.0; -92000000.0; -37000000.0; -166000000.0; -116000000.0; 17000000.0; -92000000.0
2015-12-31; 221000000.0; -47000000.0; 212000000.0; 165000000.0; 34000000.0; 165000000.0; 17000000.0; 80000000.0; 287000000.0; 695000000.0; 36000000.0; 20000000.0; -819000000.0; 1000000.0; 0.0; 1000000.0; -202000000.0; -964000000.0; 1290000000.0; -613000000.0; 677000000.0; -213000000.0; -213000000.0; -70000000.0; -1000000.0; 393000000.0; 120000000.0; 15000000.0; -70000000.0
2015-09-30; 418000000.0; 134000000.0; -116000000.0; 18000000.0; 86000000.0; -38000000.0; -57000000.0; -80000000.0; -75000000.0; 339000000.0; -175000000.0; 0.0; -764000000.0; -1000000.0; 0.0; -1000000.0; -3000000.0; -943000000.0; 0.0; 392000000.0; 392000000.0; -404000000.0; -404000000.0; -121000000.0; 0.0; -133000000.0; -776000000.0; 17000000.0; -121000000.0
2015-06-30; 667000000.0; 138000000.0; -218000000.0; -80000000.0; -26000000.0; -73000000.0; 77000000.0; -27000000.0; -35000000.0; 534000000.0; -144000000.0; -23000000.0; 653000000.0; 0.0; 0.0; 0.0; -28000000.0; 458000000.0; 0.0; -3000000.0; -3000000.0; -302000000.0; -302000000.0; -72000000.0; 0.0; -377000000.0; 634000000.0; 22000000.0; -72000000.0
2015-03-31; 229000000.0; 130000000.0; 145000000.0; 275000000.0; -277000000.0; -68000000.0; 105000000.0; 10000000.0; -350000000.0; 135000000.0; -213000000.0; ; ; ; ; ; -37000000.0; -250000000.0; 207000000.0; 10000000.0; 217000000.0; -240000000.0; -240000000.0; -86000000.0; -58000000.0; -167000000.0; -303000000.0; 13000000.0; -86000000.0
2014-12-31; 368000000.0; 136000000.0; 34000000.0; 170000000.0; 206000000.0; 124000000.0; -22000000.0; 71000000.0; 379000000.0; 873000000.0; -170000000.0; -5000000.0; -345000000.0; 1000000.0; 0.0; 1000000.0; -10000000.0; -529000000.0; 0.0; -2000000.0; -2000000.0; -362000000.0; -362000000.0; -85000000.0; 0.0; -449000000.0; -122000000.0; 20000000.0; -85000000.0
2014-09-30; 325000000.0; 139000000.0; 39000000.0; 178000000.0; 210000000.0; 37000000.0; -155000000.0; -47000000.0; 19000000.0; 499000000.0; -182000000.0; 0.0; 0.0; 3000000.0; 0.0; 3000000.0; -12000000.0; -191000000.0; 0.0; 3000000.0; 3000000.0; -304000000.0; -304000000.0; -129000000.0; 0.0; -430000000.0; -140000000.0; 21000000.0; -129000000.0
2014-06-30; 406000000.0; 138000000.0; 53000000.0; 191000000.0; 9000000.0; -13000000.0; -4000000.0; 22000000.0; 49000000.0; 627000000.0; -141000000.0; 0.0; 0.0; 1000000.0; 0.0; 1000000.0; -26000000.0; -166000000.0; 0.0; 3000000.0; 3000000.0; -205000000.0; -205000000.0; -76000000.0; 0.0; -278000000.0; 188000000.0; 19000000.0; -76000000.0
2014-03-31; 341000000.0; 136000000.0; 52000000.0; 188000000.0; -358000000.0; -127000000.0; 175000000.0; -6000000.0; -369000000.0; 136000000.0; -271000000.0; ; ; -3000000.0; ; -3000000.0; -26000000.0; -300000000.0; 1000000.0; 3000000.0; 4000000.0; -153000000.0; -153000000.0; -84000000.0; -8000000.0; -241000000.0; -411000000.0; 13000000.0; -84000000.0
2013-12-31; 321000000.0; 101000000.0; -20000000.0; 81000000.0; 218000000.0; 141000000.0; -69000000.0; -12000000.0; 322000000.0; 680000000.0; -84000000.0; 0.0; 0.0; 2000000.0; 0.0; 2000000.0; -78000000.0; -160000000.0; -4000000.0; -1000000.0; -5000000.0; -104000000.0; -104000000.0; -81000000.0; 0.0; -190000000.0; 336000000.0; 10000000.0; -81000000.0
2013-09-30; 293000000.0; 140000000.0; 50000000.0; 190000000.0; 12000000.0; -71000000.0; 10000000.0; -24000000.0; -61000000.0; 398000000.0; -156000000.0; 0.0; -12000000.0; 0.0; 0.0; 0.0; 0.0; -168000000.0; -3000000.0; -5000000.0; -8000000.0; -113000000.0; -113000000.0; -71000000.0; 0.0; -192000000.0; 52000000.0; 12000000.0; -71000000.0
2013-06-30; 389000000.0; 135000000.0; 27000000.0; 162000000.0; -73000000.0; -14000000.0; 102000000.0; -50000000.0; -6000000.0; 523000000.0; -121000000.0; 0.0; 0.0; -1000000.0; 0.0; -1000000.0; 0.0; -122000000.0; -6000000.0; -47000000.0; -53000000.0; -118000000.0; -118000000.0; -53000000.0; 0.0; -224000000.0; 171000000.0; 14000000.0; -53000000.0
2013-03-31; 298000000.0; 134000000.0; 65000000.0; 199000000.0; -370000000.0; -82000000.0; 194000000.0; -11000000.0; -329000000.0; 149000000.0; -211000000.0; ; 2000000.0; 4000000.0; ; 4000000.0; ; -205000000.0; -552000000.0; 533000000.0; -19000000.0; -122000000.0; -122000000.0; -61000000.0; -14000000.0; -216000000.0; -275000000.0; 10000000.0; -61000000.0
