Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; 383443000.0; 234887000.0; -258831000.00000003; -23944000.0; -728000.0; 0.0; 48726000.0; -44459000.0; 3539000.0; 363038000.0; -644549000.0; 0.0; 0.0; 0.0; 11930000.0; 11930000.0; 8199999.999999999; -624419000.0; 252250000.0; 0.0; 252250000.0; 199430000.0; 199430000.0; -192571000.0; 351016000.0; 610125000.0; 348506000.0; 17786000.0; -192571000.0
2022-06-30; 309382000.0; 228821000.0; -183342000.0; 45479000.0; 497000.0; 0.0; 8390000.0; -24714000.0; -15827000.0; 339034000.0; -614745000.0; 0.0; 0.0; 0.0; -30461000.0; -30461000.0; 37805000.0; -607401000.0; -37413000.0; 0.0; -37413000.0; 0.0; 0.0; -187700000.0; 141443000.0; -83670000.0; -352504000.0; 14340000.0; -187700000.0
2022-03-31; -117392000.0; 229423000.0; 213077000.0; 442500000.0; -191000.0; ; -36051000.0; -97780000.0; -134021999.99999999; 191086000.0; -2570164000.0; ; ; ; -19740000.0; -19740000.0; 101106000.0; -2488798000.0; 1527494000.0; ; 1527494000.0; 646316000.0; 646316000.0; -183847000.0; 762607000.0; 2752570000.0; 454939000.0; 14028000.0; -183847000.0
2021-12-31; 99796000.0; 225926000.0; -21278000.0; 204648000.0; 371000.0; 0.0; -1389000.0; -53866000.0; -54884000.0; 249560000.0; -2506820000.0; 0.0; 0.0; 0.0; 27596000.0; 27596000.0; 805293000.0; -1673931000.0; -470867000.0; 0.0; -470867000.0; 770552000.0; 770552000.0; -173560000.0; 1347472000.0; 1473598000.0; 47173000.0; 14253000.0; -173560000.0
2021-09-30; 124433000.0; 199534000.0; -46316000.0; 153218000.0; -1042000.0; 0.0; 71036000.0; -38822000.0; 31172000.0; 308823000.0; -1311912000.0; 0.0; 0.0; 0.0; 30416000.0; 30416000.0; -15440000.0; -1296936000.0; 449143000.0; 0.0; 449143000.0; 492081000.0; 492081000.0; -170648000.0; 228106000.0; 998681000.0; 10481000.0; 9728000.0; -170648000.0
2021-06-30; 404520000.0; 179179000.0; -311980000.0; -132800999.99999999; 848000.0; 0.0; -18477000.0; -14329000.0; -31958000.0; 239761000.0; -1612998000.0; 0.0; 0.0; 0.0; -51908000.0; -51908000.0; -33671000.0; -1698577000.0; 299173000.0; 0.0; 299173000.0; 868815000.0; 868815000.0; -160778000.0; 274618000.0; 1281828000.0; -176830000.0; 12242000.0; -160778000.0
2021-03-31; 25533000.0; 171042000.0; 55074000.0; 226116000.0; -221000.0; ; 9759000.0; -49134000.0; -39596000.0; 212053000.0; -2310759000.0; ; -9048000.0; ; -19770000.0; -19770000.0; -98303000.0; -2437880000.0; 978293000.0; ; 978293000.0; 1397649000.0; 1397649000.0; -150982000.0; -62706000.0; 2162254000.0; -63302000.0; 12446000.0; -150982000.0
2020-12-31; 457133000.0; 166272000.0; -388466000.0; -222194000.0; 318000.0; 0.0; -30998000.0; -30690000.0; -61370000.0; 173569000.0; -581286000.0; 0.0; 0.0; 0.0; 12543000.0; 12543000.0; 155598000.0; -413145000.0; -262228400.00000003; 0.0; -262228400.00000003; 502289000.0; 502289000.0; -143040000.0; 254554000.0; 351575000.0; 112662000.0; 11394000.0; -143040000.0
2020-09-30; 95799000.0; 164547000.0; 36192000.0; 200739000.0; -414000.0; 0.0; 36726000.0; -17566000.0; 18746000.0; 315284000.0; -1436570000.0; 0.0; 0.0; 0.0; -5626000.0; -5626000.0; -25760000.0; -1467956000.0; 306466600.0; 0.0; 306466600.0; 1309235000.0; 1309235000.0; -133681000.00000001; -86208000.0; 1395812000.0; 243503000.0; 12994000.0; -133681000.00000001
2020-06-30; 243561000.0; 156089000.0; -186566000.0; -30477000.0; 7774000.0; 0.0; -14638000.0; -3830000.0; -10694000.0; 202390000.0; -569735000.0; 0.0; 0.0; 0.0; -7619000.0; -7619000.0; 13886000.0; -563468000.0; 217391400.0; 0.0; 217391400.0; 0.0; 0.0; -129981000.0; 25883000.0; 113294000.0; -246831000.0; 9185000.0; -129981000.0
2020-03-31; 30678000.0; 160891000.0; 16762000.0; 177653000.0; -4874000.0; ; 7788000.0; -19978000.0; -17064000.0; 191267000.0; -855908000.0; ; ; ; -2742000.0; -2742000.0; 25058000.0; -833592000.0; 535052000.0; ; 535052000.0; 504338000.0; 504338000.0; -126278000.0; -23437000.0; 889675000.0; 245682000.0; 9929000.0; -126278000.0
2019-12-31; 216053000.0; 133014999.99999999; -159556000.0; -26540900.0; -11000.0; 0.0; 24710000.0; -35920000.0; -11221000.0; 178291000.0; -1464437000.0; 0.0; 0.0; 0.0; 46647000.0; 46647000.0; 127340000.0; -1290450000.0; 39256000.0; 0.0; 39256000.0; 980958000.0; 980958000.0; -115574000.0; -2834000.0; 901806000.0; -210281000.0; 10239000.0; -114571000.0
2019-09-30; -36003000.0; 130759999.99999999; 84803000.0; 215563000.0; -1459000.0; 0.0; 35574000.0; -16449000.000000002; 17666000.0; 197226000.0; -911689000.0; 0.0; 104902000.0; 0.0; -102745000.0; -102745000.0; 10899000.0; -898633000.0; 394382900.0; 0.0; 394382900.0; 150093000.0; 150093000.0; -114550000.0; 486532000.0; 916458000.0; 214745000.0; 10935000.0; -113544000.0
