Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 214500000.0; 73200000.0; 35800000.0; 109000000.0; 0.0; 0.0; 0.0; -55300000.0; -55300000.0; 268200000.0; -59600000.0; 0.0; -3600000.0; 0.0; 200000.0; 200000.0; 0.0; -63000000.0; 175400000.0; -179400000.0; -4000000.0; -117200000.0; -117200000.0; -61200000.0; -200000.0; -182600000.0; 17700000.0; 12800000.0; -61200000.0
2022-03-31; 198200000.0; 72000000.0; 35600000.0; 107600000.0; ; ; ; -179600000.0; -179600000.0; 126200000.0; -55000000.0; ; -33400000.0; ; 1800000.0; 1800000.0; ; -86600000.0; -1900000.0; 179400000.0; 177500000.0; -151500000.0; -151500000.0; -56200000.0; -24900000.0; -55100000.0; -15600000.0; 11100000.0; -56200000.0
2021-12-31; 182700000.0; 72600000.0; 16800000.0; 89400000.0; -113200000.0; -182700000.0; 255200000.0; 59900000.0; 11900000.0; 284000000.0; -131699999.99999999; 0.0; -3300000.0; 0.0; 1900000.0; 1900000.0; 900000.0; -132199999.99999999; 253600000.0; -332000000.0; -78400000.0; -54900000.0; -54900000.0; -56300000.0; -6200000.0; -195800000.0; -44500000.0; 10100000.0; -56300000.0
2021-09-30; 164100000.0; 61900000.0; 9600000.0; 71500000.0; 0.0; 0.0; 0.0; 50400000.0; 50400000.0; 286000000.0; -50100000.0; 0.0; -1440500000.0; 0.0; 800000.0; 800000.0; 0.0; -1489800000.0; 823200000.0; 332000000.0; 1155200000.0; -31000000.0; -31000000.0; -56300000.0; -200000.0; 1067700000.0; -137600000.0; 8600000.0; -56300000.0
2021-06-30; 183800000.0; 55200000.0; 37400000.0; 92600000.0; 0.0; 0.0; 0.0; -8900000.0; -8900000.0; 267500000.0; -62400000.0; 0.0; -3200000.0; 0.0; 900000.0; 900000.0; 0.0; -64700000.0; -37800000.0; -53800000.0; -91600000.0; -39400000.0; -39400000.0; -56400000.0; 0.0; -187400000.0; 16800000.0; 8600000.0; -56400000.0
2021-03-31; 209500000.0; 54400000.0; 23400000.0; 77800000.0; ; ; ; -78000000.0; -78000000.0; 209300000.0; -26800000.0; ; -30600000.0; ; -500000.0; -500000.0; 6700000.0; -51200000.0; -1500000.0; 53800000.0; 52300000.0; -55600000.0; -55600000.0; -51600000.0; -25300000.0; -80200000.0; 75700000.0; 9900000.0; -51600000.0
2020-12-31; 191500000.0; 55500000.0; 27800000.0; 83300000.0; 14700000.0; -6000000.0; -68200000.0; 129400000.0; 34700000.0; 309500000.0; -104100000.0; 0.0; -87600000.0; 0.0; 400000.0; 400000.0; 0.0; -191300000.0; -111700000.0; 57100000.0; -54600000.0; -52100000.0; -52100000.0; -51600000.0; 300000.0; -158000000.0; -32400000.0; 11900000.0; -51600000.0
2020-09-30; 150500000.0; 52000000.0; 41600000.0; 93600000.0; 0.0; 0.0; 0.0; 13700000.0; 13700000.0; 257800000.0; -30500000.0; 0.0; -10000000.0; 0.0; 5600000.0; 5600000.0; 0.0; -34900000.0; -1300000.0; -149600000.0; -150900000.0; -7000000.0; -7000000.0; -48400000.0; 500000.0; -205800000.0; 22100000.0; 10700000.0; -48400000.0
2020-06-30; 79700000.0; 50300000.0; 25000000.0; 75300000.0; 0.0; 0.0; 0.0; 24600000.0; 24600000.0; 179600000.0; -35400000.0; 0.0; -6900000.0; 0.0; -100000.0; -100000.0; 0.0; -42400000.0; -767200000.0; 198500000.0; -568700000.0; 0.0; 0.0; -48400000.0; -500000.0; -617600000.0; -479400000.0; -4900000.0; -48400000.0
2020-03-31; 134199999.99999999; 47500000.0; 48300000.0; 95800000.0; ; ; ; -225600000.0; -225600000.0; 4400000.0; -39400000.0; ; -245900000.0; ; -300000.0; -300000.0; ; -285600000.0; 993300000.0; -106000000.0; 887300000.0; -45200000.0; -45200000.0; -48400000.0; -20000000.0; 773700000.0; 488300000.0; 6300000.0; -48400000.0
2019-12-31; 162500000.0; 45600000.0; -7200000.0; 38400000.0; -42200000.0; -18100000.0; 46400000.0; 87100000.0; 78600000.0; 279500000.0; -96800000.0; 0.0; 0.0; 0.0; 1400000.0; 1400000.0; 0.0; -95400000.0; -6200000.0; -68900000.0; -75100000.0; -33400000.0; -33400000.0; -48400000.0; 0.0; -156900000.0; 29500000.0; 9000000.0; -48400000.0
2019-09-30; 144600000.0; 44000000.0; 22000000.0; 66000000.0; 0.0; 0.0; 0.0; 17600000.0; 17600000.0; 228200000.0; -67200000.0; 0.0; 0.0; 0.0; -800000.0; -800000.0; 0.0; -68000000.0; -114100000.0; 68900000.0; -45200000.0; -87700000.0; -87700000.0; -48600000.0; 3000000.0; -178500000.0; -23100000.0; 9000000.0; -48600000.0
2019-06-30; 143400000.0; 44900000.0; 34100000.0; 79000000.0; 0.0; 0.0; 0.0; -19000000.0; -19000000.0; 203400000.0; -45400000.0; 0.0; 0.0; 0.0; -200000.0; -200000.0; 0.0; -45600000.0; 98200000.0; -155400000.0; -57200000.0; -27900000.0; -27900000.0; -48800000.0; -300000.0; -134199999.99999999; 21600000.0; 8900000.0; -48800000.0
2019-03-31; -146900000.0; 44500000.0; 299800000.0; 344300000.0; ; ; ; -162000000.0; -162000000.0; 35400000.0; -40000000.0; ; -6500000.0; ; 4500000.0; 4500000.0; ; -42000000.0; -1800000.0; 155400000.0; 153600000.0; -88700000.0; -88700000.0; -43900000.0; -21700000.0; -700000.0; -6300000.0; 7600000.0; -43900000.0
2018-12-31; 97100000.0; 45000000.0; 95200000.0; 140200000.0; -62500000.0; -70500000.0; 43600000.0; 157800000.0; 32900000.0; 270200000.0; -102400000.0; 0.0; -3600000.0; 0.0; 900000.0; 900000.0; 0.0; -105100000.0; 413700000.0; -301400000.0; 112300000.0; -217800000.0; -217800000.0; -44400000.0; -300000.0; -150200000.0; 14400000.0; 9500000.0; -44400000.0
