Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 160000000.0; 498000000.0; 510000000.0; 1008000000.0; -587000000.0; -57000000.0; 764000000.0; -1131000000.0; -1087000000.0; 81000000.0; -255000000.0; 0.0; 0.0; 0.0; 3520000000.0; 3520000000.0; 1000000.0; 3266000000.0; -617000000.0; 13000000.0; -604000000.0; 4000000.0; 4000000.0; 0.0; -2000000.0; -602000000.0; 2681000000.0; 149000000.0; 0.0
2022-03-31; -1242000000.0; 486000000.0; 826000000.0; 1312000000.0; 237000000.0; -1203000000.0; -369000000.0; -954000000.0; -3286000000.0; -3216000000.0; -341000000.0; ; ; ; 3305000000.0; 3305000000.0; 1000000.0; 2965000000.0; -396000000.0; 2000000.0; -394000000.0; 30000000.0; 30000000.0; ; -32000000.0; -396000000.0; -695000000.0; 203000000.0; 
2021-12-31; -4164000000.0; 534000000.0; 4375000000.0; 4909000000.0; -433000000.0; -1635000000.0; -218000000.0; 3054000000.0; -29000000.0; 716000000.0; -78000000.0; 0.0; 0.0; 0.0; 2014000000.0; 2014000000.0; -1000000.0; 1935000000.0; -4322000000.0; -27000000.0; -4349000000.0; 6000000.0; 6000000.0; 0.0; -19000000.0; -4362000000.0; -1712000000.0; 156000000.0; 0.0
2021-09-30; -132000000.0; 523000000.0; 289000000.0; 812000000.0; 243000000.0; 95000000.0; -1530000000.0; -336000000.0; -942000000.0; -262000000.0; 89000000.0; 0.0; -6000000.0; 0.0; 2881000000.0; 2881000000.0; 2000000.0; 2966000000.0; -1167000000.0; -4000000.0; -1171000000.0; 7000000.0; 7000000.0; 0.0; -7000000.0; -1171000000.0; 1493000000.0; 184000000.0; 0.0
2021-06-30; 567000000.0; 551000000.0; 367000000.0; 918000000.0; -129000000.0; 1093000000.0; -1216000000.0; -622000000.0; -1968000000.0; -483000000.0; -173000000.0; 0.0; 0.0; 0.0; 1831000000.0; 1831000000.0; 1000000.0; 1659000000.0; -35000000.0; 12000000.0; -23000000.0; 6000000.0; 6000000.0; 0.0; -2000000.0; -19000000.0; 1212000000.0; 172000000.0; 0.0
2021-03-31; -561000000.0; 536000000.0; 676000000.0; 1212000000.0; -394000000.0; -680000000.0; -819000000.0; -496000000.0; -4038000000.0; -3387000000.0; -289000000.0; ; ; ; 3050000000.0; 3050000000.0; 3000000.0; 2764000000.0; -9847000000.0; 9814000000.0; -33000000.0; 23000000.0; 23000000.0; ; -38000000.0; -48000000.0; -776000000.0; 321000000.0; 
2020-12-31; -8439000000.0; 578000000.0; 7414000000.0; 7992000000.0; 784000000.0; -1349000000.0; -2060000000.0; -872000000.0; -3562000000.0; -4009000000.0; -244000000.0; 0.0; 0.0; 0.0; -1267000000.0; -1267000000.0; -32000000.0; -1543000000.0; -2206000000.0; 4886000000.0; 2680000000.0; 5000000.0; 5000000.0; 0.0; -4000000.0; 2681000000.0; -2812000000.0; 85000000.0; 0.0
2020-09-30; -466000000.0; 565000000.0; 79000000.0; 644000000.0; -18000000.0; -2912000000.0; -122000000.0; -1888000000.0; -4997000000.0; -4819000000.0; -83000000.0; 0.0; 0.0; 0.0; -4060000000.0; -4060000000.0; 6000000.0; -4137000000.0; -527000000.0; 60000000.0; -467000000.0; 4000000.0; 4000000.0; 0.0; -5000000.0; -468000000.0; -9428000000.0; 50000000.0; 0.0
2020-06-30; -2395000000.0; 547000000.0; 1003000000.0; 1550000000.0; 197000000.0; -3768000000.0; -2151000000.0; 1192000000.0; -4435000000.0; -5280000000.0; -310000000.0; 0.0; 0.0; 0.0; -11997000000.0; -11997000000.0; 0.0; -12307000000.0; -2411000000.0; 24869000000.0; 22458000000.0; 6000000.0; 6000000.0; 0.0; -2000000.0; 22462000000.0; 4953000000.0; 60000000.0; 0.0
2020-03-31; -641000000.0; 556000000.0; 124000000.0; 680000000.0; -54000000.0; -2973000000.0; -1030000000.0; 1191000000.0; -4341000000.0; -4302000000.0; -370000000.0; ; ; ; -17000000.0; -17000000.0; 8000000.0; -379000000.0; -5854000000.0; 17433000000.0; 11579000000.0; 21000000.0; 21000000.0; -1158000000.0; -162000000.0; 10280000000.0; 5468000000.0; 55000000.0; -1158000000.0
