Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-09-30; -13314000000.0; -2474000000.0; -2148000000.0; -4622000000.0; -9725000000.0; 91263000000.0; 0.0; 597000000.0; 67885000000.0; 50479000000.0; 0.0; 0.0; 0.0; 21407000000.0; -23083000000.0; -1676000000.0; 53346000000.0; 51670000000.0; -24334000000.0; -16111000000.0; -40445000000.0; 3625000000.0; -801000000.0; 4217000000.0; 80794000000.0; 43765000000.0; 150219000000.0; -1531000000.0; 4217000000.0
2022-06-30; 6247000000.0; 1075000000.0; 1339000000.0; 2414000000.0; 3623000000.0; -26324000000.0; 0.0; 14279000000.0; -13992000000.0; -5049000000.0; 0.0; 0.0; 0.0; 28482000000.0; 24852000000.0; 53334000000.0; -36596000000.0; 16738000000.0; 11452000000.0; -7281000000.0; 4171000000.0; -975000000.0; 1022000000.0; -1995000000.0; -87849000000.0; -84651000000.0; -75932000000.0; 792000000.0; -1995000000.0
2022-03-31; 7067000000.0; 1399000000.0; 809000000.0; 2208000000.0; 6102000000.0; -64939000000.0; ; -14876000000.0; -53893000000.0; -45430000000.0; ; ; ; -49889000000.0; -1769000000.0; -51658000000.0; -16750000000.0; -68408000000.0; 12882000000.0; 23392000000.0; 36274000000.0; -2650000000.0; -221000000.0; -2222000000.0; 7055000000.0; 40886000000.0; -74287000000.0; 739000000.0; -2222000000.0
2021-12-31; 7013000000.0; 1798000000.0; 543000000.0; 2341000000.0; -6800000000.0; 33206000000.0; 0.0; -118000000.0; 34214000000.0; 44651000000.0; 0.0; 0.0; 0.0; -220917000000.0; 214384000000.0; -6533000000.0; -52374000000.0; -58907000000.0; 3177000000.0; -11624000000.0; -8447000000.0; -7533000000.0; -6266000000.0; -1965000000.0; 99718000000.0; 83040000000.0; 68367000000.0; 737000000.0; -1965000000.0
2021-09-30; 7691000000.0; 1894000000.0; 246000000.0; 2140000000.0; -1828000000.0; 3062000000.0; 0.0; -8257000000.0; -610000000.0; 9795000000.0; 0.0; 0.0; 0.0; 7498000000.0; -30394000000.0; -22896000000.0; -9802000000.0; -32698000000.0; 7735000000.0; -7716000000.0; 19000000.0; -9914000000.0; -9914000000.0; -2145000000.0; 55703000000.0; 43663000000.0; 19824000000.0; 568000000.0; -2145000000.0
2021-06-30; 9224000000.0; 2052000000.0; -3034000000.0; -982000000.0; -1453000000.0; -4616000000.0; 0.0; -2603000000.0; -18558000000.0; -9311000000.0; 0.0; 0.0; 0.0; -8944000000.0; -82524000000.0; -91468000000.0; -17138000000.0; -108606000000.0; 19796000000.0; 14255000000.0; 34051000000.0; -4209000000.0; -5087000000.0; -1831000000.0; 24187000000.0; 51320000000.0; -66071000000.0; 610000000.0; -1831000000.0
2021-03-31; 8050000000.0; 1991000000.0; -441000000.0; 1550000000.0; 1130000000.0; -53756000000.0; ; -23477000000.0; -63917000000.0; -52328000000.0; ; ; ; 43598000000.0; -179706000000.0; -136108000000.0; 23028000000.0; -113080000000.0; -859000000.0; 31523000000.0; 30664000000.0; -3470000000.0; -3661000000.0; -2114000000.0; 88738000000.0; 113627000000.0; -54362000000.0; 853000000.0; -2114000000.0
2020-12-31; 5470000000.0; 1952000000.0; 712000000.0; 2664000000.0; -5169000000.0; 42445000000.0; 0.0; 2195000000.0; 44581000000.0; 54594000000.0; 0.0; 0.0; 0.0; -96124000000.0; 16444000000.0; -79680000000.0; 25798000000.0; -53882000000.0; 5330000000.0; -18986000000.0; -13656000000.0; -263000000.0; 820000000.0; -1828000000.0; 92602000000.0; 77938000000.0; 79457000000.0; 434000000.0; -1828000000.0
2020-09-30; 4881000000.0; 1748000000.0; 599000000.0; 2347000000.0; 2749000000.0; -26568000000.0; 0.0; -15689000000.0; -39706000000.0; -32638000000.0; 0.0; 0.0; 0.0; 106472000000.0; -93796000000.0; 12676000000.0; 42301000000.0; 54977000000.0; -6093000000.0; 11608000000.0; 5515000000.0; -1212000000.0; -114000000.0; -1983000000.0; -15816000000.0; -12398000000.0; 11660000000.0; 520000000.0; -1983000000.0
2020-06-30; 3533000000.0; 1330000000.0; 5132000000.0; 6462000000.0; 493000000.0; -28550000000.0; 0.0; 21633000000.0; -15133000000.0; -3006000000.0; 0.0; 0.0; 0.0; -124053000000.0; -8619000000.0; -132672000000.0; 44323000000.0; -88349000000.0; -1057000000.0; -3139000000.0; -4196000000.0; 812000000.0; -286000000.0; -1833000000.0; 135447000000.0; 129132000000.0; 38956000000.0; 534000000.0; -1833000000.0
2020-03-31; 4010000000.0; 914000000.0; 4760000000.0; 5674000000.0; 1319000000.0; 29615000000.0; ; -21022000000.0; 9324000000.0; 19043000000.0; ; ; ; -32548000000.0; 13355000000.0; -19193000000.0; -71218000000.0; -90411000000.0; 10885000000.0; 10838000000.0; 21723000000.0; -6362000000.0; -6336000000.0; -2083000000.0; 147843000000.0; 161147000000.0; 88830000000.0; 543000000.0; -2083000000.0
2019-12-31; 6994000000.0; 1086000000.0; 1965000000.0; 3051000000.0; 699000000.0; 38461000000.0; 0.0; -11726000000.0; 47850000000.0; 59103000000.0; 0.0; 0.0; 0.0; -103328000000.0; 72707000000.0; -30621000000.0; -12658000000.0; -43279000000.0; -681000000.0; -43447000000.0; -44128000000.0; -7748000000.0; -7953000000.0; -1848000000.0; 42063000000.0; -11866000000.0; 4466000000.0; 479000000.0; -1848000000.0
2019-09-30; 5777000000.0; 1047000000.0; 3655000000.0; 4702000000.0; -4274000000.0; -12807000000.0; 0.0; -1792000000.0; -17063000000.0; -5702000000.0; 0.0; 0.0; 0.0; -22383000000.0; 2634000000.0; -19749000000.0; -10384000000.0; -30133000000.0; 3662000000.0; 10557000000.0; 14219000000.0; -7626000000.0; -8709000000.0; -464000000.0; 17782000000.0; 22828000000.0; -14300000000.0; 510000000.0; -464000000.0
2019-06-30; 7348000000.0; 882000000.0; 1960000000.0; 2842000000.0; 610000000.0; -11191000000.0; 0.0; -1590000000.0; -17688000000.0; -6725000000.0; 0.0; 0.0; 0.0; 19728000000.0; -2451000000.0; 17277000000.0; -19728000000.0; -2451000000.0; -1779000000.0; 19733000000.0; 17954000000.0; -6507000000.0; -4144000000.0; -1696000000.0; -4191000000.0; 7923000000.0; -229000000.0; 481000000.0; -1696000000.0
