Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 248100000.0; 112000000.0; 46600000.0; 158600000.0; 49300000.0; 0.0; 0.0; -124600000.0; 50700000.0; 457400000.0; -18700000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -10800000.0; -29400000.0; -375000000.0; 0.0; -375000000.0; -10900000.0; -10900000.0; -74800000.0; -13800000.0; -474400000.0; -52600000.0; 13600000.0; -74800000.0
2022-03-31; 176600000.0; 113400000.0; 70600000.0; 184000000.0; -183900000.0; 0.0; 0.0; -162000000.0; -262100000.00000003; 80700000.0; -25200000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1800000.0; -27100000.0; 10500000.0; 0.0; 10500000.0; 9500000.0; 9500000.0; -74700000.0; -700000.0; -55600000.0; -3900000.0; 18600000.0; -74700000.0
2021-12-31; 47200000.0; 118600000.0; 30800000.0; 149400000.0; -47400000.0; 0.0; 0.0; -195800000.0; -155000000.0; 40800000.0; -13300000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -4300000.0; -17500000.0; -11000000.0; 0.0; -11000000.0; 30100000.0; 30100000.0; -74400000.0; -2600000.0; -57800000.0; -35600000.0; 22600000.0; -74400000.0
2021-09-30; 67200000.0; 120000000.0; 10600000.0; 130600000.0; 96600000.0; ; ; -105900000.0; -334000000.0; -135400000.0; -15900000.0; ; -13300000.0; ; ; ; -7100000.0; -36400000.0; 280000000.0; ; 280000000.0; 8700000.0; 8700000.0; -66800000.0; -4900000.0; 217000000.0; 42200000.0; 13600000.0; -66800000.0
2021-06-30; 260399999.99999997; 107200000.0; -30000000.0; 77200000.0; 95900000.0; 0.0; 0.0; -130400000.0; 108200000.0; 450600000.0; -29500000.0; 0.0; -2603600000.0; 0.0; 0.0; 0.0; 44500000.0; -2588700000.0; 2149900000.0; 0.0; 2149900000.0; -19100000.0; -19100000.0; -66599999.99999999; -11300000.0; 2052900000.0; -81300000.0; 12200000.0; -66599999.99999999
2021-03-31; 165000000.0; 78400000.0; 61100000.0; 139500000.0; -238600000.0; 0.0; 0.0; -65099999.99999999; -161900000.0; 106200000.0; -20400000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -800000.0; -21100000.0; -27800000.0; 0.0; -27800000.0; 6100000.0; 6100000.0; -66599999.99999999; -10100000.0; -98500000.0; -9800000.0; 17700000.0; -66599999.99999999
2020-12-31; 56300000.0; 75100000.0; -2600000.0; 72500000.0; -800000.0; 0.0; 0.0; -97000000.0; -17400000.0; 127500000.0; -26800000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -8300000.000000001; -35200000.0; -7800000.0; 0.0; -7800000.0; 6500000.0; 6500000.0; -66300000.0; -16300000.0; -83900000.0; 9000000.0; 18300000.0; -66300000.0
2020-09-30; 65800000.0; 74000000.0; 46800000.0; 120800000.0; 101100000.0; ; ; -95200000.0; -214700000.0; -44200000.0; -6000000.0; ; ; ; ; ; -2700000.0; -8700000.0; -20000000.0; ; -20000000.0; 20300000.0; 20300000.0; -62200000.0; -10900000.0; -72700000.0; -120000000.0; 10400000.0; -62200000.0
2020-06-30; 229700000.0; 75900000.0; 30800000.0; 106700000.0; 109200000.0; 0.0; 22700000.0; -73400000.0; 117100000.0; 442600000.0; -25200000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 11500000.0; -13800000.0; -285600100.0; 0.0; -285600100.0; -3400000.0; -3400000.0; -61800000.0; 400000.0; -350400000.0; 74500000.0; 13200000.0; -61800000.0
2020-03-31; 166800000.0; 73900000.0; 41000000.0; 114900000.0; -195900000.0; 0.0; 132300000.00000001; -57900000.0; -121500000.0; 144100000.0; -30500000.0; 0.0; -69500000.0; 0.0; 0.0; 0.0; 3400000.0; -96700000.0; 230400100.0; 0.0; 230400100.0; -45700000.0; -45700000.0; -62000000.0; -1500000.0; 121100000.0; 168100000.0; 17300000.0; -62000000.0
