Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-08-31; -77500000.0; 93000000.0; 399100000.0; 492100000.0; 78700000.0; -289700000.0; 39400000.0; -17400000.0; -150900000.0; 263700000.0; -123400000.0; ; ; 0.0; ; ; ; -123400000.0; -10700000.0; 69100000.0; 58400000.0; -58300000.0; -58300000.0; -150000000.0; -4500000.0; -154400000.0; -15900000.0; 23000000.0; -150000000.0
2022-05-31; 157700000.0; 89800000.0; 171000000.0; 260800000.0; 51200000.0; -175800000.0; 235600000.0; 24600000.0; 6200000.0; 424700000.0; -98000000.0; 0.0; 0.0; 6000000.0; 0.0; 6000000.0; 0.0; -92000000.0; -5400000.0; -178500000.0; -183900000.0; 2800000.0; 2800000.0; -149900000.0; 0.0; -331000000.0; 3600000.0; -700000.0; -149900000.0
2022-02-28; 218900000.0; 92100000.0; -51200000.0; 40900000.0; 62600000.0; 91400000.0; 2100000.0; -24300000.0; 230700000.0; 490500000.0; -98600000.0; 0.0; 0.0; -100000.0; 0.0; -100000.0; 0.0; -98700000.0; -13700000.0; -223000000.0; -236700000.0; 3300000.0; 3300000.0; -149900000.0; 0.0; -383300000.0; 11000000.0; 12500000.0; -149900000.0
2021-11-30; 275900000.0; 97000000.0; 4800000.0; 101800000.0; -142800000.0; 72300000.0; -78900000.0; 9400000.0; -255400000.0; 122300000.0; -94600000.0; 0.0; 100000.0; 1900000.0; 0.0; 1900000.0; 3300000.0; -89300000.0; -5700000.0; 127200000.0; 121500000.0; 200000.0; 200000.0; -149900000.0; -1000000.0; -29200000.0; 700000.0; 11700000.0; -149900000.0
2021-08-31; 235700000.0; 96500000.0; -18000000.0; 78500000.0; -40500000.0; -220700000.0; 64800000.0; -19800000.0; -174400000.0; 139800000.0; -153000000.0; ; ; -1900000.0; ; -1900000.0; ; -154900000.0; 475400000.0; -248800000.0; 226600000.0; -67600000.0; -67600000.0; -132100000.0; -21400000.0; 5500000.0; -12200000.0; 2600000.0; -132100000.0
2021-05-31; 309900000.0; 98100000.0; 78500000.0; 176600000.0; 47600000.0; -157600000.0; 165500000.0; 19400000.0; -88400000.0; 398100000.0; -108300000.0; 0.0; 48700000.0; 1200000.0; 0.0; 1200000.0; 0.0; -58400000.0; -202400000.0; -21300100.0; -223699900.0; 8300000.000000001; 8300000.000000001; -132900000.0; 2300000.0; -346000000.0; -1500000.0; 22800000.0; -132900000.0
2021-02-28; 281700000.0; 96600000.0; -35700000.0; 60900000.0; 106800000.0; 40500000.0; -135300000.0; 11900000.0; 186000000.0; 528600000.0; -114600000.0; 0.0; 103600000.0; -400000.0; 0.0; -400000.0; 0.0; -11400000.0; -430400100.0; 360100000.0; -70300300.0; -298100000.0; -298100000.0; -134400000.0; -800000.0; -503600000.0; 12700000.0; 10200000.0; -134400000.0
2020-11-30; 379500000.0; 97800000.0; 36300000.0; 134100000.0; -140700000.0; -44400000.0; 90400000.0; -23100000.0; -256700000.0; 256899999.99999997; -136100000.0; 0.0; 8600000.0; 0.0; 0.0; 0.0; -100000.0; -127600000.0; -760099900.0; 368000000.0; -392099900.0; 900000.0; 900000.0; -103800000.0; -5400000.0; -500400000.0; -370200000.0; 14400000.0; -103800000.0
2020-08-31; 329800000.0; 95200000.0; 32700000.000000004; 127900000.0; 52400000.0; -202800000.0; 20800000.0; -16700000.0; -173200000.0; 284500000.0; -144900000.0; ; ; 1900000.0; ; 1900000.0; 100000.0; -142900000.0; -133400000.0; -500000.0; -133900000.0; -9300000.0; -9300000.0; -103500000.0; -12900000.0; -259600000.00000003; -115100000.0; 16500000.0; -103500000.0
2020-05-31; 201300000.0; 96400000.0; 195000000.0; 291400000.0; -6600000.0; 268100000.00000003; 118000000.0; 1000000.0; 443400000.0; 936100000.0; -98900000.0; 0.0; 3200000.0; 1800000.0; 0.0; 1800000.0; 0.0; -93900000.0; -281500000.0; 100000.0; -281400000.0; 500000.0; 500000.0; -103500000.0; -1400000.0; -385800000.0; 454300000.0; 30200000.0; -103500000.0
