Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 137000000.0; 179000000.0; 352000000.0; 531000000.0; -333000000.0; -149000000.0; 2307000000.0; 0.0; 2324000000.0; 2992000000.0; -133000000.0; 0.0; -33000000.0; 0.0; -38000000.0; -38000000.0; 0.0; -204000000.0; -288000000.0; 0.0; -288000000.0; 0.0; 0.0; -134000000.0; 7000000.0; -415000000.0; 2361000000.0; 16000000.0; -134000000.0
2022-03-31; -1390000000.0; 181000000.0; 517000000.0; 698000000.0; -864000000.0; -561000000.0; 62000000.0; 0.0; 273000000.0; -419000000.0; -82000000.0; 0.0; -4000000.0; 0.0; 42000000.0; 42000000.0; 0.0; -44000000.0; -5000000.0; 0.0; -5000000.0; -200000000.0; -200000000.0; -136000000.0; 1000000.0; -340000000.0; -805000000.0; 23000000.0; -136000000.0
2021-12-31; 49000000.0; 164000000.0; 1325000000.0; 1489000000.0; -115000000.0; -232000000.0; 1351000000.0; 0.0; -343000000.0; 1195000000.0; -74000000.0; 0.0; 11000000.0; 0.0; 16000000.0; 16000000.0; 0.0; -47000000.0; -5000000.0; 0.0; -5000000.0; -300000000.0; -300000000.0; -140000000.0; 1000000.0; -444000000.0; 698000000.0; 18000000.0; -140000000.0
2021-09-30; 272000000.0; 168000000.0; 44000000.0; 212000000.0; -214000000.0; -129000000.0; -292000000.0; ; -1130000000.0; -646000000.0; -67000000.0; ; 927000000.0; ; 2000000.0; 2000000.0; ; 862000000.0; -587000000.0; ; -587000000.0; -500000000.0; -500000000.0; -149000000.0; -28000000.0; -1264000000.0; -944000000.0; 24000000.0; -149000000.0
2021-06-30; 115000000.0; 180000000.0; 533000000.0; 713000000.0; -393000000.0; -261000000.0; 1058000000.0; 0.0; -163000000.0; 665000000.0; -126000000.0; 0.0; 0.0; 0.0; 38000000.0; 38000000.0; 0.0; -88000000.0; -517000000.0; 0.0; -517000000.0; 0.0; 0.0; -141000000.0; 9000000.0; -649000000.0; -92000000.0; 5000000.0; -141000000.0
2021-03-31; 120000000.0; 199000000.0; 116000000.0; 315000000.0; -12000000.0; -67000000.0; -594000000.0; 0.0; -158000000.0; 277000000.0; -100000000.0; 0.0; 0.0; 0.0; 1000000.0; 1000000.0; 0.0; -99000000.0; -4000000.0; 0.0; -4000000.0; -200000000.0; -200000000.0; -143000000.0; 23000000.0; -324000000.0; -238000000.0; 33000000.0; -143000000.0
2020-12-31; 630000000.0; 199000000.0; 43000000.0; 242000000.0; -111000000.0; -1011000000.0; 1548000000.0; 0.0; 345000000.0; 1217000000.0; -96000000.0; 0.0; -3000000.0; 0.0; 2000000.0; 2000000.0; 0.0; -97000000.0; -9000000.0; 0.0; -9000000.0; 0.0; 0.0; -143000000.0; 6000000.0; -146000000.0; 991000000.0; 23000000.0; -143000000.0
2020-09-30; -253000000.0; 205000000.0; 53000000.0; 258000000.0; -388000000.0; -245000000.0; 313000000.0; ; 265000000.0; 270000000.0; -78000000.0; ; ; ; -16000000.0; -16000000.0; ; -94000000.0; -40000000.0; ; -40000000.0; ; ; -146000000.0; -12000000.0; -198000000.0; -25000000.0; 28000000.0; -146000000.0
2020-06-30; 657000000.0; 225000000.0; -1491000000.0; -1266000000.0; 735000000.0; -401000000.0; -610000000.0; 0.0; 849000000.0; 240000000.0; -136000000.0; 0.0; 0.0; 0.0; 878000000.0; 878000000.0; 0.0; 742000000.0; -511000000.0; 0.0; -511000000.0; 0.0; 0.0; -141000000.0; 124000000.0; -528000000.0; 442000000.0; 22000000.0; -141000000.0
2020-03-31; 351000000.0; 224000000.0; 70000000.0; 294000000.0; -774000000.0; 983000000.0; 525000000.0; 0.0; 1031000000.0; 1676000000.0; -90000000.0; 0.0; 0.0; 0.0; -8000000.0; -8000000.0; 0.0; -98000000.0; -95000000.0; -683000000.0; -778000000.0; 0.0; 0.0; -141000000.0; 7000000.0; -912000000.0; 670000000.0; 27000000.0; -141000000.0
