Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; -184500000.0; 500900000.0; -113700000.0; 387200000.0; -13800000.0; 0.0; 0.0; -772200000.0; -837100000.0; -634400000.0; -11400000.0; 0.0; -706500000.0; 0.0; -30100000.0; -30100000.0; 0.0; -748000000.0; 365000000.0; 0.0; 365000000.0; -15900000.0; -15900000.0; -51200000.0; -8600000.0; 289300000.0; -1109600000.0; 7000000.0; -51200000.0
2022-03-31; 109600000.0; 41400000.0; -5300000.0; 36100000.0; -56200000.0; ; ; 1044300000.0; 1114100000.0; 1259800000.0; -10800000.0; ; ; ; -14100000.0; -14100000.0; ; -24900000.0; 298600000.0; ; 298600000.0; -78500000.0; -78500000.0; -51400000.0; -22200000.0; 146500000.0; 1382100000.0; 9100000.0; -51400000.0
2021-12-31; 165900000.0; 42400000.0; -35200000.0; 7200000.0; -2500000.0; 0.0; 0.0; -904300000.0; -861700000.0; -688600000.0; -13700000.0; 0.0; 15900000.0; 0.0; -218400000.0; -218400000.0; 0.0; -216200000.0; 0.0; 0.0; 0.0; -600000.0; -600000.0; -51500000.0; -1700000.0; -53800000.0; -970200000.0; 3900000.0; -51500000.0
2021-09-30; 120400000.0; 43200000.0; 22400000.0; 65599999.99999999; 10300000.0; 0.0; 0.0; 366300000.0; 377600000.0; 563600000.0; -16000000.0; 0.0; -167300000.0; 0.0; 92600000.0; 92600000.0; 0.0; -90700000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -51500000.0; -900000.0; -52400000.0; 423300000.0; 5500000.0; -51500000.0
2021-06-30; 105500000.0; 41300000.0; 17500000.0; 58800000.0; 41800000.0; 0.0; 0.0; -66500000.0; -41600000.0; 122700000.0; -11400000.0; 0.0; 500000.0; 0.0; -21600000.0; -21600000.0; 0.0; -32500000.0; 110000000.0; 0.0; 110000000.0; -33900000.0; -33900000.0; -45000000.0; -5700000.0; 25400000.0; 115800000.0; 5500000.0; -45000000.0
2021-03-31; 137200000.0; 42700000.0; 7100000.0; 49800000.0; -37600000.0; ; ; 386500000.0; 412100000.0; 599100000.0; -9900000.0; ; ; ; -3400000.0; -3400000.0; ; -13300000.0; -20000000.0; ; -20000000.0; -53400000.0; -53400000.0; -45300000.0; -800000.0; -119500000.0; 465800000.0; 11700000.0; -45300000.0
2020-12-31; 87300000.0; 41000000.0; -6900000.0; 34100000.0; -46700000.0; 0.0; 0.0; 143700000.0; 148000000.0; 269400000.0; -10200000.0; 0.0; -248200000.0; 0.0; -68000000.0; -68000000.0; 500000.0; -325900000.0; 268700000.0; 0.0; 268700000.0; -88000000.0; -88000000.0; -45300000.0; -4500000.0; 130900000.0; 72900000.0; 4400000.0; -45300000.0
2020-09-30; 109900000.0; 40000000.0; -15700000.0; 24300000.0; 100900000.0; 0.0; 0.0; 550600000.0; 566900000.0; 701100000.0; -20000000.0; 0.0; -36700000.0; 0.0; 148200000.0; 148200000.0; -4500000.0; 87000000.0; 70000000.0; 0.0; 70000000.0; -56000000.0; -56000000.0; -45800000.0; 14100000.0; -17700000.0; 774500000.0; 4400000.0; -45800000.0
2020-06-30; 113600000.0; 38500000.0; 5000000.0; 43500000.0; 19900000.0; 0.0; 0.0; 110000000.0; 167900000.0; 325000000.0; -6600000.0; 0.0; -5000000.0; 0.0; -133500000.0; -133500000.0; 4500000.0; -140600000.0; 0.0; 0.0; 0.0; -85700000.0; -85700000.0; -39500000.0; -14000000.0; -139200000.0; 44900000.0; 4600000.0; -39500000.0
2020-03-31; 157400000.0; 41000000.0; 4300000.0; 45300000.0; -164100000.0; ; ; 36600000.0; -39400000.0; 163300000.0; -10600000.0; ; -61600000.0; ; 21200000.0; 21200000.0; ; -51000000.0; ; ; ; -133400000.0; -133400000.0; -40000000.0; -2300000.0; -175700000.0; -64099999.99999999; 8300000.000000001; -40000000.0
2019-12-31; 86300000.0; 43300000.0; 13600000.0; 56900000.0; 500000.0; 0.0; 0.0; 68000000.0; 94500000.0; 237700000.0; -8199999.999999999; 0.0; 0.0; 0.0; -47000000.0; -47000000.0; 8000000.0; -47200000.0; 0.0; 0.0; 0.0; -69600000.0; -69600000.0; -40000000.0; -4300000.0; -113900000.0; 79300000.0; 4800000.0; -40000000.0
2019-09-30; 105900000.0; 43400000.0; 3200000.0; 46600000.0; 8300000.000000001; 0.0; 0.0; -108100000.0; -75000000.0; 77500000.0; -7800000.0; 0.0; 0.0; 0.0; 62500000.0; 62500000.0; 0.0; 54700000.0; -50000000.0; 0.0; -50000000.0; -62500000.0; -62500000.0; -40400000.0; 10400000.0; -142500000.0; -11300000.0; 5300000.0; -40400000.0
2019-06-30; 83400000.0; 54800000.0; 3000000.0; 57800000.0; 4000000.0; 0.0; 0.0; 64099999.99999999; 58400000.0; 199600000.0; -13300000.0; 0.0; 0.0; 0.0; -32100000.0; -32100000.0; 0.0; -45400000.0; -300000000.0; 0.0; -300000000.0; 10400000.0; 10400000.0; -34800000.0; -10400000.0; -334800000.0; -184900000.0; 6300000.0; -34800000.0
2019-03-31; 95200000.0; 47800000.0; 800000.0; 48600000.0; 37500000.0; ; ; -31100000.0; -25800000.0; 118000000.0; -5800000.0; ; ; ; 5800000.0; 5800000.0; 22000000.0; 22000000.0; ; ; ; -36900000.0; -36900000.0; -34800000.0; ; -71700000.0; 71100000.0; 5400000.0; -34800000.0
2018-12-31; 138400000.0; 49800000.0; -30900000.0; 18900000.0; -66500000.0; 0.0; 0.0; 58500000.0; 69300000.0; 226600000.0; -8500000.0; 0.0; 0.0; 0.0; -35000000.0; -35000000.0; 0.0; -43500000.0; 0.0; 0.0; 0.0; -4600000.0; -4600000.0; -34700000.0; 0.0; -39300000.0; 138300000.0; 5700000.0; -34700000.0
2018-09-30; 85700000.0; 50800000.0; 12200000.0; 63000000.0; 31200000.0; 0.0; 0.0; -186100000.0; -189900000.0; -41200000.0; -15200000.0; 0.0; 0.0; 0.0; 130500000.0; 130500000.0; 0.0; 115300000.0; 0.0; 0.0; 0.0; -48000000.0; -48000000.0; -34600000.0; 100000.0; -82500000.0; -3200000.0; 8400000.0; -34600000.0
2018-06-30; 83000000.0; 51100000.0; 26100000.0; 77200000.0; 15300000.0; 0.0; 0.0; 79200000.0; 25600000.0; 185800000.0; -5300000.0; 0.0; -200000.0; 0.0; -66700000.0; -66700000.0; 0.0; -72200000.0; 0.0; 0.0; 0.0; -48600000.0; -48600000.0; -30400000.0; -56600000.0; -135600000.0; -26300000.0; 10000000.0; -30400000.0
2018-03-31; 118100000.0; 54800000.0; -17600000.0; 37200000.0; -50300000.0; ; ; 1800000.0; 8199999.999999999; 163500000.0; -7300000.0; ; 200000.0; ; -18100000.0; -18100000.0; ; -25200000.0; -25000000.0; ; -25000000.0; -58500000.0; -58500000.0; -30600000.0; -100000.0; -114200000.0; 22800000.0; 11000000.0; -30600000.0
2017-12-31; 257100000.00000003; 56400000.0; -226900000.0; -170500000.0; -18500000.0; 0.0; 0.0; 86800000.0; 108900000.0; 195500000.0; -11400000.0; 0.0; -8700000.0; 0.0; -46800000.0; -46800000.0; 0.0; -66900000.00000001; -75300000.0; 0.0; -75300000.0; -7900000.0; -7900000.0; -30700000.0; -700000.0; -114600000.0; 18700000.0; 13500000.0; -30700000.0
2017-09-30; 60300000.0; 57500000.0; 22900000.0; 80400000.0; 31800000.0; 0.0; 0.0; -129800000.00000001; -133900000.0; 6800000.0; -6900000.0; 0.0; 0.0; 0.0; 106100000.0; 106100000.0; -1400000.0; 97800000.0; -100000000.0; 0.0; -100000000.0; -1500000.0; -1500000.0; -30700000.0; 0.0; -132199999.99999999; -23800000.0; 9000000.0; -30700000.0
2017-06-30; 68000000.0; 55900000.0; -3300000.0; 52600000.0; -300000.0; 0.0; 0.0; 67300000.0; 69200000.0; 189800000.0; -11800000.0; 0.0; 0.0; 0.0; -68900000.0; -68900000.0; 100000.0; -80600000.0; -75000000.0; 0.0; -75000000.0; -6800000.0; -6800000.0; -28400000.0; -1000000.0; -111200000.0; -4700000.0; 9200000.0; -28400000.0
