Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; -19800000.0; 22600000.0; 42700000.0; 65300000.0; -10300000.0; 0.0; 0.0; 1300000.0; -12300000.0; 33200000.000000004; -22300000.0; 0.0; 0.0; 0.0; -45300000.0; -45300000.0; 0.0; -67600000.0; 1981300000.0; 0.0; 1981300000.0; 7300000.0; 7300000.0; 0.0; -3879800000.0; -1891200000.0; -1932200000.0; 38800000.0; 0.0
2022-03-31; -27400000.0; 21900000.0; 42900000.0; 64800000.0; 1000000.0; ; ; -25000000.0; -31900000.0; 5500000.0; -19900000.0; ; ; ; -164800000.0; -164800000.0; ; -184700000.0; -2100000.0; ; -2100000.0; 6000000.0; 6000000.0; ; 3879800000.0; 3883700000.0; 3706200000.0; 35500000.0; 
2021-12-31; -9500000.0; 23600000.0; 23500000.0; 47100000.0; -29500000.0; 0.0; 0.0; 4900000.0; -37700000.0; -100000.0; 19900000.0; 0.0; -36000000.0; 0.0; -184500000.0; -184500000.0; 0.0; -200600000.0; -3500000.0; 0.0; -3500000.0; 24500000.0; 24500000.0; 0.0; -1827900000.0; -1806900000.0; -2028000000.0; 29800000.0; 0.0
2021-09-30; -20900000.0; 26300000.0; 17400000.0; 43700000.0; -1600000.0; 0.0; 0.0; 7700000.0; 3000000.0; 25800000.0; -14400000.0; 0.0; 100000.0; 0.0; -86700000.0; -86700000.0; 0.0; -101000000.0; 564500000.0; 0.0; 564500000.0; 36500000.0; 36500000.0; 0.0; 1631000000.0; 2232000000.0; 2149600000.0; 29400000.0; 0.0
2021-06-30; -25800000.0; 28400000.0; 2800000.0; 31200000.0; 4400000.0; 0.0; 0.0; -1600000.0; 22200000.0; 27600000.0; -16000000.0; 0.0; -35300000.0; 0.0; 46500000.0; 46500000.0; 0.0; -4800000.0; -567500000.0; 0.0; -567500000.0; 23100000.0; 23100000.0; 0.0; -513200000.00000006; -1057599999.9999999; -1031500000.0; 31400000.0; 0.0
2021-03-31; -19200000.0; 16100000.000000002; 27100000.0; 43200000.0; -8100000.0; ; ; -26900000.0; -28500000.0; -4500000.0; -15300000.0; ; -338300000.0; ; -51100000.0; -51100000.0; ; -404700000.0; 515500000.0; ; 515500000.0; 11300000.0; 11300000.0; ; 513200000.00000006; 1040000000.0; 634200000.0; 22800000.0; 
2020-12-31; -17300000.0; 15200000.0; 32500000.0; 47700000.0; -9500000.0; 0.0; 0.0; -114000000.0; -107900000.0; -77500000.0; -15600000.0; 0.0; 0.0; 0.0; -121900000.0; -121900000.0; 0.0; -137500000.0; -297100000.0; 0.0; -297100000.0; 21500000.0; 21500000.0; 0.0; 1085000000.0; 809400000.0; 598300000.0; 19500000.0; 0.0
2020-09-30; -800000.0; 13300000.0; 18700000.0; 32000000.0; 1300000.0; 0.0; 0.0; 6100000.0; -7800000.0; 23400000.0; -14500000.0; 0.0; 0.0; 0.0; 89600000.0; 89600000.0; 0.0; 75100000.0; -2500000.0; 0.0; -2500000.0; 18700000.0; 18700000.0; 0.0; -30000000.0; -13800000.0; 89200000.0; 18500000.0; 0.0
2020-06-30; 5500000.0; 12400000.0; 12500000.0; 24900000.0; 700000.0; 0.0; 0.0; -4200000.0; -7900000.0; 22500000.0; -14100000.0; 0.0; -58300000.0; 0.0; 164300000.0; 164300000.0; 0.0; 91900000.0; 292300000.0; 0.0; 292300000.0; 40100000.0; 40100000.0; 0.0; -1052200000.0; -719800000.0; -603300000.0; 15300000.0; 0.0
2020-03-31; 8600000.0; 12100000.0; 18200000.0; 30300000.0; -4500000.0; ; ; -31900000.0; -37500000.0; 1400000.0; -15600000.0; ; ; ; 24900000.0; 24900000.0; ; 9300000.0; -2700000.0; ; -2700000.0; 11400000.0; 11400000.0; ; 480800000.0; 489500000.0; 485700000.0; 12500000.0; 
