Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 279300000.0; 71100000.0; 26200000.0; 97300000.0; 105200000.0; 20600000.0; 122800000.0; -244900000.0; 3700000.0; 380300000.0; -22300000.0; 0.0; -28000000.0; 0.0; 0.0; 0.0; 0.0; -50300000.0; -5700000.0; 0.0; -5700000.0; 6800000.0; 6800000.0; -67500000.0; -100400000.0; -166800000.0; 154700000.0; 23500000.0; -67500000.0
2022-03-31; 250200000.0; 71400000.0; 22600000.0; 94000000.0; -125000000.0; -130300000.00000001; 87800000.0; 204100000.0; 36600000.0; 380800000.0; -41300000.0; ; ; ; ; ; ; -41300000.0; -257100000.00000003; ; -257100000.00000003; 8300000.000000001; 8300000.000000001; -67500000.0; 108200000.0; -208100000.0; 128800000.00000001; 21100000.0; -67500000.0
2021-12-31; 215300000.0; 51200000.0; 30500000.0; 81700000.0; -293300000.0; -63500000.0; 194800000.0; 12900000.0; -149100000.0; 147900000.0; -33800000.0; 0.0; -2365900000.0; 0.0; 0.0; 0.0; 0.0; -2399700000.0; 2655300000.0; 0.0; 2655300000.0; -305900000.0; -305900000.0; -67700000.0; -17100000.0; 2264600000.0; 13000000.0; 19300000.0; -67700000.0
2021-09-30; 266600000.00000003; 48200000.0; 9600000.0; 57800000.0; -183000000.0; 40400000.0; 72200000.0; 37800000.0; -32600000.0; 291800000.0; -27700000.0; 0.0; -128100000.0; 0.0; 0.0; 0.0; 0.0; -155800000.0; 120800000.0; 0.0; 120800000.0; -431100000.0; -431100000.0; -54800000.0; -24200000.0; -389300000.0; -256100000.00000003; 16900000.0; -54800000.0
2021-06-30; 274100000.0; 46600000.0; -17300000.0; 29300000.0; -124800000.0; -143300000.0; 144700000.0; -179700000.0; -303100000.0; 300000.0; -17800000.0; 0.0; 1300000.0; 0.0; 36000000.0; 36000000.0; 0.0; 19500000.0; -7000000.0; 0.0; -7000000.0; -372800000.0; -372800000.0; -55800000.0; 36600000.0; -399000000.0; -377400000.0; 20600000.0; -55800000.0
2021-03-31; 232600000.0; 45200000.0; 13600000.0; 58800000.0; -15700000.0; 15400000.0; -37200000.0; 90700000.0; 53200000.0; 344600000.0; -20700000.0; ; -212900000.0; ; ; ; ; -233600000.0; -47700000.0; ; -47700000.0; -320700000.0; -320700000.0; -56500000.0; -218600000.0; -643500000.0; -531600000.0; 15800000.0; -56500000.0
2020-12-31; 238300000.0; 76600000.0; 3000000.0; 79600000.0; 78500000.0; -37200000.0; 146900000.0; 69800000.0; 258000000.0; 575900000.0; -24400000.0; 0.0; -4500000.0; 0.0; 0.0; 0.0; 0.0; -28900000.0; -18100000.0; 0.0; -18100000.0; -177500000.0; -177500000.0; -57200000.0; -140100000.0; -392900000.0; 160700000.0; 16500000.0; -57200000.0
2020-09-30; 193200000.0; 132400000.0; 36700000.0; 169100000.0; -224500000.0; 55100000.0; 108900000.0; -79200000.0; -139700000.0; 222600000.0; -33600000.0; 0.0; -38500000.0; 0.0; 0.0; 0.0; 0.0; -72100000.0; 27500000.0; 0.0; 27500000.0; 26900000.0; 26900000.0; -54100000.0; 137100000.0; 137400000.0; 291100000.0; 11600000.0; -54100000.0
2020-06-30; 189100000.0; 125200000.0; 13600000.0; 138800000.0; 128600000.0; -22900000.0; -159500000.0; 18700000.0; -35100000.0; 292800000.0; -74600000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -74600000.0; 437500000.0; 0.0; 437500000.0; -7100000.0; -7100000.0; -54100000.0; 148000000.0; 524299999.99999994; 744000000.0; 5600000.0; -54100000.0
2020-03-31; 167900000.0; 91400000.0; 42000000.0; 133400000.0; -209000000.0; -66400000.00000001; 157400000.0; 39700000.0; -78300000.0; 223000000.0; -25400000.0; ; ; ; ; ; ; -25400000.0; 161500000.0; ; 161500000.0; -133699999.99999999; -133699999.99999999; -54200000.0; -103600000.0; -130000000.0; 60400000.0; 8800000.0; -54200000.0
