Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 1572000000.0; 759000000.0; 66000000.0; 825000000.0; -1964000000.0; -281000000.0; 1030000000.0; 62000000.0; -1153000000.0; 1244000000.0; -324000000.0; 0.0; 0.0; 0.0; -68000000.0; -68000000.0; -16000000.0; -408000000.0; 0.0; 219000000.0; 219000000.0; -882000000.0; -882000000.0; -352000000.0; 99000000.0; -916000000.0; -137000000.0; 0.0; -352000000.0
2022-03-31; 1198000000.0; 717000000.0; 181000000.0; 898000000.0; -540000000.0; 222000000.0; -40000000.0; 292000000.0; -66000000.0; 2030000000.0; -288000000.0; ; -57000000.0; ; 27000000.0; 27000000.0; -6000000.0; -324000000.0; ; -463000000.0; -463000000.0; -1275000000.0; -1275000000.0; -357000000.0; -76000000.0; -2171000000.0; -488000000.0; ; -357000000.0
2021-12-31; 1133000000.0; 743000000.0; -184000000.0; 559000000.0; 1088000000.0; -702000000.0; 1938000000.0; 259000000.0; 2583000000.0; 4275000000.0; -304000000.0; 0.0; 3000000.0; 0.0; 378000000.0; 378000000.0; 46000000.0; 123000000.0; 0.0; -658000000.0; -658000000.0; -1396000000.0; -1396000000.0; -324000000.0; 7000000.0; -2371000000.0; 2008000000.0; 0.0; -324000000.0
2021-09-30; 1635000000.0; 734000000.0; -92000000.0; 642000000.0; -671000000.0; 21000000.0; 466000000.0; 26000000.0; -158000000.0; 2119000000.0; -350000000.0; 0.0; -61000000.0; 0.0; -291000000.0; -291000000.0; -8000000.0; -710000000.0; 0.0; 1161000000.0; 1161000000.0; -2600000000.0; -2600000000.0; -330000000.0; 41000000.0; -1728000000.0; -338000000.0; 0.0; -330000000.0
2021-06-30; 1476000000.0; 731000000.0; -94000000.0; 637000000.0; -2269000000.0; -123000000.0; -298000000.0; 281000000.0; -2409000000.0; -296000000.0; -258000000.0; 0.0; -1836000000.0; 0.0; -272000000.0; -272000000.0; 59000000.0; -2307000000.0; -391000000.0; 1502000000.0; 1111000000.0; -830000000.0; -830000000.0; -342000000.0; -1000000.0; -62000000.0; -2666000000.0; 0.0; -342000000.0
2021-03-31; 1171000000.0; 715000000.0; 95000000.0; 810000000.0; -1380000000.0; 247000000.0; -222000000.0; 467000000.0; -888000000.0; 1093000000.0; -242000000.0; ; ; ; -475000000.0; -475000000.0; ; -717000000.0; -63000000.0; -1030000000.0; -1093000000.0; -2590000000.0; -2590000000.0; -345000000.0; -23000000.0; -4051000000.0; -3701000000.0; ; -345000000.0
2020-12-31; 4142000000.0; 713000000.0; -4416000000.0; -3703000000.0; 2012000000.0; -509000000.0; 2185000000.0; 167000000.0; 3855000000.0; 4294000000.0; -319000000.0; 0.0; 5588000000.0; 0.0; -835000000.0; -835000000.0; -14000000.0; 4420000000.0; -2550000000.0; -532000000.0; -3082000000.0; -1553000000.0; -1553000000.0; 0.0; -86000000.0; -4721000000.0; 4041000000.0; 0.0; 0.0
2020-09-30; 1398000000.0; 702000000.0; -113000000.0; 589000000.0; -1185000000.0; 55000000.0; -233000000.0; 271000000.0; -1092000000.0; 895000000.0; -252000000.0; 0.0; -135000000.0; 0.0; -551000000.0; -551000000.0; 0.0; -938000000.0; -701000000.0; 147000000.0; -554000000.0; -1018000000.0; -1018000000.0; 0.0; -110000000.0; -1682000000.0; -1717000000.0; 0.0; 0.0
2020-06-30; 1760000000.0; 694000000.0; -122000000.0; 572000000.0; -827000000.0; -146000000.0; 1569000000.0; 346000000.0; 942000000.0; 3274000000.0; -256000000.0; 0.0; 0.0; 0.0; 19000000.0; 19000000.0; 0.0; -237000000.0; -614000000.0; 625000000.0; 11000000.0; -292000000.0; -292000000.0; -15000000.0; -16000000.0; -312000000.0; 2747000000.0; 0.0; -15000000.0
2020-03-31; 1189000000.0; 693000000.0; 112000000.0; 805000000.0; -1266000000.0; 96000000.0; 716000000.0; 347000000.0; -107000000.0; 1887000000.0; -267000000.0; ; ; ; -39000000.0; -39000000.0; 37000000.0; -269000000.0; -931000000.0; -180000000.0; -1111000000.0; -803000000.0; -803000000.0; ; 96000000.0; -1818000000.0; -237000000.0; ; 
2019-12-31; 984000000.0; 927000000.0; -4000000.0; 923000000.0; 181000000.0; -512000000.0; 918000000.0; 299000000.0; 886000000.0; 2793000000.0; -310000000.0; 0.0; -147000000.0; 0.0; 190000000.0; 190000000.0; -4000000.0; -271000000.0; -1154000000.0; -202000000.0; -1356000000.0; -324000000.0; -324000000.0; -15000000.0; -12000000.0; -1707000000.0; 834000000.0; 0.0; -15000000.0
2019-09-30; 1354000000.0; 913000000.0; -210000000.0; 703000000.0; 171000000.0; 137000000.0; -110000000.0; 206000000.0; 404000000.0; 2461000000.0; -243000000.0; 0.0; 0.0; 0.0; -60000000.0; -60000000.0; -1000000.0; -304000000.0; -600000000.0; 142000000.0; -458000000.0; -643000000.0; -643000000.0; 0.0; -72000000.0; -1173000000.0; 967000000.0; 0.0; 0.0
2019-06-30; 1410000000.0; 914000000.0; -102000000.0; 812000000.0; -1070000000.0; 84000000.0; -192000000.0; -5000000.0; -1183000000.0; 1039000000.0; -303000000.0; 0.0; 0.0; 0.0; -325000000.0; -325000000.0; -6000000.0; -634000000.0; -1740000000.0; 427000000.0; -1313000000.0; -387000000.0; -387000000.0; 0.0; -73000000.0; -1773000000.0; -1366000000.0; 0.0; 0.0
2019-03-31; 1372000000.0; 897000000.0; -172000000.0; 725000000.0; -272000000.0; 440000000.0; 535000000.0; 392000000.0; 1095000000.0; 3192000000.0; -194000000.0; ; -6000000.0; ; 675000000.0; 675000000.0; ; 475000000.0; -1000000000.0; -1048000000.0; -2048000000.0; -409000000.0; -409000000.0; ; -77000000.0; -2534000000.0; 1121000000.0; ; 
2018-12-31; 147000000.0; 257000000.0; -73000000.0; 184000000.0; 359000000.0; -191000000.0; -696000000.0; 323000000.0; -205000000.0; 126000000.0; -182000000.0; 0.0; -24455000000.0; 0.0; -67000000.0; -67000000.0; 0.0; -24704000000.0; 2972000000.0; 1596000000.0; 4568000000.0; -5000000.0; -5000000.0; 0.0; -163000000.0; 4400000000.0; -20177000000.0; 0.0; 0.0
2018-09-30; 774000000.0; 162000000.0; 11000000.0; 173000000.0; -72000000.0; -31000000.0; 362000000.0; -582000000.0; -323000000.0; 624000000.0; -126000000.0; 0.0; 0.0; 0.0; 263000000.0; 263000000.0; -12000000.0; 125000000.0; 19884000000.0; -104000000.0; 19780000000.0; 14000000.0; 14000000.0; 0.0; -137000000.0; 19657000000.0; 20398000000.0; 0.0; 0.0
2018-06-30; 808000000.0; 136000000.0; 0.0; 136000000.0; 186000000.0; 21000000.0; -245000000.0; 89000000.0; 51000000.0; 995000000.0; -117000000.0; 0.0; 0.0; 0.0; -188000000.0; -188000000.0; 206000000.0; -99000000.0; 0.0; -2000000.0; -2000000.0; 7000000.0; 7000000.0; 0.0; -17000000.0; -12000000.0; 863000000.0; 0.0; 0.0
2018-03-31; 917000000.0; 140000000.0; 42000000.0; 182000000.0; -2000000.0; 94000000.0; 69000000.0; 765000000.0; 926000000.0; 2025000000.0; -103000000.0; ; ; ; -1391000000.0; -1391000000.0; -206000000.0; -1700000000.0; -131000000.0; -3000000.0; -134000000.0; -290000000.0; -290000000.0; ; -106000000.0; -530000000.0; -201000000.0; ; 
2017-12-31; 267000000.0; 141000000.0; 157000000.0; 298000000.0; -72000000.0; -72000000.0; 510000000.0; -349000000.0; 10000000.0; 575000000.0; -131000000.0; 0.0; -176000000.0; 0.0; -296000000.0; -296000000.0; 0.0; -603000000.0; -3000000.0; 96000000.0; 93000000.0; -744000000.0; -744000000.0; 0.0; -32000000.0; -683000000.0; -684000000.0; 0.0; 0.0
2017-09-30; 562000000.0; 139000000.0; 235000000.0; 374000000.0; 112000000.0; 0.0; 380000000.0; -117000000.0; 299000000.0; 1235000000.0; -146000000.0; 0.0; -19000000.0; 0.0; -647000000.0; -647000000.0; 444000000.0; -368000000.0; 271000000.0; -2000000.0; 269000000.0; -1031000000.0; -1031000000.0; 0.0; -63000000.0; -825000000.0; 45000000.0; 0.0; 0.0
2017-06-30; 810000000.0; 140000000.0; -31000000.0; 109000000.0; -144000000.0; 0.0; 27000000.0; 103000000.0; -222000000.0; 697000000.0; -103000000.0; 0.0; -14000000.0; 0.0; -54000000.0; -54000000.0; -444000000.0; -615000000.0; 0.0; -4000000.0; -4000000.0; -618000000.0; -618000000.0; 0.0; -6000000.0; -628000000.0; -544000000.0; 0.0; 0.0
