Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 602000000.0; 235000000.0; -20000000.0; 215000000.0; 0.0; 0.0; 0.0; -359000000.0; -359000000.0; 340000000.0; -47000000.0; 0.0; 22000000.0; -3000000.0; 0.0; -3000000.0; -33000000.0; -60000000.0; -2000000.0; 279000000.0; 277000000.0; -95000000.0; -95000000.0; -334000000.0; -8000000.0; -160000000.0; 126000000.0; 0.0; -334000000.0
2022-03-31; 533000000.0; 244000000.0; -9000000.0; 235000000.0; ; ; ; -785000000.0; -785000000.0; 42000000.0; -115000000.0; ; -612000000.0; -1000000.0; ; -1000000.0; -34000000.0; -762000000.0; -4000000.0; 1105000000.0; 1101000000.0; -78000000.0; -78000000.0; -320000000.0; -51000000.0; 652000000.0; -60000000.0; ; -320000000.0
2021-12-31; 551000000.0; 238000000.0; 19000000.0; 257000000.0; -271000000.0; -629000000.0; 832000000.0; 221000000.0; -10000000.0; 795000000.0; -163000000.0; 0.0; 19000000.0; 115000000.0; 0.0; 115000000.0; -47000000.0; -76000000.0; -2000000.0; -410000000.0; -412000000.0; 15000000.0; 15000000.0; -303000000.0; -1000000.0; -701000000.0; 26000000.0; 0.0; -303000000.0
2021-09-30; 630000000.0; 247000000.0; -235000000.0; 12000000.0; 0.0; 0.0; 0.0; -130000000.0; -130000000.0; 471000000.0; -156000000.0; 0.0; 3110000000.0; -137000000.0; 0.0; -137000000.0; -22000000.0; 2795000000.0; -2000000.0; -2950000000.0; -2952000000.0; -29000000.0; -29000000.0; -303000000.0; -3000000.0; -3287000000.0; -8000000.0; 0.0; -303000000.0
2021-06-30; 506000000.0; 229000000.0; -28000000.0; 201000000.0; 0.0; 0.0; 0.0; -61000000.0; -61000000.0; 637000000.0; -137000000.0; 0.0; -2800000000.0; 681000000.0; 0.0; 681000000.0; -26000000.0; -2282000000.0; -1006000000.0; 2917000000.0; 1911000000.0; -7000000.0; -7000000.0; -313000000.0; -13000000.0; 1578000000.0; -75000000.0; 0.0; -313000000.0
2021-03-31; 459000000.0; 208000000.0; -31000000.0; 177000000.0; ; ; ; -108000000.0; -108000000.0; 260000000.0; -119000000.0; ; -1700000000.0; -280000000.0; ; -280000000.0; -102000000.0; -2201000000.0; 1795000000.0; 463000000.0; 2258000000.0; -38000000.0; -38000000.0; -300000000.0; -45000000.0; 1875000000.0; -84000000.0; ; -300000000.0
2020-12-31; 476000000.0; 208000000.0; -35000000.0; 173000000.0; 219000000.0; 371000000.0; 76000000.0; -228000000.0; 278000000.0; 943000000.0; -98000000.0; 0.0; 0.0; -320000000.0; 0.0; -320000000.0; 106000000.0; -312000000.0; -242000000.0; -1000000.0; -243000000.0; -104000000.0; -104000000.0; -291000000.0; -1000000.0; -639000000.0; 9000000.0; 0.0; -291000000.0
2020-09-30; 447000000.0; 206000000.0; 4000000.0; 210000000.0; 0.0; 0.0; 0.0; 262000000.0; 262000000.0; 921000000.0; -89000000.0; 0.0; -5000000.0; -125000000.0; 0.0; -125000000.0; 28000000.0; -191000000.0; -2000000.0; -137000000.0; -139000000.0; -150000000.0; -150000000.0; -292000000.0; -4000000.0; -585000000.0; 137000000.0; 0.0; -292000000.0
2020-06-30; 54000000.0; 198000000.0; 98000000.0; 296000000.0; 0.0; 0.0; 0.0; 341000000.0; 341000000.0; 757000000.0; -90000000.0; 0.0; 6000000.0; -26000000.0; 0.0; -26000000.0; -90000000.0; -200000000.0; -84000000.0; -116000000.0; -200000000.0; 3000000.0; 3000000.0; -301000000.0; -6000000.0; -504000000.0; 53000000.0; 0.0; -301000000.0
2020-03-31; 438000000.0; 199000000.0; -57000000.0; 142000000.0; ; ; ; -246000000.0; -246000000.0; 323000000.0; -112000000.0; ; 1207000000.0; 30000000.0; ; 30000000.0; -25000000.0; 1100000000.0; 79000000.0; ; 79000000.0; -1286000000.0; -1286000000.0; -291000000.0; -32000000.0; -1530000000.0; -131000000.0; ; -291000000.0
