Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 47900000.0; 174200000.0; 309200000.0; 483400000.0; 0.0; 0.0; 0.0; 254800000.0; 254800000.0; 786100000.0; -143100000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -200000.0; -143300000.0; -501300000.0; 53000000.0; -448300000.0; -11500000.0; -11500000.0; -82500000.0; 0.0; -542300000.0; 83400000.0; 8400000.0; -82500000.0
2022-03-31; 137300000.0; 175300000.0; -124300000.0; 51000000.0; ; ; ; -307600000.0; -307600000.0; -119300000.0; -230600000.0; ; ; ; ; ; 4400000.0; -226200000.0; 3900000.0; 164200000.0; 168100000.0; -13200000.0; -13200000.0; -82400000.0; ; 72500000.0; -278700000.0; 8500000.0; -82400000.0
2021-12-31; 82400000.0; 183800000.0; 22100000.0; 205899900.0; -137600000.0; -143900000.0; 285500000.0; 13500000.0; 17500000.0; 305800000.0; -157300000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 500000.0; -156800000.0; -1600000.0; -23300000.0; -24900000.0; 0.0; 0.0; -73900000.0; -23800000.0; -122600000.0; 21100000.0; 7400000.0; -73900000.0
2021-09-30; 453800000.0; 202000000.0; -137400000.0; 64599999.99999999; 0.0; 0.0; 0.0; 800000.0; 800000.0; 519200000.00000006; -130600000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -22400000.0; -153000000.0; -1003100000.0; 31000000.0; -972100000.0; 100000.0; 100000.0; -73700000.0; 0.0; -1045700000.0; -692600000.0; 8199999.999999999; -73700000.0
2021-06-30; 390300000.0; 202900000.0; 22400000.0; 225300000.0; 0.0; 0.0; 0.0; 323800000.0; 323800000.0; 939400000.0; -107300000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -8199999.999999999; -115500000.0; -1000000.0; -47700000.0; -48700000.0; 0.0; 0.0; -200000.0; 0.0; -48900000.0; 776200000.0; 8199999.999999999; -200000.0
2021-03-31; 82000000.0; 204100000.0; -98800000.0; 105300000.0; ; ; ; -378200000.0; -378200000.0; -190900000.0; -101400000.0; ; ; ; ; ; 16800000.0; -84600000.0; -900000.0; 41400000.0; 40500000.0; 4500000.0; 4500000.0; ; ; 45000000.0; -237400000.0; 8300000.000000001; 
2020-12-31; -1373900000.0; 208900000.0; 1447400000.0; 1656300000.0; 160800000.0; -46200000.0; -50100000.0; -144400000.0; -79900000.0; 202500000.0; 35800000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1900000.0; 37700000.0; -5400000.0; -192000000.0; -197400000.0; 100000.0; 100000.0; 0.0; -31800000.0; -229100000.0; 38800000.0; 6200000.0; 0.0
2020-09-30; 346400000.0; 223000000.0; -23300000.0; 199700000.0; 0.0; 0.0; 0.0; -112800000.0; -112800000.0; 433300000.0; -109700000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -100000.0; -109800000.0; -912000000.0; 520500000.0; -391500000.0; 0.0; 0.0; 0.0; 0.0; -391500000.0; -49500000.0; 6200000.0; 0.0
2020-06-30; 197200000.0; 239600000.0; 177300000.0; 416900000.0; 0.0; 0.0; 0.0; 463900000.0; 463900000.0; 1078000000.0; -118600000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2900000.0; -121500000.0; 501900000.0; -1348500000.0; -846600000.0; 0.0; 0.0; -1900000.0; 0.0; -848500000.0; 114700000.0; 5900000.0; -1900000.0
2020-03-31; -115400000.0; 258600000.00000003; 33800000.0; 292400000.0; ; ; ; -195100000.0; -195100000.0; -18100000.0; -223500000.0; ; ; ; ; ; 3500000.0; -220000000.0; -501900000.0; 1020000000.0; 518100000.0; 4000000.0; 4000000.0; -123400000.0; ; 398700000.0; 142700000.0; 5900000.0; -123400000.0
2019-12-31; 166200000.0; 220000000.0; 51400000.0; 271400000.0; 38500000.0; -17700000.0; -53000000.0; 203700000.0; 171500000.0; 609100000.0; -121600000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 7300000.0; -114300000.0; -1583200000.0; 1309500000.0; -273700000.0; 1600000.0; 1600000.0; -123500000.0; 2200000.0; -393400000.0; 113200000.0; 1000000.0; -123500000.0
2019-09-30; -399300000.0; 215400000.0; 755500000.0; 970900000.0; 0.0; 0.0; 0.0; -111400000.0; -111400000.0; 460200000.0; -145700000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -5500000.0; -151200000.0; 1070800000.0; -1325100000.0; -254300000.0; 0.0; 0.0; -123500000.0; 100000.0; -377700000.0; -80000000.0; -11100000.0; -123500000.0
2019-06-30; 330200000.0; 220600000.0; 51900000.0; 272500000.0; 0.0; 0.0; 0.0; 323800000.0; 323800000.0; 926500000.0; -15000000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 41800000.0; 26800000.0; -3600000.0; -609600000.0; -613200000.0; -600000.0; -600000.0; -88700000.0; 1400000.0; -701100000.0; 255800000.0; 7200000.0; -88700000.0
2019-03-31; 149100000.0; 216600000.0; -52600000.0; 164000000.0; ; ; ; -411600000.0; -411600000.0; -98500000.0; -195600000.0; ; ; ; ; ; 1000000.0; -194600000.0; -1067200000.0; 620500000.0; -446700000.0; 600000.0; 600000.0; -88700000.0; ; -534799999.99999994; -823500000.0; 11400000.0; -88700000.0
2018-12-31; 75700000.0; 216000000.0; 183900000.0; 399900000.0; -38400000.0; -10600000.0; 27600000.0; 85700000.0; 64300000.0; 539900000.0; -135700000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 100000.0; -135600000.0; 310200000.0; -339800000.0; -29600000.0; 9300000.0; 9300000.0; -88600000.0; 23400000.0; -85500000.0; 307800000.0; 8800000.0; -88600000.0
2018-09-30; 345600000.0; 217400000.0; 42800000.0; 260200000.0; 0.0; 0.0; 0.0; -112200000.0; -112200000.0; 493600000.0; -136800000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 500000.0; -136300000.0; -307800000.0; -2700000.0; -310500000.0; 400000.0; 400000.0; -88600000.0; 0.0; -398700000.0; -42800000.0; 8700000.0; -88600000.0
2018-06-30; 430800000.0; 219000000.0; 124800000.0; 343800000.0; 0.0; 0.0; 0.0; 208000000.0; 208000000.0; 982600000.0; -140000000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -5100000.0; -145100000.0; -1600000.0; -144900000.0; -146500000.0; 200000.0; 200000.0; -88500000.0; 0.0; -234800000.0; 595000000.0; 10300000.0; -88500000.0
2018-03-31; 282500000.0; 217800000.0; 129100000.0; 346900000.0; ; ; ; -314200000.0; -314200000.0; 315200000.0; -206700000.0; ; ; ; ; ; -45400000.0; -252100000.0; -800000.0; -206700000.0; -207500000.0; 6100000.0; 6100000.0; -88500000.0; ; -289900000.0; -220700000.0; 14800000.0; -88500000.0
2017-12-31; 744700000.0; 214100000.0; -486500000.0; -272400000.0; -7200000.0; 21300000.0; 31000000.0; 203500000.0; 248600000.0; 720900000.0; -130000000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -10200000.0; -140200000.0; -398600000.0; -584700000.0; -983300000.0; 400000.0; 400000.0; -88500000.0; -57200000.0; -1128600000.0; -552700000.0; 12100000.0; -88500000.0
2017-09-30; 293100000.0; 214700000.0; -186900000.0; 27800000.0; 0.0; 0.0; 0.0; 6000000.0; 6000000.0; 326900000.0; -101200000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 5100000.0; -96100000.0; -400000000.0; 711200000.0; 311200000.0; 2500000.0; 2500000.0; -88300000.0; 0.0; 225400000.0; 468400000.0; 14600000.0; -88300000.0
2017-06-30; 335000000.0; 203600000.0; 176700000.0; 380300000.0; 0.0; 0.0; 0.0; 221500000.0; 221500000.0; 936800000.0; -169900000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 100000.0; -169800000.0; -700400000.0; 110700000.0; -589700000.0; 800000.0; 800000.0; -88300000.0; 3700000.0; -673500000.0; 107900000.0; 16100000.000000002; -88300000.0
2017-03-31; 215000000.0; 203600000.0; -77600000.0; 126000000.0; ; ; ; -459300000.0; -459300000.0; -118300000.0; -138000000.0; ; ; ; ; ; 5900000.0; -132100000.0; 34900000.0; 137100000.0; 172000000.0; 300000.0; 300000.0; -88300000.0; -3700000.0; 80300000.0; -165900000.0; 15500000.0; -88300000.0
2016-12-31; 1058599999.9999999; 187400000.0; -990000000.0; -802600000.0; 65599999.99999999; -23200000.0; 144900000.0; 53400000.0; 240700000.0; 496700000.0; -133800000.00000001; 0.0; -11961000000.0; 0.0; -2799900.0; -2799900.0; -100000.0; -12097700000.0; 2288099000.0; 36400000.0; 2324500000.0; 11200000.0; 11200000.0; -88300000.0; -49600000.0; 2197800000.0; -9420600000.0; 12300000.0; -88300000.0
2016-09-30; 203800000.0; 94300000.0; 23600000.0; 117900000.0; 0.0; 0.0; 0.0; 26100000.0; 26100000.0; 347800000.0; -56500000.0; 0.0; 0.0; 0.0; 646600000.0; 646600000.0; -718400000.0; -128300000.00000001; 6934800000.0; -22500000.0; 6912300000.0; -5700000.0; -5700000.0; -88100000.0; -37000000.0; 6781500000.0; 6991200000.0; 6100000.0; -88100000.0
2016-06-30; 173900000.0; 89000000.0; 28300000.0; 117300000.0; 0.0; 0.0; 0.0; 79500000.0; 79500000.0; 370700000.0; 91700000.0; 0.0; 0.0; 0.0; -396900000.0; -396900000.0; 450100000.0; 144900000.0; -7100000.0; -24500000.0; -31600000.0; 700000.0; 700000.0; -88200000.0; -800000.0; -119900000.0; 387400000.0; 5400000.0; -88200000.0
2016-03-31; 163500000.0; 84200000.0; -174300000.0; -90100000.0; ; ; ; -161700000.0; -161700000.0; -88300000.0; -68700000.0; ; ; ; -413700000.0; -413700000.0; 276900000.0; -205500000.0; 20900000.0; 9500000.0; 30400000.0; 2530600000.0; 2530600000.0; -88300000.0; -14200000.0; 2458500000.0; 2172000000.0; 6100000.0; -88300000.0
2015-12-31; 69400000.0; 80000000.0; 400000.0; 80400000.0; 60800000.0; 10900000.0; -111000000.0; 126400000.0; 87100000.0; 236900000.0; -63700000.0; 0.0; -8700000.0; 0.0; -1386399900.0; -1386399900.0; 1469500000.0; 10700000.0; 0.0; -20200000.0; -20200000.0; -46600000.0; -46600000.0; -75300000.0; -61800000.0; -203900000.0; 37300000.0; 5500000.0; -75300000.0
2015-09-30; 15200000.0; 84000000.0; 194100000.0; 278100000.0; 0.0; 0.0; 0.0; -12400000.0; -12400000.0; 280900000.0; -67200000.0; 0.0; -31400000.0; 0.0; 701799900.0; 701799900.0; -690500000.0; -87300000.0; 0.0; -72100000.0; -72100000.0; -47400000.0; -47400000.0; -75800000.0; -7600000.0; -202900000.0; -20200000.0; 4800000.0; -75800000.0
2015-06-30; 231300000.0; 82600000.0; -2500000.0; 80100000.0; 0.0; 0.0; 0.0; 89300000.0; 89300000.0; 400700000.0; -61600000.0; 0.0; -44800000.0; 0.0; -340200000.0; -340200000.0; 381700000.0; -64900000.00000001; -16600000.000000002; -110500000.0; -127100000.0; -46300000.0; -46300000.0; -76100000.0; 1500000.0; -248000000.0; 96200000.0; 4900000.0; -76100000.0
2015-03-31; 82600000.0; 78900000.0; -227700000.0; -148800000.0; ; ; ; -136400000.0; -136400000.0; -202600000.0; -70700000.0; ; -6300000.0; ; -417900000.0; -417900000.0; 301700000.0; -193200000.0; 16600000.000000002; 152000000.0; 168600000.0; 24800000.0; 24800000.0; -76200000.0; 6100000.0; 123300000.0; -307000000.0; 3200000.0; -76200000.0
2014-12-31; 94400000.0; 81400000.0; 25800100.0; 107200100.0; 22300000.0; -16500000.0; 75300000.0; -53200000.0; 27900000.0; 229500000.0; -60900000.0; 0.0; 0.0; 0.0; -287700000.0; -287700000.0; 347100000.0; -1500000.0; -8000000.0; -225000000.0; -233000000.0; 5900000.0; 5900000.0; -68500000.0; -8500000.0; -304100000.0; -97500000.0; 5500000.0; -68500000.0
2014-09-30; -32600000.0; 76000000.0; 338400000.0; 414400000.0; 0.0; 0.0; 0.0; 100600000.0; 100600000.0; 482400000.0; -67500000.0; 0.0; 0.0; 0.0; -336000000.0; -336000000.0; 359700000.0; -43800000.0; 600000.0; -136500000.0; -135900000.0; 10800000.0; 10800000.0; -68400000.0; 3400000.0; -190100000.0; 216100000.0; 5900000.0; -68400000.0
2014-06-30; 293100000.0; 79800000.0; 13600000.0; 93400000.0; 0.0; 0.0; 0.0; 39800000.0; 39800000.0; 426300000.0; -58700000.0; 0.0; 0.0; 0.0; -409500000.0; -409500000.0; 447600000.0; -20600000.0; -15300000.0; -167800000.0; -183100000.0; 7500000.0; 7500000.0; -68500000.0; 1200000.0; -242900000.0; 168400000.0; 3800000.0; -68500000.0
2014-03-31; 162900000.0; 82800000.0; 15000000.0; 97800000.0; ; ; ; -111000000.0; -111000000.0; 149700000.0; -63600000.0; ; ; ; -354900000.0; -354900000.0; 245000000.0; -173500000.0; -46900000.0; 77900000.0; 31000000.0; 20200000.0; 20200000.0; -68200000.0; -63200000.0; -80200000.0; -104700000.0; 8300000.000000001; -68200000.0
2013-12-31; 137600000.0; 84100000.0; -116700000.0; -32600000.0; 70400000.0; 4200000.0; 185100000.0; -226500000.0; 33200000.000000004; 138200000.0; -29600000.0; 0.0; -2000000.0; 0.0; -1082500000.0; -1082500000.0; 1147700000.0; 33600000.0; 1316500000.0; -1353099900.0; -36599900.0; 13900000.0; 13900000.0; -57700000.0; -54000000.0; -134400000.0; 35400000.0; 900000.0; -57700000.0
2013-09-30; 136100000.0; 81600000.0; 144000000.0; 225600000.0; 0.0; 0.0; 0.0; 77300000.0; 77300000.0; 439000000.0; -65900000.00000001; 0.0; 0.0; 0.0; -1100000.0; -1100000.0; 1300000.0; -65700000.0; -1264100000.0; 558500000.0; -705600000.0; 11800000.0; 11800000.0; -58900000.0; -28000000.0; -780700000.0; -394700000.0; 3200000.0; -58900000.0
2013-06-30; 268900000.0; 87600000.0; 19900000.0; 107500000.0; 0.0; 0.0; 0.0; 96200000.0; 96200000.0; 472600000.0; -80200000.0; 0.0; 2000000.0; 0.0; 6500000.0; 6500000.0; 700000.0; -71000000.0; -52400000.0; -1100000.0; -53500000.0; 35900000.0; 35900000.0; -59800000.0; -31500000.0; -108900000.0; 290100000.0; 4300000.0; -59800000.0
2013-03-31; 29900000.0; 87500000.0; 42800000.0; 130300000.00000001; ; ; ; -41800000.0; -41800000.0; 118400000.0; -64599999.99999999; ; ; ; -109400000.0; -109400000.0; 100000.0; -173900000.0; ; -5600000.0; -5600000.0; 27200000.0; 27200000.0; -58200000.0; 1400000.0; -35200000.0; -112500000.0; 11100000.0; -58200000.0
2012-12-31; 59600000.0; 87900000.0; 102700000.0; 190600100.0; 105500000.0; 54100000.0; -69900000.0; -196200000.0; -106500000.0; 143700000.0; -66200000.0; 0.0; -900000.0; 0.0; 763100000.0; 763100000.0; -716600000.0; -20600000.0; 0.0; -3000000.0; -3000000.0; 6700000.0; 6700000.0; -58200000.0; -31400000.0; -85900000.0; 38300000.0; -1100000.0; -58200000.0
2012-09-30; 201400000.0; 89700000.0; 29300000.0; 119000000.0; 0.0; 0.0; 0.0; 122200000.0; 122200000.0; 442600000.0; -60300000.0; 0.0; 0.0; 0.0; -260100000.00000003; -260100000.00000003; 258600000.00000003; -61800000.0; -181900000.0; -90400000.0; -272300000.0; 6600000.0; 6600000.0; -60200000.0; -400000.0; -326300000.0; 69700000.0; 5000000.0; -60200000.0
2012-06-30; 98700000.0; 77800000.0; 15100000.0; 92900000.0; 0.0; 0.0; 0.0; 155400000.0; 155400000.0; 347000000.0; -47100000.0; 0.0; -2257400000.0; 0.0; -328800000.0; -328800000.0; 338800000.0; -2294500000.0; 1726400000.0; 4300000.0; 1730700000.0; 1100000.0; 1100000.0; -59300000.0; -43000000.0; 1629500000.0; -320300000.0; 5300000.0; -59300000.0
2012-03-31; 79400000.0; 59000000.0; 18400000.0; 77400000.0; ; ; ; -106400000.0; -106400000.0; 50400000.0; -33000000.0; ; ; ; -240600000.0; -240600000.0; 15400000.0; -258200000.0; -100000.0; -9300000.0; -9400000.0; 19700000.0; 19700000.0; -59500000.0; 3300000.0; -45900000.0; -242600000.0; 4800000.0; -59500000.0
2011-12-31; 173600000.0; 61400000.0; 12500000.0; 73900000.0; -29000000.0; -17100000.0; -2600000.0; 65900000.00000001; 17200000.0; 264700000.0; -106000000.0; 0.0; 0.0; 0.0; -126600000.0; -126600000.0; 165400000.0; -67200000.0; -100000.0; 600000.0; 500000.0; -46900000.0; -46900000.0; -58000000.0; -4400000.0; -108800000.0; 91700000.0; 5300000.0; -58000000.0
2011-09-30; 197000000.0; 60500000.0; 32799999.999999996; 93300000.0; 0.0; 0.0; 0.0; 41300000.0; 41300000.0; 331600000.0; -53500000.0; 0.0; 0.0; 0.0; -296000000.0; -296000000.0; 270400000.0; -79100000.0; -200000.0; -4099999.9999999995; -4300000.0; -268900000.0; -268900000.0; -58800000.0; -99000000.0; -431000000.0; -197000000.0; 5000000.0; -58800000.0
2011-06-30; 223800000.0; 61400000.0; 22700000.0; 84100000.0; 0.0; 0.0; 0.0; -81100000.0; -81100000.0; 226800000.0; -38200000.0; 0.0; -11900000.0; 0.0; -183500000.0; -183500000.0; 186400000.0; -47200000.0; 0.0; -13600000.0; -13600000.0; 2000000.0; 2000000.0; -61500000.0; -2100000.0; -75200000.0; 102500000.0; 6100000.0; -61500000.0
2011-03-31; 82700000.0; 56300000.0; 14200000.0; 70500000.0; ; ; ; -108200000.0; -108200000.0; 45000000.0; -33100000.0; ; -29400000.0; ; -277200000.0; -277200000.0; 195100000.0; -144600000.0; ; -3100000.0; -3100000.0; 4300000.0; 4300000.0; -52100000.0; 800000.0; -50100000.0; -135900000.0; 8300000.000000001; -52100000.0
2010-12-31; 109200000.0; 71000000.0; 4400000.0; 75400000.0; -7800000.0; -10100000.0; 45300000.0; -205500000.0; -178100000.0; 6500000.0; -81400000.0; 0.0; 0.0; 0.0; 859100100.0; 859100100.0; -806900000.0; -29200000.0; 488400000.0; 18900000.0; 507300000.0; 25000000.0; 25000000.0; -55200000.0; 200000.0; 477300000.0; 454100000.0; 6000000.0; -55200000.0
2010-09-30; 257000000.0; 47800000.0; 38900000.0; 86700000.0; 0.0; 0.0; 0.0; -6300000.0; -6300000.0; 337400000.0; -31700000.0; 0.0; 14400000.0; 0.0; -244700000.0; -244700000.0; 266300000.0; 4300000.0; -300000000.0; 0.0; -300000000.0; 6400000.0; 6400000.0; -52000000.0; -41300000.0; -386900000.0; -35100000.0; 5800000.0; -52000000.0
2010-06-30; 238300000.0; 51000000.0; 44400000.0; 95400000.0; 0.0; 0.0; 0.0; -18300000.0; -18300000.0; 315400000.0; -33700000.0; 0.0; -34200000.0; 0.0; -327100000.0; -327100000.0; 275300000.0; -119700000.0; 0.0; -8199999.999999999; -8199999.999999999; 2300000.0; 2300000.0; -52900000.0; 100000.0; -58700000.0; 142000000.0; 6700000.0; -52900000.0
2010-03-31; 105400000.0; 53100000.0; -31700000.0; 21400000.0; ; ; ; -36400000.0; -36400000.0; 90400000.0; -25900000.0; ; ; ; -298200000.0; -298200000.0; 201300000.0; -122800000.0; ; 100000.0; 100000.0; 4800000.0; 4800000.0; -44700000.0; 500000.0; -39300000.0; -77600000.0; 8900000.0; -44700000.0
2009-12-31; 222800000.0; 92100000.0; -27600000.0; 64500000.0; -63300000.0; 1800000.0; 21000000.0; -55300000.0; -95800000.0; 191500000.0; -91000000.0; 0.0; 35900000.0; 0.0; -159400000.0; -159400000.0; 212800000.0; -1700000.0; -100000.0; 900000.0; 800000.0; 17600000.0; 17600000.0; -47500000.0; 3500000.0; -25600000.0; 169100000.0; 6000000.0; -47500000.0
2009-09-30; 236400000.0; 46500000.0; 63700000.0; 110200000.0; 0.0; 0.0; 0.0; -32299999.999999996; -32299999.999999996; 314300000.0; -25200000.0; 0.0; 0.0; 0.0; -137700000.0; -137700000.0; 146700000.0; -16200000.0; -100000.0; -100000.0; -200000.0; 12100000.0; 12100000.0; -44400000.0; 2900000.0; -29600000.0; 268900000.0; 5700000.0; -44400000.0
2009-06-30; 187800000.0; 44400000.0; 107900000.0; 152300000.0; 0.0; 0.0; 0.0; 7600000.0; 7600000.0; 347700000.0; -25100000.0; 0.0; -19600000.0; 0.0; -150200000.0; -150200000.0; 95000000.0; -99900000.0; -100000.0; -15800000.0; -15900000.0; 11900000.0; 11900000.0; -44600000.0; 100000.0; -48500000.0; 201800000.0; 7800000.0; -44600000.0
2009-03-31; 76200000.0; 44400000.0; -24500000.0; 19900000.0; ; ; ; -91300000.0; -91300000.0; 4800000.0; -17500000.0; ; ; ; -67200000.0; -67200000.0; -25700000.0; -110400000.0; -100000.0; 6700000.0; 6600000.0; 1500000.0; 1500000.0; -36800000.0; 15200000.0; -13500000.0; -121800000.0; 3300000.0; -36800000.0
