Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 197787000.0; 26819000.0; -10235000.0; 16584000.0; -146592000.0; -37202000.0; 0.0; -14319000.0; -98916000.0; 115455000.0; -45744000.0; 0.0; 0.0; 0.0; 74127000.0; 74127000.0; 0.0; 28383000.0; -21598000.0; 0.0; -21598000.0; -331273000.0; -331273000.0; -17547000.0; -1732000.0; -372150000.0; -222580000.0; 12228000.0; -17547000.0
2022-03-31; 161928000.0; 27736000.0; 27950000.0; 55686000.0; 208000.0; -9480000.0; ; -68887000.0; -210152000.0; 7462000.0; -43999000.0; ; ; ; -38714000.0; -38714000.0; ; -82713000.0; -20694000.0; ; -20694000.0; -184990000.0; -184990000.0; -17895000.0; -31048000.0; -254627000.0; -327596000.0; 12894000.0; -17895000.0
2021-12-31; 224040000.0; 29993000.0; 8330000.0; 38323000.0; 45521000.0; -15448000.0; 0.0; -175954000.0; 68920000.0; 331283000.0; -29310000.0; 0.0; 0.0; 0.0; -6411000.0; -6411000.0; 0.0; -35721000.0; -40993000.0; 0.0; -40993000.0; -193724000.0; -193724000.0; -16265999.999999998; -258000.0; -251241000.0; 42745000.0; 10994000.0; -16265999.999999998
2021-09-30; 256718000.00000003; 30301000.0; 29733000.0; 60034000.0; 269399000.0; 2035000.0000000002; 0.0; 109542000.0; 205908000.0; 522659999.99999994; -29205000.0; 0.0; 0.0; 0.0; 93005000.0; 93005000.0; 0.0; 63800000.0; -235169000.0; 0.0; -235169000.0; -209587000.0; -209587000.0; -16440000.000000002; -251000.0; -461447000.0; 125013000.0; 11418000.0; -16440000.000000002
2021-06-30; 328319000.0; 31459000.0; 10984000.0; 42443000.0; -285186000.0; 55778000.0; 0.0; -24862000.0; -164478000.0; 206284000.0; -34707000.0; 0.0; -12000000.0; 0.0; 134322000.0; 134322000.0; 0.0; 87615000.0; -15553000.0; 0.0; -15553000.0; -135959000.0; -135959000.0; -16604000.0; -1119000.0; -169235000.0; 123292000.0; 10999000.0; -16604000.0
2021-03-31; 205512000.0; 33732000.0; 8010999.999999999; 41743000.0; -87512000.0; -35870000.0; ; -80104000.0; -209116000.0; 38139000.0; -39250000.0; ; ; ; 43917000.0; 43917000.0; ; 4667000.0; -51275000.0; ; -51275000.0; -28044000.0; -28044000.0; -16667000.000000002; -30675000.0; -126661000.0; -82972000.0; 12232000.0; -16667000.000000002
2020-12-31; 196332000.0; 32055000.0; -6030000.0; 26025000.0; 92564000.0; -25436000.0; 0.0; -62531000.0; 38067000.0; 260423999.99999997; -38105000.0; 0.0; 0.0; 0.0; -239102000.0; -239102000.0; 0.0; -277207000.0; 0.0; 0.0; 0.0; 1999000.0; 1999000.0; -16611999.999999998; -279000.0; -14892000.0; -31059000.0; 11878000.0; -16611999.999999998
2020-09-30; 222717000.0; 30149000.0; -9581000.0; 20568000.0; 109025000.0; 20726000.0; 0.0; 56030000.0; 99227000.0; 342512000.0; -62858000.0; 0.0; 0.0; 0.0; -56507000.0; -56507000.0; 0.0; -119365000.0; 0.0; 0.0; 0.0; 13771000.0; 13771000.0; -16604000.0; -216000.0; -3049000.0; 219749000.0; 11661000.0; -16604000.0
2020-06-30; 188907000.0; 32659000.0; 35203000.0; 67862000.0; -204261000.0; -19546000.0; 0.0; 18470000.0; -33872000.0; 222897000.0; -47314000.0; 0.0; 0.0; 0.0; -16245999.999999998; -16245999.999999998; 546000.0; -63014000.0; 0.0; 0.0; 0.0; -9421000.0; -9421000.0; -16579999.999999998; -449000.0; -26450000.0; 131937000.00000001; 10907000.0; -16579999.999999998
2020-03-31; 176191000.0; 31880000.0; 7832000.0; 39712000.0; -126779000.0; 15818000.0; ; -41795000.0; -172801000.0; 43102000.0; -36700000.0; ; 149000.0; ; -73657000.0; -73657000.0; ; -110208000.0; ; ; ; -66287000.00000001; -66287000.00000001; -16686000.0; -30922000.0; -113895000.0; -180430000.0; 10460000.0; -16686000.0
2019-12-31; 125073000.0; 32298000.0; 27204000.0; 59502000.0; -3651000.0; -13265000.0; 0.0; -13561000.0; 31753000.0; 216328000.0; -38594000.0; 0.0; -57772000.0; 0.0; 206605000.0; 206605000.0; 0.0; 110239000.0; 0.0; 0.0; 0.0; -131186000.0; -131186000.0; -15036000.0; -191000.0; -146413000.0; 179985000.0; 9075000.0; -15036000.0
