Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; 514900000.0; 79800000.0; 17100000.0; 96900000.0; 0.0; 0.0; 0.0; -190100000.0; -190100000.0; 421700000.0; -69100000.0; 0.0; -110000000.0; 0.0; 0.0; 0.0; 3700000.0; -175400000.0; -7500000.0; 0.0; -7500000.0; -296000000.0; -296000000.0; -161400000.0; -2100000.0; -467000000.0; -258200000.0; 13900000.0; -161400000.0
2022-03-31; 263399999.99999997; 77300000.0; -158600000.0; -81300000.0; ; ; ; -370300000.0; -370300000.0; -188200000.0; -74800000.0; ; 400000.0; ; ; ; -8900000.0; -83300000.0; ; ; ; -374200000.0; -374200000.0; -158400000.0; -2000000.0; -534600000.0; -810800000.0; 21400000.0; -158400000.0
2021-12-31; 321100000.0; 76400000.0; 13800000.0; 90200000.0; -265399999.99999997; -348800000.0; 275300000.0; 354700000.0; 15800000.0; 427100000.0; -86300000.0; 0.0; -251200000.0; 0.0; 0.0; 0.0; 600000.0; -336900000.0; 0.0; 0.0; 0.0; -483600000.0; -483600000.0; -139200000.0; -39800000.0; -662600000.0; -579600000.0; 14300000.0; -139200000.0
2021-09-30; 408700000.0; 72200000.0; 21400000.0; 93600000.0; 0.0; 0.0; 0.0; -91700000.0; -91700000.0; 410600000.0; -44100000.0; 0.0; -5200000.0; 0.0; 0.0; 0.0; 2600000.0; -46700000.0; -125000000.0; 0.0; -125000000.0; -202900000.0; -202900000.0; -145000000.0; -54500000.0; -527400000.0; -173600000.0; 12700000.0; -145000000.0
2021-06-30; 469000000.0; 74800000.0; 9300000.0; 84100000.0; 0.0; 0.0; 0.0; -62600000.0; -62600000.0; 490500000.0; -33600000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -14800000.0; -48400000.0; -7500000.0; 0.0; -7500000.0; -224300000.0; -224300000.0; -148100000.0; -2800000.0; -382700000.0; 74400000.0; 14800000.0; -148100000.0
2021-03-31; 237800000.0; 76000000.0; 50900000.0; 126900000.0; ; ; ; -104600000.0; -104600000.0; 260100000.00000003; -43900000.0; ; -12800000.0; ; ; ; -57000000.0; -113700000.0; -300000000.0; ; -300000000.0; -111200000.0; -111200000.0; -143700000.0; ; -554900000.0; -451900000.0; 24700000.0; -143700000.0
2020-12-31; 249200000.0; 70600000.0; 12800000.0; 83400000.0; 5900000.0; 109000000.0; 75800000.0; 103600000.0; 294300000.0; 626900000.0; -57000000.0; 0.0; -180300000.0; 0.0; 0.0; 0.0; -100000.0; -237400000.0; 0.0; 0.0; 0.0; -219100000.0; -219100000.0; -127000000.0; -500000.0; -346600000.0; 99800000.0; 12000000.0; -127000000.0
2020-09-30; 404600000.0; 74500000.0; 24600000.0; 99100000.0; 0.0; 0.0; 0.0; 426800000.0; 426800000.0; 930500000.0; -29500000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -500000.0; -30000000.0; 0.0; 0.0; 0.0; 35500000.0; 35500000.0; -139200000.0; 0.0; -103700000.0; 823300000.0; 12000000.0; -139200000.0
2020-06-30; 242100000.0; 74200000.0; -29500000.0; 44700000.0; 0.0; 0.0; 0.0; -81600000.0; -81600000.0; 205200000.0; -24900000.0; 0.0; -3500000.0; 0.0; 0.0; 0.0; -39900000.0; -68300000.0; -307500000.0; 0.0; -307500000.0; 3700000.0; 3700000.0; -127400000.0; -3600000.0; -434800000.0; -280900000.0; 16500000.0; -127400000.0
2020-03-31; -25900000.0; 75000000.0; -80900000.0; -5900000.0; ; ; ; -295800000.0; -295800000.0; -327600000.0; -34700000.0; ; 1000000.0; ; ; ; -6800000.0; -40500000.0; ; ; ; -5600000.0; -5600000.0; -132000000.0; 1907000000.0; 1769400000.0; 1369100000.0; 29000000.0; -132000000.0
2019-12-31; 301100000.0; 73000000.0; 193700000.0; 266700000.0; -77800000.0; 3900000.0; 93200000.0; 279300000.0; 298600000.0; 866400000.0; -51600000.0; 0.0; -2900000.0; 0.0; 0.0; 0.0; -11500000.0; -66000000.0; 0.0; 0.0; 0.0; -213900000.0; -213900000.0; -128500000.0; -1700000.0; -344100000.0; 472700000.0; 12000000.0; -128500000.0
2019-09-30; 463400000.0; 72700000.0; 48900000.0; 121600000.0; 0.0; 0.0; 0.0; 74400000.0; 74400000.0; 659400000.0; -58500000.0; 0.0; -58100000.0; 0.0; 0.0; 0.0; -10100000.0; -126700000.0; 0.0; -179000000.0; -179000000.0; -234900000.0; -234900000.0; -128699999.99999999; -2100000.0; -544700000.0; -44700000.0; 13200000.0; -128699999.99999999
2019-06-30; 460300000.0; 72200000.0; 90900000.0; 163100000.0; 0.0; 0.0; 0.0; -177100000.0; -177100000.0; 446300000.0; -44100000.0; 0.0; -400000.0; 0.0; 0.0; 0.0; -1466400000.0; -1510900000.0; -7500000.0; 155100000.0; 147600000.0; 14900000.0; 14900000.0; -131699999.99999999; -1600000.0; 29200000.0; -1031800000.0; 11500000.0; -131699999.99999999
2019-03-31; 203700000.0; 70900000.0; -61000000.0; 9900000.0; ; ; ; -266200000.0; -266200000.0; -52600000.0; -49000000.0; ; -22000000.0; ; ; ; -5400000.0; -76400000.0; 1497900000.0; 23900000.0; 1521800000.0; -243700000.0; -243700000.0; -137000000.0; -11000000.0; 1130100000.0; 1004000000.0; 29700000.0; -137000000.0
2018-12-31; 261399999.99999997; 9300000.0; 38400000.0; 47700000.0; -213500000.0; -186900000.0; 99600000.0; 502100000.0; 201300000.0; 510400000.0; -23800000.0; 0.0; -4200000.0; 0.0; 0.0; 0.0; -80800000.0; -108800000.0; -100000.0; 0.0; -100000.0; -343000000.0; -343000000.0; -128600000.0; -38200000.0; -509900000.0; -119100000.0; 78800000.0; -128600000.0
2018-09-30; 519400000.0; 85200000.0; 22500000.0; 107700000.0; 0.0; 0.0; 0.0; -107400000.0; -107400000.0; 519700000.00000006; -87800000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 12100000.0; -75700000.0; 0.0; -249000000.0; -249000000.0; -14000000.0; -14000000.0; -135000000.0; 20500000.0; -377500000.0; 53000000.0; 0.0; -135000000.0
2018-06-30; 452600000.0; 94400000.0; 32600000.0; 127000000.0; 0.0; 0.0; 0.0; -135700000.0; -135700000.0; 443900000.0; -110600000.0; 0.0; -79900000.0; 0.0; 0.0; 0.0; 3300000.0; -187200000.0; -7500000.0; -5300000.0; -12800000.0; -250100000.0; -250100000.0; -134700000.0; 2600000.0; -395000000.0; -205600000.0; 0.0; -134700000.0
2018-03-31; 124100000.0; 93400000.0; 47000000.0; 140400000.0; ; ; ; -330700000.0; -330700000.0; -66200000.0; -52800000.0; ; -201600000.0; ; ; ; -3300000.0; -257700000.0; 31600000.0; 247900000.0; 279500000.0; -250000000.0; -250000000.0; -122600000.0; -3300000.0; -96400000.0; -374300000.0; ; -122600000.0
2017-12-31; 457100000.0; 91400000.0; -97900000.0; -6500000.0; -156700000.0; -112400000.0; 167200000.0; 301600000.0; 199700000.0; 650300000.0; -69900000.0; 0.0; -97300000.0; 0.0; 0.0; 0.0; -1100000.0; -168300000.0; -100000.0; 0.0; -100000.0; -29100000.0; -29100000.0; -112400000.0; -68400000.0; -210000000.0; 290400000.0; 70800000.0; -112400000.0
2017-09-30; 371900000.0; 87800000.0; 75700000.0; 163500000.0; 0.0; 0.0; 0.0; -67700000.0; -67700000.0; 467700000.0; -70400000.0; 0.0; -20400000.0; 0.0; 0.0; 0.0; 3300000.0; -87500000.0; 0.0; -4000000.0; -4000000.0; -335900000.0; -335900000.0; -121700000.0; 6000000.0; -455600000.0; -51100000.0; 0.0; -121700000.0
2017-06-30; 362200000.0; 87400000.0; 29600000.0; 117000000.0; 0.0; 0.0; 0.0; -30300000.0; -30300000.0; 448900000.0; -44700000.0; 0.0; -30100000.0; 0.0; 0.0; 0.0; 500000.0; -74300000.0; -7600000.0; 0.0; -7600000.0; -325100000.0; -325100000.0; -102200000.0; 9500000.0; -425400000.0; -12400000.0; 0.0; -102200000.0
2017-03-31; 121100000.0; 86700000.0; 41800000.0; 128500000.0; ; ; ; -293000000.0; -293000000.0; -43400000.0; -34800000.0; ; -9800000.0; ; ; ; ; -44600000.0; ; ; ; -250100000.0; -250100000.0; -109600000.0; 18200000.0; -341500000.0; -392200000.0; ; -109600000.0
2016-12-31; 202800000.0; 87500000.0; -66599999.99999999; 20900000.0; -101300000.0; 26800000.0; 103600000.0; 152400000.0; 181500000.0; 405200000.0; -48300000.0; 0.0; 422500000.0; 0.0; -422500000.0; -422500000.0; 0.0; -48300000.0; 0.0; -100000.0; -100000.0; 62900000.0; 62900000.0; -103300000.0; -40500000.0; -81000000.0; 210100000.0; 0.0; -103300000.0
2016-09-30; 381900000.0; 88700000.0; 101500000.0; 190200000.0; 0.0; 0.0; 0.0; 116500000.0; 116500000.0; 688600000.0; -44300000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -44300000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -90200000.0; 15500000.0; -74700000.0; 575800000.0; 0.0; -90200000.0
