Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-06-30; -270007000.0; 173288000.0; 195391900.0; 368680000.0; 37842000.0; 0.0; -52595000.0; 55868000.0; -68977000.0; 29696000.0; -153646000.0; 0.0; -9379000.0; 525851000.0; -25522000.0; 500329000.0; 0.0; 337304000.0; 0.0; 0.0; 0.0; 49658000.0; 49658000.0; 0.0; -8951000.0; 40707000.0; 396869000.0; 282190000.0; 0.0
2022-03-31; 513285999.99999994; 160283000.0; -597220900.0; -436937900.0; 190737000.0; ; -35610000.0; -37431000.0; 49743000.0; 126091000.0; 889308000.0; ; ; 187107000.0; -11514000.0; 175593000.0; ; 1064901000.0000001; 1000000000.0; ; 1000000000.0; -2077693000.0000002; -2077693000.0000002; ; -15460000.0; -1093153000.0; 97025000.0; 177263000.0; 
2021-12-31; 181694000.0; 145536000.0; 146475000.0; 292011000.0; -209776000.0; 0.0; 168000.0; -23923000.0; -1002147000.0; -528442000.0; -138394000.0; 0.0; -9765000.0; -297119000.0; -24072000.0; -321191000.0; -41680000.0; -511030000.0; 0.0; 0.0; 0.0; -236429000.0; -236429000.0; 0.0; -5270000.0; -241699000.0; -1285860000.0; 176531000.0; 0.0
2021-09-30; -536756999.99999994; 133448000.00000001; -58280000.0; 75168000.0; -69139000.0; 0.0; 17883000.0; -28023000.0; 850569000.0; 388980000.0; -409151000.0; 0.0; 0.0; 533219000.00000006; -30992000.0; 502226900.0; 0.0; 93076000.0; -954000100.0; 0.0; -954000100.0; -169406000.0; -169406000.0; 0.0; -6215000.0; -1129621000.0; -651957000.0; 164295000.0; 0.0
2021-06-30; 65649000.0; 134812000.0; 125688000.0; 260500000.0; -100328000.0; 0.0; 27626000.0; 35659000.0; 55818000.0; 381967000.0; -276193000.0; 0.0; -14559000.0; 93400900.0; -13130000.0; 80271000.0; 700000.0; -209781000.0; 0.0; 0.0; 0.0; -294253000.0; -294253000.0; 0.0; -4928000.0; -299181000.0; -122976000.0; 178202000.0; 0.0
2021-03-31; 68005000.0; 131051999.99999999; 90334000.0; 221386000.0; 189297000.0; ; -24808000.0; -70078000.0; 100793000.0; 390184000.0; -179346000.0; ; -8378000.0; 918234100.0; -41067000.0; 877167100.0; -9085000.0; 680358000.0; 1223466000.0; ; 1223466000.0; 1550000.0; 1550000.0; ; -27338000.0; 1197678000.0; 2260202000.0; 110873000.0; 
2020-12-31; 222116000.0; 155708000.0; 122494000.0; 278202000.0; -285851000.0; 0.0; 23954000.0; 45031000.0; -170018000.0; 330300000.0; -292170000.0; 0.0; -13731000.0; -13702200.0; -8073000.0; -21775200.0; 0.0; -327676000.0; -2489000.0; 0.0; -2489000.0; -219228000.0; -219228000.0; 0.0; -4243000.0; -225960000.0; -212487000.0; 128184000.0; 0.0
2020-09-30; 28659000.0; 148656000.0; 106758000.0; 255414000.0; -136469000.0; 0.0; 20512000.0; -25251000.0; -69286000.0; 214787000.0; -288836000.0; 0.0; 0.0; -828740100.0; -2500000.0; -831240100.0; 0.0; -1120076000.0; -4117000.0; 0.0; -4117000.0; 31000.0; 31000.0; 0.0; -3726000.0; -7812000.0; -912177000.0; 115969000.0; 0.0
2020-06-30; -1378005000.0; 150393000.0; 1222405000.0; 1372798000.0; 65349000.00000001; 0.0; -11754000.0; 8885000.0; 206223000.0; 201016000.0; -162134000.0; 0.0; -19505000.0; -397318000.0; 0.0; -397318000.0; 0.0; -578957000.0; -6490000.0; 0.0; -6490000.0; 34513000.0; 34513000.0; 0.0; -2925000.0; 25098000.0; -356673000.0; 132876000.0; 0.0
2020-03-31; -8396000.0; 142153000.0; 104524000.0; 246677000.0; 168932000.0; ; -14480000.0; -6798000.0; 8486000.0; 246767000.0; -121044000.0; ; -14780000.0; 614357100.0; -1339000.0; 613018100.0; -11050000.0; 466144000.0; 990034000.0; ; 990034000.0; 305000.0; 305000.0; ; -26355000.0; 963984000.0; 1664947000.0; 97903000.0; 
