Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2022-07-31; 295677000.0; 60882000.0; 87180000.0; 148062000.0; 12240000.0; -95578000.0; -2535000.0; -104210000.0; -329375000.0; 114364000.0; -49424000.0; 0.0; 0.0; 0.0; 0.0; 0.0; -452000.0; -49876000.0; 0.0; 0.0; 0.0; -284748000.0; -284748000.0; 0.0; 0.0; -284748000.0; -220260000.0; 22875000.0; 0.0
2022-04-30; 331395000.0; 62839000.0; 84559000.0; 147398000.0; 40928000.0; -71334000.0; 42586000.0; -108692000.0; -52490000.0; 426303000.0; -71076000.0; ; ; ; ; ; -797000.0; -71873000.0; ; ; ; -131503999.99999999; -131503999.99999999; ; ; -131503999.99999999; 222926000.0; ; 
2022-01-31; 289366000.0; 63726000.0; 53681000.0; 117407000.0; -64470000.0; 417125000.0; -199948000.0; 6437000.0; 237635000.0; 644408000.0; -63769000.0; 0.0; 0.0; 0.0; -4297000.0; -4297000.0; 0.0; -68066000.0; 0.0; 0.0; 0.0; -749835000.0; -749835000.0; 0.0; 0.0; -749835000.0; -173493000.0; 9042000.0; 0.0
2021-10-31; 215289000.0; 65157000.0; 92002000.0; 157159000.0; -14796000.0; -472658000.0; 206744000.0; -65965000.0; -359004000.0; 13444000.0; -51113000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -51113000.0; 0.0; 0.0; 0.0; -127422000.0; -127422000.0; 0.0; 0.0; -127422000.0; -165091000.0; 19120000.0; 0.0
2021-07-31; 250893000.0; 68978000.0; 77425000.0; 146403000.0; -74000.0; -90120000.0; -17220000.0; -80680000.0; -325950000.0; 71346000.0; -22742000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -22742000.0; 0.0; 0.0; 0.0; -225916000.0; -225916000.0; 0.0; 0.0; -225916000.0; -177312000.0; 19097000.0; 0.0
2021-04-30; 230289000.0; 70599000.0; 80072000.0; 150671000.0; 38767000.0; -185350000.0; 76580000.0; -75530000.0; -50893000.0; 330067000.0; -34563000.0; ; ; ; ; ; ; -34563000.0; ; ; ; -394043000.0; -394043000.0; ; ; -394043000.0; -98595000.0; ; 
2021-01-31; 171494000.0; 71386000.0; 56777000.0; 128163000.00000001; -56838000.0; 270883000.0; -13000.0; -41354000.0; 251653000.0; 551310000.0; -35121000.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -35121000.0; 0.0; 0.0; 0.0; -31128000.0; -31128000.0; 0.0; -54000.0; -31182000.0; 485149000.0; 4604000.0; 0.0
2020-10-31; 74798000.0; 72357000.0; 79651000.0; 152008000.0; -8279000.0; -70555000.0; 80823000.0; -83415000.0; 16250000.0; 243056000.0; -39655000.0; 0.0; 0.0; 0.0; -279000.0; -279000.0; 0.0; -39934000.0; -800000000.0; 0.0; -800000000.0; 578000.0; 578000.0; 0.0; 0.0; -799422000.0; -596416000.0; 8384000.0; 0.0
2020-07-31; 8052000.0; 77403000.0; 110561000.0; 187964000.0; -39301000.0; -27977000.0; -65450999.99999999; -60366000.0; -155709000.0; 40307000.0; -35616000.0; 0.0; -1220000.0; 110000000.0; 0.0; 110000000.0; 0.0; 73164000.0; 0.0; 0.0; 0.0; 264000.0; 264000.0; 0.0; -62000.0; 202000.0; 113778000.0; 8413000.0; 0.0
2020-04-30; -78509000.0; 76626000.0; 104017000.0; 180643000.0; 50646000.0; -46865000.0; 46965000.0; -80676000.0; -126452000.0; -24318000.0; -41474000.0; ; ; ; -5386000.0; -5386000.0; ; -46860000.0; 800000000.0; ; 800000000.0; -75733000.0; -75733000.0; ; -1799000.0; 722468000.0; 651215000.0; 6182000.0; 
