Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-07-31; 1718000000.0; 779000000.0; 939000000.0; 116000000.0; 412000000.0; ; 1307000000.0; 411000000.0; -14000000.0; 397000000.0; 68000000.0; 329000000.0; ; 329000000.0; ; 329000000.0; 491000000.0; 411000000.0; 298000000.0; 299000000.0; 1100000.0; 1100000.0
2022-04-30; 1607000000.0; 746000000.0; 861000000.0; 115000000.0; 386000000.0; ; 1247000000.0; 360000000.0; -27000000.0; 333000000.0; 59000000.0; 274000000.0; ; 274000000.0; ; 274000000.0; 442000000.0; 360000000.0; 299000000.0; 301000000.0; 920000.0; 910000.0
2022-01-31; 1674000000.0; 764000000.0; 910000000.0; 117000000.0; 417000000.0; ; 1298000000.0; 376000000.0; -57000000.0; 319000000.0; 36000000.0; 283000000.0; ; 283000000.0; ; 283000000.0; 458000000.0; 376000000.0; 301000000.0; 303000000.0; 940000.0; 930000.0
2021-10-31; 1660000000.0; 760000000.0; 900000000.0; 116000000.0; 389000000.0; ; 1265000000.0; 395000000.0; 53000000.0; 448000000.0; 6000000.0; 442000000.0; ; 442000000.0; ; 442000000.0; 479000000.0; 395000000.0; 304000000.0; 307000000.0; 1460000.0; 1450000.0
2021-07-31; 1586000000.0; 734000000.0; 852000000.0; 113000000.0; 403000000.0; ; 1250000000.0; 336000000.0; -9000000.0; 327000000.0; 63000000.0; 264000000.0; ; 264000000.0; ; 264000000.0; 420000000.0; 336000000.0; 303000000.0; 306000000.0; 870000.0; 860000.0
2021-04-30; 1525000000.0; 708000000.0; 817000000.0; 109000000.0; 420000000.0; ; 1237000000.0; 288000000.0; -15000000.0; 273000000.0; 57000000.0; 216000000.0; ; 216000000.0; ; 216000000.0; 365000000.0; 288000000.0; 304000000.0; 307000000.0; 710000.0; 700000.0
2021-01-31; 1548000000.0; 710000000.0; 838000000.0; 103000000.0; 407000000.0; ; 1220000000.0; 328000000.0; -16000000.0; 312000000.0; 24000000.0; 288000000.0; ; 288000000.0; ; 288000000.0; 404000000.0; 328000000.0; 306000000.0; 309000000.0; 940000.0; 930000.0
2020-10-31; 1483000000.0; 695000000.0; 788000000.0; 102000000.0; 387000000.0; ; 1184000000.0; 299000000.0; -16000000.0; 283000000.0; 61000000.0; 222000000.0; ; 222000000.0; ; 222000000.0; 375000000.0; 299000000.0; 309000000.0; 312000000.0; 720000.0; 710000.0
2020-07-31; 1261000000.0; 592000000.0; 669000000.0; 92000000.0; 347000000.0; ; 1031000000.0; 230000000.0; -11000000.0; 219000000.0; 20000000.0; 199000000.0; ; 199000000.0; ; 199000000.0; 307000000.0; 230000000.0; 309000000.0; 312000000.0; 640000.0; 640000.0
2020-04-30; 1238000000.0; 581000000.0; 657000000.0; 197000000.0; 358000000.0; ; 1136000000.0; 102000000.0; 19000000.0; 121000000.0; 20000000.0; 101000000.0; ; 101000000.0; ; 101000000.0; 178000000.0; 102000000.0; 309000000.0; 312000000.0; 330000.0; 320000.0
