Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-08-31; 15423650000.0; 10477600000.0; 4946057000.0; ; 2677867000.0; ; 13155460000.0; 2268188000.0; -23228000.0; 2244961000.0; 552576000.0; 1692385000.0; ; 1692385000.0; ; 1665128000.0; 2803094000.0; 2268188000.0; 632763000.0; 642839000.0; 2640000.0; 2600000.0
2022-05-31; 16158800000.0; 10844070000.0; 5314733000.0; ; 2711616000.0; ; 13555690000.0; 2603117000.0; -108494000.0; 2494624000.0; 675308000.0; 1819316000.0; ; 1819316000.0; ; 1786075000.0; 3127303000.0; 2603117000.0; 632749000.0; 641005000.0; 2820000.0; 2790000.0
2022-02-28; 15046690000.0; 10522730000.0; 4523959000.0; ; 2462379000.0; ; 12985110000.0; 2061580000.0; -11130000.0; 2050449999.9999998; 392921000.0; 1657529000.0; ; 1657529000.0; ; 1634942000.0; 2589840000.0; 2061580000.0; 633957000.0; 644127000.0; 2580000.0; 2540000.0
2021-11-30; 14965150000.0; 10048360000.0; 4916789000.0; ; 2482495000.0; ; 12530860000.0; 2434294000.0; -28162000.0; 2406132000.0; 586402000.0; 1819730000.0; ; 1819730000.0; ; 1791024000.0; 2935159000.0; 2434294000.0; 632281000.0; 644923000.0; 2830000.0; 2780000.0
2021-08-31; 13419280000.0; 8953070000.0; 4466214000.0; ; 2507526000.0; ; 11460600000.0; 1958688000.0; -40884000.0; 1917805000.0; 480382100.0; 1437423000.0; ; 1437423000.0; ; 1416248000.0; 2444969000.0; 1958690000.0; 634745000.0; 645909000.0; 2230000.0; 2210000.0
2021-05-31; 13263790000.0; 8859411000.0; 4404384000.0; ; 2285728000.0; ; 11145140000.0; 2118656000.0; -24655000.0; 2094001000.0000002; 524429000.0; 1569572000.0; ; 1569572000.0; ; 1549426000.0; 2597642000.0; 2118656000.0; 635204000.0; 645454000.0; 2440000.0; 2400000.0
2021-02-28; 12088130000.0; 8492893000.0; 3595232000.0; ; 1941717000.0; ; 10434610000.0; 1653516000.0; 108928000.0; 1762443000.0; 300950000.0; 1461493000.0; ; 1461493000.0; ; 1440859000.0; 2111291000.0000002; 1653516000.0; 635994000.0; 646322000.0; 2270000.0; 2230000.0
2020-11-30; 11762180000.0; 7863889000.0; 3898295000.0; ; 2007627000.0; ; 9871516000.0; 1890669000.0; 96198000.0; 1986867000.0; 464810000.0; 1522057000.0; ; 1522057000.0; ; 1500276000.0; 2358869000.0; 1890669000.0; 634271000.0; 646880000.0; 2370000.0; 2320000.0
2020-08-31; 10835270000.0; 7394730000.0; 3440542000.0; ; 1895837000.0; ; 9290566000.0; 1544706000.0; 238652000.0; 1783355000.0; 477930900.0; 1305424000.0; ; 1305424000.0; ; 1287929000.0; 2031596000.0; 1544704000.0; 636300000.0; 647797000.0; 2029999.9999999998; 1990000.0
2020-05-31; 10991300000.0; 7462617000.0; 3528688000.0; ; 1815955000.0; ; 9278572000.0; 1712732000.0; -31960000.0; 1680773000.0; 428134000.0; 1252639000.0; ; 1252639000.0; ; 1228202000.0; 2157393000.0; 1712732000.0; 636146000.0; 645608000.0; 1930000.0; 1900000.0
2020-02-29; 11141500000.0; 7782334000.0; 3359171000.0; ; 1870226000.0; ; 9652560000.0; 1488945000.0; 20611000.0; 1509556000.0; 257474000.0; 1252082000.0; ; 1252082000.0; ; 1234740000.0; 1931061000.0; 1488945000.0; 637485600.0; 648833900.0; 1940000.0; 1910000.0
2019-11-30; 11358960000.0; 7711199000.0; 3647759000.0; ; 1880496000.0; ; 9591695000.0; 1767263000.0; 33384000.0; 1800647000.0; 425479000.0; 1375168000.0; ; 1375168000.0; ; 1356968000.0; 2166721000.0; 1767263000.0; 635722300.0; 649389500.0; 2130000.0; 2089999.9999999998
2019-08-31; 11055650000.0; 7621033000.0; 3434616000.0; ; 1863123000.0; ; 9484153000.0; 1571496000.0; -10741000.0; 1560752000.0; 415204100.0; 1145548000.0; ; 1145548000.0; ; 1130427000.0; 1811664000.0; 1571493000.0; 638098100.0; 650204900.0; 1770000.0; 1740000.0
2019-05-31; 11099690000.0; 7571390000.0; 3528298000.0; ; 1810355000.0; ; 9381745000.0; 1717943000.0; -13636000.0; 1704307000.0; 435658000.0; 1268649000.0; ; 1268649000.0; ; 1249516000.0; 1939252000.0; 1717943000.0; 637831400.0; 649297700.0; 1960000.0; 1930000.0
2019-02-28; 10454130000.0; 7399780000.0; 3054349000.0; ; 1667723000.0; ; 9067503000.0; 1386626000.0; -10372000.0; 1376254000.0; 235534000.0; 1140720000.0; ; 1140720000.0; ; 1124449000.0; 1606224000.0; 1386626000.0; 638640000.0; 649171000.0; 1760000.0; 1730000.0
2018-11-30; 10605550000.0; 7308121000.0; 3297425000.0; ; 1668413000.0; ; 8976534000.0; 1629012000.0; -18528000.0; 1610484000.0; 319160000.0; 1291324000.0; ; 1291324000.0; ; 1274720000.0; 1840697000.0; 1629012000.0; 638877400.0; 652151400.0; 2000000.0; 1960000.0
2018-08-31; 10503990000.0; 7266331000.0; 3237656000.0; ; 1767972000.0; ; 9034301000.0; 1469687000.0; -13070000.0; 1456614000.0; 408243100.0; 1048371000.0000001; ; 1048371000.0000001; ; 1029523999.9999999; 1704777000.0; 1469686000.0; 628451700.0; 655296100.0; 1610000.0; 1580000.0
2018-05-31; 10695000000.0; 7362981000.0; 3332015000.0; ; 1697140000.0; ; 9060121000.0; 1634875000.0; -22317000.0; 1612558000.0; 554417000.0; 1058141000.0000001; ; 1058141000.0000001; ; 1043020000.0; 1873264000.0; 1634875000.0; 639217300.0; 654600000.0; 1630000.0; 1600000.0
