Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-08-31; 4433000000.0; 546000000.0; 3887000000.0; 775000000.0; 1585000000.0; ; 2949000000.0; 1484000000.0; -28000000.0; 1456000000.0; 320000000.0; 1136000000.0; ; 1136000000.0; ; 1136000000.0; 1700000000.0; 1484000000.0; 469000000.0; 469000000.0; 2420000.0; 2420000.0
2022-05-31; 4386000000.0; 539000000.0; 3847000000.0; 738000000.0; 1538000000.0; ; 2857000000.0; 1529000000.0; -37000000.0; 1492000000.0; 314000000.0; 1178000000.0; ; 1178000000.0; ; 1178000000.0; 1741000000.0; 1529000000.0; 472000000.0; 473000000.0; 2500000.0; 2490000.0
2022-02-28; 4262000000.0; 512000000.0; 3750000000.0; 701000000.0; 1427000000.0; ; 2682000000.0; 1580000000.0; -37000000.0; 1543000000.0; 277000000.0; 1266000000.0; ; 1266000000.0; ; 1266000000.0; 1793000000.0; 1580000000.0; 473000000.0; 475000000.0; 2680000.0; 2660000.0
2021-11-30; 4110000000.0; 507000000.0; 3603000000.0; 657000000.0; 1405000000.0; ; 2609000000.0; 1501000000.0; -33000000.0; 1468000000.0; 235000000.0; 1233000000.0; ; 1233000000.0; ; 1233000000.0; 1706000000.0; 1501000000.0; 477000000.0; 481000000.0; 2590000.0; 2570000.0
2021-08-31; 3935000000.0; 467000000.0; 3468000000.0; 651000000.0; 1333000000.0; ; 2494000000.0; 1441000000.0; -23000000.0; 1418000000.0; 206000000.0; 1212000000.0; ; 1212000000.0; ; 1212000000.0; 1634000000.0; 1441000000.0; 477000000.0; 481000000.0; 2540000.0; 2520000.0
2021-05-31; 3835000000.0; 444000000.0; 3391000000.0; 612000000.0; 1329000000.0; ; 2429000000.0; 1406000000.0; -20000000.0; 1386000000.0; 270000000.0; 1116000000.0; ; 1116000000.0; ; 1116000000.0; 1600000000.0; 1406000000.0; 478000000.0; 481000000.0; 2340000.0; 2320000.0
2021-02-28; 3905000000.0; 447000000.0; 3458000000.0; 620000000.0; 1339000000.0; ; 2451000000.0; 1454000000.0; -21000000.0; 1433000000.0; 172000000.0; 1261000000.0; ; 1261000000.0; ; 1261000000.0; 1650000000.0; 1454000000.0; 479000000.0; 483000000.0; 2630000.0; 2610000.0
2020-11-30; 3424000000.0; 428000000.0; 2996000000.0; 558000000.0; 1184000000.0; ; 2209000000.0; 1215000000.0; -18000000.0; 1197000000.0; -1053000000.0; 2250000000.0; ; 2250000000.0; ; 2250000000.0; 1405000000.0; 1215000000.0; 481000000.0; 485000000.0; 4690000.0; 4630000.0
2020-08-31; 3225000000.0; 427000000.0; 2798000000.0; 566000000.0; 1122000000.0; ; 2156000000.0; 1069000000.0; -9000000.0; 1060000000.0; 105000000.0; 955000000.0; ; 955000000.0; ; 955000000.0; 1260000000.0; 1069000000.0; 480000000.0; 485000000.0; 1990000.0; 1970000.0
2020-05-31; 3128000000.0; 415000000.0; 2713000000.0; 532000000.0; 1125000000.0; ; 2112000000.0; 1016000000.0; -16000000.0; 1000000000.0; -100000000.0; 1100000000.0; ; 1100000000.0; ; 1100000000.0; 1204000000.0; 1016000000.0; 481000000.0; 485000000.0; 2280000.0; 2270000.0
2020-02-29; 3091000000.0; 452000000.0; 2639000000.0; 532000000.0; 1128000000.0; ; 2154000000.0; 937000000.0; -18000000.0; 919000000.0; -36000000.0; 955000000.0; ; 955000000.0; ; 955000000.0; 1125000000.0; 937000000.0; 482000000.0; 488000000.0; 1980000.0; 1960000.0
2019-11-30; 2992000000.0; 453000000.0; 2539000000.0; 499000000.0; 1029000000.0; ; 2023000000.0; 969000000.0; -12000000.0; 957000000.0; 106000000.0; 851000000.0; ; 851000000.0; ; 851000000.0; 1160000000.0; 969000000.0; 486000000.0; 492000000.0; 1760000.0; 1740000.0
2019-08-31; 2834000000.0; 416000000.0; 2418000000.0; 490000000.0; 1031000000.0; ; 1980000000.0; 854000000.0; -19000000.0; 835000000.0; 42000000.0; 793000000.0; ; 793000000.0; ; 793000000.0; 1047000000.0; 854000000.0; 486000000.0; 491000000.0; 1630000.0; 1610000.0
2019-05-31; 2744000000.0; 407000000.0; 2337000000.0; 476000000.0; 1068000000.0; ; 1994000000.0; 750000000.0; -39000000.0; 711000000.0; 78000000.0; 633000000.0; ; 633000000.0; ; 633000000.0; 937000000.0; 750000000.0; 488000000.0; 492000000.0; 1300000.0; 1290000.0
2019-02-28; 2601000000.0; 397000000.0; 2204000000.0; 465000000.0; 997000000.0; ; 1906000000.0; 695000000.0; 7000000.0; 702000000.0; 28000000.0; 674000000.0; ; 674000000.0; ; 674000000.0; 881000000.0; 695000000.0; 488000000.0; 494000000.0; 1380000.0; 1360000.0
2018-11-30; 2464616000.0; 359262000.0; 2105353999.9999998; 416146000.0; 936201000.0; ; 1744440000.0; 720176100.0; -20836000.0; 699341000.0; 20875000.0; 678466000.0; ; 678466000.0; ; 678466000.0; 826404200.0; 720176900.0; 491000000.0; 498000000.0; 1390000.0; 1360000.0
2018-08-31; 2291076000.0; 295492000.0; 1995584000.0; 398957000.0; 854147000.0; ; 1572470000.0; 718606000.0; -17248000.0; 701358000.0; 35067000.0; 666291000.0; ; 666291000.0; ; 666291000.0; 805496000.0; 718606000.0; 490025000.0; 496866000.0; 1360000.0; 1340000.0
2018-05-31; 2195360000.0; 281344000.0; 1914016000.0; 374128000.0; 824255000.0; ; 1496876000.0; 698484100.0; -7685000.0; 690799000.0; 27632000.0; 663167000.0; ; 663167000.0; ; 663167000.0; 774844100.0; 698484100.0; 491914000.0; 498252000.0; 1350000.0; 1330000.0
2018-02-28; 2078947000.0; 258902000.0; 1820045000.0; 348769000.0; 751397000.0; ; 1376214000.0; 702733000.0; -231000.0; 702502000.0; 119426000.0; 583076000.0; ; 583076000.0; ; 583076000.0; 779255000.0; 702733000.0; 492061000.0; 499433000.0; 1180000.0; 1170000.0
2017-11-30; 2006595000.0; 270872000.0; 1735723000.0; 324026000.0; 743671100.0; ; 1357255000.0; 649339400.0; -6328000.0; 643012100.0; 141463000.0; 501549000.0; ; 501549000.0; ; 501549000.0; 730573400.0; 649339800.0; 493632000.0; 501123000.0; 1010000.0; 990000.0
2017-08-31; 1841074000.0; 262922000.00000003; 1578152000.0; 315555000.0; 697495000.0; ; 1295400000.0; 545674000.0; -4295000.0; 541379000.0; 121810000.0; 419569000.0; ; 419569000.0; ; 419569000.0; 627992900.0; 545674000.0; 493426000.0; 500398000.0; 850000.0; 840000.0
2017-05-31; 1772190000.0; 239360000.0; 1532830000.0; 299401000.0; 710027000.0; ; 1268108000.0; 504081900.0; -11464000.0; 492618000.0; 118228000.0; 374390000.0; ; 374390000.0; ; 374390000.0; 585716900.0; 504081900.0; 494371000.0; 500351000.0; 760000.0; 750000.0
2017-02-28; 1681646000.0; 237337000.0; 1444309000.0; 285077000.0; 671105000.0; ; 1212647000.0; 468999000.0; -8367000.000000001; 460632000.0; 62186000.0; 398446000.0; ; 398446000.0; ; 398446000.0; 549808000.0; 468999000.0; 494612000.0; 500861000.0; 810000.0; 800000.0
2016-11-30; 1608419000.0; 216556100.0; 1391863000.0; 257849000.0; 643233900.0; ; 1136139000.0; 472279800.0; -15580000.0; 456700000.0; 57087000.0; 399613000.0; ; 399613000.0; ; 399613000.0; 554139800.0; 472279900.0; 498345000.0; 504299000.0; 810000.0; 800000.0
2016-08-31; 1463967000.0; 202701000.0; 1261266000.0; 248450000.0; 620839000.0; ; 1094642000.0; 369325100.0; -13024000.0; 356301000.0; 85513000.0; 270788000.0; ; 270788000.0; ; 270788000.0; 453339100.0; 369325100.0; 498584000.0; 503669000.0; 540000.0; 540000.0
2016-05-31; 1398709000.0; 202079000.0; 1196630000.0; 232484000.0; 600919000.0; ; 1054470000.0; 344239000.0; -14409000.0; 329830000.0; 85756000.0; 244074000.0; ; 244074000.0; ; 244074000.0; 428700000.0; 344239000.0; 499974000.0; 504725000.0; 490000.0; 480000.0
2016-02-29; 1383335000.0; 198572000.0; 1184763000.0; 237204000.0; 621407000.0; ; 1075577000.0; 307758100.0; -15451000.0; 292307000.0; 38000000.0; 254307000.0; ; 254307000.0; ; 254307000.0; 388958100.0; 307758100.0; 499125000.0; 505676000.0; 510000.0; 500000.0
2015-11-30; 1306404000.0; 201361100.0; 1105043000.0; 220513900.0; 577083000.0; ; 1015970000.0; 290434200.0; 6506000.0; 296940000.0; 74235000.0; 222705000.0; ; 222705000.0; ; 222705000.0; 376793200.0; 290434300.0; 498764000.0; 507164000.0; 440000.0; 440000.0
2015-08-31; 1217768000.0; 190985000.0; 1026782999.9999999; 218660000.0; 544609000.0; ; 971749000.0; 246018900.0; -13400000.0; 232619000.0; 58154000.0; 174465000.0; ; 174465000.0; ; 174465000.0; 333568900.0; 246018900.0; 498630000.0; 505809000.0; 350000.0; 340000.0
2015-05-31; 1162158000.0; 185173000.0; 976985000.0; 208047000.0; 557206000.0; ; 968541000.0; 193617000.0; -12643000.0; 180974000.0; 33481000.0; 147493000.0; ; 147493000.0; ; 147493000.0; 279546000.0; 193617000.0; 499290000.0; 505582000.0; 300000.0; 290000.0
2015-02-28; 1109181000.0; 166798000.0; 942383100.0; 215509000.0; 537822000.0; ; 936156000.0; 173025000.0; -9777000.0; 163248000.0; 78360000.0; 84888000.0; ; 84888000.0; ; 84888000.0; 252660000.0; 173025000.0; 498754000.0; 507526000.0; 170000.0; 170000.0
2014-11-30; 1073328000.0; 160943000.0; 912385000.0; 213687000.0; 542396000.0; ; 948823200.0; 124504800.0; -12230000.0; 112275000.0; 24139000.0; 88136000.0; ; 88136000.0; ; 88136000.0; 202651800.0; 124504800.0; 497867000.0; 508480000.0; 180000.0; 180000.0
2014-08-31; 1005409000.0; 157724000.0; 847685000.0; 212049000.0; 548151000.0; ; 931233000.0; 74176000.0; -11238000.0; 62938000.0; 18252000.0; 44686000.0; ; 44686000.0; ; 44686000.0; 154330000.0; 74176000.0; 498468000.0; 507811000.0; 90000.0; 90000.0
2014-05-31; 1068208000.0000001; 154904000.0; 913304000.0; 209092000.0; 555968000.0; ; 932950000.0; 135258100.0; -13987000.0; 121271000.0; 32744000.0; 88527000.0; ; 88527000.0; ; 88527000.0; 212911100.0; 135258100.0; 497931000.0; 506687000.0; 180000.0; 170000.0
2014-02-28; 1000120000.0; 148509000.0; 851611000.0; 209525000.0; 549125000.0; ; 921374000.0; 78746000.0; -13854000.0; 64891999.99999999; 17846000.0; 47046000.0; ; 47046000.0; ; 47046000.0; 156382000.0; 78746000.0; 496948000.0; 508340000.0; 90000.0; 90000.0
2013-11-30; 1041699000.0000001; 147516000.0; 894183000.0; 205196000.0; 569897800.0; ; 938863000.0; 102836000.0; -14566000.0; 88270000.0; 22950000.0; 65319999.99999999; ; 65319999.99999999; ; 65319999.99999999; 184186000.0; 102835900.0; 501372000.0; 513476000.0; 140000.0; 120000.0
2013-08-31; 995119000.0; 147076000.0; 848043000.0; 208700000.0; 516716000.0; ; 884765000.0; 110354000.0; -17094000.0; 93260000.0; 10258000.0; 83002000.0; ; 83002000.0; ; 83002000.0; 192529000.0; 110354000.0; 504116000.0; 514058000.0; 160000.0; 160000.0
2013-05-31; 1010549000.0; 135281000.0; 875268000.0; 203097000.0; 523078000.0; ; 899240000.0; 111309000.0; -20182000.0; 91127000.0; 14581000.0; 76546000.0; ; 76546000.0; ; 76546000.0; 192259000.0; 111309000.0; 503384000.0; 512446000.0; 150000.0; 150000.0
2013-02-28; 1007873000.0; 156684000.0; 851189000.0; 209638000.0; 530885999.99999994; ; 909649000.0; 98224000.0; -14740000.0; 83484000.0; 18367000.0; 65117000.00000001; ; 65117000.00000001; ; 65117000.00000001; 174976000.0; 98224000.0; 498607000.0; 507840000.0; 130000.0; 130000.0
2012-11-30; 1153428000.0; 124978000.0; 1028450000.0; 195047000.0; 513630100.0; ; 845662900.0; 307764800.0; -17134000.0; 290630900.0; 68298000.0; 222332900.0; ; 222332900.0; ; 222333000.0; 386385800.0; 307764800.0; 494731000.0; 502721000.0; 450000.0; 440000.0
2012-08-31; 1080580000.0; 119621000.0; 960959000.0; 189145000.0; 478805000.0; ; 802276000.0; 278304000.0; -15092000.0; 263212000.0; 61855000.0; 201357000.0; ; 201357000.0; ; 201357000.0; 352413900.0; 278304000.0; 494051000.0; 499757000.0; 410000.0; 400000.0
