Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 4127600999.9999995; 2385899000.0; 1741702000.0; ; 914199900.0; ; 3300099000.0; 827501200.0; -24200000.0; 803300200.0; 177800000.0; 625500200.0; ; 625500200.0; ; 625499900.0; 1223801000.0; 827501200.0; 418800000.0; 421100000.0; 1510000.0; 1490000.0
2022-03-31; 4513000000.0; 2512200000.0; 2000800000.0; ; 817500000.0; ; 3329700000.0; 1183300000.0; 6600000.0; 1189900000.0; 261399999.99999997; 928500000.0; ; 928500000.0; ; 928500000.0; 1579300000.0; 1183300000.0; 418100000.0; 420200000.0; 2220000.0; 2210000.0
2021-12-31; 4025400000.0; 2341200000.0; 1684200000.0; ; 782300000.0; ; 3123500000.0; 901899900.0; 8199999.999999999; 910100000.0; 215700000.0; 694400000.0; ; 694400000.0; ; 694400000.0; 1291800000.0; 901899900.0; 419800000.0; 422000000.0; 1650000.0; 1650000.0
2021-09-30; 3832300000.0; 2222600000.0; 1609700000.0; ; 719200000.0; ; 2941800000.0; 890500000.0; 10300000.0; 900800000.0; 200300000.0; 700500000.0; ; 700500000.0; ; 700500000.0; 1279600000.0; 890500000.0; 421400000.0; 423800000.0; 1660000.0; 1650000.0
2021-06-30; 3737000000.0; 2205500000.0; 1531500000.0; ; 840700000.0; ; 3046199000.0; 690801000.0; 6400000.0; 697200000.0; 159000000.0; 538200100.0; ; 538200100.0; ; 538200100.0; 1072401000.0000001; 690800500.0; 426300000.0; 428100000.0; 1290000.0; 1260000.0
2021-03-31; 4102000000.0; 2278100000.0; 1823900000.0; ; 763000000.0; ; 3041100000.0; 1060900000.0000001; 5300000.0; 1066200000.0; 255500000.0; 810700000.0; ; 810700000.0; ; 810700000.0; 1443400000.0; 1060900000.0000001; 425800000.0; 427700000.0; 1900000.0; 1900000.0
2020-12-31; 3695700000.0; 2122400000.0; 1573300000.0; ; 755800000.0; ; 2878200000.0; 817500000.0; 15100000.0; 832600000.0; 185100000.0; 647500000.0; ; 647500000.0; ; 647500000.0; 1193100000.0; 817500000.0; 427400000.0; 429000000.0; 1510000.0; 1510000.0
2020-09-30; 3470700000.0; 2034300000.0; 1436400000.0; ; 681000000.0; ; 2715300000.0; 755400100.0; 9800000.0; 765200000.0; 163100000.0; 602100000.0; ; 602100000.0; ; 602100000.0; 1131200000.0; 755400100.0; 428600000.0; 430000000.0; 1400000.0; 1400000.0
2020-06-30; 3376800000.0; 2067100000.0; 1309700000.0; ; 765599900.0; ; 2832699000.0; 544100800.0; -12800000.0; 531300200.0; 119700000.0; 411600200.0; ; 411600200.0; ; 411600000.0; 905700700.0; 544100300.0; 430800000.0; 432700000.0; 960000.0; 960000.0
2020-03-31; 4047800000.0; 2239100000.0; 1808700000.0; ; 756600000.0; ; 2995700000.0; 1052099999.9999999; 24600000.0; 1076700000.0; 255800000.0; 820900000.0; ; 820900000.0; ; 820900000.0; 1418500000.0; 1052099999.9999999; 430000000.0; 431800000.0; 1910000.0; 1900000.0
2019-12-31; 3669500000.0; 2094100000.0; 1575400000.0; ; 754300000.0; ; 2848400000.0; 821099900.0; 14400000.0; 835500000.0; 183900000.0; 651600000.0; ; 651600000.0; ; 651600000.0; 1181500000.0; 821099900.0; 431500000.0; 433300000.0; 1510000.0; 1500000.0
2019-09-30; 3495700000.0; 2044800000.0; 1450900000.0; ; 726500000.0; ; 2771300000.0; 724400100.0; 14700000.0; 739100000.0; 156700000.0; 582400000.0; ; 582400000.0; ; 582400000.0; 1081200000.0; 724400100.0; 432700000.0; 435400000.0; 1350000.0; 1340000.0
2019-06-30; 3479300000.0; 2001200000.0; 1478100000.0; ; 854699800.0; ; 2855900000.0; 623400100.0; 9900000.0; 633300100.0; 157800000.0; 475500100.0; ; 475500100.0; ; 475500100.0; 962800000.0; 623400400.0; 435000000.0; 437600000.0; 1090000.0; 1090000.0
2019-03-31; 3828200000.0; 2092600000.0; 1735600000.0; ; 750400000.0; ; 2843000000.0; 985200000.0; -700000.0; 984500000.0; 230800000.0; 753700000.0; ; 753700000.0; ; 753700000.0; 1320400000.0; 985200000.0; 434100000.0; 436600000.0; 1740000.0; 1730000.0
2018-12-31; 3492400000.0; 2000200000.0; 1492200000.0; ; 745200000.0; ; 2745400000.0; 747000000.0; -6000000.0; 741000000.0; 182800000.0; 558200000.0; ; 558200000.0; ; 558200000.0; 1075300000.0; 747000000.0; 435700000.0; 438000000.0; 1280000.0; 1270000.0
2018-09-30; 3310300000.0; 1927600000.0; 1382700000.0; ; 713900000.0; ; 2641500000.0; 668800000.0; -22000000.0; 646800000.0; 141400000.0; 505400000.0; ; 505400000.0; ; 505400000.0; 999000100.0; 668800000.0; 436800000.0; 439900000.0; 1160000.0; 1150000.0
2018-06-30; 3262700000.0; 1888700000.0; 1374000000.0; ; 810299800.0; ; 2699000000.0; 563700400.0; -308700000.0; 255000100.0; 114100000.0; 140900100.0; ; 140900100.0; ; 140900000.0; 892800500.0; 563700200.0; 440600000.0; 443300000.0; 330000.0; 320000.0
2018-03-31; 3696000000.0; 2079300000.0000002; 1616700000.0; ; 750100000.0; ; 2829400000.0; 866600100.0; 8600000.0; 875200000.0; 214200000.0; 661000000.0; ; 661000000.0; ; 661000000.0; 1191800000.0; 866600100.0; 441000000.0; 443400000.0; 1500000.0; 1490000.0
2017-12-31; 3238300000.0; 1937900000.0; 1300400000.0; ; 723600000.0; ; 2661500000.0; 576800000.0; 10700000.0; 587500000.0; -82900000.0; 670400000.0; ; 670400000.0; ; 670400000.0; 917100000.0; 576800000.0; 441300000.0; 443700000.0; 1520000.0; 1510000.0
2017-09-30; 3077200000.0; 1851500000.0; 1225700000.0; ; 675400000.0; ; 2526900000.0; 550300000.0; 14600000.0; 564900000.0; 152300000.0; 412600000.0; ; 412600000.0; ; 412600000.0; 842200100.0; 550300000.0; 442200000.0; 445000000.0; 930000.0; 930000.0
2017-06-30; 3057000000.0; 1822100000.0; 1234900000.0; ; 820300000.0; ; 2642401000.0; 414599900.0; 59500000.0; 474099900.0; 153800000.0; 320299900.0; ; 320299900.0; ; 320300000.0; 1304800000.0; 414599400.0; 447800000.0; 450300000.0; 710000.0; 720000.0
2017-03-31; 3410800000.0; 1911000000.0; 1499800000.0; ; 665000000.0; ; 2576000000.0; 834800000.0; -6900000.0; 827900000.0; 240000000.0; 587900000.0; ; 587900000.0; ; 587900000.0; 933000100.0; 834800000.0; 446500000.0; 449200000.0; 1320000.0; 1310000.0
2016-12-31; 2987300000.0; 1767800000.0; 1219500000.0; ; 640800000.0; ; 2408600000.0; 578700000.0; 207500000.0; 786200000.0; 275300000.0; 510900000.0; ; 510900000.0; ; 510900000.0; 679400000.0; 578700000.0; 447900000.0; 450300000.0; 1140000.0; 1130000.0
2016-09-30; 2916900000.0; 1743600000.0; 1173300000.0; ; 647700000.0; ; 2391300000.0; 525599900.00000006; 3100000.0; 528700000.00000006; 160000000.0; 368700000.0; ; 368700000.0; ; 368700000.0; 626399800.0; 525599900.00000006; 452300000.0; 455300000.0; 820000.0; 810000.0
2016-06-30; 2898199000.0; 1698600000.0; 1199599000.0; ; 770099900.0; ; 2468701000.0; 429498300.0; -2500000.0; 426999900.0; 145000000.0; 281999900.0; ; 282000000.0; ; 282000000.0; 526498300.0; 429499000.0; 457000000.0; 459100000.0; 620000.0; 620000.0
2016-03-31; 3248600000.0; 1812700000.0; 1435900000.0; ; 634400000.0; ; 2447100000.0; 801500000.0; -6700000.0; 794800000.0; 262300000.0; 532500000.0; ; 532500000.0; ; 532500000.0; 897800000.0; 801500000.0; 454400000.0; 456900000.0; 1170000.0; 1170000.0
2015-12-31; 2807000000.0; 1682500000.0; 1124500000.0; ; 627200000.0; ; 2309700000.0; 497300000.0; 10600000.0; 507900000.0; 166500000.0; 341400000.0; ; 341400000.0; ; 341400000.0; 593800000.0; 497300000.0; 457600000.0; 460300000.0; 750000.0; 740000.0
2015-09-30; 2714000000.0; 1646500000.0; 1067500000.0; ; 605300000.0; ; 2251800000.0; 462200000.0; 42800000.0; 505000000.0; 167500000.0; 337500000.0; ; 337500000.0; -900000.0; 336600000.0; 555100000.0; 462200000.0; 462400000.0; 465700000.0; 730000.0; 720000.0
2015-06-30; 2694500000.0; 1601700000.0; 1092800000.0; ; 725200000.0; ; 2326900000.0; 367599600.0; 14000000.0; 381599900.0; 124500000.0; 257100000.00000003; ; 257100000.00000003; 79100000.0; 336200000.0; 463299600.0; 367599600.0; 472600000.0; 475800000.0; 710000.0; 720000.0
2015-03-31; 3024300000.0; 1684300000.0; 1340000000.0; ; 607200000.0; ; 2291500000.0; 732800000.0; 7100000.0; 739900000.0; 249600000.0; 490300000.0; ; 490300000.0; -700000.0; 489600000.0; 827900000.0; 732800000.0; 470300000.0; 474000000.0; 1040000.0; 1030000.0
2014-12-31; 2653600000.0; 1583300000.0; 1070300000.0; ; 588500000.0; ; 2171800000.0; 481800000.0; 17000000.0; 498800000.0; 166300000.0; 332500000.0; ; 332500000.0; -1000000.0; 331500000.0; 576200100.0; 481800000.0; 476600000.0; 480300000.0; 700000.0; 690000.0
2014-09-30; 2566100000.0; 1558300000.0; 1007800000.0; ; 576000000.0; ; 2134300000.0000002; 431800300.0; 18600000.0; 450400000.0; 153800000.0; 296600000.0; ; 296600000.0; -1400000.0; 295200000.0; 524800300.0; 431800300.0; 478400000.0; 481700000.0; 620000.0; 610000.0
2014-06-30; 2545601000.0; 1535900000.0; 1009701000.0; ; 668499900.0; ; 2204399000.0; 341201200.0; 11600000.0; 352799900.0; 122500000.0; 230300000.0; ; 230300000.0; 58400000.0; 288700000.0; 436501200.0; 341200700.0; 478900000.0; 483100000.0; 610000.0; 600000.0
2014-03-31; 2825100000.0; 1585700000.0; 1239400000.0; ; 585300000.0; ; 2171000000.0; 654100100.0; 6700000.0; 660800000.0; 227600000.0; 433200000.0; ; 433200000.0; 88400000.0; 521600000.0; 742600100.0; 654100100.0; 478900000.0; 483000000.0; 1090000.0; 1080000.0
2013-12-31; 2493700000.0; 1478600000.0; 1015100000.0; ; 578800000.0; ; 2057400000.0; 436299800.0; 25700000.0; 462000000.0; 147800000.0; 314200000.0; ; 314200000.0; 62800000.0; 377000000.0; 526699800.0; 436299800.0; 478400000.0; 482800000.0; 790000.0; 780000.0
2013-09-30; 2362000000.0; 1440800000.0; 921200000.0; ; 537700000.0; ; 1978500000.0; 383500000.0; 20100000.0; 403600000.0; 138700000.0; 264899999.99999997; ; 264899999.99999997; 63700000.0; 328600000.0; 470300000.0; 383500000.0; 480100000.0; 484300000.0; 680000.0; 680000.0
