Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 5400000000.0; 2577000000.0; 2823000000.0; ; 1067000000.0; ; 3699000000.0; 1701000000.0; ; 1701000000.0; 313000000.0; 1388000000.0; ; 1388000000.0; ; 1388000000.0; 2024000000.0; 1756000000.0; 640707000.0; 643243000.0; 2170000.0; 2160000.0
2022-03-31; 5272000000.0; 2787000000.0; 2485000000.0; ; 1153000000.0; ; 3996000000.0; 1276000000.0; ; 1276000000.0; 244000000.0; 1032000000.0; ; 1032000000.0; ; 1032000000.0; 1654000000.0; 1332000000.0; 649753000.0; 652827000.0; 1590000.0; 1580000.0
2021-12-31; 5436000000.0; 2883000000.0; 2553000000.0; ; 1263000000.0; ; 4203000000.0; 1233000000.0; ; 1233000000.0; 194000000.0; 1039000000.0; ; 1039000000.0; ; 1039000000.0; 1591000000.0; 1290000000.0; 673617000.0; 676729000.0; 1580000.0; 1580000.0
2021-09-30; 5237000000.0; 2920000000.0; 2317000000.0; ; 1147000000.0; ; 4124000000.0; 1113000000.0; ; 1113000000.0; 225000000.0; 888000000.0; ; 888000000.0; ; 888000000.0; 1447000000.0; 1170000000.0; 668762000.0; 671925000.0; 1330000.0; 1320000.0
2021-06-30; 5564000000.0; 2968000000.0; 2596000000.0; ; 1161000000.0; ; 4191000000.0; 1373000000.0; ; 1373000000.0; 268000000.0; 1105000000.0; ; 1105000000.0; ; 1105000000.0; 1716000000.0; 1435000000.0; 678050000.0; 680920000.0; 1630000.0; 1620000.0
2021-03-31; 5869000000.0; 3061000000.0; 2808000000.0; ; 1143000000.0; ; 4266000000.0; 1603000000.0; ; 1603000000.0; 310000000.0; 1293000000.0; ; 1293000000.0; ; 1293000000.0; 1976000000.0; 1665000000.0; 688938000.0; 691940000.0; 1880000.0; 1870000.0
2020-12-31; 5913000000.0; 3298000000.0; 2615000000.0; ; 1338000000.0; ; 4697000000.0; 1216000000.0; ; 1216000000.0; 265000000.0; 951000000.0; ; 951000000.0; ; 951000000.0; 1577000000.0; 1277000000.0; 713702000.0; 716192000.0; 1340000.0; 1330000.0
2020-09-30; 5665000000.0; 3310000000.0; 2355000000.0; ; 1139000000.0; ; 4512000000.0; 1153000000.0; ; 1153000000.0; -1303000000.0; 2456000000.0; ; 2456000000.0; ; 2456000000.0; 1508000000.0; 1216000000.0; 711698000.0; 713793000.0; 3450000.0; 3440000.0
2020-06-30; 5407000000.0; 3229000000.0; 2178000000.0; ; 1045000000.0; ; 4337000000.0; 1070000000.0; ; 1070000000.0; 265000000.0; 805000000.0; ; 805000000.0; ; 805000000.0; 1422000000.0; 1133000000.0; 717889000.0; 719764000.0; 1120000.0; 1120000.0
2020-03-31; 5162000000.0; 3275000000.0; 1887000000.0; ; 1112000000.0; ; 4442000000.0; 720000000.0; ; 720000000.0; 154000000.0; 566000000.0; ; 566000000.0; ; 566000000.0; 1108000000.0; 775000000.0; 724366000.0; 727512000.0; 780000.0; 780000.0
