Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 2043000000.0; 1161100000.0; 881900000.0; ; ; -358500000.0; 1626100000.0; 416900000.0; -64599999.99999999; 352300000.0; 67200000.0; 285100000.0; ; 285100000.0; ; 284200000.0; 557200000.0; 416900000.0; 210200000.0; 214300000.0; 1350000.0; 1330000.0
2022-03-31; 2435300000.0; 1304900000.0; 1130400000.0; ; ; -348100000.0; 1833700000.0; 601600000.0; -63900000.0; 537700000.0; 98600000.0; 439100000.0; ; 439100000.0; ; 438700000.0; 761400000.0; 601600000.0; 209000000.0; 213500000.0; 2100000.0; 2049999.9999999998
2021-12-31; 1972700000.0; 1243500000.0; 729200000.0; ; ; -367799900.0; 1814400000.0; 158299800.0; -45300000.0; 113000000.0; -7900000.0; 120900100.0; ; 120900100.0; ; 109399900.0; 304799800.0; 158300300.0; 202700000.0; 207300000.0; 480000.0; 470000.0
2021-09-30; 2138199999.9999998; 1366600000.0; 771600000.0; ; ; -298200000.0; 1830300000.0; 307899900.0; -76500000.0; 231400000.0; -7200000.0; 238600000.0; ; 238600000.0; ; 225100000.0; 439199900.0; 307899900.0; 207000000.0; 211500000.0; 1090000.0; 1060000.0
2021-06-30; 1933500000.0; 1205900000.0; 727600000.0; ; ; -290100000.0; 1655000000.0; 278500000.0; -56200000.0; 222300000.0; 20500000.0; 201800000.0; ; 201800000.0; ; 190200000.0; 423700000.0; 278500000.0; 201300000.0; 205800000.0; 940000.0; 920000.0
2021-03-31; 2165000000.0; 1284700000.0; 880300000.0; ; ; -265500000.0; 1708500000.0; 456500000.0; -48100000.0; 408400000.0; 14700000.0; 393700000.0; ; 393700000.0; ; 382100000.0; 599800000.0; 456500000.0; 194600000.0; 199100000.0; 1960000.0; 1920000.0
2020-12-31; 1703600000.0; 1097500000.0; 606099900.0; ; ; -270799900.0; 1522100000.0; 181500000.0; -47800000.0; 133699999.99999999; -19400000.0; 153100100.0; ; 153100100.0; ; 142200000.0; 315000000.0; 181500200.0; 191000000.0; 195000000.0; 730000.0; 720000.0
2020-09-30; 1849100000.0; 1192700000.0; 656400000.0; ; ; -244800000.0; 1591500000.0; 257600000.00000003; -48100000.0; 209500000.0; 21700000.0; 187800000.0; ; 187800000.0; ; 176600000.0; 391500000.0; 257600000.00000003; 191900000.0; 196300000.0; 920000.0; 900000.0
2020-06-30; 1584000000.0; 976800000.0; 607200000.0; ; ; -247200000.0; 1362300000.0; 221700100.0; -50000000.0; 171700000.0; 9900000.0; 161800000.0; ; 161800000.0; ; 153700000.0; 344300100.0; 221700100.0; 190500000.0; 194100000.0; 810000.0; 790000.0
2020-03-31; 1866900000.0; 1081600000.0; 785300000.0; ; ; -295400000.0; 1460400000.0; 406500000.0; -50500000.0; 356000000.0; 600000.0; 355400000.0; ; 355400000.0; ; 346300000.0; 578900000.0; 406500000.0; 188700000.0; 193200000.0; 1830000.0; 1790000.0
2019-12-31; 1721400000.0; 1138300000.0; 583100100.0; ; ; -318099900.0; 1594999000.0; 126400400.0; -42400000.0; 84000000.0; -21600000.0; 105600000.0; ; 105600000.0; ; 98500000.0; 256000400.0; 126400600.0; 186000000.0; 190100000.0; 520000.0; 510000.0
2019-09-30; 1825200000.0; 1236100000.0; 589100000.0; ; ; -302700000.0; 1658100000.0; 167099900.0; -52300000.0; 114800000.0; -22300000.0; 137100000.0; ; 137100000.0; ; 126100000.0; 286399800.0; 167099900.0; 186300000.0; 190700000.0; 680000.0; 660000.0
2019-06-30; 1657800000.0; 1098300000.0; 559500000.0; ; ; -290700000.0; 1507400000.0; 150399900.0; -44900000.0; 105500000.0; -15900000.0; 121400000.0; ; 121400000.0; ; 110100000.0; 265399900.0; 150399900.0; 185800000.0; 189800000.0; 590000.0; 580000.0
2019-03-31; 1990600000.0; 1219600000.0; 771000000.0; ; ; -295600000.0; 1628600000.0; 362000000.0; -40200000.0; 321800000.0; -29900000.0; 351700000.0; ; 351700000.0; ; 334100000.0; 472500000.0; 362000000.0; 184500000.0; 188400000.0; 1810000.0; 1770000.0
2018-12-31; 1657400000.0; 1194300000.0; 463100300.0; ; ; -271200000.0; 1577700000.0; 79700000.0; -36500000.0; 43200000.0; -84600000.0; 127800000.0; ; 127800000.0; ; 117300000.0; 189499900.0; 79699800.0; 182700000.0; 186200000.0; 630000.0; 620000.0
2018-09-30; 1778500000.0; 1274500000.0; 504000000.0; ; ; -265000000.0; 1651500000.0; 127000000.0; -36700000.0; 90300000.0; -48100000.0; 138400000.0; ; 138400000.0; ; 127600000.0; 233200000.0; 127000000.0; 183300000.0; 186800000.0; 700000.0; 680000.0
2018-06-30; 1660400000.0; 1166500000.0; 493900000.0; ; ; -258200000.0; 1522900000.0; 137500100.0; -33900000.0; 103600000.0; -20100000.0; 123700000.0; ; 123700000.0; ; 114900000.0; 241700100.0; 137500100.0; 182400000.0; 185500000.0; 630000.0; 620000.0
2018-03-31; 1837700000.0; 1207000000.0; 630700000.0; ; ; -250900000.0; 1564100000.0; 273599900.0; -31300000.0; 242300000.0; -43700000.0; 286000000.0; ; 286000000.0; ; 273700000.0; 372399800.0; 273599900.0; 181500000.0; 185000000.0; 1510000.0; 1480000.0
2017-12-31; 1519400000.0; 1108700000.0; 410699800.0; ; ; -250300000.0; 1459000000.0; 60400200.0; -31200000.0; 29200000.0; -49300000.0; 78500000.0; ; 78500000.0; ; 71500000.0; 157000100.0; 60400500.0; 180100000.0; 182100000.0; 390000.0; 370000.0
2017-09-30; 1593700000.0; 1131900000.0; 461799900.0; ; ; -242800000.0; 1485400000.0; 108299900.0; -31400000.0; 76900000.0; -41200000.0; 118100000.0; ; 118100000.0; ; 111000000.0; 208399900.0; 108299900.0; 180500000.0; 182500000.0; 610000.0; 610000.0
2017-06-30; 1489500000.0; 1064000000.0; 425500000.0; ; ; -239400000.0; 1403800000.0; 85700000.0; -31600000.0; 54100000.0; -24200000.0; 78300000.0; ; 78300000.0; ; 70000000.0; 181000000.0; 85700000.0; 179900000.0; 181600000.0; 390000.0; 390000.0
2017-03-31; 1646400000.0; 1078700000.0; 567700100.0; ; ; -232600000.0; 1416900000.0; 229500000.0; -29900000.0; 199600000.0; -42400000.0; 242000000.0; ; 242000000.0; ; 228800000.0; 323300000.0; 229500000.0; 178900000.0; 180600000.0; 1280000.0; 1270000.0
2016-12-31; 1470700000.0; 987000000.0; 483700100.0; ; ; -309700000.0; 1396900000.0; 73799800.0; -28300000.0; 45500000.0; -40800000.0; 86300000.0; ; 86300000.0; ; 77500000.0; 163099800.0; 73799700.0; 177600000.0; 178400000.0; 430000.0; 430000.0
2016-09-30; 1482300000.0; 1076300000.0; 406000100.0; ; ; -189600000.0; 1358900000.0; 123400100.0; -28500000.0; 94900000.0; -35500000.0; 130400000.0; ; 130400000.0; ; 122800000.0; 212300100.0; 123400100.0; 177600000.0; 178500000.0; 690000.0; 690000.0
2016-06-30; 1427100000.0; 956000000.0; 471100000.0; ; ; -204600000.0; 1262400000.0; 164700100.0; -27200000.0; 137500000.0; -18200000.0; 155700000.0; ; 155700000.0; ; 150000000.0; 253300100.0; 164700100.0; 177400000.0; 178300000.0; 850000.0; 840000.0
