Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 816429000.0; 249159000.0; 567270000.0; ; 278452000.0; ; 661842000.0; 154587000.0; -12927000.0; 141660000.0; 13113000.0; 128547000.0; ; 128547000.0; ; 128467999.99999999; 288818000.0; 154587000.0; 139881000.0; 140227000.0; 920000.0; 920000.0
2022-03-31; 1649819000.0; 871378000.0; 778441000.0; ; 259935000.0; ; 1264687000.0; 385132000.0; -23715000.0; 361417000.0; 36418000.0; 324999000.0; ; 324999000.0; ; 324999000.0; 518506000.0; 385132000.0; 136834000.0; 137250000.0; 2370000.0; 2370000.0
2021-12-31; 1012786000.0; 371163000.0; 641623000.0; ; 237906000.0; ; 736925000.0; 275861000.0; -11149000.0; 264712000.0; 15503000.0; 249209000.0; ; 249209000.0; ; 249209000.0; 403717000.0; 275861000.0; 133681999.99999999; 133689000.0; 1860000.0; 1860000.0
2021-09-30; 568384000.0; 83777900.0; 484606100.0; ; 268934000.0; ; 477420000.0; 90964000.0; -31424000.0; 59540000.0; 10820000.0; 48720000.0; ; 48720000.0; ; 48790000.0; 229702000.0; 90964100.0; 129779000.0; 129834000.0; 330000.0; 330000.0
2021-06-30; 605553000.0; 86870000.0; 518683000.0; ; 265945000.0; ; 472163000.0; 133389999.99999999; -15075000.0; 118315000.0; 15904000.0; 102411000.0; ; 102411000.0; ; 102341000.0; 252738000.0; 133389999.99999999; 131358000.0; 131485999.99999999; 780000.0; 780000.0
2021-03-31; 1319073000.0; 573809000.0; 745264000.0; ; 244824000.0; ; 937269000.0; 381804000.0; -23262000.0; 358542000.0; 61788000.0; 296754000.0; ; 296754000.0; ; 296754000.0; 500440000.0; 381804000.0; 129161000.0; 129163999.99999999; 2300000.0; 2300000.0
2020-12-31; 914480000.0; 288260000.0; 626220000.0; ; 212095000.0; ; 615640000.0; 298840000.0; -15938000.0; 282902000.0; 65224000.00000001; 217678000.0; ; 217678000.0; ; 217678000.0; 414125000.0; 298840000.0; 127034000.0; 127034000.0; 1710000.0; 1710000.0
2020-09-30; 474914100.0; 18031000.0; 456883100.0; ; 244292000.0; ; 374069200.0; 100844900.0; -17456000.0; 83389000.0; 18056000.0; 65333000.0; ; 65333000.0; ; 65333000.0; 224133900.0; 100844900.0; 122788000.0; 122872000.0; 510000.0; 510000.0
2020-06-30; 492995000.0; 26072000.0; 466923000.0; ; 220784000.0; ; 353960000.0; 139035000.0; -12345000.0; 126690000.0; 8899000.0; 117791000.0; ; 117791000.0; ; 117791000.0; 246139000.0; 139035000.0; 123026000.0; 123032000.0; 960000.0; 960000.0
2020-03-31; 977665000.0; 317883000.0; 659782000.0; ; 222428000.0; ; 646227000.0; 331438000.0; -25160000.0; 306278000.0; 66632000.00000001; 239646000.0; ; 239646000.0; ; 239646000.0; 437354000.0; 331438000.0; 122916000.0; 122997000.0; 1950000.0; 1950000.0
2019-12-31; 875563000.0; 296868000.0; 578694900.0; ; 220852000.0; ; 622782000.0; 252781000.0; -22342000.0; 230439000.0; 51766000.0; 178673000.0; ; 178673000.0; ; 178673000.0; 357843000.0; 252781000.0; 121113000.0; 121359000.0; 1470000.0; 1470000.0
2019-09-30; 443682900.0; 13670000.0; 430012800.0; ; 239379000.0; ; 353968100.0; 89714800.0; -19513000.0; 70202000.0; 11796000.0; 58406000.0; ; 58406000.0; ; 58775000.0; 200097800.0; 89714800.0; 117200000.0; 117461000.0; 470000.0; 470000.0
