Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 30358000000.0; 5856000000.0; 24502000000.0; ; 16201000000.0; ; 22057000000.0; 8301000000.0; ; 8301000000.0; 1219000000.0; 7082000000.0; ; 7082000000.0; ; 6579000000.0; ; ; 8107700000.0; 8160800000.0; 810000.0; 810000.0
2022-06-30; 25219000000.0; 2531000000.0; 22688000000.0; ; 15796000000.0; ; 18327000000.0; 6892000000.0; ; 6892000000.0; 645000000.0; 6247000000.0; ; 6247000000.0; ; 5932000000.0; ; ; 8121600000.0; 8163100000.0; 730000.0; 730000.0
2022-03-31; 24550000000.0; 1322000000.0; 23228000000.0; ; 15349000000.0; ; 16671000000.0; 7879000000.0; ; 7879000000.0; 812000000.0; 7067000000.0; ; 7067000000.0; ; 6600000000.0; ; ; 8136800000.0; 8202100000.0; 810000.0; 800000.0
2021-12-31; 23204000000.0; 1144000000.0; 22060000000.0; ; 14242000000.0; ; 15386000000.0; 7818000000.0; ; 7818000000.0; 805000000.0; 7013000000.0; ; 7013000000.0; ; 6773000000.0; ; ; 8493299999.999999; 8558400000.0; 830000.0; 830000.0
2021-09-30; 24008000000.0; 1242000000.0; 22766000000.0; ; 13816000000.0; ; 15058000000.0; 8950000000.0; ; 8950000000.0; 1259000000.0; 7691000000.0; ; 7691000000.0; ; 7260000000.0; ; ; 8430700000.000001; 8492799999.999999; 860000.0; 850000.0
2021-06-30; 22620000000.0; 1154000000.0; 21466000000.0; ; 13424000000.0; ; 14578000000.0; 8042000000.0; ; 8042000000.0; -1182000000.0; 9224000000.0; ; 9224000000.0; ; 8964000000.0; ; ; 8620800000.0; 8735500000.0; 1040000.0; 1030000.0
2021-03-31; 24019000000.0; 1198000000.0; 22821000000.0; ; 13655000000.0; ; 14853000000.0; 9166000000.0; ; 9166000000.0; 1116000000.0; 8050000000.0; ; 8050000000.0; ; 7560000000.0; ; ; 8700100000.0; 8755600000.0; 870000.0; 860000.0
2020-12-31; 21307000000.0; 1208000000.0; 20099000000.0; ; 13980000000.0; ; 15188000000.0; 6119000000.0; ; 6119000000.0; 649000000.0; 5470000000.0; ; 5470000000.0; ; 5208000000.0; ; ; 8753200000.0; 8796900000.0; 590000.0; 590000.0
2020-09-30; 21693000000.0; 1357000000.0; 20336000000.0; ; 15790000000.0; ; 17147000000.0; 4546000000.0; ; 4546000000.0; -335000000.0; 4881000000.0; ; 4881000000.0; ; 4440000000.0; ; ; 8732900000.0; 8777500000.0; 510000.0; 510000.0
2020-06-30; 24018000000.0; 1692000000.0; 22326000000.0; ; 18527000000.0; ; 20219000000.0; 3799000000.0; ; 3799000000.0; 266000000.0; 3533000000.0; ; 3533000000.0; ; 3284000000.0; ; ; 8739900000.0; 8768100000.0; 380000.0; 370000.0
