Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 2031300000.0; ; 2031300000.0; ; 1544800000.0; ; 1626600000.0; 404700200.0; -91600000.0; 313100000.0; 89500000.0; 223600000.0; ; 223600000.0; ; 245200000.0; 527200200.0; 404700200.0; 487500000.0; 487900000.0; 500000.0; 500000.0
2022-03-31; 2081000000.0; ; 2081000000.0; ; 1557600000.0; ; 1618000000.0; 463000000.0; 3200000.0; 466200000.0; 107100000.0; 359100000.0; ; 359100000.0; ; 334500000.0; 560300000.0; 463000000.0; 490000000.0; 490500000.0; 680000.0; 680000.0
2021-12-31; 2224000000.0; ; 2224000000.0; ; 1608000000.0; ; 1666300000.0; 557700100.0; 138200000.0; 695900000.0; 151100000.0; 544800000.0; ; 544800000.0; ; 433900000.0; 656800000.0; 557700100.0; 489800000.0; 490600000.0; 890000.0; 880000.0
2021-09-30; 2181000000.0; ; 2181000000.0; ; 1591600000.0; ; 1649500000.0; 531500000.0; 206499900.0; 737999900.0; -4800000.0; 742799700.0; ; 742799700.0; ; 638900000.0; 616500000.0; 531499800.00000006; 489900000.0; 490600000.0; 1310000.0; 1300000.0
2021-06-30; 2172900000.0; ; 2172900000.0; ; 1636800000.0; ; 1694800000.0; 478099900.0; 77300000.0; 555400000.0; 83800000.0; 471600000.0; ; 471600000.0; ; 419000000.0; 582599900.0; 478099900.0; 489200000.0; 489900000.0; 860000.0; 860000.0
2021-03-31; 2076500000.0; ; 2076500000.0; ; 1562300000.0; ; 1620200000.0; 456299900.0; 157200000.0; 613500000.0; 128100000.0; 485400000.0; ; 485400000.0; ; 364900000.0; 556599900.0; 456299900.0; 490500000.0; 490900000.0; 740000.0; 740000.0
2020-12-31; 1995100000.0; ; 1995100000.0; ; 1527800000.0; ; 1586000000.0; 409100000.0; 128199999.99999999; 537300000.0; 142500000.0; 394800000.0; ; 394800000.0; ; 330700000.0; 508100000.0; 409100000.0; 491100000.0; 491700000.0; 670000.0; 670000.0
2020-09-30; 1705000000.0; ; 1705000000.0; ; 1561300000.0; ; 1601400000.0; 103600100.0; 96000000.0; 199600000.0; 73100000.0; 126500000.0; ; 126500000.0; ; 73800000.0; 179900100.0; 103600000.0; 491900000.0; 492400000.0; 150000.0; 150000.0
2020-06-30; 1161100000.0; ; 1161100000.0; ; 923900000.0; ; 928600000.0; 232500000.0; 37300000.0; 269800000.0; 16100000.000000002; 253700000.0; ; 253700000.0; ; 286200000.0; 273300000.0; 232500000.0; 490400000.0; 490700000.0; 580000.0; 580000.0
2020-03-31; 1311200000.0; ; 1311200000.0; ; 966900000.0; ; 971300000.0; 339900000.0; -237000000.0; 102900000.0; 44100000.0; 58800000.0; ; 58800000.0; ; 77300000.0; 384500000.0; 339900000.0; 491500000.0; 491800000.0; 160000.0; 160000.0
