Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 927600000.0; 470300000.0; 457300000.0; ; ; -143000000.0; 709600000.0; 218000000.0; ; 218000000.0; 56900000.0; 161100000.0; ; 161100000.0; ; 161100000.0; ; 259500000.0; 277754000.0; 278688000.0; 570000.0; 570000.0
2022-06-30; 839700000.0; 412100000.0; 427600000.0; ; ; -150300000.0; 640900000.0; 198800000.0; ; 198800000.0; 53600000.0; 145200000.0; ; 145200000.0; ; 142500000.0; 278500000.0; 234800000.0; 277200000.0; 278200000.0; 510000.0; 510000.0
2022-03-31; 904700000.0; 459000000.0; 445700000.0; ; ; -123200000.0; 639700000.0; 265000000.0; ; 265000000.0; 44700000.0; 220300000.0; ; 220300000.0; ; 215900000.0; 323200000.0; 283300000.0; 277100000.0; 278600000.0; 780000.0; 770000.0
2021-12-31; 738493000.0; 416814100.0; 321678900.0; ; ; -125760000.0; 597659100.0; 140833900.0; ; 140834000.0; 39084000.0; 101750000.0; ; 101750000.0; ; 99877000.0; 196732900.0; 157040000.0; 276024000.0; 277414000.0; 360000.0; 360000.0
2021-09-30; 770305000.0; 394997000.0; 375308000.0; ; ; -123921000.0; 573816000.0; 196489000.0; ; 196489000.0; 50135000.0; 146354000.0; ; 146354000.0; ; 143285000.0; 252083000.0; 212664000.0; 276215000.0; 277553000.0; 520000.0; 520000.0
2021-06-30; 727300000.0; 395600000.0; 331700000.0; ; ; -90800000.0; 541000000.0; 186300000.0; ; 186300000.0; 47000000.0; 139300000.0; ; 139300000.0; ; 136300000.0; 241700000.0; 202600000.0; 275700000.0; 276900000.0; 490000.0; 490000.0
2021-03-31; 815300000.0; 429500000.0; 385800000.0; ; ; -93300000.0; 576100000.0; 239200000.0; ; 239200000.0; 39500000.0; 199700000.0; ; 199700000.0; ; 194700000.0; 293200000.0; 255500000.0; 275600000.0; 277000000.0; 710000.0; 700000.0
2020-12-31; 642112100.0; 377471000.0; 264641100.0; ; ; -81313000.0; 511194700.0; 130917300.00000001; ; 130917000.0; 33597000.0; 97320000.0; ; 97320000.0; ; 94635000.0; 184051300.0; 147556200.0; 274334000.0; 275867000.0; 350000.0; 340000.0
2020-09-30; 673962000.0; 362767000.0; 311195000.0; ; ; -105727000.0; 515433999.99999994; 158528000.0; ; 158528000.0; 24549000.0; 133979000.00000001; ; 133979000.00000001; ; 130239000.0; 206032000.0; 171761900.0; 275515000.0; 276933000.0; 470000.0; 470000.0
2020-06-30; 598806000.0; 346515000.0; 252291000.0; ; ; -76172000.0; 469405000.0; 129401000.00000001; ; 129401000.00000001; 32616999.999999996; 96784000.0; ; 96784000.0; ; 93204000.0; 176680000.0; 143210000.0; 273100000.0; 274362000.0; 340000.0; 340000.0
2020-03-31; 698495000.0; 349624000.0; 348871000.0; ; ; -95915000.0; 493242000.0; 205253000.0; ; 205253000.0; 52853000.0; 152400000.0; ; 152400000.0; ; 147208000.0; 253475000.0; 220544000.0; 272776000.0; 274861000.0; 540000.0; 540000.0
2019-12-31; 578988900.0; 334598100.0; 244390800.0; ; ; -93706000.0; 476940100.0; 102048800.0; ; 102049000.0; 25530000.0; 76519000.0; ; 76519000.0; ; 73639000.0; 151223800.0; 117903800.0; 272471000.0; 274616000.0; 270000.0; 260000.0
2019-09-30; 618683000.0; 331120000.0; 287563000.0; ; ; -87324000.0; 466845000.0; 151838000.0; ; 151838000.0; 36332000.0; 115506000.0; ; 115506000.0; ; 111734000.0; 200773000.0; 168152000.0; 272962000.0; 275075000.0; 410000.0; 410000.0
2019-06-30; 575219000.0; 309610000.0; 265608999.99999997; ; ; -94174000.0; 451697000.0; 123522000.0; ; 123522000.0; 30929000.0; 92593000.0; ; 92593000.0; ; 89573000.0; 171962000.0; 139815000.0; 272563000.0; 274402000.0; 330000.0; 330000.0
2019-03-31; 619280000.0; 332837000.0; 286443000.0; ; ; -90498000.0; 470760000.0; 148520100.0; ; 148520000.0; 34624000.0; 113896000.0; ; 113896000.0; ; 110695000.0; 196394000.0; 163718000.0; 272679000.0; 275014000.0; 410000.0; 400000.0
2018-12-31; 508748000.0; 278011900.0; 230736100.0; ; ; -88224000.0; 408136900.0; 100611100.0; ; 100611000.0; 27159000.0; 73452000.0; ; 73452000.0; ; 71391000.0; 142913100.0; 112505100.0; 270971000.0; 275521000.0; 260000.0; 260000.0
2018-09-30; 530850000.0; 268045000.00000003; 262805000.0; ; ; -84446000.0; 388350000.0; 142499900.0; ; 142500000.0; 36447000.0; 106053000.0; ; 106053000.0; ; 103337000.0; 178754900.0; 151462900.0; 271008000.0; 275282000.0; 380000.0; 380000.0
2018-06-30; 473187000.0; 251958000.0; 221229000.0; ; ; -83883000.0; 372277000.0; 100910000.0; ; 100910000.0; 26988000.0; 73922000.0; ; 73922000.0; ; 72304000.0; 137756000.0; 110962000.0; 270081000.0; 275908000.0; 270000.0; 260000.0
2018-03-31; 501461000.0; 270899000.0; 230562000.0; ; ; -76359000.0; 383020000.0; 118441000.0; ; 118441000.0; 27613000.0; 90828000.0; ; 90828000.0; ; 88926000.0; 154613000.0; 128112000.0; 270172000.0; 275714000.0; 330000.0; 320000.0
2017-12-31; 474316100.0; 258207000.0; 216109100.0; ; ; -73908000.0; 367982000.0; 106334100.0; ; 106334000.0; -81171000.0; 187505000.0; ; 187505000.0; ; 182939000.0; 142615100.0; 115701100.0; 272580000.0; 277586000.0; 670000.0; 650000.0
2017-09-30; 475646000.0; 246062000.0; 229584000.0; ; ; -68848000.0; 351227000.0; 124419000.0; ; 124419000.0; 48506000.0; 75913000.0; ; 75913000.0; ; 74061000.0; 161149000.0; 133812000.00000001; 272692000.0; 277786000.0; 270000.0; 270000.0
2017-06-30; 466305000.0; 244517000.0; 221788000.0; ; ; -76910000.0; 358303000.0; 108002000.0; ; 108002000.0; 41900000.0; 66102000.00000001; ; 66102000.00000001; ; 64459999.99999999; 145483000.0; 117876000.0; 273384000.0; 278202000.0; 240000.0; 230000.0
2017-03-31; 465080000.0; 245866000.0; 219214000.0; ; ; -70847000.0; 354113000.0; 110967000.0; ; 110967000.0; 40857000.0; 70110000.0; ; 70110000.0; ; 68424000.0; 148797000.0; 120649000.0; 273487000.0; 278052000.0; 250000.0; 250000.0
2016-12-31; 433664000.0; 232403000.0; 201261000.0; ; ; -69722000.0; 338762800.0; 94901100.0; ; 94901000.0; 37275000.0; 57626000.0; ; 57626000.0; ; 56141000.0; 131979099.99999999; 104765100.0; 272278000.0; 275608000.0; 205000.0; 205000.0
2016-09-30; 462274000.0; 237653000.0; 224621000.0; ; ; -70766000.0; 345302000.0; 116972000.0; ; 116972000.0; 45427000.0; 71545000.0; ; 71545000.0; ; 69672000.0; 154283000.0; 126855000.0; 272922000.0; 276364000.0; 255000.0; 250000.0
2016-06-30; 446518000.0; 231102000.0; 215416000.0; ; ; -69538000.0; 337441000.0; 109077000.0; ; 109077000.0; 42827000.0; 66250000.0; ; 66250000.0; ; 64354000.0; 146334000.0; 118914000.0; 271984000.0; 275162000.0; 235000.0; 235000.0
2016-03-31; 424173000.0; 224059000.0; 200114000.0; ; ; -60740000.0; 321624000.0; 102549000.0; ; 102549000.0; 40479000.0; 62070000.0; ; 62070000.0; ; 60619000.0; 139851000.0; 112446000.0; 271096000.0; 273880000.0; 225000.0; 220000.0
