Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-08-31; 2904300000.0; 2184000000.0; 720300000.0; ; 741600000.0; ; 2919500000.0; -15200000.0; -97100000.0; -112300000.0; 14400000.0; -126700000.0; ; -77500000.0; ; -77500000.0; 77800100.0; -15200000.0; 480600000.0; 480600000.0; -160000.0; -160000.0
2022-05-31; 2910000000.0; 2196600000.0; 713400600.0; ; 499300000.0; ; 2676900000.0; 233100300.0; -96200000.0; 136900000.0; 26700000.0; 110199900.0; ; 157700000.0; ; 158900100.0; 322900300.0; 233100600.0; 480300000.0; 482200000.0; 340000.0; 330000.0
2022-02-28; 2913700000.0; 2216500000.0; 697200000.0; ; 338000000.0; ; 2538400000.0; 375300000.0; -94600000.0; 280700000.0; 109900000.0; 170800000.0; ; 218900000.0; ; 218400000.0; 467400100.0; 375300000.0; 480300000.0; 482200000.0; 450000.0; 450000.0
2021-11-30; 3058900000.0; 2304100000.0; 754799800.0; ; 345400000.0; ; 2633400000.0; 425500000.0; -94900000.0; 330600000.0; 84200000.0; 246400000.0; ; 275900000.0; ; 275500000.0; 522500000.0; 425500000.0; 480200000.0; 481900000.0; 570000.0; 570000.0
2021-08-31; 2653300000.0; 1979900000.0; 673400000.0; ; 310100000.0; ; 2273900000.0; 379400100.0; -94200000.0; 285200000.0; 69700000.0; 215500000.0; ; 235700000.0; ; 235400000.0; 475900100.0; 379400100.0; 480400000.0; 482300000.0; 490000.0; 490000.0
2021-05-31; 2739500000.0; 2017800000.0; 721699700.0; ; 435300000.0; ; 2439800000.0; 299699500.0; -98400000.0; 201300000.0; -75200000.0; 276500100.0; ; 309900100.0; ; 309500000.0; 397799500.0; 299700200.0; 485800000.0; 487800000.0; 650000.0; 640000.0
2021-02-28; 2771100000.0; 2012700000.0; 758400100.0; ; 309700000.0; ; 2308700000.0; 462400100.0; -100600000.0; 361800000.0; 101600000.0; 260200000.0; ; 281700000.0; ; 281400000.0; 559000100.0; 462400100.0; 485700000.0; 487600000.0; 580000.0; 580000.0
2020-11-30; 2995200000.0; 2106300000.0000002; 888899900.0; ; 357700000.0; ; 2450300000.0; 544899900.0; -107700000.0; 437200000.0; 80700000.0; 356500000.0; ; 379500000.0; ; 378900000.0; 642699900.0; 544899900.0; 489100000.0; 490900000.0; 770000.0; 770000.0
2020-08-31; 2678900000.0; 1868700000.0; 810200000.0; ; 300300000.0; ; 2155200000.0; 523700000.00000006; -113700000.0; 410000000.0; 86700000.0; 323300000.0; ; 329800000.0; ; 329000000.0; 618900000.0; 523700000.00000006; 488200000.0; 489900000.0; 670000.0; 670000.0
2020-05-31; 3287901000.0; 2365100000.0; 922800800.0; ; 532000000.0; ; 2924399000.0; 363501200.0; -125300000.0; 238200000.0; 59800000.0; 178400100.0; ; 201300000.0; ; 201399900.0; 459901200.0; 363501000.0; 487300000.0; 488600000.0; 410000.0; 410000.0
2020-02-29; 2555000000.0; 1870600000.0; 684400000.0; ; 319900000.0; ; 2174100000.0; 380899900.0; -117700000.0; 263200000.0; 68900000.0; 194300000.0; ; 204700000.0; ; 204400000.0; 479999900.0; 380899900.0; 487400000.0; 488800000.0; 420000.0; 420000.0
2019-11-30; 2820800000.0; 2022900000.0; 797900000.0; ; 369800000.0; ; 2381400000.0; 439400100.0; -121400000.0; 318000000.0; 84100000.0; 233900000.0; ; 261500000.0; ; 260500000.0; 536100200.0; 439400100.0; 487300000.0; 488300000.0; 530000.0; 530000.0
2019-08-31; 2390700000.0; 1726200000.0; 664500000.0; ; 400800000.0; ; 2117500000.0; 273200000.0; -122700000.0; 150500000.0; -11500000.0; 162000000.0; ; 174300000.0; ; 173800000.0; 369900000.0; 273200000.0; 486800000.0; 487900000.0; 360000.0; 360000.0
2019-05-31; 2613201000.0; 1905200000.0; 708001100.0; ; 394700100.0; ; 2294500000.0; 318700700.0; -130900000.0; 187800000.0; 71800000.0; 116000000.0; ; 125200000.0; ; 126500000.0; 419100700.0; 318700300.0; 444000000.0; 445600000.0; 270000.0; 260000.0
2019-02-28; 2707100000.0; 1954800000.0; 752300000.0; ; 334100000.0; ; 2279100000.0; 428000000.0; -130900000.0; 297100000.0; 67200000.0; 229900000.0; ; 242600000.0; ; 242000000.0; 520299999.99999994; 428000000.0; 486200000.0; 487400000.0; 500000.0; 500000.0
2018-11-30; 2383700000.0; 1706500000.0; 677200000.0; ; 487300000.0; ; 2184100000.0; 199599900.0; -80600000.0; 119000000.0; 22400000.0; 96600000.0; ; 134300000.0; -1900000.0; 131600000.0; 276199900.0; 199599900.0; 419900000.0; 421800000.0; 310000.0; 310000.0
2018-08-31; 1834400000.0; 1318900000.0; 515500000.0; ; 257300000.0; ; 1566000000.0; 268399999.99999997; -49000000.0; 219400000.0; 57400000.0; 162000000.0; ; 178200000.0; ; 178200000.0; 332100000.0; 268399999.99999997; 391700000.0; 394100000.0; 450000.0; 450000.0
2018-05-31; 1966200000.0; 1390800000.0; 575400400.0; ; 461900100.0; ; 1832300000.0; 133899900.0; -44500000.0; 89400000.0; 36500000.0; 52899900.0; ; 70600000.0; -300000.0; 69600000.0; 197499900.0; 133899900.0; 403900000.0; 407400000.0; 170000.0; 180000.0
2018-02-28; 1994500000.0; 1395700000.0; 598800000.0; ; 352100000.0; ; 1725900000.0; 268600100.0; -39800000.0; 228800000.0; -91400000.0; 320200000.0; ; 349200000.0; 14500000.0; 362800000.0; 333000100.0; 268600100.0; 399100000.0; 402500000.0; 910000.0; 900000.0
2017-11-30; 2173400000.0; 1515100000.0; 658299900.0; ; 324800000.0; ; 1822400000.0; 351000000.0; -38000000.0; 313000000.0; 109500000.0; 203500000.0; ; 224100000.0; 400000.0; 223500000.0; 415300000.0; 351000000.0; 406500000.0; 410400000.0; 550000.0; 540000.0
2017-08-31; 1804200000.0; 1285200000.0; 519000000.0; ; 259600000.00000003; ; 1524200000.0; 280000000.0; -36400000.0; 243600000.0; 120000000.0; 123600000.0; ; 153600000.0; -300000.0; 152500000.0; 344700000.0; 280000000.0; 415100000.0; 419200000.0; 370000.0; 360000.0
2017-05-31; 1861700000.0; 1331000000.0; 530699800.0; ; 474700000.0; ; 1750500000.0; 111200300.0; -37500000.0; 73700000.0; -60800000.0; 134500000.0; ; 153600000.0; -1700000.0; 151300000.0; 179400300.0; 111200100.0; 431900000.0; 436000000.0; 360000.0; 350000.0
