Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 5211000000.0; 3764000000.0; 1447000000.0; 122000000.0; 614000000.0; 108000000.0; 4392000000.0; 819000000.0; -62000000.0; 757000000.0; 170000000.0; 587000000.0; ; 587000000.0; ; 573000000.0; 895000000.0; 819000000.0; 845700000.0; 862700000.0; 680000.0; 670000.0
2022-03-31; 4654000000.0; 3361000000.0; 1293000000.0; 125000000.0; 601000000.0; 1170000000.0; 2917000000.0; 1737000000.0; -49000000.0; 1688000000.0; 301000000.0; 1387000000.0; ; 1387000000.0; ; 1379000000.0; 1816000000.0; 1737000000.0; 853300000.0; 874100000.0; 1620000.0; 1580000.0
2021-12-31; 5133000000.0; 3767000000.0; 1366000000.0; 134000000.0; 816000000.0; 47000000.0; 4670000000.0; 463000000.0; -58000000.0; 405000000.0; 73000000.0; 332000000.0; ; 332000000.0; ; 324000000.0; 550000000.0; 463000000.0; 867700000.0; 890300000.0; 380000.0; 360000.0
2021-09-30; 5341000000.0; 3740000000.0; 1601000000.0; 123000000.0; 748000000.0; 98000000.0; 4513000000.0; 828000000.0; -60000000.0; 768000000.0; 288000000.0; 480000000.0; ; 480000000.0; ; 469000000.0; 911000000.0; 828000000.0; 867600000.0; 892000000.0; 540000.0; 530000.0
2021-06-30; 5440000000.0; 3821000000.0; 1619000000.0; 125000000.0; 813000000.0; 102000000.0; 4657000000.0; 783000000.0; -52000000.0; 731000000.0; 234000000.0; 497000000.0; ; 497000000.0; ; 487000000.0; 868000000.0; 783000000.0; 868700000.0; 890900000.0; 560000.0; 550000.0
2021-03-31; 4699000000.0; 3305000000.0; 1394000000.0; 121000000.0; 743000000.0; 41000000.0; 4128000000.0; 571000000.0; -75000000.0; 496000000.0; 104000000.0; 392000000.0; ; 392000000.0; ; 384000000.0; 654000000.0; 571000000.0; 869300000.0; 889800000.0; 440000.0; 430000.0
2020-12-31; 4594000000.0; 3309000000.0; 1285000000.0; 127000000.0; 810000000.0; 897000000.0; 3349000000.0; 1245000000.0; -69000000.0; 1176000000.0; 289000000.0; 887000000.0; ; 887000000.0; ; 884000000.0; 1340000000.0; 1245000000.0; 866500000.0; 880200000.0; 1020000.0; 1000000.0
2020-09-30; 5002000000.0; 3441000000.0; 1561000000.0; 100000000.0; 681000000.0; 301000000.0; 3921000000.0; 1081000000.0; -72000000.0; 1009000000.0; 261000000.0; 748000000.0; ; 748000000.0; ; 741000000.0; 1163000000.0; 1081000000.0; 866400000.0; 881500000.0; 860000.0; 840000.0
2020-06-30; 3972000000.0; 2831000000.0; 1141000000.0; 94000000.0; 637000000.0; 32000000.0; 3530000000.0; 442000000.0; -67000000.0; 375000000.0; 106000000.0; 269000000.0; ; 269000000.0; ; 261000000.0; 520000000.0; 442000000.0; 866200000.0; 870900000.0; 300000.0; 300000.0
2020-03-31; 3888000000.0; 2766000000.0; 1122000000.0; 98000000.0; 692000000.0; -17000000.0; 3573000000.0; 315000000.0; -20000000.0; 295000000.0; 193000000.0; 102000000.0; ; 102000000.0; ; 96000000.0; 396000000.0; 315000000.0; 866200000.0; 866200000.0; 110000.0; 110000.0
2019-12-31; 4501000000.0; 3228000000.0; 1273000000.0; 99000000.0; 617000000.0; 78000000.0; 3944000000.0; 557000000.0; 34000000.0; 591000000.0; 137000000.0; 454000000.0; 0.0; 454000000.0; 0.0; 440000000.0; 641000000.0; 557000000.0; 866200000.0; 866200000.0; 500000.0; 500000.0
2019-09-30; 4822000000.0; 3376000000.0; 1446000000.0; 102000000.0; 702000000.0; -13000000.0; 4193000000.0; 629000000.0; 50000000.0; 679000000.0; 175000000.0; 504000000.0; ; 504000000.0; ; 492000000.0; 713000000.0; 629000000.0; 866200000.0; 866200000.0; 570000.0; 570000.0
2019-06-30; 4962000000.0; 3488000000.0; 1474000000.0; 103000000.0; 680000000.0; 114000000.0; 4157000000.0; 805000000.0; 54000000.0; 859000000.0; 65000000.0; 794000000.0; ; 794000000.0; ; 784000000.0; 887000000.0; 805000000.0; 866200000.0; 866200000.0; 910000.0; 910000.0
2019-03-31; 4323000000.0; 3097000000.0; 1226000000.0; 97000000.0; 684000000.0; 55000000.0; 3823000000.0; 500000000.0; 43000000.0; 543000000.0; 140000000.0; 403000000.0; ; 403000000.0; ; 400000000.0; 585000000.0; 500000000.0; 866000000.0; 866000000.0; 460000.0; 460000.0
2018-12-31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.0
2017-12-31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.0
