Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 9941000000.0; 7306000000.0; 2635000000.0; ; 818000000.0; -101000000.0; 8296000000.0; 1645000000.0; -137000000.0; 1508000000.0; 293000000.0; 1215000000.0; ; 1215000000.0; ; 1215000000.0; 1773000000.0; 1645000000.0; 421625000.0; 425418000.0; 2880000.0; 2860000.0
2022-03-31; 9669000000.0; 6669000000.0; 3000000000.0; ; 778000000.0; 310000000.0; 7208000000.0; 2461000000.0; -132000000.0; 2329000000.0; 355000000.0; 1974000000.0; ; 1974000000.0; ; 1974000000.0; 2623000000.0; 2461000000.0; 425805000.0; 429791000.0; 4640000.0; 4590000.0
2021-12-31; 10483000000.0; 7265000000.0; 3218000000.0; ; 811000000.0; 335000000.0; 7812000000.0; 2671000000.0; -126000000.0; 2545000000.0; 404000000.0; 2141000000.0; ; 2141000000.0; ; 2141000000.0; 2832000000.0; 2671000000.0; 439968000.0; 443197000.0; 5010000.0; 4960000.0
2021-09-30; 10845000000.0; 8558000000.0; 2287000000.0; ; 806000000.0; 763000000.0; 8672000000.0; 2173000000.0; -122000000.0; 2051000000.0; 218000000.0; 1833000000.0; ; 1833000000.0; ; 1833000000.0; 2339000000.0; 2173000000.0; 435318000.0; 438442000.0; 4210000.0; 4179999.9999999995
2021-06-30; 9664000000.0; 6889000000.0; 2775000000.0; ; 775000000.0; 777000000.0; 6960000000.0; 2704000000.0; -122000000.0; 2582000000.0; 317000000.0; 2265000000.0; ; 2265000000.0; ; 2265000000.0; 2848000000.0; 2704000000.0; 445095000.0; 447952000.0; 5090000.0; 5060000.0
2021-03-31; 9971000000.0; 6885000000.0; 3086000000.0; ; 744000000.0; 490000000.0; 7211000000.0; 2760000000.0; -122000000.0; 2638000000.0; 338000000.0; 2300000000.0; ; 2300000000.0; ; 2300000000.0; 2908000000.0; 2760000000.0; 450540000.0; 453336000.0; 5100000.0; 5070000.0
2020-12-31; 9848000000.0; 6741000000.0; 3107000000.0; ; 778000000.0; 622000000.0; 6970000000.0; 2878000000.0; -126000000.0; 2752000000.0; 334000000.0; 2418000000.0; ; 2418000000.0; ; 2418000000.0; 3038000000.0; 2878000000.0; 451603000.0; 453442000.0; 5350000.0; 5340000.0
2020-09-30; 9464000000.0; 7678000000.0; 1786000000.0; ; 733000000.0; 485000000.0; 7998000000.0; 1466000000.0; -130000000.0; 1336000000.0; 142000000.0; 1194000000.0; ; 1194000000.0; ; 1194000000.0; 1626000000.0; 1466000000.0; 451794000.0; 453265000.0; 2640000.0; 2630000.0
2020-06-30; 8985000000.0; 8393000000.0; 592000000.0; ; 727000000.0; -58000000.0; 9250000000.0; -265000000.0; -128000000.0; -393000000.0; -62000000.0; -331000000.0; ; -331000000.0; ; -331000000.0; -88000000.0; -265000000.0; 451403000.0; 451403000.0; -730000.0; -730000.0
2020-03-31; 7697000000.0; 6229000000.0; 1468000000.0; ; 741000000.0; -55000000.0; 7098000000.0; 599000000.0; -132000000.0; 467000000.0; 215000000.0; 252000000.0; ; 252000000.0; ; 252000000.0; 759000000.0; 599000000.0; 451869000.0; 454520000.0; 560000.0; 550000.0
