Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-09-30; 1746000000.0; 524000000.0; 1222000000.0; ; 187000000.0; -3000000.0; 1144000000.0; 602000000.0; -180000000.0; 422000000.0; 3000000.0; 419000000.0; ; 419000000.0; ; 419000000.0; ; 602000000.0; 433000000.0; 434000000.0; 970000.0; 970000.0
2022-06-30; 1734000000.0; 514000000.0; 1220000000.0; ; 190000000.0; -9000000.0; 1141000000.0; 593000000.0; -167000000.0; 426000000.0; 5000000.0; 421000000.0; ; 421000000.0; ; 421000000.0; 1023000000.0; 593000000.0; 433000000.0; 434000000.0; 970000.0; 970000.0
2022-03-31; 1742000000.0; 509000000.0; 1233000000.0; ; 181000000.0; -14000000.0; 1124000000.0; 618000000.0; -191000000.0; 427000000.0; 6000000.0; 421000000.0; ; 421000000.0; ; 421000000.0; 1042000000.0; 618000000.0; 433000000.0; 434000000.0; 970000.0; 970000.0
2021-12-31; 1654000000.0; 525000000.0; 1129000000.0; ; 180000000.0; -12000000.0; 1132000000.0; 522000000.0; -168000000.0; 354000000.0; 1000000.0; 353000000.0; ; 353000000.0; ; 353000000.0; 941000000.0; 522000000.0; 432000000.0; 434000000.0; 830000.0; 820000.0
2021-09-30; 1618000000.0; 512000000.0; 1106000000.0; ; 167000000.0; ; 1092000000.0; 526000000.0; -168000000.0; 358000000.0; 7000000.0; 351000000.0; ; 351000000.0; ; 351000000.0; 942000000.0; 526000000.0; 432000000.0; 434000000.0; 810000.0; 810000.0
2021-06-30; 1583000000.0; 494000000.0; 1089000000.0; ; 169000000.0; -6000000.0; 1078000000.0; 505000000.0; -166000000.0; 339000000.0; 6000000.0; 333000000.0; ; 333000000.0; 1000000.0; 334000000.0; 916000000.0; 505000000.0; 432000000.0; 434000000.0; 770000.0; 770000.0
2021-03-31; 1485000000.0; 462000000.0; 1023000000.0; ; 164000000.0; -3000000.0; 1037000000.0; 448000000.0; -320000000.0; 128000000.0; 7000000.0; 121000000.0; ; 121000000.0; -63000000.0; 58000000.0; 859000000.0; 448000000.0; 432000000.0; 433000000.0; 130000.0; 130000.0
2020-12-31; 1493000000.0; 522000000.0; 971000000.0; ; 185000000.0; 298000000.0; 811000000.0; 682000000.0; -170000000.0; 512000000.0; 4000000.0; 508000000.0; ; 508000000.0; ; 507000000.0; 1085000000.0; 682000000.0; 423000000.0; 425000000.0; 1190000.0; 1180000.0
2020-09-30; 1486000000.0; 487000000.0; 999000000.0; ; 154000000.0; -3000000.0; 1052000000.0; 434000000.0; -266000000.0; 168000000.0; 5000000.0; 163000000.0; ; 163000000.0; ; 163000000.0; 841000000.0; 434000000.0; 427000000.0; 429000000.0; 380000.0; 380000.0
2020-06-30; 1440000000.0; 486000000.0; 954000000.0; ; 164000000.0; -3000000.0; 1057000000.0; 383000000.0; -177000000.0; 206000000.0; 6000000.0; 200000000.0; ; 200000000.0; ; 172000000.0; 787000000.0; 383000000.0; 417000000.0; 419000000.0; 410000.0; 410000.0
2020-03-31; 1421000000.0; 474000000.0; 947000000.0; ; 175000000.0; -4000000.0; 1057000000.0; 364000000.0; -174000000.0; 190000000.0; 5000000.0; 185000000.0; ; 185000000.0; ; 157000000.0; 764000000.0; 364000000.0; 416000000.0; 418000000.0; 380000.0; 380000.0
2019-12-31; 1426000000.0; 484000000.0; 942000000.0; ; 157000000.0; -5000000.0; 1046000000.0; 380000000.0; -165000000.0; 215000000.0; 6000000.0; 209000000.0; ; 209000000.0; ; 180000000.0; 777000000.0; 380000000.0; 416000000.0; 418000000.0; 440000.0; 430000.0
2019-09-30; 1482000000.0; 515000000.0; 967000000.0; ; 150000000.0; -2000000.0; 1059000000.0; 423000000.0; -176000000.0; 247000000.0; 5000000.0; 242000000.0; ; 242000000.0; ; 214000000.0; 811000000.0; 423000000.0; 416000000.0; 418000000.0; 510000.0; 510000.0
2019-06-30; 1447000000.0; 502000000.0; 945000000.0; ; 155000000.0; -6000000.0; 1058000000.0; 389000000.0; -169000000.0; 220000000.0; 4000000.0; 216000000.0; ; 216000000.0; ; 188000000.0; 782000000.0; 389000000.0; 416000000.0; 418000000.0; 450000.0; 450000.0
