Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 6806000000.0; 4028000000.0; 2778000000.0; 815000000.0; 1109000000.0; ; 6042000000.0; 764000000.0; -715000000.0; 49000000.0; 390000000.0; -341000000.0; ; -341000000.0; ; -341000000.0; 1097000000.0; 764000000.0; 1158000000.0; 1158000000.0; -290000.0; -290000.0
2022-03-31; 6483000000.0; 3720000000.0; 2763000000.0; 815000000.0; 1201000000.0; ; 5772000000.0; 711000000.0; -82000000.0; 629000000.0; 120000000.0; 509000000.0; ; 509000000.0; ; 509000000.0; 1039000000.0; 711000000.0; 1163000000.0; 1172000000.0; 440000.0; 430000.0
2021-12-31; 6918000000.0; 3834000000.0; 3084000000.0; 796000000.0; 1236000000.0; ; 5868000000.0; 1050000000.0; -344000000.0; 706000000.0; -95000000.0; 801000000.0; ; 801000000.0; ; 801000000.0; 1376000000.0; 1050000000.0; 1174000000.0; 1186000000.0; 670000.0; 680000.0
2021-09-30; 6182000000.0; 3336000000.0; 2846000000.0; 755000000.0; 1047000000.0; ; 5139000000.0; 1043000000.0; 122000000.0; 1165000000.0; 78000000.0; 1087000000.0; ; 1087000000.0; ; 1087000000.0; 1366000000.0; 1043000000.0; 1174000000.0; 1187000000.0; 930000.0; 920000.0
2021-06-30; 6238000000.0; 3214000000.0; 3024000000.0; 746000000.0; 1150000000.0; ; 5111000000.0; 1127000000.0; 229000000.0; 1356000000.0; 172000000.0; 1184000000.0; ; 1184000000.0; ; 1184000000.0; 1443000000.0; 1127000000.0; 1174000000.0; 1186000000.0; 1010000.0; 1000000.0
2021-03-31; 6033000000.0; 3066000000.0; 2967000000.0; 741000000.0; 1126000000.0; ; 4991000000.0; 1042000000.0; -170000000.0; 872000000.0; -225000000.0; 1097000000.0; ; 1097000000.0; ; 1097000000.0; 1342000000.0; 1042000000.0; 1173000000.0; 1190000000.0; 940000.0; 920000.0
2020-12-31; 6116000000.0; 3203000000.0; 2913000000.0; 732000000.0; 1174000000.0; ; 5153000000.0; 963000000.0; 896000000.0; 1859000000.0; 292000000.0; 1567000000.0; ; 1567000000.0; ; 1567000000.0; 1264000000.0; 963000000.0; 1173000000.0; 1187000000.0; 1340000.0; 1320000.0
2020-09-30; 5459000000.0; 2815000000.0; 2644000000.0; 674000000.0; 974000000.0; ; 4482000000.0; 977000000.0; 167000000.0; 1144000000.0; 123000000.0; 1021000000.0; ; 1021000000.0; ; 1021000000.0; 1275000000.0; 977000000.0; 1172000000.0; 1190000000.0; 870000.0; 860000.0
2020-06-30; 5261000000.0; 2706000000.0; 2555000000.0; 631000000.0; 926000000.0; ; 4310000000.0; 951000000.0; 848000000.0; 1799000000.0; 269000000.0; 1530000000.0; ; 1530000000.0; ; 1530000000.0; 1248000000.0; 951000000.0; 1173000000.0; 1184000000.0; 1300000.0; 1290000.0
2020-03-31; 4618000000.0; 2729000000.0; 1889000000.0; 605000000.0; 857000000.0; ; 4220000000.0; 398000000.0; -135000000.0; 263000000.0; 179000000.0; 84000000.0; ; 84000000.0; ; 84000000.0; 691000000.0; 398000000.0; 1173000000.0; 1185000000.0; 70000.0; 70000.0
2019-12-31; 4961000000.0; 2732000000.0; 2229000000.0; 558000000.0; 872000000.0; ; 4162000000.0; 799000000.0; 55000000.0; 854000000.0; 347000000.0; 507000000.0; ; 507000000.0; ; 507000000.0; 1026000000.0; 799000000.0; 1174000000.0; 1188000000.0; 430000.0; 430000.0
2019-09-30; 4378000000.0; 2431000000.0; 1947000000.0; 533000000.0; 717000000.0; ; 3681000000.0; 697000000.0; -213000000.0; 484000000.0; 22000000.0; 462000000.0; ; 462000000.0; ; 462000000.0; 924000000.0; 697000000.0; 1175000000.0; 1188000000.0; 390000.0; 390000.0
2019-06-30; 4305000000.0; 2344000000.0; 1961000000.0; 483000000.0; 775000000.0; ; 3600000000.0; 705000000.0; 238000000.0; 943000000.0; 120000000.0; 823000000.0; ; 823000000.0; ; 823000000.0; 933000000.0; 705000000.0; 1175000000.0; 1187000000.0; 700000.0; 690000.0
2019-03-31; 4128000000.0; 2278000000.0; 1850000000.0; 511000000.0; 748000000.0; ; 3610000000.0; 518000000.0; 199000000.0; 717000000.0; 50000000.0; 667000000.0; ; 667000000.0; ; 667000000.0; 748000000.0; 518000000.0; 1171000000.0; 1188000000.0; 570000.0; 560000.0
2018-12-31; 4226000000.0; 2295000000.0; 1931000000.0; 490000000.0; 831000000.0; ; 3628000000.0; 598000000.0; 88000000.0; 686000000.0; 102000000.0; 584000000.0; ; 584000000.0; ; 584000000.0; 821000000.0; 598000000.0; 1184000000.0; 1203000000.0; 500000.0; 490000.0
2018-09-30; 3683000000.0; 2011000000.0; 1672000000.0; 452000000.0; 702000000.0; ; 3193000000.0; 490000000.0; 43000000.0; 533000000.0; 97000000.0; 436000000.0; ; 436000000.0; ; 436000000.0; 678000000.0; 490000000.0; 1181000000.0; 1199000000.0; 370000.0; 360000.0
2018-06-30; 3857000000.0; 2034000000.0; 1823000000.0; 441000000.0; 694000000.0; ; 3285000000.0; 572000000.0; 37000000.0; 609000000.0; 83000000.0; 526000000.0; ; 526000000.0; ; 526000000.0; 752000000.0; 572000000.0; 1187000000.0; 1202000000.0; 440000.0; 440000.0
2018-03-31; 3685000000.0; 1922000000.0; 1763000000.0; 448000000.0; 628000000.0; ; 3151000000.0; 534000000.0; 14000000.0; 548000000.0; 37000000.0; 511000000.0; ; 511000000.0; ; 511000000.0; 719000000.0; 534000000.0; 1192000000.0; 1217000000.0; 430000.0; 420000.0
2017-12-31; 3744000000.0; 1573000000.0; 2171000000.0; 1054000000.0; 760000000.0; ; 2901000000.0; 843000000.0; 21000000.0; 864000000.0; 244000000.0; 620000000.0; ; 620000000.0; ; 620000000.0; 1070000000.0; 843000000.0; 1203000000.0; 1221000000.0; 510000.0; 500000.0
2017-09-30; 3239000000.0; 1811000000.0; 1428000000.0; 240000000.0; 571000000.0; ; 2816000000.0; 423000000.0; 28000000.0; 451000000.0; 71000000.0; 380000000.0; ; 380000000.0; ; 380000000.0; 617000000.0; 423000000.0; 1202000000.0; 1223000000.0; 320000.0; 310000.0
2017-06-30; 3136000000.0; 1707000000.0; 1429000000.0; 232000000.0; 566000000.0; ; 2706000000.0; 430000000.0; 17000000.0; 447000000.0; 36000000.0; 411000000.0; ; 411000000.0; ; 411000000.0; 631000000.0; 430000000.0; 1202000000.0; 1215000000.0; 340000.0; 340000.0
2017-03-31; 2975000000.0; 1604000000.0; 1371000000.0; 214000000.0; 503000000.0; ; 2544000000.0; 431000000.0; 7000000.0; 438000000.0; 54000000.0; 384000000.0; ; 384000000.0; ; 384000000.0; 614000000.0; 431000000.0; 1203000000.0; 1216000000.0; 320000.0; 320000.0
2016-12-31; 2981000000.0; 1589000000.0; 1392000000.0; 215000000.0; 528000000.0; ; 2521000000.0; 460000000.0; 9000000.0; 469000000.0; 79000000.0; 390000000.0; ; 390000000.0; ; 390000000.0; 649000000.0; 460000000.0; 1210000000.0; 1218000000.0; 320000.0; 310000.0
2016-09-30; 2667000000.0; 1426000000.0; 1241000000.0; 215000000.0; 494000000.0; ; 2319000000.0; 348000000.0; 12000000.0; 360000000.0; 37000000.0; 323000000.0; ; 323000000.0; ; 323000000.0; 533000000.0; 348000000.0; 1207000000.0; 1214000000.0; 270000.0; 270000.0
2016-06-30; 2650000000.0; 1383000000.0; 1267000000.0; 209000000.0; 511000000.0; ; 2279000000.0; 371000000.0; 9000000.0; 380000000.0; 57000000.0; 323000000.0; ; 323000000.0; ; 323000000.0; 547000000.0; 371000000.0; 1210000000.0; 1215000000.0; 270000.0; 270000.0
2016-03-31; 2544000000.0; 1303000000.0; 1241000000.0; 195000000.0; 464000000.0; ; 2137000000.0; 407000000.0; 15000000.0; 422000000.0; 57000000.0; 365000000.0; ; 365000000.0; ; 365000000.0; 581000000.0; 407000000.0; 1216000000.0; 1225000000.0; 300000.0; 300000.0
2015-12-31; 2556000000.0; 1294000000.0; 1262000000.0; 208000000.0; 480000000.0; ; 2145000000.0; 411000000.0; 7000000.0; 418000000.0; 51000000.0; 367000000.0; ; 367000000.0; ; 367000000.0; 575000000.0; 411000000.0; 1222000000.0; 1229000000.0; 290000.0; 290000.0
2015-09-30; 2258000000.0; 1136000000.0; 1122000000.0; 197000000.0; 442000000.0; ; 1928000000.0; 330000000.0; 20000000.0; 350000000.0; 49000000.0; 301000000.0; ; 301000000.0; ; 301000000.0; 483000000.0; 330000000.0; 1221000000.0; 1227000000.0; 250000.0; 250000.0
2015-06-30; 2297000000.0; 1097000000.0; 1200000000.0; 202000000.0; 449000000.0; ; 1899000000.0; 398000000.0; 1000000.0; 399000000.0; 94000000.0; 305000000.0; ; 305000000.0; ; 305000000.0; 548000000.0; 398000000.0; 1218000000.0; 1224000000.0; 250000.0; 250000.0
2015-03-31; 2137000000.0; 1002000000.0; 1135000000.0; 185000000.0; 439000000.0; ; 1815000000.0; 322000000.0; -1000000.0; 321000000.0; 66000000.0; 255000000.0; ; 255000000.0; ; 255000000.0; 463000000.0; 322000000.0; 1218000000.0; 1224000000.0; 210000.0; 210000.0
2014-12-31; 2193000000.0; 1003000000.0; 1190000000.0; 239000000.0; 614000000.0; ; 1988000000.0; 205000000.0; -1000000.0; 347000000.0; 61000000.0; 286000000.0; 0.0; 286000000.0; 0.0; 286000000.0; 337000000.0; 205000000.0; 1218000000.0; 1224000000.0; 230000.0; 230000.0
2014-09-30; 1975000000.0; 974000000.0; 1001000000.0; 232000000.0; 368000000.0; ; 1703000000.0; 272000000.0; 4000000.0; 276000000.0; 42000000.0; 234000000.0; ; 234000000.0; ; 234000000.0; 401000000.0; 272000000.0; 1218000000.0; 1224000000.0; 190000.0; 190000.0
2014-06-30; 1983000000.0; 932000000.0; 1051000000.0; 221000000.0; 375000000.0; ; 1653000000.0; 330000000.0; -4000000.0; 326000000.0; 45000000.0; 281000000.0; ; 281000000.0; ; 281000000.0; 455000000.0; 330000000.0; 1218000000.0; 1224000000.0; 230000.0; 230000.0
2014-03-31; 1874000000.0; 898000000.0; 976000000.0; 198000000.0; 330000000.0; ; 1556000000.0; 318000000.0; -6000000.0; 312000000.0; 694000000.0; -382000000.0; ; -382000000.0; ; -382000000.0; 448000000.0; 318000000.0; ; ; ; 0.0
2013-12-31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.0
2012-12-31; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 0.0
