Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 8150100000.0; 2613600000.0; 5536500000.0; ; 486700000.0; -3383500000.0; 6854600000.0; 1295500000.0; -103300000.0; 1192200000.0; 278500000.0; 913700000.0; ; 913700000.0; ; 912900000.0; 1686800000.0; 1295500000.0; 1147000000.0; 1151000000.0; 800000.0; 790000.0
2022-03-31; 7635600000.0; 2465800000.0; 5169800000.0; ; 481500000.0; -3367300000.0; 6686700000.0; 948900400.0; -72800000.0; 876100000.0; 201100000.0; 675000000.0; ; 675000000.0; ; 674500000.0; 1340200000.0; 948900400.0; 1149200000.0; 1153900000.0; 590000.0; 580000.0
2021-12-31; 8050400000.0; 2526900000.0; 5523500000.0; ; 525799999.99999994; -3461400000.0; 6872600000.0; 1177800000.0; -115400000.0; 1062400000.0000001; 246300000.0; 816100000.0; ; 816100000.0; ; 815900000.0; 1564200000.0; 1177800000.0; 1169600000.0; 1176600000.0; 700000.0; 690000.0
2021-09-30; 8146700000.0; 2491200000.0; 5655500000.0; ; 501199900.0; -3262001000.0; 6664398000.0; 1482301000.0; 765100000.0; 2247400000.0; 482900000.0; 1764500000.0; ; 1764500000.0; ; 1764300000.0; 1860201000.0; 1482300000.0; 1177600000.0; 1185500000.0; 1500000.0; 1480000.0
2021-06-30; 7496500000.0; 2206000000.0; 5290500000.0; ; 494900000.0; -2932800000.0; 6007800000.0; 1488700000.0; -77400000.0; 1411300000.0; 257100000.00000003; 1154200000.0; ; 1154200000.0; ; 1153400000.0; 1862000000.0; 1488700000.0; 1178500000.0; 1186200000.0; 980000.0; 970000.0
2021-03-31; 6668000000.0; 1992400000.0; 4675600000.0; ; 464400000.0; -2833900000.0; 5680400000.0; 987600100.0; -97700000.0; 889900000.0; 230500000.0; 659400000.0; ; 659400000.0; ; 659400000.0; 1372100000.0; 987600100.0; 1177500000.0; 1184800000.0; 560000.0; 560000.0
2020-12-31; 6749400000.0; 2049100000.0; 4700300000.0; ; 472100000.0; -2876400000.0; 5835900000.0; 913499500.0; -105200000.0; 808300000.0; 186100000.0; 622200000.0; ; 622200000.0; ; 622200000.0; 1301900000.0; 913499500.0; 1175000000.0; 1183000000.0; 530000.0; 530000.0
2020-09-30; 6203100000.0; 1976800000.0; 4226300000.0; ; 438999900.0; -2670900000.0; 5644701000.0; 558398900.0; -116000000.0; 442399900.0; 49700000.0; 392700000.0; ; 392700000.0; ; 392599900.0; 937598900.0; 558398400.0; 1172800000.0; 1181800000.0; 340000.0; 350000.0
2020-06-30; 4222100000.0000005; 1484000000.0; 2738100000.0; ; 399900000.0; -2603000000.0; 4926000000.0; -703899900.0; -108100000.0; -812000000.0; -133900000.0; -678100000.0; ; -678100000.0; ; -678400000.0; -326799900.0; -703899900.0; 1168500000.0; 1168500000.0; -580000.0; -580000.0
2020-03-31; 5995700000.0; 1997700000.0; 3998000000.0; ; 406500000.0; -2748500000.0; 5508300000.0; 487400400.0; -97200000.0; 390200000.0; 65400000.00000001; 324800000.0; ; 324800000.0; ; 328400000.0; 865100400.0; 487400400.0; 1171800000.0; 1180700000.0; 280000.0; 280000.0
2019-12-31; 7097100000.0; 2236400000.0; 4860700000.0; ; 434200000.0; -2849400000.0; 5877300000.0; 1219800000.0; -76000000.0; 1143800000.0; 258500000.0; 885300000.0; ; 885300000.0; ; 885700000.0; 1589000000.0; 1219800000.0; 1180400000.0; 1191000000.0; 750000.0; 740000.0
2019-09-30; 6746999000.0; 2139500000.0; 4607499000.0; ; 458299900.0; -2709500000.0; 5663800000.0; 1083199000.0; -79400000.0; 1003800000.0; 201599900.0; 802200100.0; ; 802200100.0; ; 802600000.0; 1448899000.0; 1083201000.0; 1221200000.0; 1233200000.0; 670000.0; 660000.0
2019-06-30; 6823000000.0; 2199600000.0; 4623400000.0; ; 459700000.0; -2661600000.0; 5701700000.0; 1121300000.0; 555600000.0; 1676900000.0; 303700000.0; 1373200000.0; ; 1373200000.0; ; 1372800000.0; 1481400000.0; 1121300000.0; 1211000000.0; 1223000000.0; 1130000.0; 1120000.0
2019-03-31; 6305900000.0; 2012000000.0; 4293899999.9999995; ; 458100000.0; -2578900000.0; 5448200000.0; 857699700.0; -37700000.0; 820000000.0; 161200000.0; 658800000.0; ; 658800000.0; ; 663200000.0; 1230400000.0; 857699700.0; 1239200000.0; 1250700000.0; 540000.0; 530000.0
2018-12-31; 6632700000.0; 2175800000.0; 4456900000.0; ; 448000000.0; -2616600000.0; 5617000000.0; 1015700000.0; -50200000.0; 965500000.0; 205100000.0; 760400000.0; ; 760400000.0; ; 760600000.0; 1366500000.0; 1015700000.0; 1242000000.0; 1253400000.0; 610000.0; 610000.0
2018-09-30; 6303699000.0; 360900400.0; 5942799000.0; ; 409300000.0; -4205198999.9999995; 5347199000.0; 956500500.0; -24799900.0; 931700200.0; 175600000.0; 756100100.0; ; 756100100.0; ; 755499800.0; 1300901000.0; 956501000.0; 1382700000.0; 1394600000.0; 600000.0; 590000.0
2018-06-30; 6310300000.0; 2553400000.0; 3756900000.0; ; 485900000.0; -1885900000.0; 5272100000.0; 1038200000.0; -11400000.0; 1026800000.0; 174800000.0; 852000100.0; ; 852000100.0; ; 852500000.0; 1382100000.0; 1038200000.0; 1377100000.0; 1388500000.0; 620000.0; 610000.0
2018-03-31; 6031800000.0; 2514700000.0; 3517100000.0; ; 420600000.0; -1857700000.0; 5259300000.0; 772499500.0; 43100000.0; 815600000.0; 155800000.0; 659800000.0; ; 659800000.0; ; 660100000.0; 1117699000.0; 772499500.0; 1394900000.0; 1406600000.0; 470000.0; 470000.0
2017-12-31; 6073700000.0; 2501700000.0; 3572000000.0; ; 392400000.0; -1777100000.0; 4957600000.0; 1116100000.0; 1889800000.0; 3005900000.0; 755800000.0; 2250100000.0; ; 2250100000.0; ; 2250200000.0; 1388500000.0; 1116100000.0; 1421000000.0; 1434600000.0; 1580000.0; 1570000.0
2017-09-30; 5698401000.0; 380499800.0; 5317901000.0; ; 400200000.0; -3606400000.0; 4675899000.0; 1022501000.0; 129300000.00000001; 1151800000.0; 362500000.0; 789299800.0; ; 789299800.0; ; 788500100.0; 1293201000.0; 1022501000.0; 1449500000.0; 1461500000.0; 540000.0; 540000.0
2017-06-30; 5661500000.0; 2249100000.0; 3412400000.0; ; 325000000.0; -1670400000.0; 4617300000.0; 1044200000.0; 8199999.999999999; 1052400000.0000001; 361100000.0; 691300000.0; ; 691300000.0; ; 691600000.0; 1310800000.0; 1044200000.0; 1447700000.0; 1459400000.0; 480000.0; 470000.0
2017-03-31; 5294000000.0; 2141199999.9999998; 3152800000.0; ; 326800000.0; -1637000000.0; 4358600000.0; 935399900.0; 45000000.0; 980400000.0; 327600000.0; 652800000.0; ; 652800000.0; ; 652800000.0; 1202000000.0; 935399900.0; 1453200000.0; 1464800000.0; 450000.0; 450000.0
2016-12-31; 5732900000.0; 2295000000.0; 3437900000.0; ; 356400000.0; -1699200000.0; 4600300000.0; 1132600000.0; 300000.0; 1132900000.0; 381400000.0; 751500000.0; ; 751500000.0; ; 751800000.0; 1395800000.0; 1132600000.0; 1457500000.0; 1470500000.0; 520000.0; 510000.0
2016-09-30; 5711200000.0; 2252200000.0; 3459000000.0; ; 449500000.0; -1532200000.0; 4483800000.0; 1227400000.0; -12200000.0; 1215200000.0; 413499900.0; 801700200.0; ; 801700200.0; ; 800900100.0; 1489300000.0; 1227400000.0; 1471600000.0; 1486700000.0; 550000.0; 540000.0
2016-06-30; 5238000000.0; 2060300000.0000002; 3177700000.0; ; 323400000.0; -1584400000.0; 4215700000.0; 1022300000.0; 51100000.0; 1073400000.0000001; 318900000.0; 754500000.0; ; 754500000.0; ; 754100000.0; 1281200000.0; 1022300000.0; 1465300000.0; 1479300000.0; 510000.0; 510000.0
2016-03-31; 4993200000.0; 2010300000.0; 2982900000.0; ; 330500000.0; -1540400000.0; 4129000000.0; 864200200.0; -3800000.0; 860400000.0; 285400000.0; 575000000.0; ; 575000000.0; ; 575100000.0; 1126200000.0; 864200200.0; 1472100000.0; 1486600000.0; 390000.0; 390000.0
2015-12-31; 5373500000.0; 2186200000.0; 3187300000.0; ; 305500000.0; -1588300000.0; 4315500000.0; 1058000000.0; -8400000.0; 1049599999.9999999; 361900000.0; 687700000.0; ; 687700000.0; ; 687600000.0; 1305300000.0; 1058000000.0; 1485900000.0; 1503300000.0; 460000.0; 460000.0
2015-09-30; 4914799000.0; 1982600000.0; 2932199000.0; ; 303899900.0; -1424600000.0; 3945402000.0; 969397000.0; -72800000.0; 896600100.0; 243900000.0; 652700000.0; ; 652700000.0; ; 652700000.0; 1209897000.0; 969397200.0; 1495900000.0; 1513400000.0; 430000.0; 430000.0
2015-06-30; 4881200000.0; 1953900000.0; 2927300000.0; ; 288500000.0; -1463700000.0; 3942600000.0; 938600300.0; 6400000.0; 945000000.0; 318500000.0; 626500000.0; ; 626500000.0; ; 626700000.0; 1187700000.0; 938600300.0; 1498500000.0; 1515700000.0; 420000.0; 410000.0
2015-03-31; 4563500000.0; 1859800000.0; 2703700000.0; ; 305900000.0; -1403200000.0; 3786000000.0; 777500000.0; -15600000.0; 761900000.0; 266300000.0; 495600000.0; ; 495600000.0; ; 494900000.0; 1005400000.0; 777500000.0; 1500500000.0; 1516500000.0; 330000.0; 330000.0
2014-12-31; 4803200000.0; 1991200000.0; 2812000000.0; ; 298400000.0; -1392100000.0; 3887700000.0; 915500500.0; 384000000.0; 1299500000.0; 315000000.0; 984500000.0; ; 984500000.0; ; 983100000.0; 1131801000.0; 915500500.0; 1498800000.0; 1516800000.0; 660000.0; 650000.0
2014-09-30; 4180701000.0; 1723000000.0; 2457701000.0; ; 238700000.0; -1178600000.0; 3325700000.0; 855001000.0; 69200000.0; 924200000.0; 336600000.0; 587600000.0; ; 587600000.0; ; 587800100.0; 1049401000.0000001; 855000200.0; 1506300000.0; 1526300000.0; 390000.0; 375000.0
2014-06-30; 4153700000.0; 1711500000.0; 2442200000.0; ; 269400000.0; -1224200000.0; 3385200000.0; 768500200.0; 3000000.0; 771500000.0; 259000000.0; 512500000.0; ; 512500000.0; ; 512600000.0; 958300200.0; 768500200.0; 1503500000.0; 1522000000.0; 340000.0; 340000.0
2014-03-31; 3873800000.0; 1629200000.0; 2244600000.0; ; 240600000.0; -1185500000.0; 3229700000.0; 644100100.0; 1100000.0; 645200000.0; 218300000.0; 426900000.0; ; 426900000.0; ; 427000000.0; 828200100.0; 644100100.0; 1510300000.0; 1529100000.0; 280000.0; 280000.0
2013-12-31; 4239600000.0000005; 1795100000.0; 2444500000.0; ; 242600000.0; -1218700000.0; 3426100000.0; 813500000.0; 5300000.0; 818800000.0; 278100000.0; 540700000.0; ; 540700000.0; ; 540700000.0; 993600000.0; 813500000.0; 1509800000.0; 1532400000.0; 360000.0; 355000.0
2013-09-30; 3788700000.0; 1633600000.0; 2155100000.0; ; 226100100.0; -3878200000.0; 5904000000.0; -2115300000.0000002; 63100000.0; -2052199999.9999998; -820100000.0; -1232100000.0; ; -1232100000.0; ; -1232100000.0; -1939000000.0; -2115299000.0; 1498500000.0; 1524500000.0; -820000.0; -805000.0
2013-06-30; 3735300000.0; 1597600000.0; 2137699999.9999998; ; 249600000.0; -1119600000.0; 3120100000.0; 615200000.0; -2800000.0; 612400000.0; 194600000.0; 417800000.0; ; 417800000.0; ; 417800000.0; 776399900.0; 615200000.0; 1499400000.0; 1523800000.0; 280000.0; 275000.0
