Date; Revenue; Cost Of Goods Sold; Gross Profit; Research And Development Expenses; SG&A Expenses; Other Operating Income Or Expenses; Operating Expenses; Operating Income; Total Non-Operating Income/Expense; Pre-Tax Income; Income Taxes; Income After Taxes; Other Income; Income From Continuous Operations; Income From Discontinued Operations; Net Income; EBITDA; EBIT; Basic Shares Outstanding; Shares Outstanding; Basic EPS; EPS - Earnings Per Share
2022-06-30; 727774000.0; 545132000.0; 182642000.0; 74847000.0; 67096000.0; -4687000.0; 691762000.0; 36012000.0; -14311000.0; 21701000.0; 6617000.0; 15084000.0; ; 15084000.0; ; 15084000.0; 56052000.0; 36012000.0; 55470300.0; 58564700.0; 270000.0; 260000.0
2022-03-31; 655080000.0; 476122000.0; 178958000.0; 66349000.00000001; 61745000.0; ; 604216000.0; 50864000.0; -5449000.0; 45415000.0; 12292000.0; 33122999.999999996; ; 33122999.999999996; ; 33122999.999999996; 65802000.00000001; 50864000.0; 53134900.0; 56315200.0; 620000.0; 600000.0
2021-12-31; 551914900.0; 391424000.0; 160490900.0; 64325999.99999999; 55127000.0; ; 510877000.0; 41038000.0; -6324000.0; 34714000.0; -6240000.0; 40954000.0; ; 40954000.0; ; 40954000.0; 55483000.0; 41038000.0; 52202200.0; 55971000.0; 780000.0; 730000.0
2021-09-30; 526404000.0; 353843000.0; 172561000.0; 55666000.0; 50481000.0; ; 459990000.0; 66414000.0; -5751000.0; 60663000.0; 7615000.0; 53048000.0; ; 53048000.0; ; 53048000.0; 79982000.0; 66414000.0; 52355900.0; 55929000.0; 1010000.0; 960000.0
2021-06-30; 480057000.0; 323865000.0; 156192000.0; 52664000.0; 48828000.0; 859000.0; 424498000.0; 55559000.0; -1743000.0; 53816000.0; 8724000.0; 45092000.0; ; 45092000.0; ; 45092000.0; 68149000.0; 55559000.0; 52076200.0; 55930600.0; 870000.0; 820000.0
2021-03-31; 405489000.0; 265415000.00000003; 140074000.0; 46977000.0; 46760000.0; -2209000.0; 361361000.0; 44128000.0; -6097000.0; 38031000.0; 7955000.0; 30076000.0; ; 30076000.0; ; 30076000.0; 55425000.0; 44128000.0; 51727000.0; 55997100.0; 580000.0; 550000.0
2020-12-31; 358107000.0; 247782000.0; 110325000.0; 47513000.0; 46914000.0; -1471000.0; 343680100.0; 14426900.0; 10380000.0; 24807000.0; 7152000.0; 17655000.0; ; 17655000.0; ; 17655000.0; 26386900.0; 14426900.0; 50217300.0; 52795500.0; 320000.0; 320000.0
2020-09-30; 338095000.0; 230032000.0; 108063000.0; 40817000.0; 36852000.0; ; 307701000.0; 30394000.0; 15765000.0; 46159000.0; 2408000.0; 43751000.0; ; 43751000.0; ; 43751000.0; 38987000.0; 30394000.0; 50529700.0; 53144200.0; 870000.0; 830000.0
2020-06-30; 331851000.0; 228888000.0; 102963000.0; 38098000.0; 34900000.0; ; 301886000.0; 29965000.0; 11565000.0; 41530000.0; 4862000.0; 36668000.0; ; 36668000.0; ; 36668000.0; 38154000.0; 29965000.0; 49786600.0; 52536400.0; 740000.0; 700000.0
2020-03-31; 431218000.0; 291210000.0; 140008000.0; 36695000.0; 40438000.0; 4900000.0; 363443000.0; 67775000.0; -16605000.0; 51170000.0; 8922000.0; 42248000.0; ; 42248000.0; ; 42248000.0; 75220000.0; 67775000.0; 49193000.0; 52173000.0; 860000.0; 810000.0
